DOY2,HR2,T_CANOPY,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,-20.4495275,406.079,20.161279035,0.120657,0.958216,0.979353098,-20.8284,-2.6319425,96.5862,82.934695,-16.90525,0.09091890625,-17.93272375,0.018833,195.6026625,238.6095,-46.14901,0.001,-2.232606875,-0.01267232625,-2.53438840625,-0.10215175,0.40305429825,0.10147025,0.3583247545,0.126949917,2.0359375
1,0.75,-20.29929875,404.29125,20.1069945825,0.13403975,0.960181,0.98035573375,-23.0485,-2.57774,96.6033,83.01009375,-17.329,0.097893616,-18.24419,0.01863475,200.9342125,238.93655,-45.919,0.001,-2.20599675,0.0209438425,-2.60238221875,-0.0992,0.381993455,0.117999,0.346270126,0.137113092,1.99761
1,1.25,-20.33196,410.21,20.253639815,0.0714,0.86753675,0.93180261925,-22.703825,-2.8967975,96.6042,82.9187925,-17.298,0.0967818705,-18.1907275,0.01808425,199.4793625,238.8198,-44.715575,0.001,-2.29268975,0.01241612375,-2.67824934375,-0.1117115,0.413888874,0.107036,0.339660023,0.131527267,1.91842
1,1.75,-20.340625,406.80175,20.182545995,0.10281075,0.88031,0.938629427,-20.267925,-1.7632775,96.596225,82.43552,-17.42175,0.09370000175,-18.405615,0.0177725,199.95945,238.23475,-45.57737,0.001027516,-2.185833625,0.02260207125,-2.710429125,-0.096725,0.4103884835,0.110577,0.3448254045,0.12399286875,1.9598625
1,2.25,-20.4930325,413.42975,20.3517497275,0.1144135,0.8849185,0.941102475,-19.924,-1.39016,96.5957,82.45925,-17.653,0.093273791,-18.59957,0.017775625,197.5064375,237.49435,-43.538735,0.001006879,-2.1394705,0.01362635975,-2.72868203125,-0.100521,0.41858452,0.11092,0.335355036,0.131529464,2.14778
1,2.75,-20.30548375,410.25975,20.2742426725,0.0931075,0.894787,0.946355641,-19.629725,-0.6971075,96.6036,82.17746,-17.7835,0.0923199805,-18.76885,0.01804275,199.7893125,236.9737625,-45.97025125,0.0012547415,-2.1820675,0.028821293,-2.743423125,-0.11288025,0.4303138795,0.1139225,0.35742641375,0.1407001695,2.1109275
1,3.25,-20.4747725,410.37275,20.2771158225,0.024,0.887661,0.9425039755,-21.511925,-1.89526,96.606425,81.8264475,-17.6205,0.0934863625,-18.60785,0.018331875,195.925775,237.588325,-45.249515,0.001027516,-2.206874,0.03257032125,-2.74517909375,-0.10469325,0.44642037,0.12740025,0.3481566815,0.15201075275,2.161185
1,3.75,-20.92017625,401.04875,20.0262014225,0.10769775,0.897984,0.948045885,-21.4058,-2.32279,96.56785,82.21105,-17.887,0.08916678625,-18.79862375,0.018167625,199.50245,236.3568875,-45.60464,0.001027516,-2.39896725,0.0158616085,-2.79541659375,-0.10181625,0.46183166825,0.1252555,0.36054262,0.15173984225,2.15433
1,4.25,-20.9839775,406.4615,20.16662184,0.0645865,0.9203005,0.959756861,-21.48485,-2.0754425,96.54055,81.7775025,-17.6015,0.0960454455,-18.7759025,0.01814375,196.1803625,236.0307625,-43.95638,0.00133333475,-2.28177675,0.0234911675,-2.849857125,-0.107806,0.424952937,0.1178015,0.3520937945,0.1526419695,2.02393
1,4.75,-21.187735,401.62775,20.04065094,0.0482,0.9028185,0.95059505025,-19.7328,-1.69864,96.5377,81.44681375,-16.934,0.09241212,-18.823415,0.01853075,197.9147125,236.52765,-44.21787,0.001027516,-2.23735525,0.00446857575,-2.82657075,-0.109552,0.434264896,0.114972,0.347295263,0.12922848,1.93453
1,5.25,-20.5918475,405.8405,20.145412225,0.10359,0.8528535,0.92389418725,-19.996,-2.6260475,96.534575,81.30290125,-17.23825,0.08706958475,-18.557105,0.01858225,203.9847125,237.37385,-42.2077275,0.001194091,-2.04226075,0.02931425,-2.8029238125,-0.12704825,0.3989129845,0.12772075,0.3435428515,0.143874946,1.885895
1,5.75,-20.85007875,410.885,20.3044186675,0.05995,0.8086955,0.899610464,-20.5706,-1.10382,96.54595,81.3258925,-16.845,0.093883309,-18.37957625,0.01768925,202.905325,237.9135875,-41.302655,0.001,-2.091383,0.01878198875,-2.76903059375,-0.111992,0.4207188015,0.1202425,0.3476544475,0.140166157,1.87133
1,6.25,-20.970905,411.5905,20.288426955,0.1073945,0.79282,0.89075738175,-20.79125,-2.1699575,96.57275,81.88041125,-16.892,0.0979535835,-18.185505,0.01804975,205.70615,236.686725,-41.85309375,0.001,-1.924665375,0.00916588925,-2.7373965,-0.12435375,0.41776547275,0.11370175,0.35545820075,0.1293250635,1.9703025
1,6.75,-21.084755,412.62025,20.347786695,0.052975,0.96455475,0.9825707325,-16.8929,-0.8712625,96.5892,82.36345375,-17.193,0.098234414,-18.30165625,0.0182365,204.93415,235.9423125,-38.5711375,0.001006879,-2.03115325,0.00822185,-2.7736308125,-0.121326,0.399333194,0.102846,0.325857331,0.12328828,1.97637
1,7.25,-20.9167775,411.897,20.30687076,0.0147,1.02819,1.014519591,-15.0791,-0.97916,96.5805,82.0735625,-17.377,0.0946801455,-18.3840875,0.01823975,207.577525,235.19385,-40.6244875,0.02230995775,-1.912578375,0.06146503,-2.84148725,-0.118441,0.3828431355,0.097,0.3362194225,0.1222700215,2.06745
