DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.09,0.8725,4.59,5.3375,19.445,-6.3175,-0.73,-72.5275,-21.865,-39.865,-0.705,-0.02,5.2925
1,0.75,0.09,0.94,4.58,5.36,19.355,-6.2825,-0.7575,-72.2125,-28.9,-44.435,-0.905,-0.0125,5.1975
1,1.25,0.09,0.87,4.53,5.5,19.385,-6.2925,-0.8575,-71.96,-38.365,-44.805,-0.845,0.01,5.0825
1,1.75,0.09,0.92,4.645,5.35,19.42,-6.43,-0.79,-72.4525,-32.56,-42.13,-0.94,0.01,5
1,2.25,0.09,0.92,4.65,5.46,19.6925,-6.3225,-0.85,-71.955,-34.605,-38.77,-0.7775,-0.01,4.905
1,2.75,0.1,0.91,4.5,5.54,19.47,-6.395,-0.905,-71.6825,-29.005,-40.7225,-1.0225,-0.03,4.825
1,3.25,0.09,0.82,4.59,5.395,19.675,-6.4425,-0.885,-71.6225,-22.36,-36.59,-0.75,-0.03,4.74
1,3.75,0.09,0.84,4.57,5.7325,19.3,-6.15,-0.88,-70.9075,-41.68,-38.5825,-0.6575,-0.02,4.665
1,4.25,0.0925,0.89,4.63,5.59,19.18,-6.3225,-0.8675,-70.8975,-25.885,-40.82,-0.57,0.01,4.595
1,4.75,0.1,0.91,4.41,5.3825,18.995,-6.23,-0.865,-70.18,-22.24,-38.685,-0.99,0.01,4.53
1,5.25,0.09,0.9175,4.48,5.2125,18.66,-6.1425,-0.9475,-70.7625,-35.16,-44.62,-1.24,0.02,4.485
1,5.75,0.1,0.89,4.25,5.2425,18.675,-6.3225,-0.9275,-70.5025,-20.075,-39.705,-0.8875,0.01,4.41
1,6.25,0.1,0.88,4.37,5.19,18.89,-6.27,-0.96,-69.875,-22.105,-35.34,-0.675,-0.0275,4.36
1,6.75,0.1,0.9175,4.3,5.1375,20.065,-2.5425,-0.335,-65.9575,-25.26,-34.7975,-0.5,0.01,4.295
1,7.25,0.09,0.92,4.31,5.105,19.985,30.515,7.2025,-38.705,-41.755,-30.31,-0.3325,-0.01,4.25
1,7.75,0.1,0.81,4.87,5.535,19.06,99.67,18.15,12.2975,-109.745,-16.2125,-0.125,-0.26,4.215
1,8.25,0.14,0.785,5.79,6.265,18.595,172.035,27.2725,65.0675,-147.64,1.26,4.62,-0.91,4.195
1,8.75,0.1975,0.8275,6.56,6.825,18.095,276.5,38.34,127.76,41.29,27.01,9.8,-1.24,4.175
1,9.25,0.25,0.96,6.98,7.24,17.08,362.3775,49.335,187.725,-38.185,57.705,12.3975,-1.52,4.215
1,9.75,0.27,1.15,7.42,7.49,15.945,419.9875,57.9125,232.3825,75.025,84.0575,13.0975,-1.67,4.37
1,10.25,0.3,1.2625,7.64,7.9475,16.18,480.28,66.4075,280.1725,-4.685,102.7225,15.635,-1.855,4.565
1,10.75,0.34,1.51,8.11,8.26,15.225,541.38,76.755,314.2775,-4.63,135.44,16.8,-1.715,4.855
1,11.25,0.35,1.66,8.41,8.57,14.86,561.445,80.21,337.2475,129.505,144.93,17.1,-1.69,5.205
1,11.75,0.37,1.77,8.33,8.61,14.94,546.2975,80.8425,335.3675,-10.275,153.27,18.2375,-1.6175,5.575
1,12.25,0.39,1.87,8.72,8.8,15.165,543.735,80.255,323.29,13.425,157.0325,15.8375,-1.4875,5.965
1,12.75,0.38,1.79,8.86,8.645,14.9475,528.1925,80.735,323.46,79.79,153.9025,15.265,-1.425,6.305
1,13.25,0.37,1.81,8.69,8.71,15.0525,468.6075,73.42,283.7725,101.77,146.6225,14.68,-1.3875,6.535
1,13.75,0.36,1.7675,8.86,8.7525,14.8625,416.7075,65.715,237.355,79.985,131.975,12.005,-1.49,6.69
1,14.25,0.34,1.66,8.63,8.5625,14.44,360.215,57.83,194.795,104.77,112.69,9.5975,-1.3,6.875
1,14.75,0.335,1.62,8.27,8.5,14.96,273.8925,47.88,141.8475,47.76,86.86,9.995,-1.08,7.05
1,15.25,0.3075,1.5,7.95,8.0925,15.5525,200.4175,34.6175,84.5,9.6175,62.66,7.3325,-0.965,7.035
1,15.75,0.25,1.29,7.95,7.91,15.91,122.7625,21.9675,30.79,6,30.4,4.1825,-0.8,7.09
1,16.25,0.19,1.0075,7.49,7.615,16.59,59.8625,10.7625,-21.63,-0.845,4.895,1.3975,-0.47,7.12
1,16.75,0.12,0.8875,6.52,6.9175,17.55,7.8925,1.71,-68.28,-2.7575,-14.5,-0.41,-0.11,7.14
1,17.25,0.1,0.7975,6.05,6.4175,18.72,-7.6925,-2.185,-83.82,1.455,-26.075,-1.05,-0.03,7.065
1,17.75,0.09,0.83,5.63,6.135,19.29,-7.355,-0.985,-81.59,-22.2125,-27.4575,-1.4775,-0.04,6.955
1,18.25,0.09,0.86,5.43,5.905,19.55,-6.88,-0.6175,-79.08,-35.45,-29.1325,-0.87,-0.02,6.84
1,18.75,0.09,0.91,5.28,5.89,19.88,-6.5425,-0.575,-77.67,-29.96,-30.765,-0.815,0.01,6.75
1,19.25,0.09,0.915,5.2,5.74,20.35,-6.51,-0.5675,-76.37,-17.78,-34.07,-1.27,-0.05,6.645
1,19.75,0.08,0.83,5.11,5.585,19.94,-6.5125,-0.72,-76.7,-21.915,-33.425,-1.325,-0.03,6.45
