DOY2,HR2,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,SC,H,LE,SH,SLE,PA,RH_1_2_1,RH_1_1_1,RH_1_3_1,T_SONIC,T_SONIC_SIGMA,TA_1_2_1,TA_1_1_1,TA_1_3_1,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,CH4,FCH4
1,0.25,405.022,1.47707287163774,1.03097,5.04088,0.125507030139551,0.0258256,-11.4476,7.768355,-0.253065,-0.1700845,102.179,54.6018,89.978087,91.095696,9.47713,0.195358,7.393505,7.53470566666667,7.04559363333333,1.40099829191139,293.152033333333,349.58991,0,0,11.54728,11.1774943333333,-0.04226985,0.5299345,0.188118,0.4597905,0.2121325,1.463725,2005.84,-1.08738
1,0.75,404.848,1.43369716246386,0.9153785,4.95277,0.107312020005787,0.01119253,-12.4047,7.17482,-0.187227,-0.06367855,102.1565,54.63585,89.9934106666667,91.2969506666667,9.37892,0.1907375,7.193525,7.23150123333333,6.71213413333333,1.19535831976045,293.175233333333,348.78963,0,0,11.469141,11.1969506666667,-0.04271725,0.5270465,0.185095,0.455768,0.2065675,1.572305,2008.14,-0.80589
1,1.25,405.111,1.62813974587374,0.862362,5.11102,0.107737306025061,0.0169379,-12.2599,6.94669,-0.209127,-0.128935,102.1725,55.55425,89.8772833333333,91.3900256666667,9.47544,0.19118,7.264115,6.95151376666667,6.37902513333333,1.20241603691007,299.815076666667,348.025106666667,0,0,11.403243,11.214398,-0.0440323,0.5841895,0.1891515,0.466615,0.239884,1.599265,2010.04,-1.36624
1,1.75,405.6855,1.79011179105247,0.935865,5.17931,0.113131890120931,0.013,-11.4379,7.295285,-0.2566345,-0.188627,102.155,54.7867,89.8855643333333,91.382293,9.34214,0.188232,7.136105,6.9202891,6.3482841,1.21091674365221,297.534313333333,349.83965,0,0,11.3201406666667,11.2299853333333,-0.03910755,0.513751,0.1777985,0.4753225,0.227837,1.629905,2014.87,-0.665285
1,2.25,405.553,1.37336144481432,1.01386,5.03049,0.116652454875061,-0.01160652,-11.3017,6.601,-0.403376,-0.22654,102.132,55.05285,89.780168,91.5395923333333,9.08376,0.192945,7.08987,6.7131698,6.30420633333333,1.36380392630066,302.347996666667,348.479576666667,0,0,11.3829003333333,11.2451098333334,-0.0429,0.557777,0.185391,0.443924,0.2439,1.51836,2013.2,-0.74876
1,2.75,407.505,1.41540026151353,0.8131405,4.7858,0.122976065119704,0.00739,-10.6565,5.554565,-0.226604,-0.02728569,102.112,54.5769,89.3665576666667,91.0594823333333,9.175305,0.1891445,6.96636,7.0636516,6.6205115,1.37048547432084,300.146566666667,348.182783333333,0,0,11.3745496666667,11.2561623333333,-0.0467993,0.5720635,0.193488,0.467604,0.238014,1.63825,2014.68,0.21041075
1,3.25,406.8665,1.5603782168895,0.875093,4.88375,0.11497741438648,-0.00709732,-11.1734,9.75778,-0.32202,-0.34713,102.092,55.1142,89.5303088333334,90.6100298333334,9.31032,0.19407,7.17235,6.82921411666666,6.64008865,1.31304668953311,303.299821666667,345.735266666667,0,0,11.3802693333334,11.314869,-0.0566163,0.603313,0.21041,0.5284085,0.260173,1.80624,2014.58,-0.474357
1,3.75,406.533,1.54272060228501,1.192,4.91904,0.108567721705166,0.0217218,-10.6214,8.7373,-0.2668,-0.0674705,102.081,54.28175,90.0916888333334,91.1319045,9.21619,0.2037475,7.059175,6.78815798333333,6.50702898333333,1.48520421618171,296.294206666667,345.407906666667,0,0,11.2483946666666,11.3215473333333,-0.05052,0.6002275,0.197776,0.499968,0.261384,1.74794,2016.87,-0.682116
1,4.25,407.4855,1.26865583031957,0.98407,4.94727,0.112313346370332,0.01254225,-8.85775,9.628015,-0.437479,-0.122207,102.0695,52.8936,90.6932896666667,91.4116375,9.10092,0.1902785,6.921405,6.56154255,6.18118583333333,1.34609743868976,297.315611666667,345.574483333333,0,0,11.1936153333334,11.3236066666667,-0.06666815,0.634939,0.2296285,0.5451525,0.2507835,1.769695,2019.21,-0.523586
1,4.75,407.527,1.23752143545011,0.926228,4.66077,0.109950029405071,0.00828267,-8.95489,6.052895,-0.36269,-0.321562,102.031,52.96425,89.6672003333333,91.0103398333333,8.56531,0.198995,6.32459,6.28117565,5.9636791,1.23212261559412,296.31051,344.666988333333,0,0,11.1445981666667,11.2886331666666,-0.0536794,0.617448,0.205946,0.500263,0.265581,1.79303,2022.99,-1.10389
1,5.25,407.503,1.42221750961792,0.981622,4.65036,0.11104432439743,0.00776658,-9.935475,6.931925,-0.392746,-0.181986,102.036,50.4764,89.7475595,91.2822703333333,8.19606,0.193585,6.2958,6.05092868333334,5.66937203333334,1.21199404322345,298.415598333333,344.156701666667,0,0,11.148651,11.285301,-0.0479149,0.58332,0.193597,0.479395,0.239626,1.6436,2032.13,-1.12027
1,5.75,407.5645,1.18032467638192,0.844551,4.59356,0.107481899098662,0.00555919,-8.92596,8.54655,-0.278462,-0.0484696,102.026,51.3059,90.5030633333333,91.3939783333334,8.18351,0.2124655,6.221075,5.84283566666666,5.52330896666667,1.19632582118008,299.21129,343.50872,0,0,11.07172,11.2767278333333,-0.05070295,0.5777015,0.199321,0.5123235,0.2491905,1.68274,2037.56,-0.684996
