DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.59725,-0.0950000000000031,10.4515,0.530599999999999,24.875,32.525,-0.625,-0.54075,-0.4395,94.065,99.0485,1.364,-2,0,0,0,1,284.6,304
1,0.75,0.6371,-0.405000000000003,11.621,0.1719,24,27.925,0.549999999999997,-0.408250000000001,-0.28875,93.92,99.04355,1.3015,-2,0,0,0,1,285.3,303.1
1,1.25,0.6345,-0.790000000000001,11.8495,0.341524999999999,15.7,22.525,-0.450000000000003,-0.423750000000001,-0.32775,93.675,99.0265,1.297,-2,0,0,0,1,285.55,301.75
1,1.75,0.7155,-0.990000000000001,12.034,0.700524999999999,22.925,21.45,-0.450000000000003,-0.446500000000001,-0.374,94.26,99.03905,1.2905,0,0,0,0,1,289.75,302.3
1,2.25,0.672025,-0.970000000000002,11.872,0.830824999999991,30.225,22.625,-0.450000000000003,-0.453750000000001,-0.4275,93.75,99.057,1.2755,0.0999999999999943,0,0,0,1,292.2,302.2
1,2.75,0.60125,-0.8,10.2905,0.615499999999998,25.275,18.275,-0.399999999999999,-0.543500000000001,-0.466500000000001,93.57,99.068,1.4225,0.0999999999999943,0,0,0,1,292.55,299.1
1,3.25,0.5793,-0.415000000000002,10.732,0.555824999999999,26.875,20.05,-0.399999999999999,-0.691250000000001,-0.517250000000001,92.275,99.081,1.364,1.09999999999999,0,0,0,1,293.65,299.75
1,3.75,0.5996,-0.130000000000004,11.023,0.771749999999999,22.75,15.925,-0.699999999999999,-0.781000000000001,-0.599750000000001,92.81,99.051,1.4095,1.55,0,0,0,1,292.1,301.55
1,4.25,0.58925,-0.110000000000005,10.745,0.577399999999998,21.1499999999999,28.175,-0.725000000000001,-0.801000000000001,-0.701250000000001,92.75,99.0275,1.251,1,0,0,0,1,295.3,303.4
1,4.75,0.6215,0.0399999999999977,12.7285,0.759800000000004,21.0000000000001,15.8,-0.725000000000001,-0.821000000000001,-0.718500000000001,93.81,99.024,1.1075,1,0,0,0,1,294.65,303.95
