DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,CH4,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,1.542245,24.993,0.2055,-12.306,0,15.52,15.09,69.708,5.37994,0.1461,1.7460286,0.213436893,-0.040288145,19.4538,432.113,18.4275,2278.5,0.435979,0.148064,101.288,272.094196003806,243.206552706553,-4.64377083403997,-5.52668174962293,-1.22714392803598
1,0.75,1.557953,20.3125,0.264,-10.72415,0,15.71,14.955,64.276,5.53618,0.154783,1.842524669,0.189771,-0.0286801,19.3754,433.224,20.78255,2295.64,0.496619,0.203641,101.288,277.938154138915,250.701566951567,-4.57252902960283,-2.66867269984917,1.82688155922039
1,1.25,1.241832,21.8435,0.572,-14.9135,0,15.2566,14.82,66.2815,5.264285,0.1525,1.971811982,0.178901,-0.0478505,19.4871,434.192,20.62365,2368.27,0.543724,0.257083,101.288,286.152235965747,250.343304843305,-4.37580709645175,-2.40773001508296,1.76170164917541
1,1.75,1.311089,23.269,2.836,-13.417,0,15.23,14.685,67.4423,5.176135,0.17,1.957162223,0.197535487,-0.0646295,19.0598,434.734,20.54085,2337.97,0.718077,0.298374,101.288,296.800190294957,247.529914529915,-4.2804305426472,-2.07099547511312,1.82688905547226
1,2.25,1.312667,32.004,2.794,-12.91,0,14.78,14.555,67.58515,5.2709,0.1471,1.871528343,0.166770526,-0.06772195,18.6745,435.148,20.34925,2325.88,0.502368,0.207518,101.288,289.370123691722,246.982905982906,-4.50385179582153,-2.29955505279035,1.66883808095952
1,2.75,1.6402795,32.696,1.143,-12.91265,0,15.31,14.51,64.342,6.96816,0.14835,1.830786559,0.185722,-0.0336768,18.6167,435.239,19.2846,2243.37,0.4759965,0.19668,101.288,298.259752616556,245.084401709402,-4.20617479721676,-1.87132730015083,1.81615442278861
1,3.25,1.050182,27.275,4.199,-9.292,0,15.005,14.455,64.729,6.4723,0.1668,1.809601185,0.180043401,-0.0427044,17.1813,435.151,19.8141,2322.58,0.59463,0.228607,101.288,292.902949571836,246.812678062678,-4.55936498945098,-1.99197586726998,1.58437031484258
1,3.75,1.294487,18.673,1.299,-11.67,0,15.13,14.4,62.323,7.58051,0.1522,1.922309958,0.20680208,-0.0250581,17.0789,435.001,18.4792,2345.79,0.385828,0.182579,101.288,296.504281636537,246.474358974359,-4.63331269885418,-1.98121417797888,1.69652923538231
1,4.25,1.19223,24.8425,0.547,-10.935,0,15.55,14.35,63.042,7.185635,0.146,1.87807843,0.184497338,-0.027059,17.0467,434.786,17.8973,2296.18,0.383823,0.19094,101.288,294.312083729781,245.696581196581,-4.44844135624496,-1.87288084464555,1.81879310344828
1,4.75,1.251478,34.316875,0.764,-11.2488,0,15.19,14.3,62.056,8.40652,0.1372,1.863245187,0.190522417,-0.0184871,16.4174,432.689,16.6866,2336.5,0.309835,0.167138,101.288,288.325404376784,244.852564102564,-4.46856201989499,-2.05787330316742,1.76819340329835
1,5.25,1.40424,43.79125,2.061,-14.2853,0,15.47,14.225,63.505,7.85166,0.1321,1.585124219,0.15410562,-0.030926505,16.1224,434.863,16.1349,2731.01,0.308196,0.110081,101.288,294.724072312084,244.108262108262,-4.34137724124361,-1.77468325791855,1.53633433283358
1,5.75,1.143067,30.51065,0.442,-15.573,0,15.5687,14.09,64.231,7.30638,0.1654,1.906045093,0.186026495,-0.02305803,16.3344,434.498,15.5329,2350.85,0.308182,0.10663,101.288,285.256898192198,243.979344729345,-3.55351214664159,-1.6456334841629,1.33730884557721
1,6.25,1.068166,30.1835,0.299,-15.36455,0,14.33,13.97,64.207,6.62333,0.1425,1.784472454,0.184008007,-0.02883543,15.4607,435.265,14.9189,2290.235,0.323718,0.100053,101.288,296.259752616556,243.523504273504,-3.80636773242338,-1.77879336349925,1.82665667166417
1,6.75,0.905514,21.628,-0.185,-13.5575,0,14.33655,13.84,64.944,7.25525,0.15905,1.8330940845,0.1707291065,-0.008637695,17.39455,434.47,17.5798,2297.61,0.2963155,0.07629965,101.288,302.500951474786,244.12037037037,-2.24735853283764,-0.259111236802413,1.83667166416792
1,7.25,1.72256,41.3905,1.8925,-15.756,17.39133836,14.2,13.73,66.309,6.93278,0.1564,1.780263494,0.235499303,-0.0153482133333333,17.10605,436.913,17.21625,2308.985,0.419084,0.06987795,101.288,299.379638439582,244.906339031339,15.0202885943906,22.5322775263951,9.56589205397299
1,7.75,1.2608055,28.1755,7.3705,-6.25901,55.13,14.41,13.535,65.554,6.44688,0.2041,2.296809994,0.285428102,-0.0220587316666667,17.50305,437.437,17.741625,2294.79,0.4989915,0.129309725,101.288,296.561370123692,248.973646723647,53.016135823491,65.3406485671191,14.122263868066
1,8.25,0.982235,24.162,9.05725,9.918,136.95,15.39,13.545,67.195,7.07334,0.2266,2.406133643,0.349015546,-0.02876925,17.90005,437.961,18.267,2269.55,0.578899,0.1887415,101.288,299.666983824929,254.738247863248,174.763625766302,213.231900452489,36.4403298350825
1,8.75,1.346752,35.3249,27.953,20.09445,196.65,16.015,13.535,67.079,6.49581,0.2957,3.029441606,0.417908472,-0.04353175,18.86155,436.724,19.10355,2273.565,0.49822,0.2332145,101.288,294.909134157945,256.919515669516,215.585714721825,260.103695324284,45.5777736131934
