DOY2,HR2,CO2_1_1_2,H2O_1_1_2,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,417.84225,0.41675,0.36975,1992.836,417.98325,0.389,0.367,1992.9505,418.16775,0.392,0.372,1993.61975,418.20325,0.366,0.3125,1993,2.0925,-15.938,0.208,419.065,0.44725,-0.019,-0.0265,-0.0265,-0.6855,-0.258,0.08675,-26.989,-2.332,0.379,1.34,1.205,-19.218,-28.204,-21.4945,-17.716,90.11775,53.2725,0.36825,-27.4425,-9.9425,-13.525,0.1,-3.9725,0.4,-1.1825,-1.0225,169.875,197.6,-53.78,245.4,253.225,-0.04,-0.23,-0.09,-0.1425,-0.2,0.0125,-0.1,-0.2,-3.06625,-2.5925,-1.91025,-4.593,-3.87075,-2.523,-2.284,-2.2505,-2.0365,-1.35875,-5.869,-4.943,-3.60375,-3.237,-2.69525,-1.538,-1.3105,-4.455,-4.057,-3.67,-3.028,-3.083,-2.97,-7.04,-6.5315,-5.1515,-6.562,-4.645
1,0.75,417.9345,0.40825,0.38975,1993.409,417.854,0.38,0.39475,1993.928,417.849,0.37675,0.363,1993.266,418.223,0.38175,0.3005,1993.273,2.10025,-16.66975,0.2395,419.0425,0.4175,-0.03175,-0.052,-0.043,-0.7745,-0.33275,0.105,-32.96625,-3.361,0.411,1.33,1.35,-19.1925,-28.138,-21.2765,-16.927,90.104,54.5825,0.312,-27.835,-9.895,-13.56,0.05,-3.94,0.4,-1.235,-0.955,169.55,196.45,-53.955,245.5,253.2,-0.03,-0.24,-0.09,-0.155,-0.2,0.02,-0.1,-0.21,-3.071,-2.596,-1.902,-4.59,-3.885,-2.518,-2.278,-2.243,-2.037,-1.357,-5.86475,-4.94525,-3.612,-3.242,-2.701,-1.542,-1.31275,-4.457,-4.057,-3.6715,-3.029,-3.068,-2.9705,-7.022,-6.532,-5.1925,-6.5795,-4.6125
1,1.25,417.669,0.394,0.353,1993.0865,417.63025,0.38,0.3945,1993.59025,417.4645,0.3745,0.405,1993.5515,417.84,0.3875,0.296,1993.2445,2.18,-16.1055,0.2145,419.102,0.38175,-0.04075,-0.0265,0.054,-0.804,-0.16925,0.092,-30.81275,-1.3905,0.382,1.295,1.29,-19.228,-27.7495,-20.70575,-17.982,90.10825,54.9175,0.33675,-27.7,-9.88,-13.5675,0.1,-3.97,0.5,-1.2275,-0.8875,169.75,196.5,-53.795,245.125,253.15,-0.03,-0.23,-0.09,-0.17,-0.2,0.02,-0.1,-0.21,-3.07,-2.593,-1.898,-4.583,-3.882,-2.514,-2.277,-2.245,-2.0365,-1.358,-5.87175,-4.9495,-3.6195,-3.224,-2.70675,-1.546,-1.31375,-4.468,-4.056,-3.6695,-3.03,-3.066,-2.9705,-7.031,-6.533,-5.17775,-6.57925,-4.62975
1,1.75,417.3335,0.3875,0.401,1992.6685,417.4225,0.38,0.4035,1992.70425,417.4005,0.371,0.442,1992.712,417.4525,0.3825,0.324,1991.87975,1.882,-16.8215,0.25425,419.186,0.37875,0.026,-0.018,-0.02775,-1.19475,-0.16375,0.10125,-35.145,-2.186,0.371,1.395,1.32,-18.9505,-27.9195,-20.215,-16.835,90.11,54.19,0.344,-27.73,-9.86,-13.6025,0.05,-3.935,0.4,-1.22,-0.92,168.95,196.7,-53.395,244.9,253.05,-0.03,-0.22,-0.09,-0.17,-0.19,0.02,-0.1,-0.2,-3.076,-2.592,-1.895,-4.575,-3.876,-2.513,-2.275,-2.249,-2.03825,-1.357,-5.8625,-4.95475,-3.62725,-3.2275,-2.7125,-1.5495,-1.31475,-4.481,-4.056,-3.6675,-3.03,-3.064,-2.97,-7.016,-6.533,-5.149,-6.577,-4.047
1,2.25,417.56125,0.384,0.3795,1993.42275,417.65275,0.378,0.3855,1993.04675,417.7865,0.379,0.364,1993.457,418.423,0.35775,0.30525,1993.3,2.021,-16.87325,0.22825,419.105,0.38225,0.004,-0.035,-0.0865,-0.44525,-0.1895,0.09075,-33.49525,-2.818,0.397,1.365,1.345,-18.97225,-27.755,-21.313,-17.568,90.11375,57.17,0.3745,-28.015,-9.835,-13.6325,0.1,-3.915,0.4,-1.265,-0.95,167.95,196.25,-52.15,244.9,252.95,-0.03,-0.235,-0.09,-0.17,-0.2,0.02,-0.1,-0.2,-3.082,-2.5965,-1.892,-4.571,-3.87,-2.511,-2.277,-2.251,-2.0395,-1.356,-5.85425,-4.9605,-3.6355,-3.23175,-2.719,-1.55375,-1.31575,-4.491,-4.056,-3.6655,-3.031,-3.065,-2.9705,-7.002,-6.532,-5.127,-6.411,-4.5495
1,2.75,417.801,0.3635,0.38425,1992.87225,417.8985,0.3735,0.39275,1993.20825,417.8515,0.3675,0.39,1992.77575,418.1885,0.3435,0.29075,1993.1375,1.9285,-17.22,0.1925,419.1405,0.4055,0.0145,-0.056,-0.0665,-0.297,-0.441,0.107,-28.701,-1.484,0.4015,1.25,1.22,-18.98525,-27.6465,-21.318,-18.287,90.125,56.325,0.3425,-28.575,-9.815,-13.605,0,-3.93,0.4,-1.235,-0.9,165.8,194.3,-51.59,245,253.025,-0.03,-0.235,-0.1,-0.17,-0.2,0.02,-0.1,-0.2,-3.079,-2.5935,-1.89675,-4.576,-3.849,-2.51,-2.277,-2.249,-2.04,-1.354,-5.84725,-4.96675,-3.6425,-3.23425,-2.72425,-1.55725,-1.31675,-4.482,-4.056,-3.66275,-3.032,-3.07425,-2.9705,-6.991,-6.532,-5.167,-6.62975,-4.514
1,3.25,418.1515,0.382,0.3865,1992.435,418.0225,0.382,0.409,1992.924,418.00675,0.375,0.4045,1992.75825,418.338,0.36,0.2845,1992.99825,1.67375,-17.9235,0.22575,419.202,0.4065,-0.0145,-0.03925,-0.031,-1.02925,-0.2065,0.102,-24.23575,-1.451,0.38375,1.22,1.17,-18.9905,-27.6025,-21.0285,-18.4795,90.124,55.715,0.3515,-27.89,-9.805,-13.585,0,-3.93,0.4,-1.265,-0.87,166.8,196.6,-51.625,244.9,253.025,-0.03,-0.23,-0.09,-0.155,-0.2,0.02,-0.1,-0.21,-3.07,-2.5935,-1.9025,-4.565,-3.849,-2.508,-2.281,-2.247,-2.042,-1.354,-5.84,-4.9755,-3.65075,-3.208,-2.74,-1.564,-1.31775,-4.474,-4.056,-3.658,-3.033,-3.07525,-2.971,-6.972,-6.531,-5.154,-6.598,-4.502
1,3.75,417.991,0.383,0.39325,1992.10575,418.033,0.3745,0.39425,1992.231,417.89475,0.3745,0.439,1991.893,418.354,0.33125,0.295,1992.17525,1.878,-17.70775,0.23525,419.048,0.385,-0.00925,-0.036,-0.044,-0.49775,-0.10125,0.093,-27.58125,-3.415,0.3785,1.225,1.23,-18.18875,-27.6605,-20.95,-18.25625,90.12025,56.52,0.32175,-27.81,-9.8,-13.5725,0,-3.84,0.4,-1.23,-1.04,167.15,196,-50.265,245.25,253.25,-0.03,-0.185,-0.09,-0.15,-0.2,0.02,-0.1,-0.21,-3.066,-2.5975,-1.902,-4.566,-3.851,-2.507,-2.285,-2.244,-2.043,-1.352,-5.83125,-4.984,-3.6515,-3.2115,-2.7365,-1.565,-1.318,-4.466,-4.055,-3.6615,-3.034,-3.069,-2.971,-6.94,-6.531,-5.1465,-6.558,-4.4515
1,4.25,417.9185,0.39,0.39875,1992.265,417.849,0.386,0.41,1992.429,418.025,0.37,0.423,1992.095,417.835,0.342,0.34075,1991.9935,1.8185,-17.384,0.239,418.988,0.392,0.0015,-0.039,-0.06,-0.55,-0.108,0.0975,-24.674,-3.79275,0.38925,1.145,1.1325,-18.46825,-28.197,-21.2305,-18.06125,90.1015,56.6975,0.379,-27.715,-9.8225,-13.5,0.1,-3.915,0.5,-1.215,-1.09,167.45,196.05,-49.7,245.25,253.225,-0.03,-0.2225,-0.09,-0.155,-0.19,0.02,-0.1,-0.2,-3.067,-2.6,-1.9015,-4.571,-3.845,-2.505,-2.283,-2.242,-2.044,-1.352,-5.822,-4.993,-3.65175,-3.2115,-2.74225,-1.56875,-1.31975,-4.466,-4.055,-3.66175,-3.034,-3.07,-2.972,-6.915,-6.53,-5.17825,-6.58075,-4.65375
1,4.75,417.8305,0.3955,0.397,1992.7705,417.824,0.3925,0.399,1992.5,417.749,0.3825,0.425,1992.043,417.793,0.41075,0.3055,1992.15,1.972,-17.004,0.215,419.0195,0.401,0.032,-0.05,-0.093,-0.8755,-0.184,0.103,-27.351,-1.65325,0.3755,1.12,1.1275,-18.747,-28.268,-21.5825,-18.06025,90.094,56.635,0.37,-27.905,-9.8225,-13.54,0.1,-3.935,0.5,-1.22,-1,166.2,194.9,-50.135,245.35,253.1,-0.03,-0.23,-0.09,-0.165,-0.2,0.02,-0.1,-0.21,-3.069,-2.603,-1.9005,-4.578,-3.839,-2.51425,-2.279,-2.24625,-2.04525,-1.353,-5.81525,-5.001,-3.651,-3.2115,-2.748,-1.57275,-1.31975,-4.469,-4.055,-3.661,-3.035,-3.072,-2.971,-6.908,-6.529,-5.1545,-6.66425,-4.458
