DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-0.515,2.27,-38.545,0.47,394.48,394.18,394.28,394.28,-16.99425,-17.5765,-17.5105,-5.355,-8.92,-8.61,98.58,0,0,0,0,144.55,217.59,-84.17,0,0,0,3.062,-21.71425,-20.56,-19.6625,-20.0175,-20.335,-20.0925,-20.13,72.775,76.625,79.175,80.5,80.15,-1.44,-0.967,-0.17,0.33,1.77,1.82
1,0.75,0.1775,3.25,-35.2625,0.4725,394.31,394.29,393.99,394.19,-16.853,-17.906,-17.7985,-5.34,-8.945,-8.675,98.6,0,0,0,0,132.88,214.55,-85.81,0,0,0,2.892,-21.89,-20.76,-19.92,-20.425,-20.6,-20.2775,-20.3175,72.31025,76.925,78.975,80.425,80.05,-1.4,-1.06,-0.244,0.405,1.784,1.85
1,1.25,-0.0825,4.66,-33.4775,0.45,394.3925,394.2925,394.0925,394.2925,-17.03525,-18.835,-17.6615,-5.32,-8.96,-8.715,98.47,0,0,0,0,132.47,215.09,-84.94,0,0,0,3.07,-22.07,-20.995,-20.24,-20.33,-21.0275,-20.7125,-20.675,72.0015,75.55,78.175,80.2,79.475,-1.48,-1.136,-0.206,0.322,1.773,1.773
1,1.75,-0.4075,4.83,-32.43,0.46,394.3475,394.4625,394.1875,394.1875,-17.41125,-17.72825,-17.69525,-5.275,-8.935,-8.78,98.49,0,0,0,0,133.08,213.23,-84.96,0,0,0,3.0775,-22.35125,-21.2175,-20.49,-20.6975,-20.9625,-20.8975,-21.0275,72.035,76.2,78.25,79.8,79.275,-1.49,-1.05,-0.266,0.344,1.81,1.7
1,2.25,-0.4925,4.97,-34.3225,0.47,394.37,394.405,394.47,394.405,-18.01675,-18.37225,-18.33475,-5.265,-8.79,-8.755,98.54,0,0,0,0,132.765,211.7275,-83.1425,0,0,0,2.88,-22.7615,-21.7535,-20.675,-20.8525,-21.4575,-21.0925,-20.9525,73.2,76.3,78.75,79.9,79.8,-1.44,-1.02925,-0.21575,0.33,1.7735,1.853
1,2.75,-0.375,5.17,-37.06,0.385,394.325,394.37,394.25,394.195,-18.50875,-18.7795,-18.77425,-5.26,-8.635,-8.73,98.57,0,0,0,0,132.805,211.305,-81.81,0,0,0,3.16675,-22.95575,-21.853,-20.715,-20.8675,-21.6475,-21.31,-21.1625,72.0165,76.125,78.875,80.175,80.075,-1.485,-1.07,-0.2095,0.3495,1.744,1.743
1,3.25,-0.265,3.8325,-30.18,0.325,401.805,401.755,401.855,401.855,-18.68575,-18.782,-18.78625,-5.26,-8.51,-8.81,98.59,0,0,0,0,132.8,211.125,-81.18,0,0,0,3.1615,-22.994,-21.9565,-20.7075,-20.7825,-21.525,-21.1425,-21.13,72.0385,76.3,78.875,79.975,80.025,-1.382,-1.076,-0.243,0.27,1.726,1.795
1,3.75,-0.0675,4.925,-31.155,0.425,401.935,401.885,401.785,401.935,-18.899,-19.001,-19.003,-5.26,-8.52,-8.995,98.61,0,0,0,0,131.895,210.65,-82.47,0,0,0,2.81,-23.12925,-22.0415,-20.9025,-21.4375,-21.7575,-21.4575,-21.4925,72.20775,76.5,78.75,79.85,79.875,-1.405,-1.105,-0.2975,0.3355,1.745,1.8125
1,4.25,-0.07,5.21,-31.375,0.445,398.235,398.16,398.185,398.21,-19.2025,-19.3745,-19.225,-5.285,-8.56,-9.48,98.59,0,0,0,0,131.42,209.73,-81.08,0,0,0,2.855,-23.2895,-22.04775,-20.995,-21.55,-22.065,-21.775,-21.78,72.20475,77.575,78.7,79.575,79.75,-1.435,-1.07,-0.3565,0.3305,1.762,1.8
1,4.75,-0.3,5.495,-32.29,0.39,398.455,398.205,398.23,398.405,-19.567,-19.762,-19.558,-5.305,-8.485,-9.395,98.595,0,0,0,0,131.1,208.6475,-82.78,0,0,0,2.81,-23.48875,-22.1365,-21.23,-21.4995,-21.9025,-21.69,-21.76,72.51225,77.175,78.475,79.1,79.375,-1.37925,-1.015,-0.2725,0.319,1.72625,1.77125
1,5.25,-0.52,5.6,-31.8575,0.355,402.115,402.015,402.015,402.115,-19.794,-19.9525,-19.9195,-5.32,-8.52,-9.275,98.565,0,0,0,0,130.1075,208.9,-81.5425,0,0,0,2.4925,-23.58775,-22.239,-21.46425,-21.7485,-21.76,-21.505,-21.5775,72.119,76.3,78.425,79.2,79.425,-1.4625,-1.137,-0.2915,0.354,1.75175,1.805
1,5.75,-0.39,5.3175,-30.655,0.375,402.16,401.96,402.11,402.11,-19.92925,-20.1515,-20.12875,-5.355,-8.56,-9.11,98.54,0,0,0,0,131.13,208.24,-80.2975,0,0,0,2.355,-23.70675,-22.4415,-21.7675,-22.04375,-21.75825,-21.4175,-21.465,72.0645,77.225,77.575,78.85,78.675,-1.435,-1.0525,-0.3075,0.3745,1.7035,1.76
1,6.25,-0.49,4.8625,-32.515,0.38,402.11,402.06,402.01,402.21,-20.08125,-20.26025,-20.221,-5.375,-8.62,-8.985,98.575,0,0,0,0,130.4325,206.9275,-81.54,0,0,0,2.725,-24.0275,-22.6015,-21.9875,-22.24175,-22.00425,-21.565,-21.5575,71.55575,76.025,77.975,78.825,79.075,-1.54025,-1.175,-0.28425,0.32,1.7225,1.77625
1,6.75,-0.64,4.655,-34.055,0.35,402.145,402.045,401.995,402.095,-20.17525,-20.323,-20.2605,-5.405,-8.635,-8.925,98.5575,0,0,0,0,130.69,206.3325,-80.855,0,0,0,2.455,-24.035,-22.745,-22.17075,-22.37075,-22.26175,-21.82,-21.7875,71.975,75.175,77.7,78.425,78.675,-1.56825,-1.0695,-0.3075,0.35975,1.754,1.78775
1,7.25,-0.38,5.09,-34.17,0.39,398.525,398.625,398.425,398.575,-20.17525,-20.31,-20.2495,-5.44,-8.675,-8.885,98.5425,0,0,0,0,129.58,206.1125,-80.655,0,0,0,2.4625,-24.145,-22.8675,-22.3175,-22.455,-22.48525,-22.09,-22.025,72.725,75.425,77.95,78.675,78.925,-1.644,-1.10775,-0.33975,0.3525,1.74625,1.765
1,7.75,-0.22,4.09,-31.04,0.3175,398.5925,398.3425,398.2925,398.4675,-20.3375,-20.5,-20.3785,-5.475,-8.71,-8.89,98.5325,0,0,0,0,132.06,206.96,-77.025,0,0,0,2.145,-24.25925,-23.0115,-22.3005,-22.645,-22.5445,-22.18,-22.1,72.2,76.375,77.775,78.775,79.075,-1.565,-1.095,-0.3425,0.2975,1.71125,1.8125
1,8.25,0.075,5.86,-25.705,0.3625,398.5175,398.2675,398.4175,398.3925,-20.34625,-20.472,-20.42825,-5.48,-8.69,-8.86,98.515,11.365,9.655,3.9,0,134.59,207.1975,-64.8475,17.9375,0.12,0.935,2.29,-24.317,-23.064,-22.17525,-22.605,-22.62325,-22.19375,-21.9715,71.6595,75.175,77.975,78.875,78.9,-1.62,-1.1785,-0.3725,0.3,1.8,1.7745
1,8.75,0.0675,5.95,-10.23,0.365,398.45,398.325,397.975,398.225,-20.29,-20.49,-20.33175,-5.48,-8.66,-8.83,98.3975,41.71,39.05,31.6,2.65,135.11,207.3325,-29.7975,60.685,0.535,3.87,2.515,-24.1515,-22.9955,-22.1625,-22.415,-22.598,-22.19475,-21.9725,71.28825,74.20725,77.775,79.125,78.95,-1.5525,-1.1175,-0.29725,0.3545,1.768,1.75975
1,9.25,0.04,9.51,-0.2325,0.4025,398.155,398.18,398.28,398.105,-20.22,-20.424,-20.2985,-5.515,-8.705,-8.84,98.375,83.315,61.445,57.01,5.8725,136.0825,210.865,9.1125,110.995,0.835,7.43,3.04,-23.71225,-22.641,-21.7025,-21.93,-22.29,-21.965,-21.843,70.8165,73.51225,77.75,78.85,79.025,-1.57675,-1.165,-0.37925,0.235,1.79,1.809
