DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,PA,RH,TA,TS_1_2_1,WS,PPFD_IN,TS_1_1_1,USTAR,VPD
1,0.25,379.50655,-1.2098,-21.4852,-97.9753,1.09965,-10.1279,74.72625,47.21895,-21.47835,-4.9645,0.63335,-0.413775,-5.7397,0.08185,0.18
1,0.75,379.296125,-1.0002,-20.996725,-74.756825,1.111225,-6.25185,74.667175,44.462475,-21.103075,-4.9677,0.606675,-0.422425,-5.7678,0.057425,0.19
1,1.25,379.05435,-0.9148,-20.85205,-77.08515,1.14565,-5.0129,74.6533,42.4545,-21.38405,-4.9601,0.254075,-0.404,-5.8594,0.05995,0.18
1,1.75,379.097525,-0.878,-21.186,-60.705,1.1759,-9.66555,74.657625,47.15845,-20.7177,-4.9489,0.481875,-0.424325,-6.08,0.057425,0.17225
1,2.25,378.546475,-0.7208,-21.7533,-61.8301,1.129925,-5.06255,74.652825,46.392225,-21.6188,-4.9342,0.4278,-0.419175,-6.2982,0.054225,0.17
1,2.75,378.362725,-0.805,-22.3955,-68.16355,1.0875,-5.775675,74.646025,44.812725,-22.084575,-4.9165,0.486075,-0.43355,-6.5111,0.057475,0.17
1,3.25,378.554525,-0.8026,-22.5815,-71.329925,1.0917,-9.10875,74.641525,44.092875,-21.783625,-4.8914,0.38405,-0.416775,-6.7236,0.071425,0.17225
1,3.75,378.5244,-0.663125,-23.039625,-66.945975,1.01475,-9.135825,74.664475,40.441825,-22.227625,-4.8635,0.577675,-0.42275,-6.9359,0.0691,0.17225
1,4.25,378.3767,-1.02225,-23.641375,-71.827725,1.023375,-6.911875,74.67785,41.77,-22.2196,-4.8374,0.40275,-0.4133,-7.152,0.073275,0.18
1,4.75,378.520775,-0.87,-23.89805,-65.64005,1.159075,-61.47325,74.698725,35.72955,-21.545,-4.8187,0.7664,-0.421325,-7.377,0.06705,0.17225
1,5.25,378.516025,-0.934,-24.36125,-72.3994,1.106075,-6.32985,74.72135,37.28265,-21.582925,-4.8131,0.5445,-0.427275,-7.5239,0.0548,0.18
1,5.75,378.789975,-0.7944,-24.956975,-69.0403,1.077325,-20.0654,74.761725,32.700675,-21.704975,-4.8081,0.445225,-0.42155,-7.572,0.05995,0.18
1,6.25,378.5983,-0.74175,-25.25345,-79.0398,1.2094,-6.47285,74.795025,33.1441,-21.49055,-4.8204,0.6094,-0.4213,-7.6147,0.0635,0.18
1,6.75,378.6541,-0.733875,-25.43985,-69.119975,1.2397,-16.275,74.78215,34.98915,-21.166725,-4.8319,0.56125,-0.408425,-7.6551,0.0735,0.18
1,7.25,378.779725,-0.958625,-25.549425,-67.334875,1.098475,-12.730475,74.7626,34.3228,-21.81555,-4.8435,0.44085,0.075575,-7.6969,0.0574,0.18225
1,7.75,378.682975,-1.34875,-25.06075,-85.1352,0.99275,-10.090225,74.76565,34.946975,-22.370975,-4.8561,0.505275,7.540375,-7.7512,0.0607,0.18225
1,8.25,378.732725,-2.941125,-24.129625,-115.106825,1.12335,-12.8258,74.770975,33.669125,-21.452925,-4.8688,0.6996,35.737375,-7.8171,0.07315,0.18225
1,8.75,378.8643,-1.567,-21.151,-104.884625,1.3152,-5.072625,74.7712,36.2314,-20.3062,-4.8811,0.4928,68.778,-7.876,0.0647,0.192
1,9.25,379.12965,-2.365,-17.9854,-115.4479,1.3192,-2.8884,74.7668,34.2768,-20.0574,-4.8934,0.5774,106.2672,-7.8742,0.0687,0.196
1,9.75,379.701,-2.41735,-14.9876,-145.0485,1.4142,-4.839925,74.779,31.801,-18.2292,-4.9541,0.427,190.4568,-7.7843,0.07005,0.224
1,10.25,379.524625,-2.18665,-11.3568,-93.7135,1.4834,-0.9181,74.7484,35.7882,-17.4852,-5.0776,0.6986,207.2566,-7.6417,0.06815,0.256
1,10.75,378.118,-1.45305,-10.3598,-79.61875,1.5828,-7.8478,74.7054,34.0508,-16.038,-5.1853,0.6434,252.7878,-7.4554,0.0689,0.272
1,11.25,379.316125,-2.5746,-10.192,-98.15235,1.5434,-2.83795,74.6908,32.9652,-16.7414,-5.2733,0.53,344.3866,-7.2155,0.05575,0.284
1,11.75,378.92325,-1.91475,-9.9558,-73.13535,1.4694,0.0573500000000001,74.6494,27.8732,-15.5114,-5.3363,0.4776,394.8572,-6.9516,0.082,0.24
1,12.25,378.75545,-2.64245,-9.6614,-92.6465,1.392,-0.0358250000000001,74.6138,26.0378,-14.8068,-5.3717,0.4872,284.6626,-6.6549,0.076125,0.248
1,12.75,379.73705,-1.57,-9.0752,-66.0281,1.4324,-0.140225,74.5722,26.4678,-14.716,-5.3826,0.5308,209.3096,-6.3525,0.0547,0.288
1,13.25,379.96765,-1.7852,-8.3674,-55.2258,1.4566,-0.736699999999999,74.5366,26.917,-14.4904,-5.3627,0.4678,364.6692,-6.1727,0.06945,0.302
1,13.75,380.38145,-1.6336,-7.9187,-54.922,1.472075,-0.31835,74.49,25.30545,-14.191,-5.31455,0.456225,283.589675,-6.096075,0.05515,0.26225
1,14.25,379.63325,-1.8026,-7.582325,-59.18165,1.4454,0.895025,74.49485,25.610325,-13.285725,-5.2645,0.422025,293.95155,-6.057475,0.047,0.26675
1,14.75,379.288175,-1.549875,-7.326825,-77.018075,1.461,-0.4662,74.518575,27.886975,-12.9815,-5.200425,0.7107,263.88455,-6.01885,0.0679,0.29225
1,15.25,379.48225,-1.52245,-7.10715,-83.361225,1.461425,-2.87875,74.5507,27.74815,-13.996225,-5.13025,0.89875,164.274475,-5.981475,0.05595,0.28225
1,15.75,379.306625,-1.18915,-6.917675,-70.9586,1.419275,-1.137475,74.585925,28.637175,-13.646425,-5.061075,0.558875,118.8715,-5.949875,0.0356,0.31
1,16.25,379.239925,-0.8848,-6.779425,-74.711875,1.4121,-2.906525,74.612925,34.892325,-15.216325,-4.996825,0.4575,64.619875,-5.921175,0.02965,0.279
1,16.75,379.002525,-0.869675,-6.7311,-80.958125,1.39765,-14.750875,74.6487,38.585025,-15.5565,-4.942725,0.41985,16.119075,-5.894225,0.0438,0.24675
1,17.25,378.71775,-0.9163,-7.18645,-75.05095,1.379825,-46.36785,74.676375,38.090075,-17.425,-4.904875,0.5859,0.225125,-5.873325,0.03345,0.22225
1,17.75,378.445575,-2.082425,-8.552625,-82.3804,1.356675,-9.9198,74.701325,35.602575,-18.2938,-4.890275,0.540375,-0.45995,-5.857175,0.0408,0.21225
1,18.25,378.46905,-0.90225,-9.54155,-80.458425,1.370475,-5.36775,74.7338,38.7676,-18.772925,-4.89885,1.2216,-0.43975,-5.847175,0.0388,0.2045
1,18.75,378.0921,-0.72855,-10.776275,-76.835775,1.3586,-7.386275,74.786125,40.797675,-19.0983,-4.93315,1.05795,-0.435325,-5.8337,0.05415,0.2045
1,19.25,378.061875,-1.512675,-11.284875,-76.581025,1.321675,-6.9028,74.819825,43.278975,-19.8912,-4.983825,1.020625,-0.446875,-5.80855,0.0523,0.19225
1,19.75,376.099875,-0.908225,-12.656925,-70.1844,1.306225,-7.4722,74.8429,43.8082,-20.2596,-4.969,0.673925,-0.431,-5.784,0.0485,0.1945
1,20.25,374.23195,-0.816225,-13.9689,-85.4882,1.283225,-5.67435,74.821375,39.713875,-20.444875,-4.9587,0.810325,-0.453875,-5.7604,0.0368,0.1945
1,20.75,378.64515,-1.404875,-15.087525,-78.3897,1.27295,-6.79385,74.75865,40.544075,-20.6177,-4.955325,0.9032,-0.449775,-5.737775,0.0324,0.19225
1,21.25,378.679425,-1.118875,-15.827125,-74.987225,1.3028,-9.86265,74.7645,42.362275,-20.41105,-4.95025,0.8857,-0.43455,-5.717325,0.04695,0.2
1,21.75,379.8904,-1.426125,-16.17885,-92.24095,1.272025,-59.76015,74.765475,48.56215,-20.891775,-4.945325,0.667325,-0.419325,-5.6981,0.0403,0.1745
