DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
6,21.75,4.3,-0.9,16.6,-0.00097,21.9,87.625,-22.4,0,0,0,0,0,0,2.92,0.2,99.1,-38.4,23.5,24.375,22.475,19.6
6,22.25,4.1,-1.1,17,-0.0009175,21.575,88.325,-21.1,0,0,0,0,0,0,2.87,0.2,99.09,-37.425,23.2,24.1,22.5,19.6
6,22.75,4.225,-1,13.475,-0.000975,21.375,89.35,-20.15,0,0,0,0,0,0,2.87,0.2,99.08,-35,23,23.9,22.475,19.6
6,23.25,4.1,-0.9,14.7,-3e-04,21.2,90.3,-20.325,0,0,0,0,0,0,2.81,0.21,99.07,-34.3,22.775,23.7,22.475,19.6
6,23.75,3.875,-0.875,14.6,-0.000715,21.075,90.6,-20.85,0,0,0,0,0,0,2.88,0.2,99.07,-32.9,22.575,23.5,22.4,19.6
7,0.25,7.5,-1,13.825,-0.00012,22.2,93.8,-17.4,0,0,0,0,0,0,1.8675,0.19,99.16,-29.2,24.5,25.45,24.5,22.1
7,0.75,6.925,-0.6,11,-0.000135,22,94.6,-16.4,0,0,0,0,0,0,1.94,0.1825,99.15,-28.475,24.35,25.3,24.45,22.1
7,1.25,7.125,-0.85,10.75,-0.00012,21.9,95.3,-16.05,0,0,0,0,0,0,1.845,0.1925,99.14,-26.7,24.2,25.1,24.4,22.1
7,1.75,7.2,-0.9,11.6,-0.00012,21.625,95.5,-15.7,0,0,0,0,0,0,1.95,0.19,99.14,-26.25,24,25,24.4,22.1
7,2.25,6.975,-0.5,11.7,-0.00012,21.5,95.9,-15.1,0,0,0,0,0,0,1.77,0.16,99.135,-26.075,23.85,24.8,24.4,22.1
7,2.75,6.9,-0.625,10,-0.00012,21.225,96.2,-14.55,0,0,0,0,0,0,1.83,0.18,99.13,-25.025,23.7,24.7,24.3,22.1
7,3.25,7.2,-0.8,10.125,-0.00012,21.2,96.6,-13.8,0,0,0,0,0,0,1.875,0.2,99.135,-24.775,23.5,24.55,24.25,22.2
7,3.75,7,-0.6,10,-0.00012,21.1,96.7,-13.45,0,0,0,0,0,0,1.795,0.18,99.1475,-24.8,23.4,24.4,24.2,22.2
7,4.25,6.7,-0.5,10.475,-0.00012,20.7,97,-12.15,1.1,0.3,0,0,0,0,1.7375,0.18,99.16,-25.05,23.2,24.3,24.2,22.2
7,4.75,6.45,-0.8,11.5,-0.000155,20.5,97.2,-2.55,22.3,5.1,36.9,3.05,33.375,92.9375,1.85,0.18,99.17,-22.575,23.1,24.2,24.1,22.2
7,5.25,4.15,-0.4,19.1,-0.00106,20.7,97.2,22.7,79.65,18.2,143.3,13.6,133.875,94.65,1.885,0.19,99.185,-14.2,23,24.1,24.1,22.2
7,5.75,3,2.2,35.95,-0.0049925,21.2,96.7,69.95,161.55,35.25,298,23.95,276,94.77,2.04,0.23,99.22,-0.875,23,23.95,24,22.2
7,6.25,1.1,12.9,64.05,-0.015975,22.125,93.925,131.1,263,52.9,480.8,38.4,450,94.7925,2.39,0.26,99.265,14.225,23,23.9,23.95,22.2
7,6.75,-1.2,28.425,98.05,-0.02649,23.025,91,203.1,365,70.5,677.5,52.95,634.3,94.93,2.555,0.285,99.305,34.35,23.2,23.8,23.9,22.2
7,7.25,-3.3,43.7,133.15,-0.03287,23.9,87.6,278.55,462.4,85.9,875.05,64.95,813.3,94.97,2.8,0.32,99.35,60.375,23.5,23.9,23.9,22.2
7,7.75,-6,59.575,169,-0.037935,24.7,84.025,354.25,551.35,100.9,1069.2,77.4,1000.675,95.095,2.995,0.35,99.375,87.275,23.9,24,23.9,22.2
7,8.25,-8.85,74.9,205.925,-0.044675,25.6,81.3,429.05,640.75,112.65,1249.05,90.15,1163.4,95.2525,3.1,0.36,99.385,119.025,24.3,24,23.8,22.2
7,8.75,-10.7,92.85,247.8,-0.051085,26.3,79.625,503.35,720.2,123.9,1405.85,99.4,1315.7,95.385,3.3,0.375,99.4,137.85,24.8,24.15,23.75,22.2
7,9.25,-10.25,102.675,279.9,-0.05747,26.725,77.05,558.95,784.45,131.35,1544.1,107.95,1451.775,95.39,3.335,0.39,99.41,150.375,25.45,24.3,23.7,22.25
7,9.75,-9.7,115.3,315.55,-0.05888,27.3,75.025,603.15,833.7,136.8,1658.75,112.55,1564.8,95.465,3.3775,0.4,99.415,162.85,26,24.45,23.7,22.3
7,10.25,-10.1,119.8,341.175,-0.0635125,27.7,73.8,655.3,884,143.9,1763.35,117.25,1655.35,95.51,3.57,0.4,99.415,177.5,26.85,24.8,23.6,22.25
7,10.75,-11.65,122.35,364.4,-0.06182,28,72.125,683.15,913.9,146.55,1840.6,120.3,1742.75,95.465,3.7,0.42,99.425,181.525,27.7,25.1,23.6,22.2
7,11.25,-11,128.225,372.8,-0.0668125,28.425,70.65,692.175,924.85,147,1885.05,121.25,1766.45,95.485,3.725,0.41,99.415,178.25,28.55,25.5,23.6,22.2
7,11.75,-10.6,132.85,375.325,-0.0635575,28.6,68.9,715.55,934.85,150.4,1896.5,125.65,1783.1,95.415,3.72,0.4225,99.4,173.35,29.35,25.8,23.6,22.2
7,12.25,-9.7,129.9,390.75,-0.07411,28.8,68.3,706.15,933.525,149.05,1880,125.05,1759.65,95.41,3.78,0.42,99.38,159.8,29.9,26.2,23.6,22.2
7,12.75,-8.85,126.4,397.4,-0.06724,29,68.1,694.2,917,148.45,1852.9,121.3,1734.75,95.395,3.8925,0.42,99.365,151.2,30.35,26.6,23.7,22.2
7,13.25,-9.2,117.35,384.8,-0.0682325,29.2,66.9,672.55,898.65,146,1787.3,117.6,1677.45,95.445,3.775,0.42,99.34,127.25,30.7,26.9,23.7,22.2
7,13.75,-8,113.55,373.375,-0.0707,29.1,66.5,627.75,847.3,140.3,1715.15,114.15,1604.1,95.41,3.8575,0.44,99.335,108.2,30.9,27.2,23.8,22.2
7,14.25,-8.3,98.775,355.85,-0.06269,29.3,66.4,584.5,807,135.05,1620.8,110.55,1520.45,95.345,3.88,0.44,99.315,82.9,31,27.45,23.8,22.2
7,14.75,-7.9,84.85,323.4,-0.0726,29.4,66.6,525.65,736.7,127.15,1474.775,100.2,1379.75,95.31,3.8325,0.43,99.3,61.1,30.9,27.7,23.9,22.2
7,15.25,-6.65,74.9,294.175,-0.07085,29.4,66.7,466.95,676,119,1347.8,93.35,1256.6,95.26,3.85,0.41,99.29,43.975,30.7,27.9,23.9,22.2
7,15.75,-6.425,67.525,266.725,-0.07381,29.3,67,399.525,600.55,107.925,1183.4,83,1108.1,95.14,3.87,0.42,99.2725,25.3,30.525,28,24.025,22.125
7,16.25,-4.15,50.925,225.5,-0.06553,29.2,67.7,323.975,512.3,95.925,998.5,72.3,940.375,95.0875,3.76,0.39,99.25,9.2,30.2,28,24.125,22.2
7,16.75,-2.8,33.2,184.65,-0.06125,28.9,68.9,249.55,424.8,81.75,812.55,61.325,757.9,94.9925,3.68,0.39,99.2425,-1.8,29.8,28,24.2,22.125
7,17.25,-0.7,19.2,141.175,-0.0505525,28.4,69.8,178.8,330.375,67.125,615.75,51.1,573.85,94.795,3.49,0.3675,99.24,-12.1,29.225,28,24.3,22.125
7,17.75,0.8,4.4,102.45,-0.041885,28.2,72,106.525,232.125,50.5,424.05,35.725,395.725,94.6375,3.45,0.36,99.23,-17.85,28.8,27.9,24.4,22.1
7,18.25,2.2,-4.9,67.8,-0.026105,27.5,73.6,47.325,144.45,30,251.4,23.025,235.2,94.51,3.1,0.31,99.23,-24.65,28.3,27.7,24.425,22.1
7,18.75,4.225,-6.45,42.2,-0.01369,26.6,77,-0.3,63.025,12.8,113.2,11.9,104,94.47,2.6525,0.28,99.2325,-32.4,27.825,27.6,24.5,22.1
7,19.25,6.15,-4.55,25.725,-0.004075,25.6,81,-20.775,12.8,2.6,23.15,2,20.3,91.65,2.4675,0.22,99.21,-36.1,27.4,27.3,24.5,22.1
7,19.75,7.2,-3.875,19.8,-0.00278,25,83.7,-26.825,0.1,0,0,0,0,0,2.245,0.21,99.21,-38.375,27,27.1,24.5,22.1
7,20.25,7.4,-2.9,15.9,-0.00143,24.4,86.3,-25.4,0,0,0,0,0,0,2.11,0.19,99.22,-38.3,26.625,26.9,24.6,22.1
7,20.75,6.8,-1.875,14.1,-0.0010225,23.9,87.6,-23.75,0,0,0,0,0,0,2.05,0.18,99.23,-36.9,26.3,26.7,24.6,22.1
7,21.25,7.3,-1.625,14.1,-0.00036,23.6,88.8,-23.15,0,0,0,0,0,0,1.9975,0.18,99.2225,-35.7,25.9,26.5,24.6,22.1
7,21.75,7.15,-1.55,12.35,-0.00043,23.2,90.1,-22.175,0,0,0,0,0,0,1.95,0.19,99.22,-34.3,25.6,26.3,24.6,22.1
7,22.25,7.125,-1,10.9,-0.00056,23,91.4,-21,0,0,0,0,0,0,1.9375,0.18,99.22,-32.3,25.4,26.1,24.6,22.1
7,22.75,7,-1.375,10.2,-0.00041,22.9,92.2,-19.875,0,0,0,0,0,0,1.9,0.17,99.21,-32.9,25.1,25.9,24.6,22.1
7,23.25,7.4,-1.45,11.35,-0.00044,22.6,92.7,-19.575,0,0,0,0,0,0,1.9,0.18,99.19,-31.3,24.9,25.8,24.525,22.1
7,23.75,6.85,-1.05,11.8,-0.00012,22.4,93.3,-18.775,0,0,0,0,0,0,1.885,0.19,99.18,-28.9,24.625,25.6,24.525,22.1
8,0.25,8.3,-0.3,9.7,-0.00012,20.8,96.725,-13.275,0,0,0,0,0,0,1.38,0.145,99.17,-23.1,22.9,23.9,23.4,21.6
8,0.75,8.4,-0.6,9.775,-0.00012,20.725,97.4,-12.375,0,0,0,0,0,0,1.3075,0.13,99.16,-21.55,22.7,23.725,23.3,21.6
8,1.25,8.675,-0.5,10,-0.00012,20.525,97.7,-12.3,0,0,0,0,0,0,1.4075,0.14,99.1525,-21.45,22.6,23.6,23.3,21.6
8,1.75,8.025,-0.2,7.75,-0.00012,20.4,98,-11.4,0,0,0,0,0,0,1.33,0.1375,99.14,-21.1,22.5,23.425,23.2,21.6
8,2.25,8.475,-0.2,10.05,-0.00012,20.25,98.15,-11.15,0,0,0,0,0,0,1.37,0.14,99.1425,-21.2,22.4,23.3,23.2,21.6
8,2.75,8.75,-0.3,9.875,-0.00012,20.05,98.2,-9.35,0,0,0,0,0,0,1.315,0.15,99.14,-19.85,22.25,23.2,23.2,21.6
8,3.25,8.7,-0.3,9.075,-0.00012,20,98.3,-9.05,0,0,0,0,0,0,1.2575,0.15,99.14,-19.55,22.1,23.1,23.2,21.65
8,3.75,8.2,-0.2,6.35,-0.00012,19.9,98.6,-8.6,0,0,0,0,0,0,1.25,0.13,99.14,-18.3,21.9,23,23.1,21.65
8,4.25,7.825,-0.3,7.9,-0.00012,19.8,98.9,-8.15,0,0,0,0,0,0,1.24,0.11,99.16,-18.625,21.85,22.9,23.1,21.7
8,4.75,7.575,-0.5,8.275,-0.00012,19.9,99.075,-7.025,1.4,0.4,0,0,0,0,1.3,0.13,99.17,-18.2,21.775,22.8,23,21.7
8,5.25,6.85,-0.3,8.775,-0.00012,19.9,99.1,5.05,31.15,7.8,45,4.1,41.3,93.76,1.36,0.14,99.19,-15.15,21.7,22.7,23,21.7
8,5.75,5.95,-0.7,17.3,-0.0008675,20.05,99.225,45.15,95.725,24.25,167.2,14.225,157.025,94.99,1.44,0.16,99.215,-9.55,21.6,22.6,22.925,21.7
8,6.25,3.4,4.2,40.5,-0.00343,20.8,98.9,97.025,186.225,44.425,349.75,26.95,323.8,95.16,1.55,0.19,99.25,2.225,21.6,22.5,22.9,21.7
8,6.75,1.4,13.3,72.925,-0.0129875,21.5,96.425,158.025,291.075,65.15,529.3,39.025,494.3,95.18,1.89,0.2575,99.31,15.9,21.7,22.5,22.8,21.7
8,7.25,-3,24.325,115.325,-0.023225,22.3,92.525,231.625,393.825,85.5,722.7,51.55,678.975,95.1575,2.0625,0.28,99.3425,33.525,21.825,22.5,22.8,21.7
