DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE
1,0.25,-3.76,-16.24525,-137.97205675,-8.22825,-2.82715,-3.4016,-4.6056,-4.171,-3.487345,-3.7296,-4.675305,358.25,2.291245,84.174411,-11.317325,0.057887375,-11.24,-11.6716,-10.89765,24.26366625,0,0,0,0,185.6745,254.809,-97.6555,-0.474,-0.15225,0.1265,0.4705,1.22575,2.4774,0.04204735,0.21776175,0.2043905,0.0656075,0,0.105625
1,0.75,-2.098,-23.924875,-136.61,-8.383,-2.828775,-3.407075,-4.662625,-4.270125,-3.7337525,-3.7304775,-4.92969,358.5245,2.2971,84.1873,-11.4059,0.058250325,-11.5075,-11.7285,-10.914575,24.535875,0,0,0,0,185.34,255.3375,-95.37410525,-0.458175,-0.157625,0.129275,0.474575,1.225,2.474675,0.048,0.1981335,0.21363775,0.058965,0.00283335,0.1106
1,1.25,-1.9765,-17.29075,-139.46925,-8.5545,-2.828475,-3.413425,-4.5857,-4.21335,-4.0213925,-3.7535975,-5.4808825,358.268,2.3633595,84.155475,-11.37475,0.0610228,-11.67525,-11.8345,-10.9634,22.13541375,0,0,0,0,186.315,255.825,-95.9214,-0.46,-0.160625,0.131275,0.4752,1.224,2.477,0.030125,0.212534,0.182232,0.0579392,0.0063,0.1108
1,1.75,-3.29,-15.145425,-126.49075,-8.73195,-2.82325,-3.342375,-4.537025,-4.02675,-4.2916975,-3.8850525,-5.5562175,357.66,2.41942,84.1446,-11.698925,0.070945,-11.721,-12.47475,-11.24195,25.744875,0,0,0,0,186.2035,253.751,-96.006525,-0.46275,-0.158875,0.131225,0.475125,1.221,2.47535,0.04,0.246291,0.246026,0.063095,0,0.11085
1,2.25,-2.245,-20.2703,-133.58525,-8.851125,-2.827125,-3.33575,-4.527475,-3.976125,-4.362235,-4.086615,-5.71425,358.9645,2.39995,84.148788,-11.761175,0.0591047,-11.786,-12.25515,-11.45265,27.27,0,0,0,0,186.33075,253.858,-95.46495,-0.473525,-0.159,0.12845,0.4729,1.2169,2.475875,0.046675,0.2262845,0.2243255,0.07492705,0,0.11095
1,2.75,-1.75,-16.73275,-149.45075,-9.013275,-2.84125,-3.374425,-4.500975,-3.977525,-4.50894,-4.24925,-5.6804825,359.356,2.31128,84.12604,-11.6979,0.0633675,-11.9125,-11.9782,-11.403225,25.718,0,0,0,0,185.88125,254.0185,-96.924725,-0.506325,-0.163,0.122525,0.4724,1.21205,2.475375,0.04,0.201576,0.238095,0.0623494,0,0.09985
1,3.25,-1.79265,-22.4121,-151.29875,-9.2354,-2.83475,-3.37925,-4.580375,-4.00425,-4.5372475,-4.2613125,-5.545445,359.058,2.2956875,84.120904,-12.002,0.0683175,-11.9625,-12.73125,-11.53425,27.4422,0,0,0,0,184.56875,254.85,-97.091975,-0.4925,-0.1705,0.1255,0.472,1.21225,2.4751,0.040447725,0.219659,0.199795,0.06659925,0,0.099975
1,3.75,-1.851,-16.6543,-128.355,-9.37975,-2.8224,-3.398925,-4.618275,-4.066825,-4.70134,-4.44120225,-5.5455125,358.917,2.251295,84.148,-12.206,0.058881,-12.08,-12.8507,-11.9411,27.338,0,0,0,0,186.931,255.0945,-95.14583025,-0.50725,-0.178,0.1156,0.471225,1.213,2.474,0.04,0.231845,0.2085105,0.061615,0,0.08895
1,4.25,-2.135,-18.5068,-129.564,-9.60975,-2.826625,-3.4115,-4.701025,-4.051475,-4.70134,-4.6435545,-5.5174,359.958,2.24289,84.1384,-12.1168,0.06289225,-11.95,-12.9154,-11.883875,26.9156,0,0,0,0,183.74,254.705,-94.0048,-0.517,-0.179,0.1149,0.468775,1.211775,2.4599,0.0396685,0.2042875,0.21884,0.056809375,0,0.081
1,4.75,-1.547,-19.744375,-125.57125,-9.91775,-2.82875,-3.406875,-4.725425,-4.03685,-4.842415,-4.625845,-5.5342,360.01,2.24475,84.1535,-11.931,0.0550276,-11.924525,-12.67755,-11.8171,24.6337,0,0,0,0,183.972,253.873,-93.8714,-0.5191,-0.175175,0.11095,0.459825,1.210925,2.4608,0.04,0.224694,0.2117,0.059618925,0,0.1229
