DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,7.75,532.4997703,13.1096405,4.3872143,4.442251425,9.1253542,35.9834223,9.9955862,0.635184649999999,0.004676,1.3408968,0.7849637,103.28275,100.1,11.155,3.083787675,18.232149925,1.08460195,11.2995,11.421583,11.341499975,11.36108305,11.804917,34.0221934,76.49647865,114.227777425,10.28301915,67.891973,13.87333365,360.57338895,365.3353754
1,8.25,548.3220418,13.45882265,5.46284825,5.3866906,23.6008808,30.21870935,9.42554715,0.71447125,0.00368965,1.39267495,0.815694,103.2808,100.1,11.53275,3.96542499999999,18.31560325,1.0749171,11.229333,11.3536664,11.3153336,11.3493333,11.7476664,96.390614,162.68045755,260.4444446,24.994758825,152.846961975,29.893333,364.617067,367.4676993
1,8.75,541.745535825,13.809081625,3.3435916,9.339851,34.1838399,62.0397689,9.3696844,0.67513455,0.007562375,1.4871122,0.77024455,103.3162,100.1,12.70575,5.02853584999999,18.2895697,0.9401689,11.25141635,11.32258365,11.292250325,11.404583,11.83783365,176.8585023,326.038732525,456.7111115,40.0366879,251.490997775,46.646667,363.8263126,370.095385025
1,9.25,524.602697325,13.996981575,6.412053,17.889965,74.6538293,73.953316125,8.82561069999998,0.588595699999999,-0.002733125,1.2763402,0.738312799999998,103.33375,100.1,13.689,5.4818518,18.8897363,0.9202379,11.3008331,11.303333,11.315,11.42116695,11.841333,243.957019625,458.688380449999,579.166666625,56.341719,330.88897225,60.266667,369.65431825,382.94318825
1,9.75,501.889733525,14.077947125,5.560021825,31.8403755,109.68642925,89.284156,8.05641649999999,0.5378263,-0.000417800000000001,1.2531592,0.696735524999999,103.3607,100.01,14.96,7.6535141,19.81339585,0.81850625,11.576667,11.494333,11.3819999,11.3966668,11.881667,284.698362125,475.1496477,717.372222125,68.89937095,396.30532655,72.453333,371.5079609,387.2681198
1,10.25,487.384704475,14.017832675,3.9255197,49.7923992,123.39640375,123.9072726,6.67145375,0.470229125,0.003596625,1.1659755,0.59245225,103.3787,97.57,15.8455,8.9906911,20.651732875,0.7266025,11.93241655,11.707083,11.474583,11.42375,11.88258345,342.218661075,791.91901435,856.48333315,78.7421381,461.1890471,81.1800001,372.043109425,399.25780735
1,10.75,475.2842674,13.97225025,4.549346,68.61454405,140.894778375,141.4808338,6.462905125,0.497315875,0.00070825,1.21728625,0.59558925,103.38985,96.9125,16.366,10.27738,21.01336125,0.799324625,12.41883355,12.01316655,11.54416655,11.4455,11.86433355,367.729177625,879.8107397,943.8666664,85.125786175,512.96136495,89.359999775,371.603747175,413.682127375
1,11.25,466.46063905,14.09115785,2.310970425,84.6025196,153.16418075,145.816885,6.751188875,0.44637575,0.005512125,1.169226375,0.5674465,103.37985,96.9,17.23875,10.8489649,21.717076875,0.8216005,12.9506666,12.402,11.6713332,11.5139998,11.9513334,383.736470975,962.8961265,1017.95000005,90.566038,556.34846175,94.725000125,370.000658725,426.743751375
1,11.75,460.0838924,14.5251043,2.44930575,96.4442893999999,157.3814848,157.9047842,6.869828575,0.45807895,0.007137325,1.169333,0.5668024,103.341225,96.805,17.98,12.1065698,22.483207375,0.854982724999999,13.39766685,12.75325015,11.89299985,11.55850015,11.9478333,374.0604013,1004.0316904,1074.044444475,94.5073376,583.5708926,98.4133334,371.8558206,436.8931634
1,12.25,456.2671375,14.266338675,2.7429048,96.42876145,166.01959515,147.18590535,6.32492429999999,0.475595399999999,0.01902135,1.25793865,0.549312199999997,103.3073,96.605,18.37625,13.1468574,22.90313755,0.8088522,13.63716685,13.07799985,12.1361667,11.60183315,11.96466685,376.9273805,1035.1232395,1094.8000001,93.8784066,590.9977496,101.493333,372.8991712,443.2494756
