DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,405.23235,0.258675,409.0925,0.2301,1979.4183,405.353625,0.2501,409.76275,0.202575,1978.706875,405.773025,0.272175,409.438275,0.229875,1978.29995,410.24035,0.1983,409.05885,0.200775,1973.5424,0.674275,-28.518775,0.0601,412.222425,0.188025,-0.31005,-0.4267,-0.4206,-12.61055,-2.23865,0.04355,-151.66215,-10.182,0.26365,0.569,0.53275,-31.1218,-33.546675,-31.6391,-31.3865,-35.81345,89.87235,37.102,0.1109,-33.159,-30.5175,-31.3455,0,-4.7665,0.2225,-1.808,138.41,173.8675,-72.88,151.06,178.4025,-0.2,-0.27,-0.02,-0.88025,-0.24,-0.97,-0.22,-0.44,-30.497075,-29.620925,-29.36395,-27.12615,-21.8039,-4.586175,-0.003,-0.148,-22.7117,-21.4686,-15.726725,-12.0944,-7.571725,-3.865,-1.46795,0.062,-0.278,-4.6721,-18.30225,-12.773125,-8.708275,-5.021425,-3.075025,-1.48845,0.138975,-0.0798,-18.994225,-17.1071,-13.812,-11.16695,-8.4554,-0.4402,-0.054,-0.229,-21.109875,-20.658,-16.9074,-10.518,-5.8162,-3.2297,-1.7232,-0.2,-0.065,-10.2889,-5.944525,-23.525625
1,0.75,405.284,0.249,409.7411,0.21415,1977.711875,405.741,0.24625,410.009475,0.275,1977.835025,405.115875,0.274075,409.796,0.2099,1977.06925,409.0825,0.2035,409.7058,0.199,1976.1335,0.64025,-29.001725,0.065275,411.9805,0.1902,-0.287375,-0.40355,-0.8654,-8.961275,-1.615025,0.037,-115.5156,-15.910525,0.23635,0.62925,0.571,-30.7226,-33.572725,-31.16435,-31.00295,-36.012675,89.8788,38.56425,0.1231,-32.20025,-30.36475,-29.98625,0,-4.9275,0.3,-1.8455,139.18,177.61,-77.59,152.77,181.4925,-0.2,-0.27,-0.03,-0.89,-0.24,-0.95,-0.23,-0.43825,-30.47365,-29.4033,-29.6215,-27.10165,-21.88485,-4.5612,-0.003525,-0.148,-22.67315,-21.423,-15.806725,-12.1276,-7.5546,-3.8493,-1.4706,0.062,-0.278,-4.67375,-18.161025,-12.76975,-8.7239,-5.0274,-3.069325,-1.4973,0.13895,-0.079825,-18.9901,-16.896575,-13.848475,-11.177375,-8.466,-0.441775,-0.054,-0.228575,-21.0917,-20.420225,-16.608175,-10.48625,-5.818675,-3.2264,-1.7245,-0.2,-0.06495,-10.3862,-6.0369,-23.306475
1,1.25,405.581275,0.2976,408.889375,0.294,1977.4632,405.507025,0.279825,408.975125,0.278625,1977.6738,405.433,0.27015,408.98,0.2226,1976.074625,409.2455,0.18425,409.7884,0.1206,1980.824675,0.65925,-29.30285,0.068475,411.97,0.1896,-0.438325,-0.323275,-0.318525,-4.8476,-1.8525,0.045225,-104.6071,-14.8221,0.254575,0.62,0.60825,-30.728,-33.3772,-31.114725,-30.834875,-34.9155,89.860125,37.972,0.1177,-31.70875,-29.342,-29.70325,0,-5.3855,0.4,-1.886,138.7325,180.2,-74.187,151.7375,182.8375,-0.2,-0.28,-0.02775,-0.89,-0.24,-0.9655,-0.23,-0.438,-30.42695,-29.9301,-29.6406,-27.067325,-21.924825,-4.5524,-0.003,-0.14795,-22.660725,-21.37035,-15.914925,-12.1447,-7.5399,-3.831,-1.47525,0.062,-0.2778,-4.661675,-18.3002,-12.7672,-8.704,-5.0438,-3.0632,-1.497825,0.138975,-0.08,-18.80195,-16.8148,-13.800725,-11.188175,-8.4776,-0.4436,-0.054,-0.228575,-20.46725,-20.0226,-16.2736,-10.4298,-5.8056,-3.226225,-1.72425,-0.2,-0.0649,-10.44375,-6.05075,-23.8682
1,1.75,405.505,0.251025,409.0262,0.225975,1977.2938,405.685425,0.252825,409.537875,0.185875,1977.5385,405.83425,0.244,410.064425,0.217575,1976.645475,409.860575,0.201525,409.2654,0.1788,1974.9818,0.60275,-29.51925,0.07125,412.0495,0.190975,-0.1384,-0.243,-0.2963,-6.831225,-1.816125,0.04225,-103.7912,-12.51,0.18925,0.497,0.59275,-30.59455,-33.2509,-31.9096,-30.684,-34.012625,89.8477,39.82425,0.12065,-30.5035,-28.74525,-29.01725,0,-5.295,0.3225,-1.7455,139.685,179.895,-72.1895,150.79,186.5125,-0.2,-0.27,-0.02775,-0.89,-0.24,-0.9655,-0.23,-0.44,-30.7262,-29.524725,-29.61305,-27.17505,-21.963375,-4.551875,-0.003,-0.148,-22.68105,-21.4488,-15.970725,-12.170075,-7.517275,-3.81995,-1.4789,0.062,-0.2778,-4.658475,-18.51545,-12.761375,-8.6764,-5.050275,-3.06485,-1.5051,0.138975,-0.08,-18.726825,-16.9783,-13.828075,-11.212275,-8.4736,-0.446475,-0.054,-0.229,-20.36195,-20.670575,-16.43735,-10.3533,-5.803425,-3.2252,-1.7244,-0.2,-0.0649,-10.4076,-6.058775,-24.2309
1,2.25,405.6887,0.2485,409.524025,0.22765,1977.2308,405.73865,0.255,409.76895,0.1963,1977.3194,405.44955,0.246925,409.748,0.20825,1976.9171,409.904925,0.2361,410.49075,0.127375,1971.5672,0.713625,-29.547175,0.09045,411.8569,0.1856,-0.026125,-0.52755,0.01675,-6.3814,-2.924,0.037225,-113.4709,-14.1844,0.188575,0.5395,0.64,-30.7661,-33.463175,-31.54745,-30.93255,-33.5093,89.85365,39.09,0.11825,-29.79325,-28.49825,-29.06075,0,-5.142,0.2,-1.716,140.52,182.635,-72.09625,151.42,187.52,-0.21,-0.27,-0.02,-0.89,-0.25,-0.9655,-0.22,-0.438,-30.189275,-29.946,-29.741025,-27.08105,-21.935575,-4.54955,-0.003525,-0.148,-22.671675,-21.44565,-15.983675,-12.17325,-7.498325,-3.80805,-1.48405,0.062125,-0.2778,-4.672975,-18.64355,-12.80115,-8.663125,-5.067075,-3.0751,-1.50855,0.138975,-0.079825,-18.723025,-17.102275,-13.84765,-11.230325,-8.4817,-0.44805,-0.054,-0.229,-20.50985,-20.824775,-16.52875,-10.3102,-5.8265,-3.224,-1.7256,-0.2,-0.06485,-10.522725,-6.0122,-24.136
1,2.75,405.9282,0.2514,409.5943,0.2342,1977.3096,406.2269,0.255625,409.69205,0.284875,1977.6733,406.09895,0.266075,409.631725,0.154375,1976.72795,410.5596,0.2569,410.1614,0.1261,1970.51,0.797875,-29.5996,0.06765,411.856,0.1892,-0.136375,-0.47435,-0.125725,-7.46415,-3.0306,0.037325,-124.650625,-19.2308,0.243625,0.72625,0.641,-30.65925,-33.232,-31.74885,-31.267,-33.19925,89.8424,40.82,0.1256,-29.88225,-28.50425,-28.1485,0,-5.241,0.3,-1.653,139.695,183.045,-71.1275,151.54,187.26,-0.19775,-0.27,-0.02,-0.89075,-0.24,-0.9655,-0.23,-0.44,-29.4986,-29.44,-29.6822,-26.7976,-21.883,-4.55535,-0.003525,-0.148025,-22.768775,-21.824475,-16.024,-12.180775,-7.4766,-3.795875,-1.487375,0.062125,-0.278,-4.70135,-18.301,-12.8376,-8.6578,-5.091,-3.086,-1.5148,0.138975,-0.07985,-18.71765,-17.135425,-13.867275,-11.24465,-8.492025,-0.4477,-0.054,-0.229,-20.44395,-21.093,-16.524525,-10.268,-5.84335,-3.2225,-1.725125,-0.2,-0.06485,-10.048625,-5.868375,-24.2183
1,3.25,405.467,0.25235,409.24375,0.31365,1977.17565,405.557,0.257,410.236675,0.29585,1977.981,405.55905,0.2953,409.4148,0.19555,1977.173625,409.416,0.2917,410.7279,0.17215,1970.91215,0.64425,-29.25525,0.049,411.8495,0.189725,-0.056,-0.3132,-0.096025,-5.2808,-2.48765,0.04675,-96.3714,-16.0764,0.19975,0.53,0.5455,-31.7427,-33.267,-31.32075,-30.492925,-32.852125,89.829,40.178,0.120375,-29.95975,-28.758,-27.946,0,-4.8855,0.3,-1.64325,140.5125,181.34,-72.5025,150.18,188.36,-0.2,-0.27,-0.02,-0.89,-0.24,-0.96,-0.23,-0.44,-29.98455,-29.71195,-29.569775,-26.35125,-21.712475,-4.552025,-0.003,-0.148,-22.8269,-21.6908,-16.0727,-12.206975,-7.45655,-3.783625,-1.4912,0.062175,-0.27785,-4.70655,-18.1288,-12.8384,-8.6578,-5.106,-3.1012,-1.52015,0.13895,-0.079825,-18.7203,-17.12305,-13.90585,-11.263225,-8.5045,-0.446825,-0.054,-0.228575,-21.05365,-20.83295,-16.4672,-10.2576,-5.8534,-3.2232,-1.7252,-0.2,-0.064875,-10.08925,-5.932725,-24.2262
1,3.75,405.67665,0.251475,409.066375,0.24125,1977.334,405.403,0.25325,409.242475,0.209625,1977.561,405.4744,0.2766,410.75875,0.17875,1977.26195,409.593525,0.277525,409.4618,0.1968,1972.2832,0.701275,-28.816425,0.06355,411.723175,0.17715,-0.18275,-0.2699,-0.3175,-5.1234,-2.805,0.0441,-114.938,-10.1056,0.1975,0.59975,0.5825,-30.64195,-33.332025,-30.854875,-30.26175,-33.06275,89.84365,39.59,0.12585,-30.734,-28.683,-28.231,0,-4.96,0.2,-1.67825,140.72,181.62,-73.94625,151.43,188.535,-0.2,-0.27,-0.03,-0.89,-0.24,-0.95775,-0.23,-0.438,-30.3502,-29.646225,-29.6912,-26.1408,-21.5994,-4.54205,-0.003,-0.148,-22.836,-21.175125,-16.178,-12.2838,-7.4225,-3.7806,-1.49645,0.06315,-0.278,-4.7201,-18.3512,-12.8606,-8.6612,-5.1208,-3.1152,-1.52225,0.138975,-0.079825,-18.6729,-17.20085,-13.9692,-11.2876,-8.52545,-0.4497,-0.054,-0.229,-20.794375,-21.008525,-16.441875,-10.226,-5.861875,-3.222075,-1.724825,-0.2,-0.064925,-10.0387,-6.092175,-23.9918
1,4.25,405.846,0.24725,409.3528,0.246,1977.3998,406.45,0.2605,409.857725,0.209825,1977.284525,406.1848,0.27955,409.454625,0.199725,1976.7553,409.384,0.26875,409.53825,0.143,1974.5158,0.697125,-28.349275,0.062225,411.7701,0.17,-0.26295,-0.19845,-0.10425,-2.617975,-2.443,0.044225,-126.4285,-14.03465,0.187575,0.58975,0.6125,-31.1153,-33.3984,-31.2143,-30.738975,-33.47305,89.863125,39.315,0.127,-29.978,-28.693,-27.93675,0,-4.924,0.3,-1.6295,138.9,181.5,-72.5425,150.105,184.82,-0.2,-0.27,-0.02,-0.89,-0.24,-0.9655,-0.23,-0.43,-31.663775,-30.440375,-30.366625,-26.1484,-21.6666,-4.5401,-0.003,-0.148,-22.912,-21.1368,-16.3172,-12.3472,-7.3748,-3.779,-1.499675,0.0631,-0.278,-4.681525,-18.6508,-12.8718,-8.667,-5.1366,-3.1313,-1.527925,0.138975,-0.0798,-18.61625,-17.1321,-13.95765,-11.29565,-8.5379,-0.45025,-0.054,-0.228575,-22.04445,-21.540175,-16.535,-10.1984,-5.8522,-3.2211,-1.7233,-0.2,-0.065,-10.000125,-6.0456,-23.76735
1,4.75,406.22815,0.2932,409.6909,0.243975,1977.6694,406.075275,0.28505,410.556975,0.3107,1977.2068,406.1492,0.29,409.798,0.1706,1976.662175,410.0638,0.280475,410.1626,0.13555,1973.96815,0.636125,-28.4751,0.075475,411.8522,0.1674,-0.121025,-0.2748,-0.04935,-7.023,-2.22315,0.040125,-109.17905,-17.8934,0.206675,0.527,0.52,-31.106475,-33.33615,-31.033175,-31.1673,-33.45875,89.8132,36.698,0.1255,-31.01125,-28.73375,-28.0185,0,-5.01725,0.2,-2.05125,136.8625,183.2,-74.21375,151.05,188.11,-0.2,-0.28,-0.02,-0.89,-0.24825,-0.96,-0.23,-0.43,-31.714,-29.675,-29.74425,-26.08755,-21.743025,-4.54115,-0.003,-0.148,-22.880525,-21.14905,-16.378775,-12.4193,-7.3368,-3.74575,-1.43695,0.062,-0.278,-4.68265,-18.9722,-12.8742,-8.54875,-4.9159,-3.1498,-1.5336,0.138975,-0.079825,-18.5923,-17.0692,-13.713325,-11.0163,-8.3318,-0.404575,-0.054,-0.2286,-20.174,-22.2499,-16.699775,-10.1769,-5.79365,-3.2207,-1.7205,-0.2,-0.065,-10.2223,-6.0554,-23.857
