DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
6,21.25,406.144,25.331,2.56,1.819,5.6925,-18.085,9.216,1.755,0.241,0.539,0.408,0.259,100.499,86.95,23.82,3.9325,26.551,0.226,22.16,21.79,22.17,0.112,-47.28,-2.293,1.3155,406.997,443.094
6,21.75,412.7875,25.205,3.594,1.819,5.3655,-20.75,6.898,1.787,0.263,0.559,0.444,0.284,100.519,86.95,23.82,3.9325,25.948,0.2215,22.16,21.79,22.17,0.111,-45.1255,-2.293,1.293,406.055,441.019
6,22.25,417.1535,24.892,3.803,1.697,5.034,-20.24,4.899,1.802,0.254,0.55,0.436,0.285,100.528,89,23.23,3.217,25.6855,0.2205,22.12,21.8,22.17,0.105,-45.4505,-2.293,1.3565,403.6515,439.1735
6,22.75,424.8465,24.256,3.76,1.697,4.7435,-18.423,3.138,1.8045,0.264,0.563,0.451,0.285,100.5425,89,23.23,3.217,25.4815,0.2055,22.12,21.8,22.17,0.114,-47.707,-2.293,1.3065,400.5745,437.335
6,23.25,423.0945,23.865,3.768,0.728,4.597,-22.198,6.1825,1.828,0.266,0.564,0.474,0.3,100.552,89.4,22.665,3.032,25.253,0.2045,22.075,21.77,22.11,0.11,-46.3895,-2.293,1.352,399.858,435.9535
6,23.75,425.0785,23.799,4.319,0.728,4.2635,-20.8495,5.114,1.8225,0.2715,0.588,0.469,0.309,100.5395,89.4,22.665,3.032,24.955,0.205,22.075,21.77,22.11,0.121,-46.4285,-2.293,1.3865,398.5565,434.337
7,0.25,427.9515,26.1245,4.173,1.211,3.6135,-22.469,1.0815,1.737,0.259,0.5785,0.4925,0.3095,100.644,89.4,23.9,3.3265,26.703,0.2095,23.735,23.335,23.345,0.1015,-44.7075,-2.293,1.288,410.4925,448.4255
7,0.75,429.754,26.081,4.6035,1.199,3.411,-23.1125,1.1305,1.79,0.2695,0.583,0.467,0.314,100.628,89.4,23.9,3.3265,26.4685,0.1975,23.735,23.335,23.345,0.1045,-43.865,-2.293,1.243,409.308,445.829
7,1.25,433.094,26.0805,4.6265,0.754,3.1895,-22.6015,-0.123,1.81,0.2795,0.593,0.463,0.294,100.6215,90.85,23.565,2.775,26.256,0.1965,23.69,23.29,23.31,0.103,-44.1825,-2.293,1.2145,408.6255,444.1325
7,1.75,435.1895,25.989,4.606,0.995,2.9555,-20.8025,0.43,1.7395,0.2695,0.569,0.4385,0.29,100.614,90.85,23.565,2.775,25.9795,0.185,23.69,23.29,23.31,0.1025,-43.2765,-2.293,1.205,408.083,442.0875
