DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
1,0.25,385.039,0.1985,-0.1005,-0.4225,-2.176,-57.504,0.01,-38.603,-35.704,61.688,92.78,-3.043,-0.333,125.135,162.68,-55.679,-0.4555,-0.34,2.06,1.8345,-18.234,-15.686,-14.641,-14.783,-10.7405,-13.4185,-8.295,-10.0665,-0.2764,-1.0855,-13.821,-0.85215,0.1315
1,0.75,385.056,0.197,-0.265,-0.2675,-3.371,-52.309,0.019,-38.263,-35.868,58.498,92.78,-2.932,-0.32,125.11,161.185,-59.6785,-0.4365,-0.3255,2.08,1.93,-18.405,-15.7495,-14.796,-14.8915,-10.8255,-13.509,-8.11,-10.105,-0.27885,-1.08835,-13.821,-0.8526,0.198
1,1.25,384.964,0.1695,-0.32525,-0.5085,-2.4365,-57.808,0.01,-39.017,-36.318,60.022,92.78,-2.9595,-0.253,125.625,162.625,-60.9,-0.4655,-0.3355,2.079,1.879,-18.4795,-15.795,-14.943,-14.943,-10.9105,-13.5925,-7.919,-10.141,-0.28085,-1.0923,-13.821,-0.85215,0.069
1,1.75,385.09625,0.17,-0.3445,-0.471,-2.1915,-54.57875,0.01,-38.3565,-36.004,60.869,92.725,-3.08,-0.2555,126.035,163.46,-56.0805,-0.41,-0.3255,2.0735,1.839,-18.488,-15.7985,-15.0565,-14.961,-10.9955,-13.703,-7.7445,-10.186,-0.28185,-1.09615,-13.821,-0.8526,0.029
1,2.25,384.993,0.2295,-0.328,-0.41,-2.01925,-54.66625,0.01825,-38.2145,-35.222,60.052,92.725,-3.5515,-0.253,125.12,163.06,-59.4335,-0.43,-0.3255,2.079,1.9145,-18.427,-15.9255,-15.132,-15.0975,-11.0715,-13.8285,-7.537,-10.229,-0.2843,-1.1,-13.821,-0.8526,0.039
1,2.75,385.008,0.256,-0.538,-0.79,-1.84,-62.558,0.02,-37.716,-35.096,60.3895,92.68,-3.064,-0.4085,124.1,162.435,-58.053,-0.4155,-0.3365,2.1135,1.9345,-18.32,-15.99,-15.1895,-15.2495,-11.1375,-13.8885,-7.371,-10.3295,-0.2863,-1.1044,-13.821,-0.85315,0.147
1,3.25,384.7325,0.2055,-0.09175,-0.28575,-1.5935,-56.5375,0.01,-39.3425,-34.84,60.077,92.725,-2.861,-0.332,126.13,162.03,-58.1595,-0.4155,-0.3155,2.12,1.9445,-18.186,-16.03,-15.238,-15.267,-11.1955,-13.9445,-7.2955,-10.43,-0.28775,-1.10925,-13.821,-0.85315,0.1045
1,3.75,384.808,0.258,-0.515,-0.8875,-1.732,-46.854,0.018,-39.7665,-34.674,60.0495,92.78,-2.901,-0.3755,123.775,161.86,-54.602,-0.4155,-0.33,2.07,1.93,-18.194,-15.995,-15.299,-15.238,-11.2435,-14.008,-7.4365,-10.452,-0.28975,-1.1151,-13.821,-0.85415,0.118
1,4.25,384.934,0.1865,-0.27275,-0.4825,-1.65925,-51.61425,0.02,-40.3305,-34.318,58.002,92.735,-2.881,-0.6485,122.54,161.66,-61.8035,-0.4455,-0.34,2.089,1.94,-18.3225,-15.958,-15.386,-15.184,-11.296,-14.0425,-7.443,-10.4405,-0.29075,-1.11995,-13.821,-0.8537,0.1645
1,4.75,384.71925,0.18425,-0.2075,-0.31375,-1.758,-45.24275,0.02,-40.882,-34.354,56.79,92.735,-2.7475,-0.5065,125.335,160.905,-51.6175,-0.3955,-0.3055,2.0745,1.94,-18.4135,-15.899,-15.5045,-15.2075,-11.3565,-14.0225,-7.465,-10.453,-0.2932,-1.12525,-13.821,-0.85415,0.0645
1,5.25,385.09325,0.1795,-0.162,-0.49275,-2.067,-47.56725,0.01825,-40.8045,-34.602,58.0485,92.735,-2.81,-0.381,125.51,159.275,-52.2635,-0.45,-0.3255,2.218,1.9445,-18.5255,-15.839,-15.6445,-15.2765,-11.426,-13.99,-7.6445,-10.4665,-0.29465,-1.13165,-13.821,-0.8547,0.097
1,5.75,384.706,0.176,-0.219,-0.26,-2.902,-66.878,0.018,-41.128,-35.342,55.7255,92.79,-2.76,-0.371,126.235,158.635,-52.698,-0.45,-0.301,2.1505,1.848,-18.7225,-15.797,-15.8025,-15.3245,-11.5135,-13.9705,-7.8355,-10.4715,-0.2971,-1.1364,-13.821,-0.8557,0.11
1,6.25,384.909,0.17775,-0.13225,-0.245,-1.4815,-44.252,0.02,-41.395,-35.546,57.849,92.835,-2.9355,-0.3565,132.935,158.435,-50.269,-0.4265,-0.3155,2.1215,1.889,-18.8815,-15.7675,-15.9695,-15.2545,-11.61,-13.964,-8.013,-10.4675,-0.2992,-1.1407,-13.821,-0.8557,0.18
