DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,72.15,-28.765,0.632,0.327,198.6,198.55,-0.824,-0.0022515245,0.050892825
1,0.75,72.45,-29.925,0.632,0.309,197.45,197.15,-0.824,-0.0034038795,0.03047992
1,1.25,72.4,-29.885,0.632,0.327,198.15,196.85,-0.824,-0.000189075,0.0476028
1,1.75,72.6,-29.54,0.632,0.304,198.75,198,-0.824,-0.006637478,0.06100748
1,2.25,72.65,-29.02,0.632,0.359,198,198.05,-0.824,-0.0020794405,0.04737907
1,2.75,72.9,-29.085,0.632,0.341,198.55,199.25,-0.824,-0.007477988,0.03387528
1,3.25,72.9,-29.235,0.632,0.331,197.35,199.05,-0.824,-0.003339167,0.02707329
1,3.75,72.85,-29.81,0.632,0.3455,195.75,198.25,-0.824,-0.006421728,0.06118396
1,4.25,73.3,-29.76,0.632,0.433,194.35,197.5,-0.824,-0.005637477,0.04071509
1,4.75,73.15,-29.83,0.632,0.2715,194.8,196.25,-0.824,-0.009061829,0.040679765
1,5.25,72.35,-30,0.632,0.368,195.6,197.2,-0.824,-2.00000000000001e-07,0.02029889
1,5.75,71.8,-29.73,0.632,0.382,193,197.1,-0.824,-0.003252548,0.040784745
1,6.25,71.35,-30.57,0.632,0.394,191.2,194.35,-0.824,-0.004653173,0.05416656
1,6.75,72.05,-30.31,0.632,0.318,193,194.75,-0.824,-0.009948281,0.03384774
1,7.25,72.1,-30.625,0.632,0.289,194.15,193.95,-0.824,-0.0065637085,0.06126541
1,7.75,71.95,-30.115,0.632,0.335,192.1,195.05,-0.824,-0.0078311765,0.047436765
1,8.25,71.6,-30.35,0.4845,0.3515,191.95,194.85,-0.824,-0.0083042465,0.04757463
1,8.75,72,-30.51,0.7485,0.32,192.55,193.7,-0.824,0.005872501,0.02712141
1,9.25,71.7,-30.275,1.0125,0.364,194.3,195.05,0.458,-0.002326728,0.030536685
1,9.75,71.35,-30.175,4.959,0.489,193.3,196.7,-1.317,0.0081625265,0.032115735
1,10.25,71.2,-30.67,8.873,0.654,190.45,195.1,-1.6975,0.028063335,0.09138122
1,10.75,71.15,-30.555,0.453,0.634,190.65,194.2,-6.333,0.23755305,0.2571169
1,11.25,71.35,-30.27,0.9165,1.247,191.2,195.6,-1.806,1.23504,1.13954
1,11.75,71.55,-30.545,2.696,2.471,191.65,195.05,-2.689,4.485974,4.1324795
1,12.25,71.1,-30.675,3.684,4.404,190.8,194.35,-3.022,9.9918625,9.8499465
1,12.75,71.3,-30.63,5.827,7.0715,190.1,193.9,-3.034,14.79503,16.220315
1,13.25,71,-30.485,7.896,9.085,192.95,194.8,-3.6175,18.73032,20.45432
1,13.75,71.15,-30.59,8.477,8.87,193.95,195.35,-3.236,19.760985,21.411915
1,14.25,71.35,-30.58,7.242,7.788,192.8,194.3,-2.435,18.257305,19.130155
1,14.75,71.65,-30.34,6.01,6.8265,193.35,194.9,-2.649,14.520715,14.95683
1,15.25,71.15,-30.19,5.039,4.1715,192.25,193.35,-2.6755,8.6476975,9.2687585
1,15.75,71.35,-30.21,3.2485,2.15,193.35,193.55,-1.911,3.7374,4.0556945
1,16.25,71.85,-30.545,1.9665,1.0625,194.35,195.15,-1.601,1.0376625,1.0742378
1,16.75,71.85,-30.69,0.7385,0.487,194.05,195.7,-2.35,0.18645665,0.2998547
1,17.25,71.65,-30.415,12.8,0.418,193.65,196.7,-2.228,0.04651044,0.11516925
