DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,8.25,0.026525,411.8925,0.001595,-20.36355,-0.2789,0.96279,-0.3534025,-0.0795,-5.988726,-7.6411,0.43444625,0.032,97.1472025,62.51492,0.312865,-26.1118575,-19.1314225,-21.535,-3.258,-2.75195,-2.1194495,-1.7876095,-1.200962,0.066676935,1.0106725,2.949344,-0.5644629,-0.00482239525,219.17185,217.86125,-0.0898315
1,8.75,0.0507,414.21,-0.0017435,-3.6037,-0.60908,0.580715,-0.22761,-0.0197,-5.989212,-7.6952,0.3754,0.0403,97.399,62.89165,0.300105,-26.83313,-19.08328,-21.857,-3.2551,-2.7505,-2.1159805,-1.789343,-1.078035625,0.087251605,1.0305055,2.93605,-0.58447315,0.083294745,218.42325,219.34255,-0.0326805
1,9.25,-0.051545,412.625,-0.0575,-2.85225,-0.3668875,0.62837,-0.126845,-0.0069825,-5.74346675,-7.370745,0.1875,0.03885,97.22032,64.46019,0.31659,-23.31,-19.076255,-22.384,-3.0229,-2.612782,-2.0471,-1.7942195,-0.7752734,0.07598351,1.0484,2.9342,-0.5481045,0.19915485,220.0643,220.3837,0.0244705
1,9.75,0.01709,411.9125,-0.0891,-1.846375,-0.653755,0.672885,0.133215,0.001813,-5.74011975,-7.3217405,0.12522,0.033875,97.236975,63.52981,0.3297825,-23.735,-19.0971825,-22.8714,-3.0073,-2.59562,-2.0433,-1.89367025,-0.8636148,0.09094163,1.041153,2.935,0.2289075,1.12579,218.4461,217.9361,0.0816215
1,10.25,0.052275,412.57,-0.31208,-0.2414,0.088345,0.69353,0.18826,0.003535,-6.222479,-7.3251,0.225895,0.0388,97.1697225,63.343285,0.35894,-24.435,-21.04687,-22.426785,-2.975997,-2.5736125,-2.038186,-1.89302825,-0.8400877,0.041180535,1.0124576,2.923931,2.4098,4.13694,218.17985,214.68535,0.1387725
1,10.75,-0.0919725,413.19,-0.0618,-4.0744,-0.0463325,0.7487475,0.31489,0.031725,-5.45395,-6.821084,0.172667,0.0794,97.524,62.101275,0.3778,-26.25344,-20.75144,-21.9385,-3.01183375,-2.75157075,-2.12981275,-1.8926415,-1.20856375,-0.0981925025,0.921656925,2.8073065,8.630364,11.7327925,212.0811,209.75535,-0.184135
1,11.25,-0.178915,413.05,-0.2047725,-6.7389,-0.7257625,0.80963,0.4020275,0.0395,-5.45125,-7.032459,0.19312,0.0544,97.923065,60.5102075,0.39849,-26.890755,-20.766855,-21.76071,-3.72110025,-3.37124425,-2.73244375,-1.884583,-1.35197,-0.122400275,0.75011275,2.739649,23.4692925,26.0583225,203.775675,204.99095,-0.1119075
1,11.75,0.10016,412.81,-0.26292,-3.92325,-0.827255,0.8772625,0.36002,0.0232,-5.5339405,-7.019165,0.28314325,0.0659,97.9135875,60.54331,0.4251525,-26.52372,-20.50853,-21.37204,-4.01367475,-3.596192,-2.9118195,-2.104597,-1.395421,-0.0587897125,0.76127945,2.646756,33.58389,36.804415,206.495175,208.460075,0.1068875
1,12.25,-0.1281,412.8,-0.1449125,-7.5079,-1.0189,0.88267,0.30976,0.03215,-5.6538255,-7.09332,0.546622,0.0881,97.89739,61.1872875,0.45618,-26.015715,-18.757455,-20.8179575,-4.309168,-3.83239325,-3.093173,-2.21243175,-1.4514725,-0.05777475,0.772126575,2.64994325,35.36161,42.516845,209.543075,212.678975,-0.1169495
1,12.75,-0.0711,412.52,-0.0524,-2.6557,-0.40005,0.91215,0.65708,0.0454,-5.8427875,-7.21850525,0.6054225,0.0653,98.07041,61.11271,0.47242,-25.662595,-17.50996,-20.697,-4.231884,-3.822452,-3.114799,-2.20066675,-1.3743255,-0.0469655,0.84951525,2.639175,34.62552,48.571545,213.5913,215.6166,-0.0898
