DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,0.25,-52.9,-16.04155,4.59525,-13.02,0.489675,0.315625,415.5,8.222,11.269925,87.63,10.82,62.2094,2.54275,0,1.2174,284.2538,343.4,0,0,5.986475,7.153825,7.7851,8.303675,9.45095,11.3992,6.691825,7.863825,11.29,11.9975,10.1375,12.26
1,0.75,-54.14365,-16.8746,4.48425,-12.6666,0.4555,0.31035,415.8,8.16,11.40205,87.6246,10.74,62.16,2.5241,0,1.06915,283.06145,343.31195,0,0,5.7991,6.9964,7.74615,8.307,9.43845,11.3956,6.520525,7.7033,11.2875,12,10.1475,12.26
1,1.25,-53.0599,-16.0914,5.000625,-13.9589,0.4685,0.3094,415.7,8.045725,11.2625,87.61195,10.65,60.82,2.584575,0,0.9839,283.55,342.39495,0,0,5.696175,6.876,7.7383,8.3169,9.45,11.3956,6.3798,7.5946,11.29,11.9975,10.165,12.26
1,1.75,-52.44545,-16.2601,5.0323,-13.915375,0.4618,0.321125,416.1,8.11225,11.299275,87.6009,10.61,61.6783,2.58005,0,1.0517,284.31265,341.62695,0,0,5.59545,6.774125,7.70345,8.3249,9.42345,11.3956,6.23245,7.442875,11.295,12,10.175,12.26
1,2.25,-52.17145,-15.864,5.208675,-13.8323,0.476925,0.297425,416,7.987,11.2391,87.5983,10.62,62.3244,2.5045,0,0.97,281.4569,341.7894,0,0,5.452025,6.652,7.692625,8.32765,9.44345,11.3956,6.1656,7.338075,11.2975,11.9975,10.19,12.26
1,2.75,-52.5752,-15.44885,4.934225,-13.522225,0.467225,0.299525,416.075,7.904675,11.114325,87.59245,10.53,61.9509,2.48145,0,1.04435,282.2,340.95555,0,0,5.3543,6.55235,7.6751,8.3453,9.4219,11.391725,6.10605,7.2352,11.305,11.99,10.2075,12.2575
1,3.25,-53.2792,-16.1248,5.01165,-15.7267,0.45765,0.303925,416.378125,7.776875,10.982,87.5852,10.57,61.23,2.459875,0,1.12735,281.388,340.5473,0,0,5.22165,6.4605,7.6678,8.37345,9.4519,11.3956,5.97575,7.12895,11.29,11.99,10.21,12.2575
1,3.75,-53.2788,-15.50905,5.71035,-14.5806,0.4721,0.32145,415.9,7.827,11.0194,87.5827,10.48,61.69,2.51675,0,1.1078,281.17475,340.68845,0,0,5.08185,6.3661,7.6475,8.38495,9.4619,11.391725,5.8305,7.0454,11.2975,11.99,10.21,12.26
1,4.25,-51.505,-15.59335,5.580525,-14.5122,0.479875,0.3202,415.7244,7.757775,10.9858,87.5776,10.46,62.67,2.53785,0,1.01915,278.41865,340.09885,0,0,4.9725,6.2996,7.6128,8.375,9.4719,11.391725,5.69535,6.96845,11.2925,11.9825,10.2175,12.26
1,4.75,-54.61825,-15.17585,5.701825,-15.218875,0.4806,0.3467,415.775,7.910625,10.8719,87.57,10.43,62.0739,2.5522,0,1.00525,277.9882,340.4482,0,0,4.91255,6.2339,7.5778,8.375,9.4669,11.391725,5.55145,6.9246,11.3,11.9825,10.2175,12.26
1,5.25,-54.32,-15.1191,6.52955,-15.13,0.471475,0.3547,415.75,7.85415,10.77,87.5717,10.26,62.445,2.561,0,1.01695,279.35,339.532,0,0,4.90945,6.1513,7.5448,8.395,9.4719,11.391725,5.46595,6.82265,11.2975,11.9825,10.2175,12.26
1,5.75,-52.18,-15.4327,5.9474,-16.07815,0.484,0.34195,415.4,7.6974,10.6822,87.578875,10.29,61.68,2.5816,0,1.0313,279.5,339.1969,0,0,4.79775,6.09065,7.49365,8.3937,9.4919,11.39,5.41135,6.75785,11.2975,11.985,10.2125,12.26
1,6.25,-54.28,-14.99635,6.243525,-16.920025,0.4743,0.3765,415.25,7.44295,10.8854,87.5914,10.36,62.41,2.554,0,1.30045,278.05,338.714,0,0,4.7293,5.97965,7.44605,8.39,9.5069,11.39,5.30655,6.67495,11.2975,11.9825,10.2125,12.2575
1,6.75,-56.08,-14.38035,6.0401,-16.56,0.4733,0.3889,414.95,7.595975,10.6889,87.618725,10.32,61.419,2.6926,0,1.16955,276.82275,338.98685,0,0,4.6249,5.88685,7.41605,8.395,9.51855,11.38855,5.20685,6.5655,11.3075,11.975,10.2125,12.2575
1,7.25,-53.5887,-13.64,6.4864,-16.9031,0.48505,0.4085,415.05,7.717575,10.7577,87.62,10.37,60.89,2.68275,0,1.744775,276.78595,340.6087,0.1578,7.716,4.5068,5.80795,7.36405,8.3981,9.50355,11.38855,5.1589,6.47125,11.3075,11.975,10.205,12.2575
1,7.75,-39.00065,-10.9645,7.6555,-14.66,0.4399,0.43345,415.05,7.7815,11.09675,87.64395,10.68,61.35,2.6868,18.600975,6.289025,277.4,343.585,8.064,53.2325,4.4507,5.748775,7.30785,8.387725,9.504275,11.39,5.06975,6.387975,11.32,11.98,10.2,12.26
1,8.25,-0.45955,-6.4808,10.67495,-10.01925,0.4106,0.4395,415,7.73965,11.3519,87.672025,11.08,59.9698,2.61035,86.501725,22.552175,278.93895,348,28.488,191.8336,4.3849,5.650525,7.2398,8.369125,9.511775,11.3842,4.991,6.331625,11.33,11.98,10.2,12.25
1,8.75,81.5,4.2872,20.4051,12.03885,0.326,0.46495,415.9,7.916,12.7688,87.6983,13.1875,52.26955,2.61445,235.90975,66.4335,279.13505,361.92095,87.66,468.585,4.326625,5.5364,7.181725,8.3533,9.49,11.39,4.94955,6.258425,11.33,11.98,10.19,12.25
1,9.25,147.5,19.6852,33.4676,46.4366,0.31305,0.5022,415.768475,7.9454,14.27,87.71,14.89,47.6885,2.93005,335.45,85.2997,283.88385,377.4143,125.16,660.5,4.3495,5.4089,7.08865,8.32055,9.4275,11.39,4.998925,6.140875,11.33,11.98,10.18,12.25
1,9.75,212.7913,36.10035,38.7436,84.9393,0.39205,0.499625,415.9,7.91645,14.938175,87.7307,15.72,45.2901,2.9347,427.4782,102.31195,287.0875,390.3492,154.3969,840.0187,4.572325,5.335475,6.9901,8.2627,9.35,11.3842,5.3055,6.039425,11.33,11.98,10.17,12.25
1,10.25,273.1391,54.64975,44.93535,119.45,0.4113,0.497925,416.4,7.87,15.3885,87.747225,16.21,45.15,2.993775,511.55,117.2391,287.0947,402.15,177.905,1002,4.999575,5.3249,6.90075,8.170225,9.27855,11.39,5.84505,5.987275,11.3225,11.97,10.1575,12.25
1,10.75,323.1492,73.8462,47.471025,149.2,0.4354,0.52795,416.3,7.9982,15.850325,87.75925,16.73,45.06,2.96,580.975,130.5766,289.5074,413.81785,195.35,1136.5302,5.621975,5.397825,6.7882,8.0876,9.217975,11.38315,6.368725,6.12405,11.325,11.97,10.145,12.25
1,11.25,359.34775,91.89345,47.48575,174.116,0.433,0.509975,416.675,8.100275,16.3225,87.747475,17.14,43.024,3.02175,635.741275,139.54615,291.1753,422.7054,207.19,1234,6.18615,5.59375,6.7154,8.043975,9.182975,11.38315,6.833475,6.32045,11.325,11.97,10.1325,12.25
1,11.75,383.25,88.4138,50.73,193.8,0.48835,0.472,416.7,8.143575,16.65485,87.706,17.4825,41.192625,2.8515,674.06505,147.44905,294.499,431,216.25,1303.928,6.815225,5.78955,6.65035,8.005225,9.150475,11.3842,7.40355,6.510525,11.32,11.97,10.12,12.25
1,12.25,396.39145,84.98245,53.370625,205.65,0.473025,0.49135,416.4,8.0904,16.98,87.668025,17.9175,39.43605,2.97005,696.6554,151.97825,297.1805,435.50025,222.09,1348.2896,7.403725,6.12005,6.609475,7.962725,9.122975,11.38315,8.1513,6.686025,11.325,11.97,10.1075,12.25
1,12.75,397.19065,87.774875,54.9735,211.79315,0.491825,0.483475,416.4,7.989,17.54115,87.6237,18.29,37.78395,3.1135,700.9522,154.912975,297.299325,439.213125,222.3919,1353,7.9875,6.403375,6.589775,7.942725,9.120475,11.38315,8.8234,6.8762,11.32,11.9675,10.0975,12.25
1,13.25,381.6251,82.86,53.13,204.9,0.5517,0.487,416.2,7.822725,17.875425,87.5872,18.635,35.985,3.26045,684.4,152.46085,298.874025,440.680525,219.65,1319.8641,8.4989,6.6831,6.60925,7.9523,9.110475,11.38315,9.396025,7.1975,11.32,11.97,10.0975,12.25
