DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,G_1_1_2,G_1_1_3,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1,PA_1_1_1
1,0.25,423.4349525,8.5588155,1.782354,0.275649,-4.626668,-6.110511,-5.302202,-1.443107,11.4689095,0.747072,0.170239,2.19176325,0.319617,-0.002698,0.78093225,0.816003,0.43230225,97.48666,7.420857,1.75283806075,7.70738775,12.168505,11.98738,-7.00083875,0.005676,0.02328425,2.0405335,329.1556,344.8828,2.070942,102.42723225
1,0.75,423.64878075,8.4620165,1.78260025,0.2218135,-6.219601,-6.4014145,-5.6104085,-0.974775,11.5155805,0.140493,0.20206425,2.12857125,0.34159175,-0.002203,0.91104375,0.7317095,0.45093875,97.76851975,7.382587,1.638126548,7.38419025,12.09404,12.00939,-8.7783875,0.0049125,-0.0762075,2.0696095,329.7371,343.836275,1.888909,102.4395605
1,1.25,421.359784,8.85449525,1.7800945,0.1699965,-5.8306335,-6.720171,-5.510562,-0.0871895,11.939352,0.238535,0.4226275,2.0385765,0.31723875,-0.00256025,0.794966,0.7139135,0.44901975,97.84152975,6.96067025,1.5448955,7.259862,12.017685,12.01471,-8.7506395,0.005058,-0.091085,2.09695025,329.733925,342.1403,2.208825,102.431098
1,1.75,420.6699605,8.76629,1.884861,0.1626335,-5.8159165,-6.8035355,-5.6083475,-0.700247,18.606722,0.218614,0.4448435,2.138779,0.3535995,-0.0022945,0.86592,0.706409,0.4652605,98.07667,7.060934,1.67360471,7.68094,11.967105,11.884855,-9.54907125,0.0050135,-0.006219,2.0934475,327.7383,341.7459,2.2149105,102.401758
1,2.25,420.666163,8.622359,2.69408925,0.15463375,-5.6668285,-6.83284525,-5.99541925,-0.97085125,14.414886,0.70670125,0.297328,2.29711575,0.347001,-0.00335375,0.888694,0.72173425,0.46334775,98.626305,6.958541,1.475579894,7.95948375,11.8390175,11.8863175,-9.283229,0.004625,-0.15954975,1.914919,329.99315,342.3965,2.724758,102.4171195
1,2.75,419.552778,8.656443,2.5687435,0.15158125,-5.43126825,-6.58550725,-5.779703,-1.22822425,15.340813,0.93308575,0.17723825,2.38981,0.3623,-0.0037235,0.906275,0.732774,0.456082,98.5772075,7.0446105,1.710189,7.481641,11.7639525,11.87901,-9.40096,0.005109,-0.111266,2.01351075,331.1115,342.669225,2.897498,102.40565775
1,3.25,417.499563,8.421,1.95480375,0.227538,-4.9836755,-6.48943475,-5.6893435,-1.41697425,14.696071,0.864853,0.251015,2.229917,0.315833,-0.003167,0.877452,0.741262,0.4123975,98.28504675,7.3248735,1.617342295,6.9906185,11.745035,11.84189,-8.270803,0.006023,-0.065015,2.024929,330.692475,342.578975,1.928738,102.405
1,3.75,419.35602,8.4366865,1.61601875,0.239007,-4.79219675,-6.6794665,-5.6899745,-1.7258745,14.437557,0.565134,0.17535525,2.2296195,0.33641,-0.002932,0.8930415,0.774994,0.4215035,98.53404,7.365073,1.7297673495,6.981553,11.7221925,11.89363,-7.6433105,0.005957,0.018615,1.93486825,330.8252,343.16015,2.06165,102.402394
1,4.25,419.604092,8.6731175,1.581241,0.17375625,-4.88124375,-6.6588925,-5.5307125,-0.65881925,13.19061275,0.5538015,0.2528085,2.3814715,0.381633,-0.0037525,1.008575,0.843025,0.4788255,98.16022575,7.2130585,1.5285843255,7.2270855,11.6979075,11.81102,-8.12843125,0.008429,-0.192324,2.013712,328.620075,343.38485,1.5900695,102.380782
1,4.75,420.098406,8.32405425,1.953274,0.124919,-4.866,-6.672736,-5.353492,-0.311525,16.225052,0.3918625,0.20462525,2.70458125,0.40916925,-0.002577,1.0637925,0.869064,0.50108,97.9707105,7.367998,1.659645664,6.95769325,11.60464,11.640235,-8.0375985,0.004014,-0.099228,2.056176,325.6653,343.6981,1.996983,102.40363125
