DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
1,0.25,0.2,-4.25,4.2,-0.012,1.7,84.625,-17.875,0,0,0,4,0.36,97.6825,-8.3,3.8
1,0.75,0.2,-5,4.6,-0.012,1.375,85.35,-16.9,0,0,0,4.08,0.37,97.655,-8.1,3.7
1,1.25,0.2,-3,4.7,-0.024,1,86.85,-16.35,0,0,0,3.95,0.365,97.62,-8.6,3.6
1,1.75,0.2,-3.6,4.6,-0.024,0.65,88,-15.75,0,0,0,3.71,0.34,97.62,-8.625,3.575
1,2.25,0.3,-2.75,3.875,-0.033,0.575,88.05,-16.625,0,0,0,3.82,0.3325,97.64,-8.8,3.5
1,2.75,0.275,-3.4,4.375,-0.012,0.75,88.675,-16.1,0,0,0,3.78,0.32,97.63,-8.225,3.4
1,3.25,0.2,-1.8,5.35,-0.021,0.775,89.375,-19.575,0,0,0,3.69,0.31,97.635,-8.9,3.375
1,3.75,0.2,-3.6,4.7,-0.012,0.95,88.6,-20.075,0,0,0,4.03,0.35,97.6475,-8.525,3.3
1,4.25,0.2,-1.85,5.65,-0.033,0.425,89.425,-16.3,0,0,0,4.16,0.3425,97.635,-8.725,3.3
1,4.75,0.2,-2.65,5.65,-0.024,0,89.175,-16.275,0,0,0,4.01,0.3525,97.6325,-7.925,3.275
1,5.25,0.2,-1.65,5.9,-0.024,-0.025,89.075,-14.95,0,0,0,4.08,0.35,97.6275,-8.425,3.2
1,5.75,0.2,-1.9,6.1,-0.024,-0.125,89.75,-14.125,0,0,0,4.14,0.35,97.62,-8.15,3.2
1,6.25,0.2,-2.1,5.625,-0.024,-0.175,88.975,-17.175,0,0,0,4.34,0.37,97.6425,-8.625,3.2
1,6.75,0.2,-1.4,6.55,-0.036,-0.125,87.425,-15.9,0,0,0,4.5,0.3975,97.675,-8.325,3.1
1,7.25,0.2,-1.475,7.5,-0.036,-0.55,88.05,-10.375,0.5,0.1,0,4.25,0.38,97.705,-8.725,3
1,7.75,0.15,-2.7,6.7,-0.024,-0.875,86.75,-6.375,16.9,6.2,23.4,4.24,0.36,97.7575,-9.25,3
1,8.25,0.2,4.2,8.95,-0.024,-0.1,86.475,8.3,91.75,30.475,117.275,4.51,0.37,97.795,-8.7,2.975
1,8.75,0.2,23.475,14.8,-0.051,0.725,85.6,51.975,182.7,49.05,295.9,5.23,0.4475,97.7975,-7.25,2.9
1,9.25,0.3,54.4,23.65,-0.072,2.05,82.2,110.775,277.275,69.6,468.675,5.43,0.47,97.83,-5.1,2.975
1,9.75,0.2,80.4,29.85,-0.084,3.6,79.8,167.6,364.425,88.1,629.4,5.7,0.48,97.865,-0.225,3.075
1,10.25,0.5,109.9,28.25,-0.096,4.45,77.65,211.9,427.025,102.35,766.35,5.92,0.51,97.865,5.5,3.175
1,10.75,0.2,134.5,27.8,-0.102,5.9,74.275,257.475,498.1,114.25,893.325,5.86,0.525,97.855,11,3.3
1,11.25,0.4,159.025,30.3,-0.12,6.925,69.7,296.65,542.875,123,983.475,5.785,0.5175,97.805,14.75,3.5
1,11.75,0.4,173.3,29.725,-0.12,7.45,65.475,314.275,573.75,129.425,1050.75,5.92,0.52,97.7075,21.2,3.9
1,12.25,0.4,188.15,31.35,-0.111,7.75,62.075,330.45,594.575,133.3,1083.1,5.7875,0.53,97.675,24.6,4.1
1,12.75,0.325,191.35,32.25,-0.108,8.475,61.225,334.175,594.075,135.7,1099.1,5.84,0.52,97.6425,29.925,4.375
1,13.25,0.3,185.925,31.1,-0.108,9.5,60,325,578.5,133.4,1070.25,6.025,0.5175,97.6025,31.1,4.45
1,13.75,0.3,171.75,29.3,-0.096,9.85,58.625,295.225,546.875,127,1010.8,6.03,0.53,97.5675,30.925,4.5
1,14.25,0.3,153.9,26.75,-0.108,10.675,59.575,260.9,513,119.125,932.825,5.95,0.52,97.525,30.425,4.875
1,14.75,0.3,130.9,24.95,-0.096,10.95,58.2,213.5,450.75,106.55,813.25,5.7675,0.51,97.5175,26.25,5.175
1,15.25,0.4,101.5,19.7,-0.117,11.625,57.875,181.325,394.925,94.075,706.9,5.76,0.5125,97.5025,22.05,5.275
1,15.75,0.2,68.4,16.6,-0.09,11.725,57.6,115.675,315.075,78.325,544.425,5.555,0.51,97.4825,18.275,5.3
1,16.25,0.3,31.55,12.85,-0.069,11.2,57.575,55.75,222.475,59.475,374.35,5.4725,0.48,97.45,13.1,5.3
1,16.75,0.25,2.525,8.525,-0.048,10.275,59.75,7.85,132.175,38.575,198.875,5.0325,0.4175,97.44,7.125,5.3
1,17.25,0.3,-1.7,4.35,-0.024,8.975,62.95,-18.7,46.375,17.75,61.575,4.34,0.37,97.4475,0,5.2
1,17.75,0.1,-1.525,3,-0.012,7.05,70.175,-32.425,4.25,1.075,6.4,3.84,0.33,97.445,-5.825,5.05
1,18.25,0.1,-2.1,2.7,-0.012,5.95,74.75,-30.475,0,0,0,3.5,0.3,97.4575,-7.925,4.775
1,18.75,0.2,-3.4,3.15,-0.012,5.05,76.525,-28.55,0,0,0,3.4025,0.2925,97.49,-8.975,4.575
1,19.25,0.2,-4.15,2.95,0,4.375,78.325,-29.575,0,0,0,3.58,0.31,97.5025,-8.7,4.4
1,19.75,0.2,-3.8,2.65,-0.012,4.2,79.45,-31.15,0,0,0,3.44,0.32,97.515,-8.875,4.2
1,20.25,0.2,-3.575,3.4,-0.012,3.75,79.975,-31.325,0,0,0,3.8875,0.3425,97.535,-8.05,4.175
1,20.75,0.2,-2.75,2.4,-0.012,3.575,80.525,-27.525,0,0,0,4.055,0.3375,97.5375,-7.725,4.075
1,21.25,0.2,-4.8,3.1,-0.012,3.55,81.7,-20.625,0,0,0,3.935,0.34,97.575,-8.3,4.075
1,21.75,0.3,-4.35,3.55,-0.012,2.8,82.225,-23.9,0,0,0,4.1225,0.34,97.6125,-8.325,4
1,22.25,0.25,-2.85,4.05,-0.012,2.475,83.025,-24.075,0,0,0,3.9325,0.35,97.5875,-8.1,3.875
1,22.75,0.2,-4.05,3.275,-0.012,2.075,84.4,-24.5,0,0,0,4.18,0.34,97.6,-8.625,3.8
1,23.25,0.2,-3.1,4.15,-0.012,1.85,85.75,-23.225,0,0,0,3.8775,0.37,97.6375,-8.125,3.775
1,23.75,0.3,-4.35,4.2,-0.012,1.65,86,-16.575,0,0,0,4.1575,0.3575,97.6575,-8.1,3.775
2,0.25,0.3,-6.85,6.1,-0.024,2.55,87.675,-9.475,0,0,0,4.1,0.335,97.5675,-6.9,4.6
2,0.75,0.3,-4.625,7.35,-0.012,2.3,87.475,-10.9,0,0,0,3.935,0.34,97.565,-6.725,4.575
2,1.25,0.275,-4.05,7.925,-0.012,2.1,88.9,-8.9,0,0,0,3.83,0.315,97.5675,-6.425,4.5
2,1.75,0.225,-3.9,7.8,-0.012,2.075,88.175,-7.575,0,0,0,4.095,0.33,97.55,-6.625,4.5
2,2.25,0.3,-3.6,7.575,-0.012,1.525,89.15,-7.925,0,0,0,4.355,0.365,97.535,-6.3,4.475
2,2.75,0.3,-1.575,9.2,-0.024,1.7,89.3,-6.925,0,0,0,4.205,0.37,97.57,-6.3,4.475
2,3.25,0.275,-1.6,8.725,-0.012,1.65,89.3,-7.45,0,0,0,4.49,0.36,97.5475,-6.55,4.375
2,3.75,0.4,-1.5,8.7,-0.021,1.3,90.1,-6.9,0,0,0,4.535,0.38,97.5275,-6.45,4.3
