DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
1,0.25,0.05115,7.975,0.704635993225,0.125,-0.398083525,-4.78108625,-55.22274,-11.6395,-32.9885,15.48369166425,13.760625,57.09675,101,355.011,0,-105.508,-4.993902500175,0.2483,271.5825,355.319,5.92747525,-0.83503775,-35,-25.44384,-35.53694,-27.6,14.74925,1774.125
1,0.75,0.053,7.68275,0.800087,-0.1963,-1.4202,-5.84350775,-62.929485,-12.2165275,-33.36975,15.22865,13.775175,58.83975,100.984375,353.94,0,-105.657,-5.080110833175,0.240475,271.454,355.0895,5.956595,-0.6653082,-41.1875,-26.22378,-29.41052,-26.34,14.522,1849.69375
1,1.25,0.049345,7.625375,0.708,-0.01785,-2.1862435,-6.6425625,-60.3909,-19.34259,-31.149,15.18455,13.7873,58.29205,101,354.99975,0,-103.87075,-5.113669166825,0.189040833525,269.886,354.13375,5.79225,-0.75288425,-41.205,-21.1447475,-28.03403,-23.3475,14.52795,1841.1425
1,1.75,0.0513,7.4641,0.581869,-0.0235749999999999,-3.60596775,-6.397515,-58.9048325,-17.7012,-34.96,15.272475,13.79135,58.815275,100.9573,355.678,0,-103.614,-5.029103333,0.1192,268.554333345,352.332,5.81477575,-0.60127745,-40.3075,-15.33742,-47.854755,-21.405,14.48145,1734.75225
1,2.25,0.04798,7.2609,0.775,-0.12335,-2.34366611755,-5.9834175,-63.50585,-16.14835,-35.67725,15.234225,13.7304,59.356475,100.910725,356.2135,0,-103.70675,-5.15332166665,0.037925,268.04,350.8285,5.1525895,-0.589427,-61.66,-48.42524,-23.28575,-23.61084785,14.2136,1802.518
1,2.75,0.04815,7.345,0.709275,-0.6076,-2.553313,-4.413625,-58.722075,-16.169225,-32.887375,15.24915833,13.672575,58.154025,100.9096,356.01075,0,-101.886,-5.12701833335,0.10595166685,267.8953333225,349.6125833575,5.32025,-0.596373525,-75.957,-28.8345875,-56.1894,-18.1825,14.02045,1814.865
1,3.25,0.0592,7.8898,0.616,-1.040525,-2.236966,-3.9997125,-52.5365,-16.6463975,-31.999125,15.26100833425,13.6336,60.85925,100.90975,354.25,0,-101.362,-4.992950000175,0.22839000015,268.1680000225,348.4705,5.18175,-0.6918164,-101.226175,-25.777,-46.70223,-21.336934025,13.87405,1806.12575
1,3.75,0.0494,7.8928,0.659,-1.2215,-3.26525,-8.8438475,-59.0737,-25.34745,-31.2034,15.1935,13.59,61.00105,100.9143,352.9475,0,-100.996,-5.012455,0.21728999985,267.7752499775,346.9775,5.019125,-0.6860564,-50.65,-78.40406,-47.8183675,-11.00965395,13.6069,1803.9125
1,4.25,0.046545,7.5226,0.541614355,-1.0359,-1.6244,-8,-55.186975,-13.744575,-30.0475,15.1372,13.581325,63.82675,100.9099,354.271,0,-101.995,-4.94502333315,0.235075,266.40375,345.377,4.80525,-0.609561975,-59.05,-33.8840925,-30.65468,-13.9537642,13.3677,1790.275
1,4.75,0.04356,7.2146,0.689,-1.04965,-0.8550091,-8,-57.11195,-23.0058,-29.986,15.28425,13.55225,63.72995,100.95745,351.93,0,-100.642,-4.92133333315,0.09006,264.631333355,344.29033331,4.395962,-0.56795115,-127.439375,-21.179595,-47.90042,-15.055,13.21425,1788.733
1,5.25,0.056,7.3164,0.612576,-0.7066,-1.464589,-5.26258375,-58.58465,-20.74495,-30.079875,15.196,13.5315,62.69245,100.9706,348.3415,0,-98.383475,-4.99464000015,0.100725,264.9299999775,343.5744166575,4.077481,-0.73608125,-135.6052,-17.9330675,-48.47735,-20.175,12.94965,1777.493
1,5.75,0.0508273298,6.928,0.694001233,-0.781,-3.74505,-8,-59.2604,-20.53948,-30.65875,15.0765,13.496,62.7158166685,100.98635,348.5125,0,-97.5486,-5.140155,0.06642666685,262.867666655,342.754,2.69145,-0.5889305,-66.1245,-19.4996075,-45.60105,-35.12,12.60775,1762.5
1,6.25,0.05718287435,6.6495,0.673,0.2154,-3.64678,-8,-51.039775,-24.2374775,-30.8347,14.962,13.46555,62.93440000175,101.009425,353.79,0,-97.0544,-4.976638333,-0.01096333315,261.876833345,341.617,3.1623955,-0.551251525,-100.793375,-14.455845,-42.40504079,-40.055,12.3337,1839.68
