DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,RH,WS,SW_IN,LW_IN,PPFD_IN,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,VPD,SW_OUT,LW_OUT,T_CANOPY
1,16.25,0.1871555,0.0393095,0.042518,0.004592,-10.388398,-0.238666,2.810248,-0.027054,396.472618,4.08269,-8.20005,73.51,3.0906339385,43.364,234.72,91.73123688,98.345,-5.279201823,-0.4158071,-0.39435405,-0.4367711,-0.3618431,-5.8753915,0.683219235,36.380285,287.0575,-3.9852545
1,16.75,0.1801495,0.035065,0.012616,0.011096,-10.5220675,-0.269927,1.920952,-0.059757,396.6148965,3.897039,-8.526,74.608,2.904659,11.1705,234.32,25.679321275,98.34565,-5.035574923,-0.45496855,-0.4646905,-0.4335367,-0.33767125,-10.0900925,0.672635359,10.158037,285.6266,-4.279524
1,17.25,0.164741,0.036098,0.0426515,0.008513,-9.38342,-0.204124,1.699467,-0.019835,396.4155755,3.8379965,-9.0239,75.338,2.7020885,0.5078,232.66,1.942725845,98.313,-5.039600975,-0.48376735,-0.4723171,-0.47173125,-0.36954655,-10.875765,0.6533578605,1.3955875,285.30635,-4.609169
1,17.75,0.145924,0.064451,0.0616835,0.0077895,-6.838078,-0.2412675,1.207915,-3.4e-05,396.706286,3.716999,-9.1872,77.279,2.6233075555,0,234.73655,0,98.26,-5.029875676,-0.5145659,-0.4729965,-0.4842356,-0.3869564,-15.8519,0.636200393,0.42917375,283.2018,-5.052225
1,18.25,0.146786,0.0709255,0.06665,-0.001008,-8.085137,-0.21327,0.652515,-0.020471,397.031062,3.832221,-9.1417,79.053,2.613921,0,232.6056251,0.005176842,98.341,-5.137022292,-0.4982807,-0.4608657,-0.47166795,-0.3743128,-15.256525,0.624789611,0.4678281,282.43485,-5.141503
1,18.75,0.151329,0.063912,0.049897,0.001323,-8.391533,-0.127003,0.845393,-0.013914,396.346568,3.6682355,-9.41605,79.65488,2.6884390345,0,233.385,0,98.3395,-4.786401077,-0.49854495,-0.4557762,-0.46487385,-0.3868696,-13.794525,0.5899242835,0.3402274,281.8889,-5.2417945
1,19.25,0.1390415,0.018627,0.050342,-0.00544,-7.48774,-0.2511495,0.386125,-0.029961,396.219685,3.661329,-9.51825,79.5909,2.708,0,232.565,0,98.4,-5.413377271,-0.4858611,-0.4452302,-0.45526745,-0.37894545,-14.836975,0.570803883,0.44769405,280.6268,-5.193944
1,19.75,0.135249,0.036422,0.045865,-0.006159,-7.4776965,-0.143558,0.3246245,-0.024066,396.211223,3.6328,-9.6933,80.044,2.598286,0,232.755,0,98.4065,-5.107454401,-0.4648118,-0.4231716,-0.4293772,-0.3848681,-14.62524,0.5541976555,0.46624525,279.0043,-5.434941
1,20.25,0.146403,0.053809,0.041227,-0.005991,-6.9352985,-0.1088405,0.740148,-0.000259,395.4903595,3.596732,-9.8089,80.945,2.618167,0,234.2443,0,98.336,-5.3405975805,-0.43720685,-0.4122517,-0.41560375,-0.36754215,-16.57703,0.546901017,0.6204481,277.85485,-5.634493
1,20.75,0.143105,0.080593,0.076718,-0.0010225,-8.527337,-0.114162,0.337832,-0.0034375,395.381841,3.611486,-9.8177,82.17735,2.6303395,0,234.47,0,98.393,-5.3094399175,-0.43796365,-0.41054915,-0.42860415,-0.37138165,-20.18713,0.5467837145,0.60041195,279.656,-5.47235
1,21.25,0.148476,0.051785,0.058624,-0.00295,-9.39526,-0.082955,0.6373295,0.006596,395.580267,3.621863,-9.997459,82.698,2.561659,0,235.15239905,0,98.356998,-5.278177751,-0.5134569,-0.44895175,-0.43244755,-0.3852363,-23.50789,0.5170830815,0.544502,275.8652,-5.4539795
1,21.75,0.141596,0.079461,0.0858275,0.001489,-9.278682,-0.122522,0.354931,-0.0193365,395.21175,3.545166,-10.1925,82.974,2.6624835,0,237.52,0,98.331847,-5.480996959,-0.5393315,-0.47118335,-0.4302443,-0.3833327,-26.52732,0.4823222905,0.6381765,279.71845,-4.8554415
1,22.25,0.133132,0.055831,0.056076,-0.0039285,-7.995225,-0.0762695,0.451956,-0.017728,395.637586,3.841702,-10.357,82.935,2.667118,0,238.98,0,98.35246,-5.4539174375,-0.5638324,-0.48196555,-0.43137655,-0.3811837,-14.95851,0.4696502845,0.55800115,277.36505,-5.488246
