DOY2,HR2,PA,TA,RH,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2,H2O,FC,LE,H
1,0.25,97.0735,-31.609625,67.132975,-0.025039875,-0.0650655,0.59769075,0.01,-5.3272025,-4.3555,-36.55135,-17.7802,-30.6189,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,0.75,97.017,-31.4498,66.930875,-0.017046625,-0.07248605,0.59769075,0.01,-5.3121425,-4.34788,-36.55135,-17.9816,-31.64205,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,1.25,96.95525,-31.984125,66.1696,-0.014191075,-0.062267375,0.59769075,0.01,-5.301975,-4.3422,-36.55135,-18.106,-32.181125,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,1.75,96.91675,-32.227525,65.81335,-0.022743975,-0.070295325,0.6050295,0.01,-5.3010625,-4.3442375,-36.55135,-18.0661,-31.7433,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,2.25,96.99775,-32.5731,66.213125,-0.0145022,-0.06972495,0.61236825,0.01,-5.289585,-4.33962,-36.55135,-18.20755,-32.1798,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,2.75,97.03075,-32.788175,66.1748,-0.023221175,-0.0679846,0.619707,0.01,-5.27714,-4.33402,-36.55135,-18.3222,-31.8224,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,3.25,97.10475,-33.092175,64.9797,-0.01439775,-0.086714875,0.62704575,0.01,-5.26973,-4.3438875,-36.55135,-18.586375,-32.71275,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,3.75,97.1645,-33.664925,65.220825,-0.01738765,-0.07820765,0.6343845,0.01,-5.2600025,-4.33633,-36.55135,-18.6834,-33.52155,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,4.25,97.1225,-33.84235,67.3606,-0.018066775,-0.0661294,0.64172325,0.01,-5.2546525,-4.3266,-36.55135,-18.7883,-33.1733,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,4.75,97.106,-34.170175,67.26325,-0.0286988,-0.08669035,0.649062,0.01,-5.2470725,-4.33971,-36.55135,-19.01115,-34.0629,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,5.25,97.125,-35.14495,66.50465,-0.0202461,-0.0706403,0.65640075,0.01,-5.23952,-4.33161,-36.55135,-19.21995,-34.0327,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,5.75,97.0875,-35.4718,66.305,-0.020640425,-0.064410875,0.6637395,0.01,-5.246565,-4.335275,-36.55135,-19.435125,-34.18925,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,6.25,97.041,-35.0134,66.495725,-0.026880825,-0.064672125,0.67107825,0.01,-5.2452325,-4.3366675,-36.55135,-19.575425,-33.672475,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,6.75,96.97675,-34.83085,66.657625,-0.022547975,-0.054197725,0.678417,0.01,-5.24611,-4.3353125,-36.55135,-19.64495,-33.746225,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,7.25,96.929,-34.92615,66.10035,-0.015024925,-0.066202975,0.68575575,0.01,-5.252935,-4.3349475,-36.55135,-19.83095,-33.771675,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,7.75,96.8945,-34.48425,65.8988,0.061314875,-0.003141975,0.6930945,0.01,-5.268645,-4.3356625,-36.55135,-20.04975,-34.03825,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,8.25,96.861,-33.26615,65.3379,2.38689,2.0567875,0.70043325,0.01,-5.2856175,-4.33615,-36.55135,-20.1045,-33.826,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
1,8.75,96.85075,-31.62375,65.249175,19.273975,15.0657,0.707772,0.01,-5.29822,-4.35063,-36.55135,-20.05745,-33.50505,392.92145,0.28937475,-0.0446972,-0.33639125,-32.4358
