DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,0.25,511.5105,4.588775,0.52644645,0.04666245,1.088027,0.1444535,6.773632,0.180793,99.485275,92.6785,-0.639999999999986,-2.33349999999999,0.967826,295.63,302.85,-5.2123,0.023993,-0.26351,0.57923,-0.00716111,0.58687175,0.21601325,0.093337,0.46828125,2.47869
1,0.75,509.771,4.508,0.621475275,0.045833,3.287930625,0.2826795,9.089528,0.0977318,99.674475,91.89425,-0.42349999999999,-2.05299999999997,0.95683225,295.4875,305.4275,-6.26925,0.02413925,-0.6800825,0.471645,-0.00619648,0.7393425,0.23517725,0.105200825,0.56361225,2.3666875
1,1.25,508.1905,4.73165,0.5662329,0.085663525,1.5884347,0.23077225,10.079992,0.222314,99.619025,91.343,-0.475499999999982,-2.288,0.89035825,294.95,305.2525,-7.1502,0.022948,-0.711175,0.6891425,-0.00590841,0.98010625,0.2259765,0.119214,0.5970685,2.3765725
1,1.75,507.647,4.6026,0.7183708,0.0378271,1.1322185,0.1017413,6.6385417,0.128262675,99.56765,90.36275,-0.781499999999994,-2.30349999999997,0.911001,294.065,303.97,-9.65015,0.02396225,-0.6519675,0.75275,-0.006263055,0.66565,0.1909295,0.10120045,0.5769275,2.11463
1,2.25,508.92975,4.62072,0.714443,0.0588704,1.168175,0.148071,10.321445,0.676405,99.530375,91.7845,-1.02499999999998,-2.46049999999995,0.87169925,293.575,303.7825,-9.63065,0.02402025,-0.759335,0.5430775,-0.00401833,0.62573,0.20157775,0.08579465,0.46475925,1.7959675
1,2.75,510.34725,4.4762375,0.53926126,0.052755025,0.5790477,0.14262725,6.4322366,0.138658,99.55725,92.547,-0.74199999999999,-2.52799999999999,0.90311825,296.955,304.1825,-8.9651,0.023966,-0.5524475,0.50673,-0.0073975,0.69626325,0.19788125,0.08001415,0.34946225,2.2598
1,3.25,510.003,4.29197,0.9445241,0.0643888,-0.205467,0.175526,4.666403,0.258253,99.61195,92.252,-1.66774999999999,-2.53874999999999,0.798041,291.2225,303.355,-7.199925,0.02233025,-0.52503,0.4903925,-0.006565045,0.5000625,0.217603,0.07623775,0.434095,1.952665
1,3.75,508.33675,4.5365225,0.877401,0.0415416,-0.7528125,0.217849,6.5095075,0.205568,99.63995,93.566,-1.70899999999997,-3.05599999999998,0.76980975,290.9425,303.21,-5.52105,0.02302,-0.39286,0.3513325,-0.0091631875,0.6058925,0.20180225,0.06831645,0.394188,1.79474
1,4.25,509.999,4.18499,0.82439524,0.0641379,-0.147091875,0.0850958,5.543229,0.16257,99.68495,95.00075,-1.75974999999999,-3.16649999999998,0.707471,292.9725,303.1525,-9.02795,0.02133875,-0.504875,0.521865,-0.005487035,0.373634,0.172501,0.05567835,0.3124085,1.78696
1,4.75,514.613,4.17436,0.58025549,0.0452085,-0.718932775,0.031686625,5.731501925,0.054337925,99.5373,93.753,-2.20499999999998,-2.99599999999998,0.763361,292.855,304.0875,-8.027725,0.02263,-0.3612225,1.15172,-0.0052976,0.402544,0.184657,0.0584719,0.285738,2.159175
1,5.25,513.7,4.2784475,0.5540838025,0.0207651,0.49158901,0.24508075,6.966528235,0.2075925,99.587025,94.387,-1.79499999999996,-3.01900000000001,0.8365335,291.9525,304.1025,-4.071175,0.023002,-0.4425475,0.56243,-0.0059853825,0.37211575,0.19155475,0.0665401,0.339881,1.9113175
1,5.75,510.99725,4.2551025,0.718021725,0.087680575,-0.5822485,0.36009625,4.644421475,0.1072965,99.611125,94.134,-1.66674999999999,-2.81924999999995,0.862367,291.4825,303.385,-2.8435,0.02327875,-0.43262,0.5047425,-0.00454156,0.59662,0.1930525,0.061531125,0.370923,1.981255
1,6.25,511.065,4.5864275,0.551963575,0.09320495,-0.09718633,0.64811625,5.643809275,0.47245375,99.65315,94.196,-0.208499999999987,-2.89074999999995,0.867768,290.28,303.0275,-3.033475,0.023277,-0.40106,0.5321075,-0.0098451525,0.58582725,0.2084835,0.075819125,0.4192015,2.23512
