DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,RH_1_1_1,RH_2_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,SW_IN_1_1_2,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_1_2,TS_1_2_2,TS_1_3_2,NETRAD_1_1_1,TAU_1_2_1,H_1_2_1,LE_1_2_1,FC_1_2_1,WS_1_2_1,USTAR_1_2_1,T_SONIC_1_2_1,TA_1_2_1,PA_1_2_1,RH_1_2_1,CO2_1_2_1,H2O_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,TAU_1_3_1,H_1_3_1,LE_1_3_1,FC_1_3_1,WS_1_3_1,USTAR_1_3_1,T_SONIC_1_3_1,TA_1_3_1,PA_1_3_1,RH_1_3_1,CO2_1_3_1,H2O_1_3_1,U_SIGMA_1_3_1,V_SIGMA_1_3_1,W_SIGMA_1_3_1,T_SONIC_SIGMA_1_3_1,PPFD_OUT_1_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_1_2,TS_3_2_1,TS_3_2_2,TS_3_3_1,TS_3_3_2,SW_DIF_1_1_1,T_CANOPY_1_1_1
1,5.25,-0.00256819699999999,37.830175,35.38832,2.50814575,9.02171,0.6246105,18.049075,425.746975,12.882165,1.783358,1.24408175,0.7047735,0.6705555,99.8467,11.9815,11.34,99.2104175,97.4,0,339.83855,3.035,354.96525,-2.3715,4.316478,16.04,14.603425,13.40911,12.10163,13.31685,9.121,8.82999999999999,8.6475,9.12125,8.92375,8.6255,0,-0.00239884150000001,49.4998,29.3297,3.64503275,12.07772,0.59248365,17.99198,16.6451125,99.726435,83.3701,414.288825,12.3454125,1.78241,1.306093,0.7228884,0.725234399999999,-0.00207719300000001,45.2288125,29.313125,2.906876,14.361675,0.640939675,16.7925,15.84294,99.488575,99.555815,404.913525,12.573345,1.7710675,1.3657405,0.771424424999999,0.818483,4.13349999999999,7.5413025,7.85760675,7.99726,8.22783175,9.2378915,10.830685,8.492495,8.426025,8.10529075,8.2085265,8.05490675,8.2655485,3.5282725,10.0066175
1,5.75,-0.0030751745,34.1385174999999,37.403235,2.81277675,9.294342,0.66686115,18.0162,424.2208,12.9043825,1.7243415,1.29983,0.7423294,0.66943125,99.837,11.7095,10.98,99.1608325,97.495,0,339.752,3.0605,355.102775,-2.33575,4.565882,17.33,5.8395,5.43228824999996,6.94060574999995,7.814115,9.05825,8.78824999999999,8.583,9.054,8.83825,8.5185,0,-0.00287762900000001,40.7443124999999,30.94612,3.0962665,12.025075,0.60655655,17.98438,16.529445,99.7009175,82.17467,414.51065,12.245285,1.6799335,1.381329,0.74595085,0.720968999999999,-0.0024734125,42.9896,32.2218825,2.75481575,14.10539,0.60205155,16.566775,15.60206,99.47242,99.77862,404.5505,12.48513,1.76090175,1.320106,0.783962774999999,0.73262815,4.80812499999999,7.5892015,7.84215825,7.967565,8.23004825,9.238305,10.8289,8.47073425,8.409375,8.11802,8.18266425,8.07049075,8.22903,3.53440075,9.83935
1,6.25,-0.00269706,32.333025,38.331845,2.011926,9.672881,0.651358249999999,17.855625,423.36385,12.591015,1.693027,1.33950425,0.7436509,0.621870975,99.867,11.6778925,10.92,99.1010825,97.4,0,338.681,3.5895,354.28795,-1.3905,4.722545,16.73,16.08634,12.134765,11.48015,12.11075,9.01,8.71374999999999,8.54925,9.052,8.75,8.40874999999999,0,-0.00263622650000003,49.3370799999999,27.672375,3.78275349999998,12.582275,0.639979374999999,17.944425,16.2958,99.7368,83.148135,413.82925,12.035315,1.67797825,1.28408225,0.7457458,0.759690875,-0.0024251645,49.10435,34.519775,2.55661075,15.081295,0.714576,16.227895,15.30225,99.484805,100,404.7869,12.44015,1.71311,1.3108,0.802661,0.8324052,5.38747499999999,7.6386485,7.83199575,7.947775,8.23168,9.236695,10.830275,8.446275,8.3936765,8.1354,8.177275,8.0739435,8.1600025,4.08695325,9.6836765
1,6.75,-0.00311212800000001,36.296075,32.0264,2.24366,9.618474,0.622020025,17.459705,422.9461,12.448085,1.80565625,1.241545,0.730178475,0.584892225,99.9,11.51655,10.735,99.13505,97.68,0,337.8478,3.28875,353.31775,0.369,4.31016275,18.115,5.8657975,6.70336249999999,6.70481074999998,7.627085,8.962,8.63824999999999,8.48375,9.04,8.67375,8.30974999999999,0,-0.00238152850000001,39.3438049999999,33.62562,3.39758775,12.701545,0.631706374999999,17.82534,16.177575,99.742535,83.769215,415.580075,12.673075,1.70411475,1.40664175,0.761866174999999,0.6454412,-0.00265772550000001,53.3579799999998,36.2129874999999,2.592297,14.2864075,0.693142,16.153795,15.2158525,99.5090725,100,405.1882,12.68097,1.77897,1.45965,0.825081,0.72235155,5.30302499999999,7.67646,7.79994,7.91385075,8.232505,9.236225,10.82919,8.42500925,8.36525925,8.16245925,8.176005,8.0623775,8.0593825,3.3758225,9.61371075
1,7.25,-0.0020819215,36.775125,35.6489349999999,2.221822,9.43371799999999,0.622262825,17.524625,423.691875,12.4688425,1.687542,1.3046745,0.6998055,0.63534325,99.9,11.4395325,10.405,99.1867,97.2925,0.237,341.826775,3.2909325,353.348775,2.28375,4.67787775,18.4125,14.30336,11.953195,10.954575,12.25445,8.924,8.56449999999999,8.44925,9.00925,8.6085,8.411,0,-0.002585302,51.450715,36.470525,2.987018,12.431505,0.635629874999999,17.2848175,16.0319,99.775675,82.0937,414.8372,12.60096,1.6264795,1.38198675,0.768715424999999,0.788971649999993,-0.002293089,56.767595,35.19352,3.5269755,14.820365,0.619359,15.67138,15.12587,99.5387675,100,405.6499,12.28557,1.62829,1.35277,0.788001,0.72035435,5.71749999999999,7.71814825,7.75691,7.8863175,8.23869325,9.23192325,10.8285575,8.3965015,8.3400235,8.16176075,8.172705,8.036666,8.04348075,3.815501,9.6975485
1,7.75,-0.00282189575,34.8664575,38.0696,2.09896275,9.34748349999999,0.63945935,17.36968,423.9025,12.3834025,1.745248,1.2579045,0.7137826,0.790774999999998,100,11.276275,10.3,99.1033,97.48,23.995,339.44625,13.52,354.425475,3.0175,24.52166,39.2875,6.87648149999998,6.39353749999998,8.12021424999999,6.364485,8.87424999999999,8.5315,8.50774999999999,8.96125,8.53874999999999,8.21899999999999,3.77836199999999,-0.00248701400000001,49.37438,38.7633,3.46372575,12.436,0.62600195,17.07244,15.79725,99.8217825,80.5269675,414.1672,12.610325,1.683431,1.244915,0.74646415,0.651376599999999,-0.0032072725,56.1287825,45.1177875,2.989534,14.45183,0.627842,15.6467,15.02038,99.561485,100,406.13935,12.21674,1.85084,1.40125,0.740493,0.672425,18.63225,7.6828525,7.7135225,7.85694925,8.23906825,9.23320175,10.826175,8.36928425,8.31846425,8.1644235,8.165495,7.99901825,8.04007075,19.7765775,9.69603925
1,8.25,-0.00316117575000002,48.3191899999999,43.30945,1.9050485,9.99592825000001,0.646218,17.45346,424.4646,12.39645,1.8538525,1.24555025,0.7399391,0.89633595,100.017825,11.41,10.575,99.0049175,97.5,106.7947,341.381,51.08,355.5681,15.8325,112.13205,168.7535,13.5914775,11.56675,11.2405425,12.477215,8.82149999999999,8.484,8.52325,8.91874999999999,8.45424999999999,8.13749999999999,38.9453725,-0.00305198775,53.143715,31.0234199999998,2.7114895,13.2094625,0.63035475,17.2162075,15.91735,99.832925,83.299695,414.309775,12.4869,1.6738875,1.2840725,0.7811735,0.665793424999999,-0.0035114795,58.7193,41.90679,3.34128874999999,14.7222875,0.72271275,15.553315,14.892075,99.59252,100,406.677325,12.1750475,1.85751575,1.33502275,0.88648575,0.8116058,85.675,7.6261,7.668133,7.8268135,8.2386315,9.233867,10.823885,8.35282,8.29561425,8.14875,8.1233,7.97393325,8.034114,77.61539,10.0467
1,8.75,-0.00639757100000003,76.6860099999999,47.0017125,2.331908,10.052605,0.649006399999999,17.418175,421.43675,12.3536,1.864052,1.283194,0.749638199999999,0.89342825,100.033,12.0781675,11.515,98.82,97.235,202.5515,341.22075,105.8,359.613,45.8675,199.1198,367.19675,11.43675,8.22474999999999,10.07025,9.75114999999999,8.755,8.441,8.49475,8.86875,8.36599999999999,8.10674999999999,112.528,-0.00947357175,78.7646875,48.0879799999999,2.25405125,13.29486,0.629597,17.20685,15.980075,99.8723725,86.07296,415.5115,12.62882,1.82359,1.33039625,0.78014825,0.787842625,-0.00555847,81.0027399999999,57.9114799999998,4.210192,15.1239625,0.72871785,15.700625,14.7588125,99.5926,100,406.384175,12.260075,1.84360025,1.36114125,0.867399625,0.736280675,206.675,7.56527825,7.6266465,7.787385,8.23112325,9.23328,10.825025,8.33386575,8.26471425,8.1205485,8.09390925,7.97237175,8.02640075,123.4939,10.759125
1,9.25,-0.00982274875,109.3141,59.93453,2.22405,10.466325,0.6443485,17.73092,419.3169,12.5245075,1.857006,1.40362925,0.6999429,0.7823535,100.087,12.581,12.16,98.88,96.5,305.4,338.055,173.36,362.9872,94.15,298.3642,574.702175,22.306365,17.2491325,19.50134,19.0246325,8.70499999999999,8.38375,8.5605,8.82149999999999,8.28325,8.12849999999999,166.8892,-0.01216268,110.4595,54.184525,3.522708,13.29896,0.660092874999999,17.35355,16.0414025,99.9159775,88.3435525,414.7438,12.6485275,1.8601235,1.4476445,0.803223099999999,0.7218225,-0.01095665,126.89675,63.9965525,4.38932,14.834175,0.71409525,15.85858,14.8094375,99.60135,100,406.1565,12.585905,1.768089,1.434871,0.8523113,0.836783,332.65,7.5586585,7.60320925,7.75565825,8.2323335,9.23263175,10.8167,8.3075485,8.24491575,8.06602175,8.1193765,7.96677675,8.00277675,171.1588,12.53031
1,9.75,-0.0124315825,135.4959,74.78001,2.37375375,11.30125,0.6937268,18.24358,418.5817,12.5643,2.0040545,1.55258675,0.7740393,0.892719899999999,100.1,13.18175,12.8,98.722,96.3025,391.4385,337.4265,222.6,370.17825,147.55,371.3496,765.82525,25.866,17.826,22.79425,20.372,8.65324999999999,8.31575,8.66949999999999,8.77149999999999,8.27675,8.432,227.088,-0.0110932625,128.240875,69.5686574999998,3.68333899999999,14.06942,0.6983198,17.7785875,16.44334,99.9444525,88.31828,413.06075,12.770435,1.873605,1.575857,0.82174845,0.833263375,-0.0152280125,136.27965,86.16505,3.719934,15.57721,0.77000465,16.1487375,15.342425,99.6274,100,405.164175,13.2272,1.8599715,1.579545,0.9117103,0.791085125,453.95,7.5664535,7.607115,7.7170975,8.226155,9.2311665,10.8213675,8.28809075,8.26274075,8.052405,8.14865,7.90810675,7.967609,202.693425,13.5146325
