DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_2_1,RH_1_2_1,WS_1_2_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,T_CANOPY_1_1_1,T_CANOPY_2_1_1,PPFD_OUT,PPFD_IN,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_1,TS_1_5_A,TS_1_6_A,TS_1_7_A,TS_1_8_A,TS_1_4_A
1,0.25,-57.2525,-26.9174303575,3.2759,-4.8045,0.232016106825,0.31745175,404.4241,8.1746,12.19789,89.3956,10.145,68.242953755,1.642,10.615,64.44475,2.815885144,-0.23125,1.92925,293.8,353.9,8.022,6.0905,0.107938220525,0.0451,11.839375,12.748625,14.201375,14.187625,13.899875,14.3295,15.612375,15.6375,12.120875
1,0.75,-56.745,-26.15048244,3.4634258435,-5.65575,0.20615,0.31834675,404.4435,8.209,12.138975,89.3904225,10.0075,67.96515,1.645,10.6175,64.203225,2.852,0,1.8575,293.9,353.75,7.8285,6.0745,0.1222,0.044268,11.642175,12.5155,14.055875,14.19825,13.9175,14.341625,15.608875,15.63,12.1155
1,1.25,-56.61,-23.67255,3.3312585415,-5.1178,0.2179079675,0.320975,404.519825,8.228325,12.260625,89.3792,10.0375,68.4486876525,1.66125,10.6175,64.8880982975,2.818275,0,1.827,295.5,353.025,7.499,5.9025,0.1205747639,0.0461,11.45935,12.319625,13.9465,14.21475,13.932375,14.342625,15.572125,15.6375,12.107125
1,1.75,-55.71,-23.8052,3.6049,-6.205375,0.23487328235,0.3224,404.60425,8.23785,12.2666825,89.376525,9.9575,68.9377673075,1.648,10.35,65.2021607825,2.769325,0,1.867,293.9,352.325,7.6195,5.673,0.1110557036,0.048,11.2231,12.097875,13.82725,14.223375,13.96525,14.356625,15.602125,15.635,12.10025
1,2.25,-55.83,-24.9088,3.3305,-5.959675,0.2695,0.3246172,404.77398505,8.07585,11.9806,89.37235,9.9025,70.233275,1.611,10.4175,65.1607469025,2.79849744425,-0.018,1.842,293.7,352.1,7.4905,5.63,0.1142287237,0.039176,10.9668,11.95075,13.700875,14.2185,13.97575,14.3545,15.62475,15.6275,12.07825
1,2.75,-55.465,-24.10164043,3.487907132,-6.770125432,0.258525,0.327325,404.5813,8.0157,11.73185,89.3648425,9.6975,70.3522787,1.6445,10.34,65.994825,2.81606928975,-0.012,1.833,293.7,351.15,7.38425,5.4135,0.1205747639,0.0394,10.7988,11.7725,13.575625,14.19875,13.965,14.36075,15.60625,15.6275,12.047875
1,3.25,-54.5875,-22.093660645,3.695191719,-5.929,0.2299,0.314975,404.22635,7.979075,11.6454,89.3621,9.5975,70.3957245,1.63875,10.255,65.7081,2.7943547065,-0.184,1.90225,293.1,350.05,7.38775,5.0775,0.1055029184,0.043125,10.6455,11.624375,13.44025,14.18075,13.9665,14.35425,15.5905,15.6275,12.021625
1,3.75,-55.005,-22.7441,3.654373847,-5.84935,0.23005,0.3134327,404.0753,7.840775,11.6944,89.3525,9.58,69.48055,1.61875,10.175,64.84735511,2.75145,-0.021,1.906,290.6,349.4,7.15425,4.9065,0.1125,0.0394,10.4743,11.49125,13.325625,14.179375,13.980125,14.36325,15.584125,15.6275,11.991625
1,4.25,-52.41275,-22.256660895,3.95224600525,-6.1479537965,0.2209,0.316275,404.1727,7.87393404,11.62795,89.33955,9.5,69.396216145,1.5915,10.1175,65.081075,2.737575,0,1.8215,290.5119,348.475,7.0045,4.836,0.1078826835,0.04045,10.3103,11.34125,13.20175,14.15375,13.9765,14.3455,15.590125,15.6175,11.95725
1,4.75,-51.99935,-21.78795,4.245937191,-6.11965227975,0.219525,0.31615,404.3828,7.7678,11.62642,89.3325725,9.4375,68.8206987125,1.61825,10.1075,64.93067736,2.7511,0,1.893,291.3,348.425,6.7975,4.8415,0.116,0.036555,10.152,11.135625,13.048375,14.127125,13.965,14.365875,15.5965,15.6175,11.9315
1,5.25,-52.29,-21.52355,3.504869137,-5.16095,0.23659137295,0.3204,404.079575,7.8532903955,11.609675,89.3385,9.32,69.4747,1.61875,10.05,65.34585,2.74524501,0,1.867,290.9,348.425,6.906,4.8745,0.116,0.035601,9.978,10.964125,12.974875,14.12725,13.991,14.371125,15.587375,15.6275,11.884875
1,5.75,-52.76,-21.462307745,4.198039414,-7.82327079775,0.2544130526,0.31405,403.904525,7.9068,11.394675,89.349125,9.385,69.888225,1.58175,10.0075,64.7477,2.799989099,0,1.875,291.0485,347.725,6.8605,4.692,0.1084509607,0.0336,9.8445,10.841125,12.84825,14.1075,13.989125,14.3605,15.596875,15.62,11.851125
1,6.25,-54.22,-20.88920675,3.6681,-6.7908777025,0.247450912,0.3204,403.94335,7.9916750855,11.2869,89.36501,9.3325,69.523348995,1.58,10.005,65.915175,2.7301,-0.04,1.90725,289.675,347.85,6.856,4.64825,0.114521123075,0.03555,9.6495,10.69075,12.719875,14.11175,13.9695,14.389125,15.598875,15.6175,11.8165
