DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,2.37553987775,31.041997644,20.873495,0.5296,-0.655875,-0.7915,90.375,0.375481894875,93.14,0.812375,5.88199999999998,0.9984055,1.10744,-0.718,8.116575,-0.6252,-0.357700000000001,0.3268,-0.674000000000001,-0.2341,-0.53,423.5275
1,0.75,1.8192643414,32.9826749999999,15.17118718,0.4726,-1.0916,-0.816375,90.62,0.3642349835,93.165,0.726424999999999,5.456,0.526242874999999,0.501033999999998,-0.7415,8.28065000000001,-0.61175,-0.3604,0.318,-0.6726,-0.2342,-0.5174,434.15
1,1.25,2.238845186125,35.17423,32.185123856,0.388625,-0.800675000000007,-0.7529,90.6,0.4243001974,93.17,0.703449999999999,7.543625,0.5635119,0.530776175,-0.7751,8.369,-0.6137875,-0.3605,0.3212,-0.686799999999999,-0.2326,-0.5138,436.84
1,1.75,3.49942264739999,36.507498424,18.284652011,0.4311,-0.234775000000002,-0.8408,91.4375,0.4049927148,93.16,0.780499999999998,7.27314999999999,0.54891725,0.48420675,-0.73425,8.6855,-0.6169125,-0.36165,0.32195,-0.689225000000001,-0.237975,-0.513575,422.22
1,2.25,2.0557451205,32.3389999999998,15.9120548,0.474999999999998,-0.393300000000001,-0.912675,89.6825,0.47260138905,93.16,0.94395,7.72635,0.495107875,0.47631075,-0.81905,8.70149999999999,-0.63475,-0.3688125,0.327475,-0.697400000000001,-0.240275,-0.51605,421.3625
1,2.75,2.69787474965,28.4546924305,26.2526,0.271474999999999,-0.357100000000005,-0.88765,89.2825,0.46680078705,93.13,0.6846,4.4601,0.472029799999999,0.512119449999999,-0.83245,8.1826,-0.6392875,-0.377025,0.322125,-0.693500000000002,-0.2444,-0.51835,424.31
1,3.25,2.050381003875,25.296925,21.8420874999999,0.505899999999999,-0.119575000000006,-0.85415,90.965,0.4547209582,93.06,0.751549999999998,5.00067500000001,0.533921325,0.505180399999999,-0.80665,8.4085,-0.6406125,-0.37855,0.32665,-0.689725000000002,-0.249175,-0.521175,424.38
1,3.75,1.52155056385,21.369,23.773027675,0.536999999999998,-0.357925000000005,-0.82115,90.7125,0.469675755,93.06,0.890349999999999,10.388,0.5687658,0.541025,-0.80405,8.09715,-0.6412625,-0.3799,0.32465,-0.686600000000002,-0.250875,-0.521225,423.55
1,4.25,2.729678797125,22.2015,53.8421599775,0.612125,-0.556650000000001,-0.808,90.33,0.507266986,93.06,0.9038,4.42189999999999,0.5535502,0.474624425,-0.79615,7.8319,-0.6424375,-0.381425,0.325,-0.722550000000001,-0.251925,-0.528525,423.6125
1,4.75,1.987272999,15.433295,25.7884275,0.61455,-0.353750000000003,-0.880024999999999,91.5125,0.40926825,93.06,0.77435,8.25199999999996,0.4491498,0.50281655,-0.86015,7.96615,-0.6434375,-0.3826125,0.323,-0.78785,-0.25215,-0.536575,424.75
1,5.25,2.2921273953,21.7979,32.2128950032499,0.46275,-0.373850000000001,-0.839124999999999,91.165,0.3885985596,93.06,0.791099999999998,5.562925,0.470517399999999,0.46495475,-0.8221,7.74305,-0.644275,-0.3848,0.316475,-0.8056,-0.25285,-0.54285,422.98
1,5.75,2.230967010975,29.1009199999999,20.156,0.31395,-0.488750000000002,-0.82095,91.465,0.392232,92.99,0.723299999999999,5.61935000000002,0.435816875,0.551956,-0.8732,7.84455,-0.6449375,-0.3871625,0.326,-0.8023,-0.2539,-0.5468,424.06
1,6.25,2.25606188825,30.1540228035,22.290375,0.418499999999999,-0.2965,-0.91115,91.7825,0.4431173372,92.96,0.7844,6.48730000000001,0.543536425,0.550441599999999,-0.861,9.05875,-0.6459375,-0.388175,0.325775,-0.796875000000001,-0.25455,-0.5514,423.3775
1,6.75,2.1183788745,22.6146925,42.02837,0.41205,-0.660050000000007,-0.80935,92.41,0.4216975,93.0325,0.68975,10.67425,0.531184799999999,0.4711363,-0.765750000000001,8.62124999999999,-0.6471125,-0.3903625,0.31765,-0.811725,-0.25455,-0.553175,422.0825
