DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,TA,PA,RH,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,0.25,-0.5076517,-52.6803275,-19.5685,-4.0165205,-3.870459,-55.97144,-2.27396575,0.109174975,0.04656,-13.61769,-14.0583025,96.5191225,51.7329275,382.39725,1.621432,0.147158375,0.16580155,0.030225,0.0453975,-14.0583025,51.7329275,-9.4761705,-4.3030895,-0.41933115,248.9531,251.55825,-0.0816825,-4.1608965,-32.021735,-41.368925,-20.80925
1,0.75,-0.470330725,-44.0066975,-33.749175,-6.86778425,-2.14548475,-45.969815,-1.0452933,0.253541875,0.0386475,-13.74441,-14.0535475,96.4853,51.65451,382.364375,1.589228,0.142851225,0.1574325,0.0351025,0.04513,-14.0535475,51.65451,-9.503115,-4.4598345,-0.311587925,248.95075,251.559275,-0.0808325,-4.22491,-33.1090725,-43.0226725,-20.5355
1,1.25,-0.433458775,-55.935615,-40.565125,-2.51988875,-2.648147,-1.4176455,-3.709885,0.100253775,0.04923,-14.00465,-14.3513325,96.4455725,51.4164175,383.096875,1.561428,0.180126875,0.1883939,0.0345925,0.0528125,-14.3513325,51.4164175,-9.28037875,-4.364557,-0.116746525,247.447225,250.1707,-0.0745825,-4.24789025,-34.2209875,-44.84374,-21.19975
1,1.75,-0.4364559,-47.093975,-37.59361,-23.34213,-2.277964,-3.583032,-3.654748,0.16854495,0.0331175,-14.1371375,-14.43625,96.41012,51.416635,382.90175,1.579051,0.14295575,0.1696043,0.0307475,0.04981,-14.43625,51.416635,-9.607223,-4.08221575,-0.139083175,247.49585,250.244525,-0.0824225,-4.28303475,-35.359195,-46.451625,-20.47325
1,2.25,-0.4193698,-61.7351,-30.9513375,-9.48297,-2.927226,-35.096517,-2.5007925,0.2005338,0.0427,-14.32484,-14.67228,96.4016,52.6055,382.94475,1.57087875,0.1582748,0.1466218,0.03372,0.04312,-14.6708525,52.67345,-9.4991155,-4.03875125,-0.40841435,246.42775,249.0668,-0.0705875,-4.360786,-36.1835075,-47.5070375,-21.855
1,2.75,-0.3699728,-50.76158,-27.20602,-12.30580125,-3.143566,-5.25816225000001,-2.13135625,0.1805032,0.04002,-14.40494,-14.7134,96.39978,55.6247,382.3365,1.5616545,0.1752964,0.1257854,0.03416,0.0455,-14.7056625,55.6612,-9.115407,-4.43766725,-0.21104405,246.564925,249.105025,-0.070315,-4.4380545,-37.1345775,-48.7676975,-22.096
1,3.25,-0.4174386,-49.72022,-17.57094,-19.4982125,-2.390168,-1.81162475,-2.08274375,0.1370502,0.03214,-14.61272,-14.95656,96.41948,54.79996,382.232375,1.540298,0.1596708,0.1435378,0.03092,0.04416,-14.95563,54.8489925,-9.32560725,-4.287355,-0.236055125,243.895875,246.174775,-0.065045,-4.49917825,-38.14328,-49.805935,-23.39625
1,3.75,-0.5247662,-43.78244,-11.7633,-13.4869125,-2.28803,-59.2142,-2.3441385,0.2266526,0.03166,-14.7514,-15.44328,96.42596,55.10992,382.9625,1.5443855,0.1585724,0.1530128,0.03588,0.0521,-15.4308275,55.16521,-9.67340375,-4.334084,-0.195051625,240.6235,242.847025,-0.0633825,-4.5253735,-38.9656325,-49.714215,-24.00375
1,4.25,-0.536242,-53.22898,-15.408765,-4.485973,-2.652498,-3.15561225,-3.2337925,0.1994266,0.04154,-14.95242,-16.00386,96.44192,53.35544,383.015625,1.541085,0.1818022,0.1689602,0.04274,0.04976,-15.994155,53.35822,-9.304868,-4.26472925,-0.28807825,238.583625,240.984125,-0.058985,-4.54438175,-38.400525,-49.6362775,-24.22525
1,4.75,-0.4309544,-60.62068,-12.71736,-3.779933,-2.923404,-113.758,-1.310905,0.234566,0.04344,-15.1046,-15.8808,96.43644,52.37882,381.798125,1.526874,0.1346024,0.185137,0.03628,0.0502,-15.8733875,52.4278975,-9.4791345,-4.44080775,-0.2948139,238.30785,241.155025,-0.0493525,-4.5597485,-37.6382,-49.604835,-23.969
1,5.25,-0.507426,-47.24156,-10.036976,-4.8999975,-1.994462,-1.67594,-1.83804,0.1483526,0.04388,-15.58928,-16.4317,96.4373,52.4515,377.26175,1.516374,0.1336698,0.1625158,0.03952,0.04986,-16.4174375,52.48705,-9.696819,-4.4604415,-0.361530325,237.8607,240.68615,-0.05171,-4.58129125,-36.7277175,-49.3269925,-23.4825
1,5.75,-0.4837774,-63.47932,-19.1878375,-16.27992,-1.906828,-2.1030375,-0.727287125,0.2022476,0.0523,-16.30448,-17.04232,96.442,52.55576,380.8175,1.501282,0.1340492,0.2202622,0.03636,0.04232,-17.04046,52.57388,-9.4370295,-4.31145325,-0.248059225,235.731325,238.03845,-0.0489875,-4.58204225,-35.70407,-49.0958275,-23.16825
