DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
1,0.25,0.16,2.59,13.22,13.67,25.36,-5.12,-0.385,-70.015,-27.26,0.85,0.15,13.53
1,0.75,0.16,2.52,13.03,13.64,25.94,-5.02,-0.53,-69.835,-27.845,0.42,0.14,13.31
1,1.25,0.16,2.45,13.09,13.58,25.99,-5.145,-0.46,-69.03,-26.54,0.89,0.13,13.1
1,1.75,0.165,2.43,13.08,13.46,26.18,-5.02,-0.475,-69.25,-26.54,0.74,0.12,12.93
1,2.25,0.17,2.48,13.2,13.63,26.1,-4.95,-0.455,-68.28,-26.61,0.535,0.115,12.71
1,2.75,0.17,2.6,13.09,13.61,25.98,-5.07,-0.485,-68.68,-25.37,0.52,0.135,12.53
1,3.25,0.17,2.51,13.03,13.485,25.39,-5.015,-0.525,-68.635,-28.6,0.775,0.12,12.37
1,3.75,0.17,2.57,12.93,13.255,26.08,-4.935,-0.575,-67.955,-23.99,0.49,0.14,12.21
1,4.25,0.16,2.46,12.82,13.2,26.12,-5.06,-0.62,-68.31,-25.76,0.525,0.115,12.06
1,4.75,0.16,2.54,12.75,13.35,26.04,-4.965,-0.46,-67.605,-28.11,0.505,0.12,11.92
1,5.25,0.17,2.565,12.78,13.245,25.85,-4.905,-0.445,-67.425,-28,0.82,0.14,11.82
1,5.75,0.16,2.61,12.71,13.13,25.85,-5.085,-0.565,-66.855,-25.615,0.82,0.13,11.63
1,6.25,0.17,2.62,12.44,13.05,25.99,-4.92,-0.58,-66.985,-26.77,0.765,0.145,11.48
1,6.75,0.17,2.58,12.53,12.79,26.23,-1.355,0.3,-64.1,-25.66,0.605,0.11,11.36
1,7.25,0.17,2.51,12.39,12.77,26.14,24.215,8.89,-47.915,-27.43,1.075,0.08,11.27
1,7.75,0.16,2.23,12.78,13.26,25.5,120.56,48.7,4.1,-15.12,2.365,0.02,11.34
1,8.25,0.15,1.73,14.02,14.21,23.79,215.905,66.135,56.68,-3.16,5.275,-0.1,11.36
1,8.75,0.17,1.06,15.12,15.41,22.69,306.455,75.455,111.47,17.17,6.59,-0.1,11.48
1,9.25,0.17,0.765,16.17,15.985,21.15,388.745,92.64,166.645,36.365,7.96,-0.13,11.69
1,9.75,0.2,0.96,16.82,16.55,20.39,459.325,108.63,211.875,56.19,10.01,-0.095,12
1,10.25,0.23,1.28,17.14,16.92,19.91,517.245,122.395,250.565,76.6,12.825,-0.11,12.54
1,10.75,0.25,1.5,17.58,17.45,19.57,558.43,131.095,278.695,92.75,13.065,-0.11,13.1
1,11.25,0.25,1.67,18.07,17.87,19.19,588.98,137.88,295.92,107.79,14.945,-0.17,13.85
1,11.75,0.26,1.72,18.41,18.31,19.33,606.86,141.655,303.64,116.8,17.095,-0.11,14.54
1,12.25,0.28,1.77,18.95,18.59,18.48,603.645,140.825,298.535,126.57,14.465,-0.1,15.27
1,12.75,0.275,1.635,19.38,18.875,18,584.17,135.92,286.93,124.435,14.27,-0.16,16.01
1,13.25,0.29,1.88,19.5,19.225,17.73,542.705,127.24,260.975,114.385,14.57,-0.08,16.65
1,13.75,0.29,1.98,19.65,19.41,17.49,504.675,115.655,227.08,108.57,11.1,-0.125,17.34
1,14.25,0.28,1.94,19.8,19.595,17.47,433.965,99.15,180.3,93.475,10.73,-0.11,17.77
1,14.75,0.27,2.01,19.69,19.59,17.9,354.945,84.615,132.57,76.73,8.9,-0.12,18.13
1,15.25,0.26,1.92,19.51,19.41,18.62,274.72,68.89,73.755,53.51,6.915,-0.11,18.31
1,15.75,0.24,1.86,19.25,19.3,18.84,155.51,41.14,5.66,26.48,5.435,-0.07,18.34
1,16.25,0.19,1.56,18.34,18.65,20.63,27.76,6.075,-66.81,-1.35,1.625,0.04,18.23
1,16.75,0.14,1.42,17.56,17.84,21.18,5.89,1.91,-78.345,-7.22,1.685,0.1,17.9
1,17.25,0.12,1.53,16.98,17.42,21.78,-5.85,-0.22,-82.745,-11.56,0.66,0.11,17.57
1,17.75,0.13,1.77,16.48,16.79,21.88,-6.79,-0.31,-81.35,-15.98,1.495,0.17,17.17
1,18.25,0.15,2.01,16.1,16.46,21.85,-6.285,-0.265,-79.53,-19.25,1.36,0.195,16.87
1,18.75,0.15,2.15,15.54,16.1,22.25,-6.035,-0.325,-78.785,-22.84,0.985,0.175,16.47
1,19.25,0.16,2.11,15.24,15.63,22.69,-6.065,-0.4,-76.985,-22.82,0.845,0.21,16.15
1,19.75,0.16,2.18,14.96,15.4,22.77,-5.88,-0.35,-75.92,-23.97,0.575,0.15,15.81
1,20.25,0.16,2.16,14.72,15.34,23.38,-5.73,-0.38,-74.845,-21.575,1.06,0.18,15.53
1,20.75,0.16,2.1,14.51,14.95,24.32,-5.68,-0.4,-73.485,-22.73,0.78,0.18,15.16
1,21.25,0.16,2.21,14.28,14.81,24.61,-5.435,-0.455,-72.635,-23.51,0.83,0.16,14.79
1,21.75,0.17,2.38,14.02,14.53,25.33,-5.4,-0.42,-72.34,-22.69,0.78,0.14,14.48
1,22.25,0.16,2.43,13.84,14.18,25.79,-5.28,-0.385,-71.96,-24.91,0.65,0.145,14.25
