DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.258,1.7925,12.9865,13.173,96.3505,-0.466,2.786,-6.6495,12.024,8.1325,4.43,1.1565,7.84
1,0.75,0.303,1.13675,13.082,13.319,96.326,-0.245500000000001,2.68775,-7.84975,9.11,8.8745,8.3225,1.8275,7.756
1,1.25,0.313,1.405,13.105,13.26,96.55725,-0.436,2.808,-4.6275,21.774,24.5520000000001,5.34525,1.0585,7.71
1,1.75,0.416,1.4515,13.244,13.327,96.918,-0.220750000000002,2.56575,-3.06950000000001,17.18525,31.0359999999999,5.75799999999998,1.5975,7.467
1,2.25,0.318,1.312,13.0075,13.194,95.378,-0.28,2.8725,-4.09125,13.607,13.2505,7.9035,2.112,7.79
1,2.75,0.26125,1.01975,13.69875,13.66025,95.1175,-0.3985,2.773,-4.73075000000001,18.095,17.465,18.9245,2.6025,7.55
1,3.25,0.324,1.042,13.32625,13.158,95.125,-0.038250000000001,2.7315,-3.93025000000001,13.42,15.633,10.08,1.108,7.605
1,3.75,0.4025,1.3525,13.15275,13.1725,95.5015,-0.116250000000001,2.6035,-5.54875000000002,21.7225,11.23175,7.05275,3.42749999999999,7.9125
1,4.25,0.30275,1.1975,13.10475,13.36,95.647,-0.079500000000001,2.56675,-4.73875000000002,22.585,16.426,12.09275,3.6,7.7525
1,4.75,0.3535,1.2175,13.094,13.2045,96.715,-0.16,2.49875,-5.80400000000002,12.1525,21.40275,18.494,2.55599999999999,7.6975
1,5.25,0.382,1.43,13.23875,13.29,96.40375,0,2.543,-5.27300000000002,25.165,20.3255,17.442,3.046,7.8475
1,5.75,0.40675,1.44,13.009,13.032,96.0095,-3.46944695195361e-18,2.56,-2.97375,19.8775,9.9675,9.93199999999997,4.65099999999999,7.75
1,6.25,0.469,1.164,13.0175,13.2085,96.578,0.135,2.79125,-2.585,24.035,17.51,7.27649999999999,1.44575,7.8975
1,6.75,0.4035,1.266,13.27,13.165,96.341,-0.0180000000000007,2.6255,-2.22000000000001,27.695,10.129,4.91999999999999,1.70475,7.8625
1,7.25,0.31,0.9575,13.0955,13.245,96.227,10.18875,4.13,-1.785,29.7575,24.405,17.14,3.05199999999999,8.22
1,7.75,0.24375,1.11075,13.583,13.7895,96.789,81.226,34.31,10.0235,27.775,10.64625,4.98825,0.90375,8.1
1,8.25,0.283,1.51924999999999,13.701,14.02225,96.1945,190.184,42.64225,71.27525,19.15,41.251,22.7114999999999,1.617,8.2175
1,8.75,0.3905,1.8675,14.962,15.524,96,278.819,39.962,130.458,25.645,45.7649999999999,32.0914999999999,2.026,8.0775
1,9.25,0.4675,1.729,16.07075,16.5905,96.05575,341.4245,44.008,208.56,27.7325,76.8599999999998,113.24225,0.539,8.26
1,9.75,0.6,1.7625,17.429,17.914,95.689,421.611,53.1029999999999,276.8925,23.1225,137.15875,78.54725,1.26374999999999,8.1775
1,10.25,0.63375,2.25925,18.39275,18.58975,95.5715,491.422,60.622,339.9025,28.2925,188.085,152.72425,1.56049999999999,8.18
1,10.75,0.6875,1.833,18.4,18.60975,95.20875,549.804,64.032,395.1515,24.15,223.37625,168.706,1.155,8.2475
1,11.25,0.734,1.9275,18.921,19.1125,94.133,594.042,63.652,432.8435,22,256.7625,154.30325,1.553,8.26
1,11.75,0.79,2.0075,19.028,19.214,95.458,618.917,60.954,455.34175,25.75,275.965,164.044,0.771,8.1875
1,12.25,0.77325,2.0035,18.605,18.93,95.49125,625.8525,60.63075,458.7325,37.545,273.7325,192.82725,0.529249999999999,8.0125
1,12.75,0.74325,1.97225,18.819,19.08825,96.9515,619.12,55.5975,459.60875,20.4475,271.42975,169.32575,1.369,8.2875
1,13.25,0.74325,1.9475,19.063,19.1025,96.959,590.594,49.396,436.28,29.6325,261.383,162.131,1.362,8.31
1,13.75,0.737,1.7695,19.12175,19.07275,97.10625,550.75125,43.33875,398.0625,35.75,248.04625,148.35425,1.32225,8.3175
1,14.25,0.7435,1.6525,19.0455,19.12,95.488,496.456,38.998,348.238,31.34,227.708,157.68625,1.449,8.035
1,14.75,0.693,1.642,19.15875,19.069,95.87875,425.292,30.57625,283.76275,36.2675,173.007,129.68625,1.119,8.27
1,15.25,0.657,1.48,18.913,18.87,95.9605,312.246,22.016,209.656,32.5075,134.1785,134.636,2.41125,8.1425
1,15.75,0.6235,1.4825,18.52,18.678,96.2135,127.8395,15.096,51.816,37.6125,99.1329999999999,93.2525,1.7135,8.245
1,16.25,0.51,1.76125,18.1745,18.2655,96.70975,84.667,11.905,28.604,33.5325,54.5325,42.833,3.615,8.39
1,16.75,0.41875,1.48925,17.198,17.1895,96.788,42.01875,5.57875,2.09625,25.535,25.014,33.94025,4.0675,8.1175
1,17.25,0.47825,1.8,15.81625,15.954,96.6675,7.36949999999999,1.9975,-0.813000000000003,23.63,19.925,24.28375,4.4105,8.21
1,17.75,0.416,1.705,15.21,15.21,96.6215,-0.1185,2.0515,-1.672,28.95275,17.5895,22.032,3.75899999999999,8.25
1,18.25,0.322,1.39,14.36,14.65175,96.7125,-0.218000000000001,2.0655,-2.62100000000001,22.7625,13.13,23.07875,3.3945,8.2625
1,18.75,0.301,1.49,13.83375,14.0975,96.7775,-0.26,2.434,-2.37300000000001,19.8925,16.401,30.023,1.921,8.32
1,19.25,0.294,1.4575,14.06525,14.206,96.72225,-0.164,2.594,-2.7155,17.2125,10.4285,10.35,2.6995,8.1525
1,19.75,0.333,1.6925,13.86525,14.12,96.81675,-0.155,2.73125,-1.715,14.725,12.0445,14.728,2.556,8.025
1,20.25,0.27325,1.39625,13.861,14.07275,96.8465,-0.1975,2.88375,-1.65375,13.7,7.41725,11.4575,1.16625,7.9475
1,20.75,0.4155,1.522,14.2275,14.442,96.94625,-0.117,2.8005,-1.857,14.6075,13.56325,23.996,4.17625,7.9625
1,21.25,0.455,1.765,13.48225,13.5685,97.13175,-0.136250000000001,2.6135,-1.702,14.8175,27.934,27.04625,4.002,7.95
1,21.75,0.3765,1.45725,13.66,14.12425,97.099,-0.372,2.778,-2.04050000000001,10.3175,29.9874999999999,7.2675,2.78799999999999,7.8825
1,22.25,0.31375,1.51,13.505,13.61975,97.1175,-0.2175,2.66875,-1.41,10.995,13.4594999999999,23.446,2.227,7.7825
