DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,14.75,0.817325,27.154,5.28675,-0.00330000000002073,-1.9119,0.417124999999997,211.36175,179.600675,34.3985,85.14,102.8,393.07125,18.909,378.645,1192.35,562.7675,22.43425
1,15.25,0.7746,26.917,5.108575,-0.575200000000002,-2.2466,0.395249999999998,171.3526,173.124075,20.77325,86.3625,102.8,393.57535,18.63,314.44,1034.4,482.9325,22.53205
1,15.75,0.7625,26.57975,5.1964,-0.464299999999995,-1.595275,0.339575,140.9372,121.428875,15.007,89.0225,102.8,394.531375,18.444,243.725,844.575,396.8375,22.764625
1,16.25,0.733275,26.24425,4.86475,1.9152,-0.534275,0.296175,87.0412,95.93245,11.84975,90.3175,102.8,392.5955,18.14,172.9975,645.355,300.6475,22.94125
1,16.75,0.7128,25.66675,4.73775,2.3123,0.944599999999999,0.2278,46.1972,69.1901499999999,8.0445,86.1325,102.8525,394.123175,15.665,97.8075,408.575,205.7875,23.0087
1,17.25,0.6824,24.88,4.4584,2.5264,2.189,0.407199999999999,10.24,56.72425,6.9237,87.54,102.8,396.659,12.99425,25.05,177.4625,106.0525,22.79
1,17.75,0.621,23.967,4.2797,3.53225,2.943,1.039,14.12,34.878825,5.972475,89.285,102.8,401.83,9.97325000000001,-2.67002499999999,38.05325,20.521,22.99
1,18.25,0.655649999999999,23.3815,4.2441,4.4414,4.39545,0.9424,7.150625,26.9306,5.10562499999999,91.5125,102.8,406.492,8.85125,-7.34575,1.1112,1.253325,23.021
1,18.75,0.67755,23.1205,4.2063,4.1235,7.84279999999999,1.2269,2.81130000000001,32.516875,4.43182499999999,92.115,102.8525,406.654,7.65499999999999,-5.03729999999999,0.426,1.183125,22.99
1,19.25,0.627525,22.87975,4.18335,4.4562,4.460425,0.911875,16.5712,31.9711,4.301025,93.2025,102.9,410.42365,7.367,-4.31195,0.43665,0.797475,22.9695
1,19.75,0.66215,22.7165,4.2367,4.062125,7.57110000000001,1.554625,4.39939999999996,42.402,3.7374,93.705,102.9,419.677,6.758,-5.0657,0.426,0.7782,23.1155
1,20.25,0.67015,22.411,4.35395,4.007,5.2166,3.57237499999999,7.56925000000001,61.60995,3.09434999999999,94.0125,102.9,436.51,6.674,-4.99425,0.426,0.741325,23.0475
1,20.75,0.64105,22.26925,4.32735,4.32775,13.514625,5.17499999999999,5.72249999999999,91.6008000000001,2.841775,94.5025,102.9,442.3641,6.53,-4.34247499999999,0.5042,0.8891,23.29885
1,21.25,0.6515,22.132,4.37875,4.2812,4.861125,2.5615,5.0141,70.60295,2.677675,94.805,102.9525,451.665,6.395,-3.95049999999999,0.440199999999999,0.803475,23.110525
1,21.75,0.6246,22.117,4.11815,5.097175,8.10479999999998,3.101825,27.407125,43.3330749999999,2.638175,94.9025,102.9525,496.956,6.563,-2.063575,0.43665,0.713899999999999,23.054
1,22.25,0.655375,21.904,4.37485,3.8327,28.853425,3.515775,4.995525,25.951525,2.56935,95.1,103,487.850100000001,6.643,-2.026525,0.580424999999999,0.783775,23.1521
1,22.75,0.6269,21.947,4.4736,4.7846,10.60095,3.1017,17.5556499999998,32.98915,2.4676,95.505,102.9,515.163099999997,6.68924999999999,-2.4244,0.5015,0.8436,23.1345
1,23.25,0.6165,21.753,4.256,4.9287,5.012975,2.9964,9.117875,76.4939000000001,2.453,96.115,102.9,638.0661,6.6525,-1.81375,0.533,0.7896,23.202
1,23.75,0.632,21.7335,4.368125,4.157525,10.135,3.38835,19.1705,45.2282999999996,2.4468,96.11,102.9,640.3335,6.54125,-1.97320000000001,0.438424999999999,0.8346,23.393
2,0.25,0.607549999999999,21.46625,3.8572,4.802775,10.1189,13.9527999999999,3.69575,33.68635,1.439275,96.5,102.6525,674.412149999999,7.60725,0.164,0.568,0.866975,23.5325
2,0.75,0.59,21.444575,3.9027,5.280825,13.9068999999999,3.77814999999999,0.554650000000008,18.7386,1.716575,96.2,102.6,682.934174999999,7.19999999999999,0.148,0.497,0.808225,22.858
2,1.25,0.5447,21.5732,3.744575,5.081575,16.298,5.5575,2.16505,153.492349999999,1.53215,96.2,102.6,689.163,7.074,0.148325,0.540024999999999,0.789775,22.86475
2,1.75,0.58235,21.49095,4.0881,4.3061,15.6362,5.13714999999999,8.39795000000004,87.9330499999997,1.92005,96.2,102.6,708.620749999998,7.14825,0.148325,0.568,0.812174999999999,23.77025
2,2.25,0.602749999999999,21.390575,3.81025,4.324825,15.2589,5.1291,3.814,52.1402,1.44005,96.3,102.6,736.324999999999,7.018,0.164,0.575,0.80195,23.52375
2,2.75,0.603125,21.2465,4.026925,5.0764,12.0045,3.4625,3.07525,296.279650000001,1.142625,96.6,102.6,750.789375,7.32999999999999,0.139925,0.5321,0.997774999999999,23.4701
2,3.25,0.60665,21.274,3.6702,4.635575,25.6418250000001,4.616275,3.41519999999999,56.66875,1.0671,96.9,102.6,753.242699999999,7.7215,0.185125,0.5689,0.90135,23.3476
2,3.75,0.57055,21.11625,3.6262,4.955,19.06725,1.6308,4.96259999999997,137.827,1.10245,96.7,102.6,738.182699999999,7.4375,0.197,0.573249999999999,0.90215,23.24
2,4.25,0.5733,21.3,3.80785,6.14292499999999,6.68159999999999,30.581725,2.0688,95.1364999999994,1.201025,96.7,102.6,748.722,7.18699999999999,0.197,0.534749999999999,0.905325,23.2718
2,4.75,0.5618,21.213125,3.975525,4.777275,33.2865499999999,4.90719999999996,15.3183,77.0611999999998,1.1186,96.6,102.6,793.304075,6.86499999999999,0.181325,0.6381,0.837325,23.143075
2,5.25,0.5345,21.1425,3.711,5.1893,14.6237499999998,6.28575,9.71092499999997,105.0168,1.1508,96.6,102.6,830.51545,7.3055,0.139925,0.573249999999999,0.978849999999999,22.70625
2,5.75,0.527525,21.1825,3.557025,4.3688,26.7535,7.2525,15.2007999999999,51.5958,2.288275,96.7,102.6,808.88145,6.411,0.222725,0.637675,0.86755,23.49475
2,6.25,0.5243,21.3235,3.6295,5.8068,17.3517,2.82234999999999,5.48244999999999,25.90855,1.90835,96.7,102.7,803.2064,6.146,0.485525,8.57049999999998,0.93175,23.395775
2,6.75,0.506,21.28625,3.549025,4.9606,13.99575,3.48104999999999,13.626375,146.635349999999,1.99702499999999,96.7,102.7,802.9202,5.73,13.0655,82.0611999999999,7.76099999999998,23.4932
2,7.25,0.5112,21.37,3.478,5.140375,21.832575,5.32404999999994,8.9616,66.8865,2.94267499999999,96.9,102.7,715.5325,6.215,67.57925,221.79125,57.94075,23.6824
2,7.75,0.5581,21.8129,3.7839,3.3223,14.8371499999998,3.0752,24.37725,66.5943,3.680775,97,102.7525,847.4467,6.9,130.65,388.445875,163.195,26.069
2,8.25,0.63125,22.75525,4.32225,2.26485,7.90194999999999,0.602549999999999,68.8142749999998,78.8709,13.115,96.8,102.8,740.3309,7.98425,202.6725,597.289,276.7175,28.3852
2,8.75,0.6556,24.369075,4.4368,1.393625,10.6586,1.5438,91.5462,157.991075,20.34975,96.8,102.8,475.944399999999,9.18,280.2325,830.45,384.495,29.146825
2,9.25,0.674275,25.85,4.532525,0.109800000000001,-0.338899999999998,0.916399999999999,150.70575,155.30075,27.40075,96.7,102.8,409.978,10.635,357.3,1053.95,482.9975,27.1535
2,9.75,0.73335,26.5097,4.753,-0.221725000000023,4.53547499999993,0.799,217.023,162.515125,46.16675,96.5,102.8,405.998625,11.48,419.405,1240.5,576.09,25.342
2,10.25,0.755375,27.234,5.0545,-0.296200000000004,2.99974999999992,0.39275,250.4067,197.2126,73.87,96.4,102.8525,407.712075,12.5,479.675,1417.15,653.2075,24.3225
2,10.75,0.713625,27.3855,4.830075,-1.98145000000003,4.070875,0.192,310.6212,215.1208,94.2799999999999,95.6,102.8525,403.39375,14.03,535.84,1542.5,721.1,24.0732
2,11.25,0.756,28.0824,5.07955,-2.1365,-3.45920000000001,0.109125,325.272025,254.6017,93.4799999999999,94.2,102.8,403.203,14.79,577.0925,1680,776.525,24.927
2,11.75,0.74975,28.448,5.12225,0.0118999999999614,-2.21872500000005,0.246899999999998,325.20905,255.9739,95.65,93.6,102.8,404.435775,16.06,605.1975,1724.3,810.975,24.2465
2,12.25,0.75265,28.6768,4.841125,-0.349,-2.83010000000001,0.2277,344.22895,262.5921,93.87,91.6,102.8,403.48,16.07,620.2675,1764,830.525,24.1493
2,12.75,0.78,29.1692,5.3585,-1.89567499999999,-0.880075000000029,0.26145,357.5288,269.9377,96.38,90.6,102.7,402.004,17.27,620.53,1773.53475,828.65,23.9517
2,13.25,0.7793,29.25875,5.10955,-1.80335000000001,-3.437625,0.487375,347.915,257.8911,91.14,89.5,102.7,401.6075,18.32175,605.215,1764.4184,818.55,23.3922
2,13.75,0.814,28.89785,5.401525,-1.713,-0.849899999999996,0.21945,327.6549,243.490375,86.8,89.4,102.6525,402.061675,18.7805,586.03,1681.4718,774.075,23.9457
2,14.25,0.796425,28.556,5.306025,-0.0421750000000002,-0.422774999999999,0.2215,297.3212,224.679475,73.625,90.0675,102.6575,401.6601,18.116,543.91,1575.1904,732.55,23.975
2,14.75,0.802,27.9164,5.40865,1.64655,-0.85935,0.2138,269.260775,208.91955,41.205,91.34,102.6,399.029025,18.733,495.4875,1435.8084,667.71,23.54975
2,15.25,0.797325,27.61575,5.3658,1.89297499999999,0.155799999999994,0.252049999999999,237.5285,198.6389,22.85875,91.4,102.6,402.2489,17.86325,427.895,1255.432175,591.9975,23.81725
2,15.75,0.807,27.39875,5.243225,1.94225,2.72214999999996,0.643199999999987,184.385575,153.7334,15.882,94.2,102.6,406.1138,18.283,340.43,1052.575,497.1625,23.802
2,16.25,0.75345,26.71875,5.243375,1.356075,0.702825,5.44404999999999,126.777775,140.655975,11.529,94.3,102.6,405.3245,17.671,248.875,850.875,396.2075,23.7166
2,16.75,0.870524999999999,26.2675,5.1154,1.9712,6.26449999999998,0.875274999999995,85.0279,101.77145,10.039,94.3,102.6,414.441375,16.2815,167.6575,616.93,288.915,23.89175
2,17.25,0.7,25.5185,4.76874999999999,2.9254,5.6127,0.447574999999991,32.514,83.1678999999999,9.104,94.2,102.6,407.1229,14.99475,83.7775,362.075,190.5175,23.7105
