DOY2,HR2,USTAR,TA_1_2_1,WS,NEE,FC,SC,H,LE,RH,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD,PPFD_IN,H2O_1_2_1
1,0.5,0.02735,21.962875,0.93375,-1.48675,-0.212125,-10.878675,-39.3235,-8.9173,77.3,97.405525,374.8364,378.5626,0,-43.92425,0,25.07855
1,1.5,0.0174,21.61,0.958,-0.8078,-0.097875,-7.7752,-35.4777,-10.98305,78.0425,97.379775,373.6866,376.374,0,-42.508,0,25.031725
1,2.5,0.02625,21.581,0.7658,-0.8166,-0.0506,-5.294275,-37.46425,-15.9187,80.590475,97.354475,375.1774,377.5696,0,-43.7732,0,24.9842
1,3.5,0.02845,21.551,0.7537,-0.107,0.000949999999999999,-7.237,-37.0327,-11.76,82.4,97.3655,374.322475,377.3107,0,-43.907575,0,24.9362
1,4.5,0.042025,21.617875,0.7827,-1.036,0.1035,-7.2136,-37.45485,-13.066,84.4275,97.38655,376.8129,380.14355,0,-41.78195,0,25.124675
1,5.5,0.065325,21.5715,0.935475,0.534125,0.20725,-8.1925,-33.5481,-14.8448,86.9375,97.4282,380.14095,381.30245,0,-38.628775,0,25.0721
1,6.5,0.06325,21.521375,0.702975,-6.302225,0.5634,-17.651825,-27.2792,-8.9384,87.3475,97.506625,382.55055,383.38345,0,-6.250225,19.720825,25.1088
1,7.5,0.10025,21.722875,0.771,-14.7776,-5.82565,-17.516775,-11.396,2.2424,83.4,97.579275,379.6815,379.61455,0,9.51075,53.0118,25.4908
1,8.5,0.155,22.155,0.843,-23.694,-18.1935,-13.66035,1.99755,19.37605,77.4475,97.559,376.1946,375.28,0,34.977,88.4782,25.7404
1,9.5,0.116325,22.598725,0.60325,-26.7347,-22.446,-11.17235,2.2269,42.3431,70.5325,97.5914,371.4,371.7065,0,61.752725,238.6696,24.77035
1,10.5,0.1498,22.68025,0.714,-25.688,-24.989,-7.301,6.4858,42.76785,65.347975,97.5893,370.96005,370.94305,0.32475,80.1235,220.6859,24.074
1,11.5,0.1562,22.936625,0.95925,-32.6556,-29.0156,-6.20865,2.2304,33.0058,62.275,97.57185,369.42625,369.558625,0.479,58.2495,250.43425,24.62695
1,12.5,0.16225,22.8027,0.73125,-26.47325,-25.31425,-4.446,-6.1391,31.65915,58.285,97.4681,368.755375,369.529,0.229,22.3259,254.12775,24.737375
1,13.5,0.137625,22.965625,0.70765,-23.61545,-23.73395,-3.0499,-2.6834,15.4909,55.295475,97.364625,367.827875,368.937875,0.25725,51.130425,190.39995,24.331
1,14.5,0.1154,23.218875,0.77065,-18.71,-18.9396,-2.74095,-9.08035,34.5885,55.586,97.2468,368.05425,368.096875,0.0870000000000002,36.901575,213.82365,24.7248
1,15.5,0.0894,23.3126,0.615475,-14.2205,-14.971,-2.64505,-14.19035,7.55915,56.280525,97.1748,367.17255,368.276,0.29975,8.729775,163.58965,24.915
1,16.5,0.065025,23.058625,0.54445,-5.829,-7.59055,-0.38875,-19.001,3.1301,56.001,97.16425,368.31705,368.27955,0.3285,-10.15775,70.3504,24.44235
1,17.5,0.0296,22.9491,0.4878,0.584075,-1.759825,0.331,-23.33615,-3.355,58.6475,97.1941,368.725375,369.473375,0.60475,-30.55795,13.2805,24.9208
1,18.5,0.01745,22.7526,0.63615,0.05155,-0.1608,-0.0961499999999998,-27.3324,-4.5635,62.795,97.2392,371.561,371.499,0.25425,-45.568125,0,24.732225
1,19.5,0.0229,22.6266,0.8957,1.7306,-0.212625,-1.62695,-27.793875,-5.1435,66.185,97.3124,372.173,375.069,0.3455,-45.79445,0,25.054625
1,20.5,0.019475,22.4663,0.7545,-0.2553,-0.2604,-4.889575,-36.506375,-6.496,69.785,97.366,373.278975,374.337125,0.17025,-45.31375,0,24.995
1,21.5,0.023625,22.29915,0.755,-1.69445,-0.0967,-4.6477,-35.810375,-6.81775,71.4425,97.408325,371.355975,373.143225,0,-44.98675,0,24.79395
1,22.5,0.0368,22.156,1.0613,-0.49375,-0.0242,-4.5075,-41.065625,-6.020625,73.575,97.435175,372.031,374.604225,0.0617500000000002,-44.36475,0,25.024625
1,23.5,0.02425,22.05645,0.9136,0.1982,-0.410125,-5.3527,-39.921125,-9.22475,74.3375,97.44575,372.752725,377.186975,0.00475000000000001,-42.58625,0,24.472825
2,0.5,0.04,22.019375,0.85365,0.6867,0.073575,-9.4465,-36.19905,-8.190175,83.79,97.5663,376.9235,380.85,0,-37.4811,0,26.21425
2,1.5,0.028925,21.974,0.7452,0.997725,0.248925,-7.546175,-36.44525,-6.972925,85.1475,97.5136,378.4385,381.6755,0,-36.5323,0,25.835475
2,2.5,0.040125,21.8232,0.6924,2.5011,0.6309,-10.70925,-32.0214,-8.53645,85.975,97.4914,381.3405,383.1595,0,-37.472175,0,25.812
2,3.5,0.045,21.7186,0.648125,1.386975,0.4941,-6.981,-31.5252,-6.757525,87.58,97.4767,382.91175,384.29735,0,-38.221325,0,25.74
2,4.5,0.06645,21.7485,0.827125,0.4993,0.6409,-7.6268,-36.255875,-11.6421,88.7475,97.492475,382.277,383.622,0,-36.18325,0,25.580575
2,5.5,0.056625,21.69305,0.84675,0.32795,0.97155,-8.8088,-31.70815,-21.3883,90.495475,97.55325,383.442075,385.311325,0,-33.67325,0,25.504175
2,6.5,0.09185,21.7079,0.753575,-3.61595,1.5893,-15.1212,-24.216,-23.9785,89.995475,97.62125,381.2227,383.95435,0,-8.707,5.72235,25.68395
2,7.5,0.1096,21.9957,0.70475,-11.351875,-4.88095,-16.59235,-11.44305,4.11655,88.2,97.68925,379.73215,380.227,0,4.01325,43.2664,26.083125
2,8.5,0.1698,22.058,0.949,-22.99915,-18.05715,-12.35045,-7.585575,12.15855,82.895,97.74525,376.26475,375.831875,0,28.2137,94.6459,26.323475
2,9.5,0.179375,22.3875,0.611,-26.5769,-21.205,-9.717225,1.390875,28.1495,77.648025,97.786825,372.46845,372.7447,0,43.69475,180.6148,26.314675
2,10.5,0.1712,22.629,0.66705,-29.176725,-26.43485,-8.119975,4.000875,31.676125,72.7475,97.769175,368.663475,369.627775,0,64.4282,284.70685,26.508
2,11.5,0.201025,22.69535,0.5718,-28.33525,-26.8135,-4.8567,-2.121075,26.074325,67.8325,97.685725,365.3295,366.23125,0,45.07815,240.249,26.4932
2,12.5,0.17065,22.807775,0.7738,-28.428,-27.779,-3.467,-0.143375,21.792875,65.895,97.551625,363.816575,364.10515,0,44.823,250.5746,26.5898
2,13.5,0.17805,22.723,0.7338,-26.9125,-24.887,-2.9283,0.11835,14.738775,64.8325,97.469325,364.052,363.99,0,54.060975,264.89105,26.4536
2,14.5,0.15775,22.8516,0.533625,-20.4799,-19.7564,-2.46395,-8.2751,26.590775,63.395,97.3616,365.30635,365.7527,0.00950000000000003,17.8197,179.47325,25.8344
2,15.5,0.077375,22.9294,0.64185,-13.105,-15,-1.45735,-14.7198,19.2997,61.6225,97.274175,365.78685,366.2967,0,27.603,175.880475,25.2706
2,16.5,0.05715,22.76295,0.58955,-6.7084,-6.99665,-0.715275,-14.7454,0.905800000000003,62.3175,97.24835,366.806475,367.186,0,0.906600000000002,79.0994,25.297
2,17.5,0.03605,22.762375,0.53265,0.3936,-1.6576,0.44905,-20.4556,-6.849225,64.390475,97.260075,367.75655,368.604275,0,-35.1335,11.56465,25.615
2,18.5,0.023,22.67,0.62425,2.19245,-0.22335,0.67515,-22.239625,-4.29955,70.695,97.3076,371.19775,374.392475,0,-50.69895,0,25.999675
2,19.5,0.0169,22.41925,0.7402,0.94965,-0.2054,-1.6909,-26.822575,-6.174025,74.5,97.37135,371.118025,376.30145,0,-44.72105,0,26.37925
2,20.5,0.017,22.275,0.707825,-0.351525,-0.1254,-5.022375,-32.577375,-9.036625,75.09,97.443,374.98635,377.47925,0,-44.09945,0,26.4856
2,21.5,0.030625,22.4486,0.8412,0.49775,-0.17235,-7.601875,-32.799725,-4.984375,79.3475,97.50435,373.86,379.1273,0,-42.8599,0,26.5934
2,22.5,0.0325,22.2016,0.76725,2.35485,-0.03285,-4.95825,-39.616675,-5.0548,79.101,97.570425,374.42075,378.02885,0,-39.8136,0,26.354875
2,23.5,0.03475,22.0894,0.8173,-0.979,0.00925,-9.3243,-32.844675,-9.111425,80.747975,97.5708,373.42375,381.368825,0,-39.8031,0,26.01475
3,0.5,0.031275,22.08655,0.806925,1.1728,-0.0512,-8.870875,-39.4469,-13.156,80.5385,97.602425,376.042,378.4615,0,-44.285,0,24.971
3,1.5,0.0332,22.011425,0.7219,1.2644,0.0452,-7.1538,-34.2638,-7.93795,82.5475,97.563225,374.027,380.035,0,-41.415,0,24.8985
3,2.5,0.018,21.947,0.7735,-1.17585,0.08475,-8.35,-34.258425,-15.660575,84.4475,97.52455,376.82,381.29375,0,-37.963,0,24.9225
3,3.5,0.042375,21.9629,0.586375,0.81475,0.0359,-6.764075,-34.7876,-11.26785,86.69,97.512325,377.608,382.2235,0,-41.404,0,24.6575
3,4.5,0.03275,21.77595,0.95735,2.1921,0.1351,-7.909475,-30.927275,-14.538675,89.6425,97.548375,380.8065,384.15675,0,-38.219,0,24.691475
3,5.5,0.0573,21.772,0.7117,-0.905175,0.2976,-8.0604,-30.5955,-15.873925,90.3425,97.587425,382.466575,383.9649,0,-39.7845,0,24.9902
3,6.5,0.087325,21.87345,0.70155,-4.957675,1.139275,-13.814675,-21.512275,-11.451575,90.2475,97.6648,383.39275,385.4315,0,-4.600525,19.2449,25.3169
3,7.5,0.17135,22.103475,0.6984,-14.08005,-8.12875,-17.9034,-9.5426,4.50905,86.7475,97.756125,384.0485,384.305175,0,23.9445,72.565225,25.476275
3,8.5,0.16,22.30955,0.822125,-24.7065,-18.0375,-14.95395,-4.247925,27.316925,82.1,97.83795,377.079325,375.890625,0,46.76995,121.0651,25.7752
3,9.5,0.189875,22.570325,0.69545,-25.9711,-21.952675,-11.7182,3.3686,20.87145,75.995,97.84585,371.3526,372.080925,0.168,31.035825,113.48335,25.401825
3,10.5,0.173375,22.77325,0.884975,-29.889375,-27.7165,-7.49465,-2.85475,18.922225,72.095,97.826,367.786925,367.540575,0.39275,43.18575,161.52305,25.842375
3,11.5,0.14685,22.4685,0.6941,-27.7035,-26.3967,-4.58475,5.952475,13.961825,68.9425,97.754,364.8128,364.8792,0.25,39.1022,176.461375,25.7386
3,12.5,0.17355,22.495725,0.8313,-26.3254,-26.4486,-4.836725,-1.8666,20.3421,66.3425,97.62335,363.9716,363.9472,0.147,35.26415,186.0977,25.62905
3,13.5,0.135625,22.415,0.643,-24.68435,-24.9897,-4.056625,-9.38925,21.252225,65.5,97.4918,363.0186,363.316,0.03425,31.9006,132.8996,25.3211
3,14.5,0.1287,22.19075,0.565325,-18.8442,-18.794625,-3.041,-6.50185,3.34955,63.685,97.36825,363.3084,362.248,0.1955,10.91075,92.7462,24.92575
3,15.5,0.091425,22.078425,0.4327,-12.8862,-13.9672,-1.952175,-18.8404,3.1289,63.585,97.294,361.723775,361.8315,0.0712500000000002,4.60275,126.135925,24.54955
3,16.5,0.042275,22.029,0.426675,-6.721525,-7.400525,-1.656075,-15.577175,-5.459375,65,97.276,362.546,363.374,0.06425,-2.5638,42.564,24.91855
3,17.5,0.0377,22.27225,0.57665,1.65495,-1.23,0.51165,-18.044425,-7.152775,67.747975,97.31945,363.80575,365.02435,0.36375,-28.481875,5.9144,25.2124
3,18.5,0.01375,22.372425,0.4951,1.443,-0.227,-0.48825,-20.3205,-6.812175,73.2,97.3895,367.0996,369.0392,0.168,-47.096125,0,25.22695
3,19.5,0.021,22.28725,0.8413,1.5582,-0.3106,-4.96125,-26.927175,-6.397575,73.7,97.482,368.4628,373.284,0.01425,-44.56645,0,25.246175
3,20.5,0.02575,22.2527,0.996675,0.5324,-0.2514,-3.706125,-25.869375,-8.345725,77.0375,97.5905,377.1232,379.544,0,-47.7625,0,25.1608
3,21.5,0.0338,22.0215,0.81455,0.41775,0.001125,-3.402925,-31.773925,-4.324525,78.5,97.6565,372.112,377.2474,0,-47.7835,0,25.3266
3,22.5,0.0204,22.11475,0.7864,1.19795,0.0118,-5.891575,-36.38255,-5.73435,79.45,97.6766,373.784,376.9394,0,-47.736,0,25.0294
3,23.5,0.02135,22.055875,0.78195,0.2378,0.073975,-8.5265,-39.436,-6.883,81.185,97.67035,373.786,376.268,0,-45.854,0,24.9722
4,0.5,0.02665,22.3363,0.6569,-0.9214,-0.0128,-10.4913,-31.66285,-12.747375,82.195,97.617,375.529575,378.23775,0,-38.4478,0,25.848
4,1.5,0.028275,22.33535,0.722,-0.4964,-0.02255,-7.8187,-34.02735,-6.38885,84.1425,97.562,375.474,379.424,0,-41.6385,0,25.784475
4,2.5,0.0326,22.16745,0.879675,-0.418199999999999,0.1222,-8.268,-32.106775,-9.34115,86.5425,97.53,379.180925,380.55725,0,-41.4564,0,25.736
4,3.5,0.036,21.66595,0.63125,-0.20475,0.006125,-8.671375,-30.698,-6.96045,87.3325,97.5311,380.57025,384.715925,0,-37.9174,0,25.5148
