DOY2,HR2,PA,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
1,0.25,97.0735,-31.3308,67.74415,0,0,185.03815,218.481575,-71.38762,-0.025039875,-0.11561625,0.8505,-5.9023225,-7.355825,-27.525725,-15.264325
1,0.75,97.017,-32.0347,66.800475,0,0,185.24679,219.507165,-78.232385,-0.017046625,-0.11048925,0.67060475,-5.91216,-7.35395,-27.8098,-15.516275
1,1.25,96.95525,-31.3293,67.132975,0,0,185.089865,224.0933875,-81.006605,-0.014191075,-0.12137875,0.485535,-5.926265,-7.36363,-28.0822,-15.672525
1,1.75,96.91675,-31.204275,66.930875,0,0,185.6681475,223.437215,-77.1064475,-0.022743975,-0.11710125,0.9397635,-5.92794,-7.3802275,-28.2245,-15.801075
1,2.25,96.99775,-32.069125,66.2452,0,0,185.0015075,212.2060325,-71.1674875,-0.0145022,-0.11402425,0.78732675,-5.92052,-7.3881725,-28.635075,-15.9309
1,2.75,97.03075,-31.4722,66.1441,0,0,184.670015,213.9171375,-70.6799375,-0.023221175,-0.1074,0.669136,-5.913,-7.4024725,-28.9457,-16.007375
1,3.25,97.10475,-31.782725,67.82135,0,0,184.7582175,212.342715,-69.5336975,-0.01439775,-0.100679125,0.663095,-5.89724,-7.4097275,-28.9856,-16.0372
1,3.75,97.1645,-31.734175,67.90535,0,0,186.023495,208.290595,-69.7161,-0.01738765,-0.0978718,1.366265,-5.884985,-7.43033,-29.173375,-16.100075
1,4.25,97.1225,-31.468075,67.32085,0,0,185.3431,206.209085,-78.09368,-0.018066775,-0.10583975,0.52059,-5.876265,-7.4472175,-29.578375,-16.24245
1,4.75,97.106,-30.24665,68.221225,0,0,186.0163225,208.9246775,-78.0901425,-0.0286988,-0.114373,0.4253005,-5.86711,-7.4492725,-29.707025,-16.327
1,5.25,97.125,-30.3973,70.815575,0,0,183.87558,209.99943,-75.3679625,-0.0202461,-0.11621,0.90027475,-5.8585975,-7.4798575,-29.952725,-16.466175
1,5.75,97.0875,-31.1212,70.50925,0,0,182.29389,211.48618,-71.7762025,-0.020640425,-0.10545725,1.275706,-5.857775,-7.5123825,-30.170125,-16.54015
1,6.25,97.041,-32.090325,70.36335,0,0,181.973035,211.43098,-68.7560675,-0.026880825,-0.1117515,0.9083,-5.8663675,-7.53787,-30.275975,-16.556675
1,6.75,96.97675,-32.426625,70.373075,0,0,185.6601075,205.75874,-68.8447175,-0.022547975,-0.1103375,1.90324,-5.856315,-7.544745,-30.25935,-16.739825
1,7.25,96.929,-32.102025,70.383175,0,0,186.699645,208.2459175,-68.554585,-0.015024925,-0.1140595,1.334012,-5.86025,-7.5619675,-30.419675,-16.737575
1,7.75,96.8945,-31.350875,70.44445,0,0,187.6688775,212.0168775,-74.3495475,0.061314875,-0.051155875,1.735765,-5.8632875,-7.57839,-30.24945,-16.79875
