DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,H_1_1_2,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,NETRAD_2_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1
1,0.25,0.59148931975,0.401137525,410.8772656,422.280425,-6.475105297,-6.3467095,0.9485702325,0.18479295,4.23532944875,4.28269225,0.7525451,0.7029185,0.487439286,1972.818832,90,-4.000275,-0.02967918,0.48325869975,3.01662425,3.168000102,101.29,-2.67675,-2.01081225,-3.514,0,0.814,-2.8124715,-1.56606775,292.988425,307.065675,-1.43825,0.44,283.5,299.5,1.12,1.4725,2.43875,3.2,3.505,1,1.4,2.1,3.6,4.4
1,0.75,0.654377386,0.6995414,410.84354315,422.288075,-7.1902045,-5.13675375,1.099625,1.1915765,4.15226,4.3503235,0.86698605,0.94015655,0.491789493,1972.432,89.6,-4.641725,-0.028153505,0.47809736925,3.02094689,3.28,101.3,-2.706,-2.5733605,-3.104,0,0.8285,-2.71661925,-1.587809,292.724775,307.435525,-1.46475,0.432,284.875,299.725,1.12,1.465,2.425,3.2,3.5,1,1.4,2.1,3.6,4.4
1,1.25,0.64346635,0.73849705,410.817439425,422.5432,-7.074009969,-5.3910465,0.8017374,0.65822075,4.08722825,4.15212925,0.7935959,0.827879525,0.451799876,1972.9401315,88.9,-4.67495,-0.02309619,0.480071299,3.100701895,3.1774530485,101.3,-2.5725,-2.55638175,-2.85825,0,0.8155,-2.917054,-1.62237375,292.082575,306.6196,-1.50975,0.462,284.925,299.025,1.115,1.4675,2.43875,3.2,3.5,1,1.4,2.1,3.6,4.4
1,1.75,0.6736456,1.009711,410.7129327,423.01785,-6.11603325,-3.67218125,0.938394464,0.2614839,3.941723,4.046627,0.719188075,1.014932125,0.3000410605,1972.921,89.1,-4.560925,-0.02267884325,0.496996,3.021285,3.276000023,101.3,-2.847,-2.2535615,-2.8245,0,0.8115,-2.86468875,-1.51251375,291.7044,305.19985,-1.39175,0.4665,282.75,298.75,1.105,1.47,2.43,3.2,3.5,1,1.4,2.1,3.6,4.4
1,2.25,0.6781212245,0.66396745,410.79472325,423.10615,-7.119961,-5.404988,0.8111833,0.544543,3.8890215,3.877767,0.8504425,0.81672945,0.22548704025,1973.095,89.7,-4.542964918,-0.02983116525,0.477216071,2.99597,3.0670000335,101.3,-2.985647382,-2.12166,-2.5455,0,0.8425,-2.887103,-1.45659875,295.803225,306.1236,-1.4265,0.45625,282.875,297.45,1.11,1.4775,2.43,3.2,3.5,1,1.4,2.1,3.6,4.4
1,2.75,0.696753525,0.519688675,410.183625,422.614725,-7.07572754475,-3.06400225,0.7744130145,0.300100925,3.8885971785,4.03307375,0.8403428,0.69188645,0.187915203,1972.61170425,89.3,-4.7257695885,-0.0240128225,0.4808583,3.016245,3.1175,101.3,-2.959,-2.35072425,-2.06625,0,0.83,-3.08158875,-1.52047075,293.25425,304.656275,-1.551,0.45675,283.225,297.7,1.11,1.485,2.43,3.2,3.5,1,1.4,2.1,3.6,4.4
1,3.25,0.6905285,0.8425741,410.2894261,422.0237,-6.88971534725,-5.6286725,1.25378425,0.2400913,3.871957,3.829104,0.748199975,0.8629279,0.628401706,1972.35041175,89.5,-4.840815191,-0.0265636175,0.49612088,3.056591952,3.077,101.26,-3.057,-0.818113825,-2.085,0,0.843,-3.0181155,-1.46069425,296.796475,304.5802,-1.50475,0.4865,283.075,297.65,1.11,1.4775,2.43,3.2,3.49,1,1.4,2.1,3.6,4.4
1,3.75,0.71523978,0.5201258,410.52227305,422.29115,-6.3858155,-2.94695,0.776037425,0.322025675,3.961966862,3.66677375,0.8927413,0.655636325,0.379479374,1973.152,89.5,-5.232280542,-0.02628238,0.5003905,3.098414,3.02349998,101.26,-3.109,-0.411845125,-1.57525,0,0.8155,-2.95786875,-1.7105205,298.3168,304.645025,-1.4975,0.5085,283.2,296.925,1.105,1.5,2.43,3.2,3.495,1,1.4,2.1,3.6,4.4
1,4.25,0.68721205,0.6047215,410.4069991,422.429975,-6.45886414325,-4.1830815,0.832386734,0.2698842,3.94984596075,3.755324,0.81686012125,0.63498165,0.31649489125,1971.707526,89.5,-5.228375,-0.0274894205,0.469583409,3.008363,3.1099999475,101.25,-3.2575,-0.74726015,-1.832,0,0.8325,-3.1318885,-1.63260525,296.820925,304.70535,-1.464,0.4595,281.025,296.225,1.11,1.5,2.43,3.2,3.49,1,1.4,2.1,3.6,4.4
1,4.75,0.768812558,0.516821925,410.872572525,422.5265,-8.085212,-3.6168215,1.196209175,0.2525717,3.882726,3.6590515,0.8718275,0.505710675,0.4245,1972.431372,89.5,-5.42836504775,-0.02463097,0.479672498,3.02981775,3.0809999705,101.275,-3.338,-1.36432375,-1.938,0,0.8145,-3.01149225,-1.602609,295.09665,304.86205,-1.45275,0.4415,282.7,295.525,1.105,1.5,2.43,3.2,3.495,1,1.4,2.1,3.6,4.4
1,5.25,0.65470206175,0.6056413,410.6691677,422.7885,-6.09308625475,-2.445664,0.60711698,0.39652,3.8782765,3.93367925,0.766124125,0.7137871,0.395511401,1972.779,90.3,-5.3113,-0.02513008275,0.473884675,2.9925281935,3.0884999935,101.295,-3.297,-0.1611170575,-2.07425,0,0.8335,-3.4431525,-1.58394325,297.32315,305.29875,-1.4195,0.46475,280.15,295,1.115,1.5,2.43,3.2,3.4875,1,1.4,2.1,3.6,4.4
1,5.75,0.6678803005,0.5430538,410.7930193,422.8634,-6.26117925,-3.680361,0.7056912285,0.5487459,4.0596077145,4.01871275,0.842003198,0.65042325,0.735,1973.9939925,89.6,-5.0522,-0.0291572275,0.4607155755,2.979417,3.1789999865,101.29,-3.358378668,1.21433575,-1.45575,0,0.844,-3.23881575,-1.47445225,296.057125,305.75155,-1.42475,0.5235,279.925,294.9,1.1,1.5,2.43,3.2,3.495,1,1.4,2.1,3.6,4.4
1,6.25,0.6630774,0.6264324,411.100134825,422.5654,-7.27337260875,-3.9161655,0.906721965,0.4279238,4.0450525,4.2017405,0.8481131,0.635405075,0.54219364075,1974.6232035,89.5,-5.0179413195,-0.027178388,0.4715264015,2.88961175,3.0840000345,101.295,-3.61925,0.63631075,-1.3355,0,0.8435,-2.93699275,-1.40871175,294.951725,305.93775,-1.40325,0.4975,279.725,294.4,1.1,1.51375,2.43,3.2,3.4875,1,1.4,2.1,3.6,4.4
1,6.75,0.7665101,0.753218325,411.05620225,422.76075,-7.187271,-5.00428275,0.8329081,0.5490947,4.03933690175,4.27276825,0.7594037,0.8589206,0.372,1974.044,89.6,-4.887,-0.02760627,0.486604221,2.959523061,3.022578001,101.3,-3.7435,1.0423475,-0.951,1.45941959425,0.81525,-2.95402675,-1.5052405,294.2855,305.680175,-0.889,0.60975,280.2,293.975,1.1,1.505,2.43,3.2,3.48,1,1.4,2.1,3.60225,4.4
1,7.25,0.6402219,0.723497175,410.9070519,423.1232,-6.1481765,-2.715258,0.81461935,0.405630325,3.94456475,4.1760915,0.6862191,0.873974575,0.4234382935,1974.37703,88.5,-5.347265656,-0.028023115,0.4647723105,2.844665943,2.992,101.30000155,-3.816,4.121232,2.52025,26.25583333,0.82575,4.1125995,1.668737,293.62665,305.5044,9.935,3.5545,281.95,294.375,1.09,1.5025,2.4275,3.1975,3.49,1,1.4,2.1,3.6,4.4
1,7.75,0.7249124305,0.5984782,410.8250825,423.25835,-3.60626,-0.190017,0.74588215,0.5547506,3.8003775,3.711196,0.7942703325,0.7983582,0.5732447295,1974.1626965,89,-5.269701656,-0.030852205,0.490732698,2.8948178585,3.066569456,101.3,-3.7365,13.754515,12.3775,107.175,0.80075,41.5569175,15.0168675,294.6213,306.0277,54.83,12.4025,281.975,294.8,1.08,1.5,2.425,3.2,3.495,1,1.4,2.1,3.6,4.4
1,8.25,0.8150417755,0.75342635,410.9364538,423.0776,12.490514125,20.00759,1.369640021,1.06097725,3.797375,3.3264835,0.931852,0.891954,0.37135263375,1973.4841415,88.8,-5.715575,-0.0394866915,0.53503378825,3.007972,3.301999997,101.34,-3.5375,39.56475,37.4825,248.575,0.82925,106.509875,28.39857,295.45605,306.626775,120.125,21.62,284.05,296.225,1.0825,1.5025,2.425,3.19,3.49,1,1.4,2.1,3.6,4.4
1,8.75,1.021246,0.796443575,411.23923785,423.0161,45.97000022,41.4139375,3.87465,1.582312,3.83587125,3.345813,0.928910475,0.6748287,0.3037595725,1972.0309775,88.1,-5.525209227,-0.062665552,0.58782595,3.03381569675,3.429499984,101.35,-3.229,91.5706425,87.65,392.5,0.85475,187.175825,40.8993025,297.7389,307.825025,189.325,26.4025,283.85,297.9,1.09,1.505,2.425,3.2,3.495,1,1.40225,2.1,3.6,4.4
1,9.25,1.01412675,0.8333793,410.8142018,422.3855,86.262707235,74.991035,6.041399,2.267544,3.879689,3.3538785,0.78930718425,0.640367425,0.586326641,1970.82525,88.35,-5.1855,-0.07770025,0.633046575,3.136044057,3.7039999515,101.39,-2.9195,132.5862,141.825,512.275,0.84675,242.806325,44.4144,296.640975,308.91305,251.525,30.17,283.775,300.35,1.085,1.51125,2.425,3.2,3.4875,1,1.4,2.1,3.6,4.4
