DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_2
1,0.25,0.11411328,-18.38,1.871,0.07685,-10.297135,0.06475,-4.2435,70.27,89.3,-29.64,0,0,0.4535825,0,-4.08,-2.991,-7.665,-7.003,-5.582,-7.506,-5.911,-6.741,392.05,-3.3075
1,0.75,0.113748504,-18.64,1.788,0.07,-10.48685189,0.0286,-4.213,70.61,89.3,-29.24,0,0,0.5222605,0,-4.008,-2.939,-7.636,-6.922,-5.55,-7.428,-5.902,-6.761,393.25,-3.3395
1,1.25,0.112858828,-18.61,1.742,0.08,-10.867,0.05263,-4.2045,71,89.3,-29.03,0,0,0.4943025,0,-4,-2.912,-7.882,-7.09,-5.597,-7.676,-6.018,-6.792,392.35,-3.3175
1,1.75,0.10931645,-18.76,1.6865,0.11,-11.137,-0.0174,-4.2045,71.125,89.3,-26.66,0,0,0.47633,0,-4.007,-2.8805,-7.923,-7.1445,-5.6215,-7.772,-6.02275,-6.91075,389.3,-3.302
1,2.25,0.111135357,-18.33,1.6545,0.08,-9.246108711,0.04118,-4.1505,70.95,89.3,-25.91,0,0,0.497159,0,-4.016,-2.8945,-7.938,-7.1385,-5.6555,-7.8565,-6.01,-6.894,389.9,-3.2635
1,2.75,0.1047,-17.96,1.657,0.088,-10.169,0.0241,-4.104,70.93,89.3,-26.055,0,0,0.493327,0,-4.0195,-2.9385,-7.9785,-7.1165,-5.698,-7.9265,-6.0025,-6.87625,389.2,-3.2695
1,3.25,0.112233864,-18.18,1.738,0.062,-9.232396098,0.332805,-4.084,70.96,89.3,-25.51,0,0,0.48616,0,-4.011,-2.961,-8.0055,-7.087,-5.719,-7.952,-6.01,-6.907,390.25,-3.241
1,3.75,0.11977994,-18.14,1.829,0.097,-8.582534272,0.1543816945,-4.1505,70.72,89.3,-24.45,0,0,0.490833,0,-4.01,-2.955,-8.07,-7.062,-5.727,-7.997,-6.0955,-6.968,388.9,-3.278
1,4.25,0.12342,-17.9,1.754,0.0903,-11.3093,0.21456,-4.1325,71.02,89.3,-23.12,0,0,0.464827,0,-4.009,-2.95,-8.2915,-7.009,-5.719,-7.975,-6.242,-6.845,390.9,-3.2915
1,4.75,0.1149940595,-18.02,1.805,0.0892,-10.91145,0.172825,-4.175,71,89.3,-21.8,0,0,0.473738,0,-4.029,-2.953,-8.0985,-7.054,-5.627,-7.891,-6.229,-6.774,392.55,-3.344
