DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
1,0.25,0.0695,22.9366,6.28903,1.263935,3.513125,0.511471,0.784371,435.559,5.71706,1.469165,1.1476075,0.7846,0.24126775,-0.5669409,-0.45513355,0.47525,100
1,0.75,-0.0108,23.7295,6.73021,0.8750895,3.44377,0.476985,0.6899165,432.6,5.6909525,1.52327,1.11891,0.649404,0.22667175,-0.620862975,-0.46956045,0.4975,100
1,1.25,0.0558,19.6037,7.59429,0.91321675,3.653235,0.482409,0.65909775,434.358,5.5790925,1.40044,1.096365,0.679536,0.251199,-0.6428493,-0.4889216,0.504,100
1,1.75,-0.0215,15.15795,6.515065,0.803913,3.64101,0.52093125,0.66959975,433.6765,5.75517,1.426345,1.077565,0.73478225,0.2601535,-0.59935,-0.460218,0.577,100
1,2.25,-0.0286,19.5866,6.80268,0.301769,3.7780425,0.446696,0.466681,431.1625,5.726855,1.37195,0.999498,0.670539,0.22425125,-0.6156915,-0.4594495,0.0405,100
1,2.75,0.060075,18.242675,6.07206,0.637628,3.730455,0.51665175,0.58029025,432.1285,5.83631,1.4116025,1.0416975,0.6951815,0.2185235,-0.6565306,-0.4871646,0.425,100
1,3.25,-0.0264,25.016175,6.6132925,0.340335,3.529255,0.4892375,0.48689,434.738,5.9192325,1.4502,1.1123625,0.6631415,0.229646,-0.6333541,-0.4622653,-0.142,100
1,3.75,0.0194225,18.94855,6.441615,0.78375225,3.3605325,0.46315775,0.648428,433.558,5.8560575,1.3188175,1.057515,0.68480475,0.223361,-0.4999513,-0.3912421,0.0675,100
1,4.25,-0.02025,16.518325,4.9635175,0.8145195,3.5605675,0.48464175,0.649715,434.349,5.81713,1.3301175,1.0687775,0.6806605,0.19323175,-0.5426671,-0.3857745,-0.03325,100
1,4.75,-0.0275,17.9211,5.072445,0.920197,3.5064075,0.491525,0.23233,432.137,5.85402,1.3289725,1.11438,0.686922,0.226971,-0.5678071,-0.4098595,-0.34775,100
1,5.25,-0.020575,19.497625,4.5952275,0.81257275,3.37403,0.47755525,0.235432,433.4835,5.90198,1.3283425,1.1182775,0.67706875,0.2589665,-0.565718,-0.4095257,-0.2545,100
1,5.75,0.0385,19.81875,4.497425,0.4413935,3.56297,0.5030075,0.311347,433.6675,5.85523,1.3451675,1.1039675,0.707613,0.23385825,-0.5726212,-0.4102008,-0.0595,100
1,6.25,-0.0317,25.1203,6.96982,1.3625325,3.41607,0.451311,0.08178925,433.709,5.9621725,1.33574,1.0304,0.648178,0.24156,-0.5234408,-0.3713441,-0.148,100
1,6.75,0.0602,24.3742,5.27358,1.4837275,3.51305,0.457183,-0.00217075000000001,435.71975,5.87034,1.33198,1.06656,0.645626,0.287145,-0.5042002,-0.3519271,-0.269,100
1,7.25,-0.00957,20.4438,6.267115,2.2448275,3.51667,0.501454,0.025425,435.45925,5.93639,1.33759,1.0977,0.707439,0.28922,-0.4883927,-0.3947252,-0.293,100
1,7.75,0.0266575,26.77495,5.09696,2.83607,3.29621,0.5054735,0.340273,437.616,6.189175,1.2952925,1.0460325,0.66656525,0.29094725,-0.1214041,-0.1010593,-0.03525,100
1,8.25,0.066075,30.53225,6.35063,3.39234,3.382285,0.51753175,0.37128225,438.68825,6.2251475,1.31418,1.163715,0.70862025,0.2890925,8.501658,7.197466,0.171,100
1,8.75,0.0797,29.62625,7.551625,3.1021,3.867715,0.521292,0.46605175,436.6755,6.3327925,1.406995,1.28619,0.753102,0.319719,38.34057,32.20233,0.209,100
1,9.25,0.188107,38.6346,9.46602,2.192105,3.88121,0.571275,0.677481,436.84825,6.27701,1.51198,1.22845,0.833474,0.342502,88.56476,74.31495,0.289,100
1,9.75,0.249804,38.2075,8.67267,3.07989,4.12115,0.624501,0.86423375,438.0965,6.17918,1.47342,1.26901,0.845757,0.307711,146.4674,122.8474,0.47025,100
1,10.25,0.3016155,41.09345,9.27917,3.43793,4.023215,0.62263,1.23092,435.62775,6.176745,1.5697675,1.3309725,0.90615625,0.418402,190.948375,160.14315,1.0135,100
1,10.75,0.324422,45.691375,8.99203,3.5096375,4.15594,0.6034595,1.3980125,435.7575,6.22819,1.67466,1.314395,0.899973,0.376684,248.9218,208.7368,1.14325,100
1,11.25,0.4192335,50.533125,13.044625,3.241055,4.178655,0.63386125,1.34902,435.6205,6.00903,1.66127,1.40883,0.93819525,0.438839,297.018375,249.064675,1.04725,100
1,11.75,0.4263075,52.171175,11.57515,3.85517,4.253335,0.64756525,1.276,434.19575,6.16039,1.759965,1.43899,0.88228775,0.376173,326.421925,273.702975,0.907,100
1,12.25,0.348355,51.634575,13.4942,4.12811,4.1734675,0.66156825,1.30209,433.83425,5.800635,1.7122225,1.497855,0.925026,0.428037,343.529025,288.0611,0.927,100
1,12.75,0.24253575,51.7978,14.6164,4.40145,4.1569475,0.6056405,1.3471625,433.541,5.60805,1.7110475,1.488355,0.912098,0.44785725,352.4685,295.554675,1.199,100
1,13.25,0.37235225,53.043275,16.829025,4.17451,4.0769475,0.630171,1.44692,433.771,5.67485,1.7223,1.4403675,0.9380935,0.40253525,340.068925,285.10665,1.107,100
1,13.75,0.294754,56.38585,18.202325,4.4035275,4.2092,0.661397,1.8899,433.3805,5.69576,1.639695,1.574335,0.887529,0.37781575,336.3539,281.989075,1.297,100
1,14.25,0.2152385,48.84015,13.769075,5.1643325,4.1034125,0.645378,1.55058,432.578,5.82516,1.63207,1.47354,0.8978455,0.4305235,295.7818,248.0452,1.30075,100
1,14.75,0.346626,44.1249,14.663,4.9032,4.09656,0.622214,1.96916,430.39,5.740575,1.672635,1.4100875,0.897715,0.345967,266.015,223.0035,1.434,100
1,15.25,0.19023475,40.750625,13.3513,5.71784,4.0740075,0.682423,1.96191,429.908,6.03094,1.59362,1.427305,0.90079625,0.32473625,232.4383,194.8568,1.41525,100
1,15.75,0.190628,39.2103,13.349025,5.329385,3.977145,0.603472,1.751525,431.29225,5.8818725,1.60524,1.33889,0.867429,0.31567825,150.9297,126.5248,1.3265,100
1,16.25,0.111888,30.0345,14.9225,6.13215,3.8522425,0.577804,1.9344325,431.522,5.89659,1.56372,1.2841,0.839954,0.31761,100.7375,84.44783,1.31175,100
1,16.75,0.11104425,24.4028,11.7288,4.07939,3.8547175,0.594794,1.865685,432.428,5.94221,1.4568,1.2388,0.802464,0.290208,57.04327,47.81551,1.2275,100
1,17.25,0.070875,26.901775,12.385375,4.5259325,3.58777,0.5432865,1.84033,432.8485,5.946095,1.4600025,1.17994,0.78666025,0.2654875,16.91271,14.1748,1.199,100
1,17.75,0.126211,20.188075,9.758195,2.8002725,3.36465,0.560402,1.74501,432.299,5.820915,1.436865,1.05317,0.811985,0.25061525,0.7330962,0.6866798,1.121,100
1,18.25,0.124269,20.45125,10.54175,2.34431,3.85394,0.592604,1.7219675,433.851,6.202025,1.43114,1.1080125,0.88507925,0.26088925,-0.7010841,-0.5187905,1.23225,100
1,18.75,0.05965,25.999675,10.0932,2.24277,3.94623,0.56289875,1.55683,434.7075,5.9017,1.49914,1.15725,0.76242075,0.29147725,-0.7149139,-0.5216748,1.006,100
1,19.25,0.082225,20.8518,8.379205,2.66702,3.66554,0.6126485,1.10505,434.346,5.8858875,1.45188,1.15681,0.78744425,0.2502955,-0.651228,-0.4787121,0.819,100
1,19.75,0.06465,22.34985,8.6163225,1.7972925,3.68605,0.546454,1.016676,433.567,5.7810375,1.4603125,1.0232175,0.80216975,0.27312625,-0.6517328,-0.5174293,0.705,100
1,20.25,0.04475,21.738825,7.4490875,2.40907,3.542175,0.570942,0.8820325,432.133,5.68381,1.454545,1.119035,0.8019375,0.277646,-0.67097,-0.5184196,0.6655,100
1,20.75,0.0027,18.99285,7.912785,2.211935,3.5328025,0.5578065,0.59088925,434.172,5.70486,1.476845,1.118475,0.79144825,0.233959,-0.6294202,-0.4631255,0.46325,100
1,21.25,-0.02545,19.357,8.202835,1.692985,3.74165,0.4890765,0.508243,434.34825,5.742745,1.43495,1.066695,0.75904075,0.2524125,-0.6564555,-0.4786021,0.508,100
1,21.75,-0.0346,21.01155,7.2789725,2.10472,3.63448,0.52345325,0.6205655,433.3945,5.71353,1.454265,1.13453,0.7260545,0.2591705,-0.6477007,-0.4856225,0.6205,100
1,22.25,-0.024325,19.081725,7.0054175,1.4122,3.387625,0.46307075,0.1849455,429.5975,5.582155,1.3218425,1.0623825,0.70454025,0.22941675,-0.633143,-0.4715182,0.086,100
1,22.75,-0.01925,21.13055,7.36287,1.384605,3.20711,0.4634695,0.3696135,430.77525,5.65255,1.324445,1.01943,0.71827625,0.237901,-0.6494709,-0.4856825,0.229,100
1,23.25,-0.00871,19.29745,7.33298,1.30506,3.40577,0.5320035,0.355349,431.213,5.70442,1.34663,1.0431,0.784531,0.25556,-0.6338945,-0.4659089,0.3555,100
1,23.75,0.05045,19.474475,6.8649525,1.1180805,3.357025,0.493552,0.158991,431.333,5.7330425,1.394435,1.0708675,0.75474175,0.221257,-0.5115656,-0.3983339,-0.0775,100
2,0.25,0.0727,17.7707,6.30386,0.961251,3.62079,0.513827,1.49343,428.4365,5.83628,1.37252,1.07797,0.784037,0.216863,-0.5685664,-0.4329831,0.923,100
2,0.75,0.104207,15.09865,5.0025,1.1941475,3.819125,0.492127,1.21322,429.504,6.12605,1.356425,1.059695,0.76899775,0.2124,-0.6006909,-0.4751209,0.771,100
2,1.25,0.1027755,18.671825,5.2947975,0.880597,3.5964725,0.5165345,0.87874525,431.32225,6.083715,1.383615,1.08762,0.778532,0.21558675,-0.53230545,-0.42247145,0.39725,100
2,1.75,-0.014825,21.545425,6.0081725,0.9642195,3.53261,0.5072485,1.3282675,428.903,5.9678875,1.4026175,1.16337,0.72804225,0.230136,-0.61623785,-0.47008645,1.03375,100
2,2.25,0.0431,20.04985,6.19899,0.456048,3.5651425,0.5197865,1.18742,428.718,5.868465,1.346575,1.105335,0.752068,0.249925,-0.5412007,-0.4106454,0.595,100
2,2.75,0.071,19.770125,4.9695975,1.01473375,3.4936,0.5022205,1.27331,431.18,5.88893,1.2948275,1.088495,0.7690155,0.239023,-0.52097015,-0.39042425,0.865,100
2,3.25,0.122854,16.7344,3.795455,0.62483625,3.5773475,0.520771,0.8987375,429.946,5.98976,1.3643525,1.041595,0.7930925,0.25089275,-0.489566,-0.3669784,0.31325,100
2,3.75,0.1124905,21.7483,4.1840125,0.404779,3.6451775,0.524474,1.10683,430.3735,6.038665,1.3857225,1.026855,0.7850495,0.248222,-0.4763736,-0.37273365,0.69,100
2,4.25,0.113271,18.0465,4.134765,0.782434,3.40173,0.4763275,1.12659,431.53175,6.0619025,1.297045,1.0241075,0.7769205,0.27480025,-0.48348435,-0.372397,0.54775,100
2,4.75,0.108606,18.0399,6.542845,0.771132,3.2860625,0.5209395,1.31375,430.48575,6.0201475,1.3382025,1.12248,0.8265345,0.2626935,-0.5173186,-0.383114,0.7225,100
2,5.25,0.048075,21.942775,5.3607675,1.05051,3.6341,0.493544,0.91876775,430.5075,5.9604075,1.40702,1.13461,0.799111,0.263523,-0.46873435,-0.35828205,0.4135,100
2,5.75,0.12113,23.726,5.1005675,1.0756315,3.6842875,0.49415475,0.765236,432.708,5.9046325,1.3216675,1.0755325,0.80315025,0.2826735,-0.4778721,-0.36179455,0.2035,100
2,6.25,0.0848,19.3563,6.173465,1.70296,3.67601,0.491662,0.593653,434.353,6.053575,1.3739225,1.1080525,0.79518225,0.286856,-0.4519785,-0.35376325,0.0565,100
2,6.75,0.091325,16.8706,4.3964375,1.39822,3.9208,0.49153775,0.174867,434.273,5.99889,1.40023,1.13651,0.746878,0.271254,-0.5659662,-0.4303868,-0.394,100
2,7.25,0.149395,18.1283,7.129115,2.244315,3.77844,0.53591875,0.214006,434.7625,5.837905,1.3064275,1.0678475,0.827561,0.253092,-0.0002341795,-0.003303934,-0.30125,100
2,7.75,0.184417,19.33735,8.932485,1.9295575,3.815265,0.53013675,-0.011385,434.9105,5.94187,1.3864275,1.108645,0.86508175,0.27629125,12.414805,10.464835,-0.6185,100
2,8.25,0.186452,27.320175,8.800705,2.501065,3.803885,0.555043,0.738143,433.67525,5.96034,1.4906825,1.1262725,0.93709775,0.3428685,55.1881,46.32132,-0.039,100
2,8.75,0.288214,38.271375,9.107055,1.338255,4.10698,0.575957,0.9350315,432.534,5.95194,1.539665,1.28635,0.95711625,0.377566,111.1388,93.23057,0.394,100
2,9.25,0.2835385,46.856875,12.4036,2.0795425,4.1162875,0.6420645,0.59150425,431.475,5.9212025,1.6028825,1.3332375,0.99715425,0.3910085,184.30385,154.519025,0.28675,100
2,9.75,0.289677,49.2985,10.44785,3.8256775,4.31416,0.638455,0.941898,431.777,5.91556,1.69525,1.34928,1.07075,0.410657,268.5104,225.1577,0.618,100
2,10.25,0.38062375,60.8807,11.36245,2.2911425,4.51571,0.639511,0.974266,429.106,5.91624,1.752795,1.4295875,1.01153,0.384598,344.9024,289.2078,0.433,100
2,10.75,0.3010305,61.150825,11.904275,1.0931335,4.55219,0.689352,1.3729,429.948,5.74245,1.74302,1.4743275,1.10598,0.39815075,392.0132,328.7007,0.952,100
2,11.25,0.342662,74.8686,14.9268,2.661145,4.4428,0.72361,1.60002,428.944,5.72181,1.73263,1.5362,1.13145,0.464567,453.52945,380.202775,1.321,100
2,11.75,0.312376,79.1736,16.42555,2.79452,4.7456,0.676047,1.70424,428.33725,5.6753325,1.8041,1.54768,1.11756,0.448268,526.26595,441.25875,1.617,100
2,12.25,0.227119,78.1359,19.9174,2.930465,4.5277975,0.713097,2.13492,427.794,5.6543,1.7748275,1.64917,1.13193,0.472778,561.5869,470.7919,1.86475,100
2,12.75,0.23743325,78.178275,20.7489,2.99864,4.601885,0.688772,2.432915,426.555,5.743645,1.85492,1.616555,1.0830675,0.49275275,583.6919,489.3192,1.8965,100
2,13.25,0.376207,76.8042,18.2158,1.785605,4.80109,0.699633,2.90988,426.93575,5.8154325,1.8564,1.68402,1.08158,0.45122075,575.4028,482.4435,2.49,100
2,13.75,0.351153,76.1163,19.66985,2.65998,4.89407,0.729447,3.02465,426.3345,5.9471125,1.8309,1.71239,1.11797,0.47858,535.7455,449.1999,2.706,100
2,14.25,0.26355825,81.83365,20.3163,2.961635,4.81411,0.68439025,3.01202,426.2475,6.0026825,1.95253,1.71918,1.0306075,0.44932,481.0241,403.3409,2.958,99.8551
2,14.75,0.297022,79.8253,22.89335,2.86797,4.55446,0.71348575,3.4781,426.2135,5.8263075,1.89841,1.69062,1.037125,0.447361,473.0903,396.6666,3.031,96.5879
2,15.25,0.33352925,68.804825,17.33975,3.1723175,5.14463,0.67915925,3.867925,425.84725,5.7248725,1.9785725,1.5894775,1.06609,0.376399,427.6943,358.5453,3.44975,97.67115
2,15.75,0.319675,62.47895,15.7173,2.805235,4.79856,0.670229,3.885415,426.87325,5.9586625,1.85827,1.612445,0.98685,0.3765675,340.3521,285.375075,3.4615,97.3513
2,16.25,0.19011575,46.791325,13.21705,3.001495,4.9067175,0.63373,3.853705,427.039,5.77722,1.869505,1.54785,0.973651,0.334958,267.4541,224.2107,3.5445,97.97465
2,16.75,0.216642,38.24505,12.263725,1.907065,4.72672,0.586311,3.6623625,427.63975,5.7299925,1.742235,1.41891,0.928827,0.2997955,188.77335,158.316425,3.53,98.31795
2,17.25,0.201176,32.7647,10.30715,2.312025,4.3728675,0.554227,3.635115,427.781,5.9147125,1.6542325,1.37998,0.84181375,0.30137075,95.713225,80.236005,3.49175,99.98875
2,17.75,0.209598,27.66335,8.94408,2.12272,4.0508,0.531884,3.68071,428.278,5.96066,1.58871,1.22826,0.8375195,0.286903,35.3007525,29.6533275,3.192,100
2,18.25,0.147702,27.2072,9.54745,2.02585,3.958365,0.518172,3.036015,428.804,5.75552,1.497265,1.310025,0.7925995,0.278454,4.37674775,3.73113,2.812,100
2,18.75,0.1684915,22.25205,7.410335,1.591975,4.1867875,0.527138,2.6990925,429.54225,5.75975,1.5501725,1.331525,0.839748,0.25792525,-0.6974934,-0.531768675,2.4615,100
2,19.25,0.1433705,21.47935,7.8144625,1.93787,3.776915,0.535157,1.8773,429.14125,5.825985,1.49011,1.21108,0.8250525,0.24501,-0.7928103,-0.61096345,1.68575,100
2,19.75,0.192917,18.7691,8.02923,1.1114425,4.059095,0.520243,1.45984,429.775,5.84946,1.525905,1.205215,0.7874625,0.2218825,-0.71430185,-0.560471075,1.023,100
2,20.25,0.0513,23.144,8.57585,1.24079,3.705525,0.4947325,1.4044875,430.347,6.01012,1.4571725,1.23675,0.7561665,0.26495,-0.687150725,-0.53627755,1.0205,100
2,20.75,0.097153,19.77665,6.903515,1.175775,3.82981,0.479225,1.38634,430.32975,5.94749,1.38977,1.21265,0.7570215,0.239904,-0.665469725,-0.5273701,0.972,100
2,21.25,0.077825,17.146575,5.196445,1.51199,3.7119775,0.51217425,1.4039025,430.302,5.9969775,1.4846675,1.1664775,0.73297325,0.23190775,-0.638409025,-0.53648005,0.91475,100
2,21.75,0.0751,15.9287,5.533445,1.56551,3.6642625,0.505437,1.4194525,429.60325,5.97806,1.3517325,1.1228175,0.766896,0.236456,-0.69285835,-0.508183225,0.9155,100
2,22.25,0.0769,19.7197,6.8967475,1.153985,3.76791,0.498176,1.462975,429.74275,5.94207,1.344415,1.08497,0.8028635,0.240887,-0.629157325,-0.472506125,0.9845,100
2,22.75,0.0513,21.28715,6.430255,0.868459,3.5472,0.4947865,1.542555,430.97825,5.96384,1.327695,1.04222,0.7998255,0.2245095,-0.65128185,-0.496864725,0.9735,100
2,23.25,-0.00807,17.8586,4.5364575,0.937796,3.57268,0.466574,1.223903,429.042,5.974,1.28524,1.06877,0.76289,0.197813,-0.6353832,-0.503889125,0.8645,100
2,23.75,0.082525,17.0367,5.097945,0.7805775,3.614385,0.5058805,1.4949575,430.0545,6.0824775,1.295815,1.09548,0.7948635,0.21074975,-0.614703525,-0.48092335,0.9535,100
3,0.25,0.14734775,11.235775,5.5910025,0.8358375,3.668695,0.5189225,4.5714125,437.08025,7.175185,1.393355,0.9885505,0.79981425,0.2206955,-1.08336125,-0.876224325,3.837,97.144
3,0.75,0.128788,12.959475,4.175075,1.120655,3.61653,0.5249145,4.580335,438.462,7.0845025,1.33834,0.9543525,0.77289925,0.2078255,-1.19993325,-0.940764025,3.9045,99.02475
3,1.25,0.123309,11.533125,5.011525,0.796927,3.4669,0.55300475,3.996145,438.32675,7.32379,1.251675,0.897169,0.781859,0.2380405,-1.0693405,-0.84456985,3.194,99.4986
3,1.75,0.126751,10.767,3.59254,0.92102225,3.23904,0.540892,3.83374,438.764,7.25544,1.26387,0.9927335,0.736378,0.269544,-0.9928953,-0.75775335,3.11175,100
3,2.25,0.0769,8.88394,4.582875,1.5475,3.3619775,0.47271075,3.53007,437.80625,7.11909,1.19124,0.933419,0.738802,0.222128,-1.148708,-0.9396563,2.88475,100
3,2.75,0.0797,8.928785,3.6936925,1.24176,3.236335,0.51423,3.48247,435.857,7.17618,1.20583,0.9252995,0.816953,0.206928,-1.085366,-0.83313665,3.102,100
3,3.25,0.093325,10.0741075,5.5107375,0.712868,3.25264,0.48063125,3.458615,436.321,7.114315,1.247705,0.9500625,0.7633085,0.2586075,-1.1860075,-0.9127361,3.096,100
3,3.75,0.06615,8.6167,4.28992,0.80794725,3.41093,0.51035275,3.605645,435.587,7.06451,1.2603125,1.05226,0.74211975,0.2308565,-0.9866229,-0.82175515,3.157,100
3,4.25,0.08395,10.813,5.116385,1.20125,3.3693525,0.45923325,3.5175025,437.19975,7.0825075,1.2402,1.0133,0.70909,0.26492075,-0.94214525,-0.7595758,3.26625,100
3,4.75,0.09690625,10.3886,4.0072725,1.2471425,3.39578,0.4697965,2.8293,438.3825,6.51173,1.25296,0.99257125,0.6689865,0.300513,-0.90375905,-0.72768465,2.337,100
3,5.25,0.075,11.1133,6.5119775,0.7988505,3.2512875,0.45411,3.37701,439.5285,6.51263,1.20309,0.934449,0.648448,0.28071,-0.9427142,-0.71846385,2.838,100
3,5.75,0.1184265,11.663,6.0926775,1.6845225,3.28569,0.440931,3.09755,439.63625,6.620075,1.19033,0.972194,0.65592,0.291609,-0.94682515,-0.7344996,2.588,100
3,6.25,0.104041,14.088475,6.5451725,2.15279,3.45948,0.473878,3.0675025,442.574,6.74093,1.2764275,1.0306425,0.71878,0.30865825,-0.82007835,-0.6737093,2.436,100
3,6.75,0.13715325,17.3907,7.4176275,2.34405,3.4782025,0.504326,3.1624475,444.295,6.7576075,1.34495,1.07704,0.731994,0.3091045,4.9754815,4.2363015,2.66,100
3,7.25,0.1889215,25.3536,5.9051,2.1978725,3.70551,0.525476,3.3141,442.1,6.63721,1.45976,1.15072,0.814025,0.359567,35.16267,29.54465,2.698,100
3,7.75,0.251238,30.2246,8.3987675,2.2753625,3.9059,0.599596,3.18678,439.1805,6.7290025,1.64036,1.18094,0.916864,0.432649,103.63045,86.945545,2.639,100
3,8.25,0.334737,40.397,10.711725,2.6504425,4.32407,0.62376,3.969825,436.259,6.9832775,1.68984,1.29157,0.973206,0.46307275,199.8368,167.59995,3.31225,96.7923
3,8.75,0.357767,50.31125,12.39135,3.872425,4.45144,0.679653,4.2111975,435.29225,6.96126,1.68428,1.326,1.02063,0.457044,299.5404,251.18495,3.60225,94.1176
3,9.25,0.4050565,56.205475,14.580775,2.99391,4.51428,0.70192975,4.69542,434.04375,6.9883875,1.7680325,1.4720925,1.135945,0.496932,399.0055,334.57405,4.117,93.455575
3,9.75,0.324715,58.5316,16.46965,3.20707,4.82225,0.754153,5.155,432.43225,7.0615025,1.87596,1.60976,1.20677,0.535287,470.83295,394.75215,4.471,91.67305
3,10.25,0.466729,78.259275,17.906025,3.03407,4.9305375,0.73281,5.65295,431.948,7.19021,1.94133,1.71366,1.104,0.543065,552.43535,463.1488,5.0425,90.264575
3,10.75,0.50322,84.1968,19.201475,3.397875,4.766465,0.777945,5.82457,431.25925,7.22639,1.9530125,1.780135,1.2564925,0.5746395,616.7686,517.13745,5.509,85.5773
3,11.25,0.3414525,110.403,19.69805,3.55129,4.722615,0.73848775,6.64436,430.924,7.48516,1.992205,1.682905,1.2091125,0.604095,660.68615,553.9503,5.993,84.1898
3,11.75,0.520078,112.6855,20.5976,3.41479,4.847115,0.7559375,7.16251,431.084,7.0117425,2.03157,1.781025,1.260105,0.62056,709.4137,594.7536,6.3265,82.64725
3,12.25,0.611253,123.109,23.3604,4.79095,4.9198,0.8183495,7.270995,431.30125,7.0487675,2.03509,1.75971,1.30522,0.6007815,745.31065,624.8556,6.615,81.3789
3,12.75,0.40383,117.454,22.04695,5.1386925,5.097055,0.80030025,7.56738,430.8725,7.14805,2.11525,1.840255,1.209515,0.6024905,740.1456,620.4818,6.6515,79.332025
3,13.25,0.230301,122.78225,22.2084,4.36942,5.040605,0.822631,7.88364,430.5055,7.2219,2.069875,1.904365,1.206625,0.6070865,741.67725,621.84135,7.0105,79.091325
3,13.75,0.28226425,111.127,20.524675,4.06345,5.3245875,0.806941,7.972995,429.656,7.119335,2.13749,1.916795,1.24507,0.5902975,716.98555,601.11155,7.2675,77.962425
3,14.25,0.347073,113.681,19.765,3.78928,5.2814625,0.81101925,8.3953425,428.0475,7.24587,2.1542625,1.9014525,1.248525,0.553987,693.2682,581.2703,7.8395,79.0697
3,14.75,0.399651,113.91425,18.9718,3.00242,5.07295,0.76991975,8.890495,428.9155,7.383575,2.035005,1.8463725,1.1270825,0.542706,635.7221,533.021,8.1105,79.79565
3,15.25,0.2477825,98.1086,16.754725,3.5075,5.1650525,0.758253,8.8711525,428.68575,7.30339,2.00995,1.7820425,1.13777,0.5197725,588.7425,493.5923,8.20575,79.00155
3,15.75,0.343351,90.1989,17.5444,3.7159025,4.9748175,0.74555125,8.7604025,428.5415,7.227235,1.9484125,1.8401175,1.17034,0.4824265,507.8679,425.8316,8.29175,78.0395
3,16.25,0.47390575,69.776575,14.7355,2.97392,4.9831325,0.73194875,8.968425,429.93675,7.253455,1.9209775,1.7617075,1.168415,0.432336,410.12785,343.9029,8.3815,79.2023
3,16.75,0.409495,54.7962,10.929325,2.8799525,4.7506125,0.716515,8.919735,430.09725,7.3974,1.8562,1.629195,1.1375925,0.37880625,323.492,271.22935,8.336,81.7875
3,17.25,0.399304,36.28735,10.571525,2.98234,4.80824,0.71412775,8.620605,430.1465,7.26064,1.816995,1.545,1.07214,0.319361,229.21185,192.1938,7.9285,82.4772
3,17.75,0.349688,25.1068,9.532765,1.62562,4.3568625,0.64099625,8.1394325,430.2295,7.29041,1.671575,1.400535,0.9762405,0.30399275,125.9392,105.66015,7.59275,83.8168
3,18.25,0.224337,17.492725,8.663465,1.45132,4.18608,0.584136,7.801915,431.357,7.32892,1.619735,1.3401175,0.85171875,0.2654585,47.31075,39.7049,7.098,84.0585
3,18.75,0.19876,13.4341,5.651,1.77097,4.03105,0.526885,7.62379,432.241,7.3238525,1.53844,1.2818,0.834519,0.25323425,6.5342865,5.560896,6.845,87.930825
3,19.25,0.1430765,13.12225,5.8191975,1.61499,3.8438925,0.511152,7.0358225,432.06775,7.47139,1.493085,1.149495,0.7724625,0.2260855,-1.152484,-0.9106743,6.46775,88.08615
3,19.75,0.161892,11.4715,5.38009,1.398125,3.59645,0.52511975,6.73694,433.37775,7.49475,1.46007,1.11964,0.7863595,0.230894,-1.1574255,-0.93211505,6.0625,87.75695
3,20.25,0.114588,12.52415,6.570425,1.4047375,3.694555,0.545336,6.593905,434.4165,7.6735925,1.46009,1.09676,0.82364875,0.220904,-1.1289265,-0.8801043,5.5015,89.611
