DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_9_1,TS_3_1_1,TS_3_3_1,TS_3_4_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,-0.022248112565942,-0.107178390996561,-0.0753548125381082,-0.733597610870715,-0.439944122415388,0.0640050562004472,-18.5131505476458,-4.89332586713291,0.313973734096987,407.46580177801,2.5102875947756,412.151259311555,2.0975324858015,411.767550832031,412.363707791413,2.04448891755895,411.425332032338,412.786440075835,1.95377958972791,411.44128370915,410.90610457986,2.02725308025735,410.39870112,1.18126420852741,-1.33180239761637,0.283512619282132,0.8325,0.6,0.21,-1.438975,-1.654,-2.320975,-3.23985,-4.616425,86.7808675,35.8725,2.1256,-4.8675,-3.1225,-3.49,1.4,-3.9125,3.175,-0.08,223.075,292.875,223.325,290.25,-0.035,-0.64,-0.0175,0.0025,-0.0725,-0.22,-0.18,-0.5,-0.46,1.5955,5.82725,7.1545,8.0655,13.22875,13.116,0.37525,3.0345,14.54625,1.3345,6.67625,7.36875,10.52525,16.55675,0.6345,2.47025,5.8775,6.80225,9.506,14.555,1.3255,2.79,7.4985,-43.67925,-29.1165,-26.162,-73.775
1,0.75,-0.053554982096062,-0.0615216936591793,-0.108243672985483,-0.744947934800311,-0.306547352745171,0.0571126134225705,-20.6951492865865,-6.11858269952618,0.319536519892065,407.041830767999,2.49036424446837,412.093155720571,2.10698459698937,411.741679252738,412.460834493744,2.03510378336609,411.155321817168,413.161996583636,1.95708837008443,411.499638990691,411.952538072946,2.01656141984101,410.711405786885,1.14451767552927,-1.53459334559347,0.263821674290983,0.9525,0.6575,0.19,-1.4942,-1.89275,-2.9179,-4.0166,-5.105,86.764505,37.14,1.9551,-5.2825,-3.4375,-3.66,1.4,-3.8375,2.975,-0.035,221.9,291.625,221.3,288.6,-0.0325,-0.6475,-0.0125,0.0175,-0.075,-0.22,-0.18,-0.5,-0.88475,1.325,5.61925,7.10475,8.0825,13.2275,13.115,0.0895,2.68975,14.5445,1.02525,6.51125,7.28875,10.5235,16.55475,0.29525,2.233,5.738,6.7675,9.5195,14.55275,0.95125,2.47275,7.42525,-43.421,-29.182,-26.135,-70.8025
1,1.25,-0.0411723265850035,-0.0901215385748175,-0.0643979163995797,-0.809355762912515,-0.919794402563448,0.064381043316347,-15.3081656966331,-3.18245110602944,0.319295232746597,407.033323650842,2.42659338637783,412.725515961929,1.9772471705673,412.477207275163,412.858003377386,1.83101684210387,411.542839568721,414.124330819059,1.79145560785661,411.525116177171,411.313059417372,1.90733247702734,410.088770429335,1.10537322622766,-1.91649459263715,0.269676658829691,0.8725,0.63,0.21,-1.763075,-2.1635,-2.9017,-4.3419,-5.890525,86.750325,39.25,1.9299,-5.555,-3.8075,-4.08,1.475,-3.855,3.2,0.0475,221.25,288.975,222.025,287.3,-0.0425,-0.6375,-0.0025,0.005,-0.075,-0.23,-0.18,-0.5,-1.12575,1.02075,5.4175,7.03225,8.099,13.2255,13.118,-0.21,2.36375,14.54275,0.83975,6.356,7.1925,10.522,16.5535,0.0625,2.0045,5.5935,6.7305,9.5295,14.551,0.594,2.19225,7.32525,-44.73725,-31.09325,-27.33,-71.4425
1,1.75,-0.0447740355920846,-0.0286940500274377,-0.0745746800267066,-0.774342534294578,-0.513364468804329,0.0633368411476636,-17.7204311623391,-4.11785969883518,0.301582876427073,406.909422798002,2.37412475156346,413.061015235224,1.90416948157832,412.097422638558,412.366759246316,1.81226989540466,411.22136232,412.869439543673,1.78360301978529,411.479173143466,409.619176822763,1.86443357681439,410.20470425387,1.26501763235004,-2.26365527241341,0.26392020751246,0.88,0.6,0.19,-2.033325,-2.67875,-3.157075,-4.4702,-6.32725,86.748525,40.4975,1.89065,-5.7125,-4.0975,-4.1225,1.4,-3.835,2.975,-0.1425,221.05,287.475,221.2,286.825,-0.04,-0.645,-0.015,0.015,-0.08,-0.22,-0.18,-0.5,-1.331,0.68025,5.2255,6.9265,8.1145,13.22375,13.10925,-0.4305,2.05975,14.5415,0.56175,6.1975,7.0905,10.5215,16.5525,-0.19175,1.75125,5.44225,6.654,9.546,14.54825,0.255,1.9155,7.2245,-44.2625,-30.568,-26.749,-71.985
1,2.25,-0.040245979158888,-0.0767821719637581,-0.0358001296005737,-1.08202403992091,-0.291251076524957,0.0567582222494678,-14.0970084590248,-3.52126148431231,0.333000428235627,406.963794008439,2.26288765188259,411.998286662966,1.85923659106281,411.331597517403,411.951483219896,1.80011224669067,410.78037008378,412.392833749561,1.74945952250683,410.746175493912,409.290471348245,1.78679652682402,409.416750927921,1.10928126385448,-2.54085839544348,0.269197687829722,0.84,0.5975,0.19,-2.158,-2.74925,-4.03645,-4.7142,-6.354275,86.7401,40.77,1.71755,-5.7675,-4.1875,-4.355,1.25,-3.84,2.975,0.075,221.975,287.75,221.325,285.125,-0.0375,-0.64,-0.02,-0.00749999999999998,-0.075,-0.2225,-0.1725,-0.5,-1.50925,0.45775,5.04325,6.82125,8.12975,13.22225,13.10975,-0.6435,1.76375,14.5215,0.31,6.05575,7.00275,10.52325,16.5505,-0.389,1.50125,5.30125,6.56075,9.56025,14.54575,0.10325,1.62725,7.14225,-44.927,-30.936,-27.18775,-71.355
1,2.75,-0.0318050952577657,-0.0425256693219999,0.00297442082555919,-1.20127689580448,-0.358714887115611,0.06263853866706,-15.4483902778294,-4.56218519846377,0.293578246944639,406.753356585701,2.39216529077723,412.357224677178,1.85426804911133,411.171262486999,412.345889952185,1.79752911488535,410.626944053045,412.37687706448,1.73125239913337,410.658492956702,410.208113320046,1.74913212011461,408.820169492248,1.09286003741651,-2.86612159800927,0.262951681382529,0.82,0.6075,0.19,-2.44665,-3.29425,-4.178925,-4.9834,-6.348175,86.72556,40.235,1.6762,-5.9375,-4.3175,-4.59,1.275,-3.89,2.85,0.0075,221.1,287,220.875,284.775,-0.0325,-0.645,-0.01,0.01,-0.0775,-0.2225,-0.18,-0.5,-1.6935,0.2105,4.853,6.71175,8.1445,13.2205,13.0905,-0.851,1.54675,14.53775,0.11525,5.84225,6.91225,10.52325,16.54875,-0.59475,1.27975,5.1535,6.46525,9.57125,14.5445,-0.08875,1.35175,7.05475,-43.8595,-31.018,-26.9745,-68.8175
1,3.25,-0.0204173525296013,-0.124609053303807,-0.0460565781561869,-0.775188054648401,-0.494231432724104,0.0622181910774267,-27.982170455935,-3.91033455693026,0.301257620016245,406.476875165328,2.33456938003249,411.301526025281,1.88426108665121,411.39834960379,411.946166151798,1.81661599172452,410.433178305469,412.22623421134,1.77849199369869,410.966762350032,409.766622603876,1.76657212581827,408.534048393361,1.115098231711,-3.83511506497771,0.266723056270608,0.88,0.6175,0.2,-3.04625,-3.95075,-4.59615,-5.150125,-6.880775,86.7098925,43.0675,1.51705,-6.2525,-4.745,-4.7875,1.175,-3.61,3.1,-0.02,221.275,285.425,220.575,284.525,-0.045,-0.6475,-0.0025,0,-0.075,-0.23,-0.18,-0.5,-1.89125,0.03675,4.67575,6.5995,8.15475,13.2195,13.11,-1.06725,1.336,14.53675,-0.141,5.66625,6.81475,10.5235,16.54675,-0.75675,1.07825,5.00375,6.3655,9.5825,14.54325,-0.19725,1.12,6.9605,-45.735,-31.554,-27.8355,-68.94
1,3.75,-0.0509820083447795,-0.112832505119766,-0.0950875771379329,-0.316735087821471,-0.636231440796496,0.0579842874309067,-16.5913496549257,-2.23158698112044,0.302365586764333,406.312300066561,2.3004275732231,410.948367840552,1.90470721420905,411.153745113137,411.095099214192,1.80071588232774,410.449887055694,411.628112708545,1.70401963065658,410.97822277985,409.059094778967,1.72765582178093,409.167871898693,1.036037462572,-3.87314467424525,0.266401454427876,0.8925,0.59,0.1875,-3.141775,-4.16225,-4.910425,-5.424375,-6.97355,86.704165,43.2175,1.4,-6.46,-4.76,-5.2025,1.175,-3.6825,2.825,0.17,219.975,285.2,218.475,283.275,-0.04,-0.65,0,-0.00499999999999998,-0.0775,-0.2325,-0.18,-0.5,-2.19125,-0.07575,4.5495,6.48775,8.16025,13.219,13.116,-1.23175,1.1235,14.53475,-0.3255,5.49925,6.70675,10.5235,16.5455,-0.99,0.87925,4.84475,6.26325,9.59125,14.54225,-0.385,0.91975,6.86175,-45.407,-30.618,-27.69675,-68.75
1,4.25,-0.0637954046813433,-0.0756979183309592,-0.0530168987135097,-1.02191176811762,-0.521480971956538,0.0607627824135705,-22.3831246875701,-4.21578552747602,0.362094983323532,406.134443489319,2.36327592900361,411.257498546982,1.93076943759525,411.03453861811,411.089279509746,1.74863165148631,410.356779,411.333244651469,1.6648892963516,410.306545964856,409.296612674305,1.88354308618655,408.265272152531,1.09152738854002,-3.91660867392349,0.289005442963727,0.85,0.56,0.19,-3.38635,-4.17275,-4.996575,-5.80435,-7.359225,86.673345,43.99,1.338675,-6.825,-5.1225,-5.36,1.45,-3.595,3.15,0.0275,217.2,283.725,216.8,282.375,-0.0325,-0.6475,-0.015,0.005,-0.0725,-0.2325,-0.18,-0.5,-2.4125,-0.23075,4.4015,6.37475,8.16575,13.21775,13.1,-1.4525,0.96375,14.5335,-0.46125,5.368,6.59875,10.52275,16.54375,-1.21025,0.68975,4.70975,6.16075,9.5975,14.54125,-0.65125,0.6955,6.81025,-45.259,-32.0225,-27.9375,-68
1,4.75,-0.0821878026241437,-0.0790362637472977,-0.0781621719439339,-1.57511179835276,-0.297470803653725,0.0579334082819619,-15.6542386534552,-2.5533752817975,0.338257642997669,406.384821527531,2.32646254570717,410.814769660172,1.88188714422497,410.950637644289,410.640868483432,1.85657318584716,410.306428877551,411.345229977696,1.8682642984675,410.140229209416,409.266585853362,1.92391856316095,408.046541983766,1.10760384839025,-4.32166839671063,0.2242870280512,0.83,0.595,0.18,-3.729425,-4.736,-5.4446,-6.516225,-7.862975,86.6465325,44.6325,1.415375,-7.085,-5.48,-5.565,1.175,-3.695,2.575,0.0575,217.85,282.675,217.3,280.475,-0.035,-0.65,-0.005,-0.015,-0.0775,-0.24,-0.18,-0.5,-2.5895,-0.4895,4.22175,6.263,8.1695,13.2155,13.10975,-1.66825,0.81025,14.53175,-0.68075,5.2095,6.48875,10.52225,16.54175,-1.45925,0.56175,4.58275,6.057,9.60475,14.53825,-0.8315,0.5625,6.74175,-46.616,-32.102,-27.97075,-69.315
