DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.011575,-11.789025,0.5778,-5.1593,-83.9206,-5.221275,-25.281,-2.259275,-0.61145,39.604,92.655175,342.40325,0,-72.412775,-1.332,-2.380925,-1.19005,-0.060625,188.065725,262.851625,3.691625
1,0.75,0.0485,-11.90875,0.453,-5.173,-77.963575,-11.9914,-25.2675,-2.339225,-0.6142,39.2,92.6657,345.56005,0,-69.194625,-1.375425,-2.34255,-1.1247,-0.0114,187.6059,262.702425,3.72375
1,1.25,0.0556,-11.93675,0.308,-6.5559,-78.222925,-15.5134,-25.162525,-2.420675,-0.64525,39.52795,92.657675,348.46195,0,-68.7219,-1.357075,-2.347975,-1.16365,0.0097,189.50665,260.079275,3.738125
1,1.75,0.05315,-12.214275,0.2528,-4.85635,-77.795725,-9.9888,-25.301425,-2.49605,-0.674775,40.984,92.673775,345.1398,0,-69.884975,-1.405475,-2.461675,-1.173725,-0.030725,186.5146,255.815475,3.39255
1,2.25,0.028325,-12.512775,0.5812,-12.254775,-72,-13.190325,-25.999825,-2.571725,-0.7054,42.861,92.68375,352.595875,0,-69.141225,-1.4032,-2.464975,-1.113225,-0.0421,185.863325,255.175575,3.47675
1,2.75,0.03035,-13.13125,0.7372,-7.776,-69.295825,-20.68975,-27.347925,-2.6494,-0.7368,44.221,92.691425,351.9725,0,-68.90365,-1.4405,-2.488125,-1.175775,-0.07515,185.332575,253.106875,2.7371
1,3.25,0.02905,-14.12875,0.7124,-6.21985,-70.608975,-10.6308,-29.116,-2.726875,-0.770675,43.651,92.6663,348.3344,0,-70.589875,-1.441925,-2.4642,-1.22715,-0.05235,183.9627,251.2207,2.851625
1,3.75,0.0354,-14.370025,0.5912,-4.17755,-74.6346,-25.0726,-28.13975,-2.802125,-0.805975,45.321,92.644825,352.6569,0,-69.4203,-1.411775,-2.6463,-1.1015,0.02995,183.911475,250.077075,3.010875
1,4.25,0.039,-14.6765,0.8162,-10.9764,-67.67405,-10.8806,-30.364,-2.881275,-0.8426,51.1,92.632375,354.286,0,-67.451175,-1.354825,-2.5818,-1.109875,0.0399,183.594925,250.59065,4.06725
1,4.75,0.0329,-14.824475,0.4868,-6.89105,-65.3838,-19.8696,-30.45325,-2.96235,-0.8817,51.21,92.62615,354.4883,0,-66.728675,-1.3601,-2.447725,-1.03425,0.01045,183.568975,250.169575,3.8944
