DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN
1,7.75,497.215157925,12.875350875,4584.0724062,3.69016312499999,348.945353974999,-0.124535325000006,33.2504725,29.1476047,8.24880575,0.561672975,0.011428,1.060809525,0.622934574999999,103.009,100.83,9.49166,3.068012425,15.72006775,1.320751625,11.654458,11.998692,12.418216575,12.59957515,12.522166575,16.7118485,161.509392325,22.698714325,91.7725
1,8.25,502.169327,12.6496042,4466.3387966,4.3446706,219.842088699999,0.277349625,30.1366604,36.3222326,7.8536583,0.45250125,0.00708659999999999,1.13526425,0.560494625,103.07625,100.5995,10.24475,3.033681,15.691025825,1.274102525,11.613208,11.875416875,12.28675,12.59870825,12.504167,60.46346825,345.373831625,61.93499975,190.1125
1,8.75,523.843182425,12.554151,3965.4242609,3.57907975,406.2063993,3.223909425,13.912370875,47.8858355,8.12622297499999,0.470605775,0.00113625,1.1674653,0.59990405,103.08675,100.578,11.142625,3.240179,15.606938425,1.293066875,11.531216825,11.7631,12.191075,12.548558,12.532999825,116.767429825,509.1668225,89.068761725,255.88725
1,9.25,505.85389475,12.905245375,3659.932109775,2.87511325,85.2135185,8.73202249999998,21.1060358,55.7823433999999,7.62048744999999,0.496826499999999,0.004415475,1.26028535,0.6371366,103.106,100.18825,11.9292,3.7129478,16.5286634,1.007599,11.523242,11.704433525,12.148841475,12.525817,12.518358,190.1924293,704.022430125,97.663047575,330.96975
1,9.75,497.026270425,12.7650802,3432.754680525,4.5010716,103.788096,13.3751458,20.4322836,50.035132,8.35652355,0.488396049999999,0.003197525,1.134657875,0.642494375,103.13,100.138,12.45125,4.946606,17.0716855,1.0266908,11.6735998,11.8572002,12.1299334,12.5277332,12.5545332,242.0830986,855.656075,110.5032382,410.77
1,10.25,491.518347,12.76668775,3458.1060819,5.2845567,101.905995,26.8754405,35.49268475,98.334317375,8.04486405,0.4516341,0.0033502,1.288273075,0.52597125,103.1275,100.142,13.5103,6.26662755,17.6100255,0.965011049999998,11.726458125,11.876000125,12.09770825,12.51233325,12.50083325,294.137323875,996.824766125,111.160476,479.97625
1,10.75,485.232044,12.55486555,3233.1144985,5.5305785,161.632588,38.2250445,25.70208575,92.6036315750001,8.2947546,0.5054022,0.0092815,1.2424528,0.515862199999999,103.1135,99.944225,14.7617,7.64533335,18.022382875,0.897442,11.97038345,12.043483,12.121083,12.49611645,12.52276655,349.8573943,1113.2962615,115.0681901,531.4585
1,11.25,467.784356625,13.332941975,3264.485231425,5.83224825,140.7615616,41.2112689,36.4448687,114.9780005,7.7954764,0.5853076,0.0100655,1.4519282,0.5858334,103.0905,99.9924,15.57795,8.99087575,18.6145968,0.79573645,12.069267,12.0872,12.117367,12.47293355,12.52401655,388.4211263,1210.7457941,113.99666685,577.1175
1,11.75,462.32813425,13.1860525,3122.0844987,3.61156099999998,187.495263875,43.1339464249999,43.939255075,106.48557045,7.971199125,0.4621868,0.0167882,1.25336125,0.5439593,103.03275,100.0249,15.952925,10.1131345,19.13557055,0.809531,12.215875,12.180658225,12.164925225,12.4796,12.52684155,413.3568665,1262.481775525,115.424047475,601.493
1,12.25,462.68636965,13.3686225,2926.746476025,3.7323053,109.764424649999,52.691703575,52.3151661,164.34193615,7.7617128,0.5004401,0.00665985,1.197271625,0.530485375,102.968,99.451725,16.7528,11.4234894,20.1582919,0.949405775,12.48864985,12.349283575,12.183258575,12.457167,12.519025,428.94242945,1301.476635225,117.01895245,630.83
1,12.75,458.356864,13.5324276,2854.286129,3.1495563,110.8124495,52.7629647,50.44433215,156.0690715,7.86148385,0.486386875,0.0123461500000001,1.2074299,0.637373974999999,102.9165,98.92485,17.3506,12.5061611,20.8012206,0.8249137,12.727566425,12.493525,12.26396765,12.432575,12.543608,431.560915875,1294.471028025,118.240190525,607.8075
1,13.25,453.2504987,13.4782746,2782.5616949,2.0914562,131.8868365,55.5255430999999,51.55861935,165.261469325,8.007727475,0.49491135,0.0102665749999999,1.31086075,0.614486875,102.862,98.866825,18.1032,13.3725569,21.464064925,0.8717695,12.870633,12.702067,12.2751332,12.4428332,12.5147332,389.3225349,1223.188785,119.1382857,576.738
1,13.75,440.692134375,13.725208125,2887.5811045,2.584038225,115.82248855,43.9957268,47.02441845,182.6985715,8.1957962,0.5148382,0.0160587499999999,1.21821685,0.582125949999999,102.836,97.743925,18.924725,14.46977355,21.8341781,0.83116185,13.2141668,12.8018668,12.399387,12.4346669,12.4995331,366.1091546,1156.3719626,119.9232383,540.95375
1,14.25,442.42691075,13.7766994,2812.431129375,2.3964214,165.2125339,45.4182273999999,53.1048268,193.99923905,7.872585275,0.4920043,0.0054869,1.29033685,0.58214665,102.826,98.131425,19.112775,14.7808325,22.494808225,0.765776,13.4798,13.016767,12.4224999,12.4036,12.4954331,309.5957746,1026.8616824,122.5365714,486.43875
1,14.75,442.90839975,13.7751782,2807.06862285,1.8487246,84.7285441749998,41.9361091,40.55524285,180.982590675,7.85543009999999,0.4520397,0.0115049,1.128734,0.588274,102.811,98.2455,19.5892,15.46181625,22.8116761,0.6164746,14.010517,13.2226999,12.5464499,12.423833,12.51008355,244.14612665,903.596262,124.1948569,426.15125
1,15.25,440.777207325,13.89501455,2793.841658,2.1200635,93.8992023,35.131941375,35.050798375,164.6989875,8.20692359999999,0.5089327,0.00363419999999995,1.23672025,0.608322799999999,102.8195,93.87075,19.85375,16.001354875,23.0775369,0.593562125,14.29075,13.4448999,12.67583345,12.434875,12.534342,171.433098525,740.5074766,118.34809525,353.3115
1,15.75,438.29914145,14.21173805,2786.9697862,2.8189692,107.8354955,32.336063475,27.884355,160.108089525,7.9008521,0.5553821,0.00443042499999994,1.1818961,0.61544015,102.813,93.963275,20.03665,14.897789625,22.8412887,0.457469875,14.45768345,13.733899775,12.751783225,12.447549775,12.54314155,100.573063,549.333177275,110.48690465,266.8495
1,16.25,438.24762655,14.4588834,2690.978825025,1.8754342,106.714534,30.6081078,19.09258665,127.73164885,7.768812825,0.516221175,0.000321724999999989,1.1039278,0.5646858,102.7975,94.691725,19.56085,13.980496125,22.80496525,0.554653,14.5773,13.89533345,12.8628499,12.4546001,12.53948345,32.7200001,360.1476637,86.68933305,178.582
1,16.75,439.486227,15.17113445,2882.112925175,1.79526839999999,125.573934125,28.34596425,37.10602625,93.45940595,7.0865192,0.516838025,0.002842875,1.2240361,0.537713799999999,102.80625,95.084025,18.497575,11.365963675,22.13266325,0.68319435,14.5837001,13.996833,12.9529,12.48078355,12.552166875,5.2988377,174.3985046,43.37619025,90.6275
1,17.25,444.2683372,15.014158,3075.67805225,2.57280305,173.4066402,25.6722576,26.427731375,84.807771625,7.4433303,0.4602829,0.00548060000000002,1.01680125,0.4989445,102.816,95.2762,15.674025,8.224004475,20.406694875,0.7741145,14.598667,14.0905998,13.0781998,12.5032666,12.5636,-8.6608454,40.0818688,6.3668572,18.632
