DOY2,HR2,LE_1_1_A,LE_1_1_1,LE_1_1_2,H_1_1_1,PA,RH,SW_IN,LW_IN,USTAR,WS,TA,TAU,T_SONIC,T_SONIC_SIGMA,VPD,FC,CO2
1,0.25,51.2810322444314,50.2837023494657,89.3096367506114,24.7998883619867,97.967095,70.7121150269144,3.9119515e-05,247.10645,0.2510836,7.364555,-9.372074,-0.2598586,-9.246764,0.1892572,0.604344381432113,-1.46681867757328,384.294389078625
1,0.75,50.5431903329233,46.9353131305308,79.5718565295324,27.7871067458683,97.9766975,71.281856146315,1.840457e-05,247.3224,0.2539712,7.561741,-9.2552625,-0.276009775,-9.213057,0.2029989,0.603581815593717,-1.6617749375142,383.055202021689
1,1.25,52.9208764460506,50.8355784373023,90.2729223952585,29.3751497805802,97.950225,71.337240002695,1.3805655e-05,247.8638,0.2601768,7.46672,-9.3071825,-0.270238125,-9.381993,0.193171,0.572364526461586,-1.48826209952284,383.970970761335
1,1.75,53.6433167392591,51.3221222475111,93.1621027090621,28.0797281369037,97.9386875,71.5490683313592,-3.6816605e-05,248.3488,0.2689402,7.371577,-9.529029,-0.2648256,-9.413913,0.1991309,0.592845926189097,-1.76718064076346,382.779848395036
1,2.25,47.6826219538534,44.3133275948744,79.5233367442692,29.1310093156985,97.93475,71.2885137317582,-2.6461355e-05,246.79085,0.2609482,7.42334,-9.5811595,-0.28292905,-9.5799,0.1988452,0.580919586295684,-1.25261815496478,383.672616504259
1,2.75,53.5427634816535,43.5329547887472,87.4804424971233,26.9795249373204,97.9107025,71.2003554192445,-3.566806e-05,247.56855,0.27676245,7.36783,-9.6386155,-0.26044185,-9.7276645,0.1957027,0.568957696344206,-1.47230254487616,382.45668631877
1,3.25,57.1614263254463,55.0157424317704,86.5419899063158,30.1883839390478,97.92055,71.5584853231183,-6.6741265e-05,245.45365,0.27697825,7.421197,-9.661009,-0.280588275,-9.821288,0.1933522,0.570162771414949,-1.69690911156556,383.223429362283
1,3.75,52.9564481701947,49.9874881157129,92.3095555443936,32.6133749915088,97.912795,71.7966593957252,-5.6362775e-05,247.878,0.25665815,7.26393,-9.677131,-0.2734377,-9.8341375,0.1905807,0.565861326293639,-1.51996574642127,382.525710403665
1,4.25,46.3162217801539,42.8021119096043,89.6197999482357,32.5656719397021,97.91211,72.0715739648848,-7.363638e-05,248.066,0.2628994,7.434385,-9.8259105,-0.2893689,-9.8129925,0.18736495,0.56140371684752,-1.71518132242672,383.047542930496
1,4.75,50.7848683223159,47.9598636420474,78.909765772513,33.4340889256974,97.88425,71.9158328038356,-7.478035e-05,248.9583,0.255895475,7.45739,-9.9330295,-0.287535175,-9.91014775,0.184875675,0.549069965024723,-1.70446188366281,381.814134076684
