DOY2,HR2,USTAR,TA,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT
1,0.25,0.144,-15.55,2.29,-0.44825,-16.75,-0.75,-20.5,-5.07,-4.0975,78.2,96.4005,0.28,-54,0,-3,0,0,190,240.5
1,0.75,0.123,-15.95,2.61,-0.4255,-15,-0.75,-20.5,-5.5675,-4.5625,77.6,96.39,0.27,-52.5,0,-3,0,0,192,239
1,1.25,0.1325,-16.15,2.52,-0.3745,-13.5,-1,-20.75,-5.3525,-4.505,77.45,96.39,0.26,-52,0,-3,0,0,192,239.5
1,1.75,0.1405,-16.2,2.65,-0.3345,-15,0,-21.75,-5.4275,-4.32,77.15,96.385,0.255,-48,0,-3,0,0,191.5,239.5
1,2.25,0.13175,-16.6,2.22,-0.409,-14,0,-21.75,-5.4975,-4.42,77.35,96.385,0.26,-48.5,0,-3,0,0,192.5,238.5
1,2.75,0.119,-16.3,2.55,-0.386,-14,0,-22,-5.55,-4.585,77.15,96.44,0.27,-50.5,0,-3,0,0,193,237.5
1,3.25,0.1285,-16.25,1.94,-0.69275,-15.75,0,-22,-5.61,-4.7525,76.9,96.4755,0.255,-48,0,-3,0,0,201.5,237.5
1,3.75,0.117,-16.55,2.12,-0.40325,-12,0,-22,-5.6775,-4.8825,77.15,96.44,0.26,-49.5,0,-3,0,0,195,236.5
1,4.25,0.1435,-16.75,1.97,-0.3345,-12.75,0,-22,-5.6975,-4.9325,77.4,96.425,0.26,-48,0,-3,0,0,199,237.5
1,4.75,0.156,-17,2.02,-0.454,-8,0,-21.75,-5.55,-4.7775,78.7,96.4005,0.24,-46.5,0,-2.5,0,0,200.5,237
1,5.25,0.108,-16.95,2.07,-0.38025,-9.75,0,-21.75,-5.5525,-4.76,77.45,96.381,0.25,-47,0,-3,0,0,199,236.5
1,5.75,0.108,-17.25,1.9,-0.477,-8.75,0.25,-21,-5.6625,-5,79.2,96.3755,0.24,-44.5,0,-2,0,0,194.5,236
1,6.25,0.11925,-17.4,2.02,-0.49925,-9,0,-21.75,-5.785,-4.925,79.65,96.3505,0.24,-44.5,0,-2,0,0,194.5,234.5
1,6.75,0.10675,-17.75,2.05,-0.44275,-11.75,0,-21.75,-5.89,-5.02,79.45,96.3255,0.25,-46,0,-2,0,0,196.5,234.5
1,7.25,0.1335,-17.75,2.365,-0.3975,-6.75,0,-21.75,-5.9075,-5.1425,79.15,96.3255,0.245,-47.5,0,-2,0,0,197.5,233.5
1,7.75,0.125,-17.95,2.275,-0.51075,-6.75,0,-21.75,-5.925,-5.165,78.75,96.335,0.235,-45,3,0,1.5,1,199,233
1,8.25,0.1135,-18.05,2.285,-0.3745,-6,0,-21.75,-6.155,-5.1925,78.55,96.3755,0.255,-40,33,12,11,8,196.5,233
