DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1
1,5.75,0.3281235,-2.261,3.00977,0.834445333,0.8241025,0.009333333,-25.2284,0.6676665,-0.0293691345,-1.1992681145,-0.0125,0.521,-0.161,78.32710695,81.0806,398.885752,-38.939,0,0,1.08,256.5,288.7,4.42360961,-0.0937252,0.898960511,0.787307437,0.404733246,-1.865,0.287416771,-0.0995,0.504,2.0035,3.1455,4.0335,4.8015,5.199
1,6.25,0.305613695,-2.471,2.91748,0.8122714445,0.85775,0.003694444,-26.3147,0.5519275,-0.0131026465,-1.2054216455,-0.013,0.5225,-0.161,78.13667336,81.0991,399.3855165,-36.192,0,0,1.149,258.7,289.10871,4.455219019,-0.0782647,0.8885687355,0.7714475955,0.384940682,-2.205,0.2754630875,-0.09775,0.501,2.00525,3.13875,4.0355,4.798,5.20525
1,6.75,0.29444,-2.518,2.80246,0.775120722,0.780378,-0.0066111115,-26.455,0.680423,-0.066588226,-1.2010615705,-0.014,0.524,-0.161,76.87249574,81.1,399.91922365,-38.318,0,0,1.165,254.3761,290.3,4.547409097,-0.0844937,0.91264265,0.780017929,0.3763607755,-2.0965,0.303953286,-0.096,0.498,2.007,3.132,4.0375,4.7945,5.2115
1,7.25,0.301635,-2.398,2.80308,0.766303444,0.810672,0.0002916665,-24.38785,0.166387,0.005372228,-1.203111545,-0.0135,0.5255,-0.161,77.01914985,81.1091,399.21168865,-34.839,0,0,1.170808,256.9686,289.4,4.4882513095,-0.083198,0.9045247545,0.780148641,0.3831746825,-2.0665,0.298358827,-0.1025,0.4995,1.998,3.141,4.03375,4.79275,5.21325
1,7.75,0.315794,-2.5445,2.83921,0.796473667,0.7456065,0.0105,-26.6773,0.636147,-0.0319987805,-1.200047167,-0.017,0.535,-0.163,76.905163045,81.1147,399.4028565,-35.7045,0.222,0,1.23,255.92135,289.410935,4.5244759925,-0.097368,0.910220852,0.785620137,0.392026785,-2.2565,0.3068469575,-0.109,0.501,1.989,3.15,4.03,4.791,5.215
1,8.25,0.3219451925,-2.7675,2.8516692345,0.817020333,0.824735,0.014,-24.0933,0.2328926,-0.057983021,-1.203265887,-0.016,0.538,-0.163,77.111736215,81.148,398.7472326,-37.806,10.44,3.151,4.0335,255.00655,289.55,4.549574353,-0.0986369,0.930341335,0.773303304,0.389125944,-2.397,0.324659685,-0.10225,0.50675,2.00025,3.153,4.04,4.8,5.2185
1,8.75,0.317378,-2.4885,3.0025049045,0.802132389,0.830032,-0.0080694445,-28.1074,1.73375,-0.011830943,-1.199538445,-0.016,0.539,-0.163,76.42358453,81.1608,398.9256391,-29.49,52.86,19.3524415,16.26,257.4,290.35,4.482938886,-0.0989482,0.9582882605,0.775090905,0.4005624985,-2.009,0.308712326,-0.0955,0.5125,2.0115,3.156,4.05,4.809,5.222
1,9.25,0.331692,-2.334,3.13091,0.767162722,0.810405,-0.014,-25.5563,3.4507,0.042073316,-1.184449888,-0.016,0.541,-0.163,76.576514775,81.18255,399.0935046,-17.62,103.85,40.82,30.065,256.50195,290.6,4.515902082,-0.110473,0.949647303,0.839039332,0.409191887,-1.969,0.30306402,-0.09275,0.523,2.01925,3.16175,4.0565,4.815,5.235
1,9.75,0.344998,-2.154,2.94042,0.6104826665,0.625977,-0.021388889,-22.7502,4.27584,0.132993472,-1.1857652125,-0.0185,0.5435,-0.17,74.54304355,81.1956,398.8241088,-1.370183,183.05,78.83703,48.89,256.6575,291.6,4.483900857,-0.10883,0.9999640125,0.8112391245,0.435151056,-1.829,0.27688355,-0.09,0.5335,2.027,3.1675,4.063,4.821,5.248
1,10.25,0.320754,-1.717,2.836865,0.602231778,0.6507935465,-0.018375,-19.62535,7.078855,0.115326737,-1.204183342,-0.013,0.5435,-0.16,72.89126634,81.2232,398.9752096,24.825,320.2,145.9,82.89759,251.85,293.3,4.640014958,-0.0997125,0.9819157335,0.8184259245,0.413651385,-1.508,0.235990289,-0.07425,0.539,2.038,3.194,4.0695,4.82175,5.2635
