DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.01815,-11.0305,0.539775,-0.7146,-0.188275,-0.81375,-86.115,-15.090925,-5.161825,-4.8392,-11.164,-3.826,-1.84725,21.222,76.847,382.5668,0.12675,-114.77,1.3457,-4.08805,0,-0.000849999999999962,171.785,259.665,1.179175,0.5327
1,0.75,0.016575,-10.99775,0.617225,-0.4988,-0.149,-0.64675,-88.438825,-15.574075,-4.6161,-6.3751,-9.5745,-3.91625,-1.8595,19.6335,76.819,382.494875,0.12,-114.21,1.3457,-3.6337,0,-0.0153,172.76,260.57095,1.104225,0.5482
1,1.25,0.02045,-10.961,0.5288,-0.645775,-0.1512,-0.726075,-80.86165,-11.86205,-3.701975,-4.5612,-10.8655,-3.992875,-1.87225,18.547,76.76875,382.617775,0.10375,-114,1.345675,-3.775,0,-0.00904999999999999,171.9625,259.7925,1.11145,0.533
1,1.75,0.01715,-11.081,0.532,-0.6643,-0.260975,-0.93485,-95.7675,-14.617875,-3.76165,-7.18,-11.958,-4.09575,-1.890875,19.36,76.7355,382.5633,0.12,-114.36,1.345,-3.778025,0,0.02325,172.8275,259.67,1.0862,0.536375
1,2.25,0.023,-11.16175,0.5622,-0.454225,-0.211725,-0.499675,-95.4875,-15.1121,-3.880275,-6.153,-12.43475,-4.21425,-1.934875,20.4405,76.7125,382.503575,0.13,-113.9125,1.346,-4.0601,0,-0.037575,173.2975,258.8325,1.079175,0.540425
1,2.75,0.0183,-11.23,0.552,-0.694725,-0.28975,-0.731475,-85.59915,-12.40675,-3.768425,-7.987975,-12.6385,-4.312375,-1.9805,20.09125,76.71275,382.518325,0.1105,-113.43,1.345675,-3.786225,0,0.0111,173.82,257.6875,1.077,0.53105
1,3.25,0.021,-11.17575,0.5058,-0.47335,-0.2343,-0.5079,-87.6578,-11.71045,-2.9061,-7.6926,-12.5675,-4.402875,-2.01775,19.49075,76.70625,382.3725,0.114,-112.8875,1.345675,-3.417425,0,0.020325,173.4675,258.093425,1.099625,0.547375
1,3.75,0.01715,-11.298,0.4598,-0.276575,-0.170675,-0.6121,-90.49355,-12.61035,-4.488975,-9.23005,-11.209,-4.49425,-2.051375,19.2455,76.69925,382.372125,0.10725,-113.6625,1.346,-3.674725,0,0.0151,172.985,258.3325,1.075175,0.533
1,4.25,0.017875,-11.36475,0.5872,-0.450525,-0.14105,-0.652625,-104.45695,-10.9547,-3.204775,-5.70325,-12.70725,-4.5755,-2.105125,19.557,76.70225,382.536675,0.117,-112.4325,1.346,-3.601125,0,0.099875,173.2025,258.3875,1.06295,0.52505
1,4.75,0.029875,-11.618,0.52075,-0.311,-0.0742,-0.484525,-101.02005,-12.3119,-5.990475,-5.37715,-12.72225,-4.634375,-2.15175,20.03375,76.682,382.57835,0.087,-112.365,1.346,-3.7255,0,0.039175,171.5775,256.5825,1.045975,0.527
1,5.25,0.01015,-12.0775,0.51445,-0.51015,-0.2211,-0.56745,-89.1207,-10.63445,-7.749,-5.7065,-12.92325,-4.6765,-2.192375,20.042,76.68525,382.48465,0.127,-112.36,1.346,-3.505125,0,-0.078275,170.2125,254.8,1.02525,0.533
1,5.75,0.0143,-12.45,0.4807,-0.318475,-0.181725,-0.402625,-106.65215,-16.9839,-10.876325,-5.349925,-12.8915,-4.6952,-2.231,19.3525,76.685,382.610525,0.1525,-113.4975,1.346,-3.627825,0,-0.216675,169.4175,254.415,1.01975,0.54205
1,6.25,0.01515,-12.5675,0.51675,-0.473075,-0.261575,-0.457175,-110.52575,-15.05675,-6.801425,-7.60875,-13.153,-4.6786,-2.261,19.3105,76.71475,382.4335,0.14875,-114.1275,1.346,-3.671425,0,-0.269825,168.385,253.375,0.993375,0.553375
1,6.75,0.016,-12.69,0.475,-0.35025,-0.27485,-0.48585,-95.37745,-11.69715,-9.79855,-6.4314,-12.3335,-4.6734,-2.2864,20.1455,76.7575,382.447725,0.16125,-115.1,1.346,-3.5314,0,-0.1421,170.25,253.03,1.033625,0.54965
1,7.25,0.01865,-13.2835,0.522325,-0.349,-0.12515,-0.3404,-97.71335,-12.7201,-5.2609,-9.45,-13.3375,-4.7452,-2.3228,19.1025,76.775,382.725,0.18625,-114.59,1.53225,-3.0379,0,0.0724000000000001,170.49,253.54,1.0228,0.673
1,7.75,0.01555,-13.0695,0.55815,-0.4811,-0.39965,-0.45185,-72.228225,-10.036375,-5.17435,-5.5135,-13.822,-4.806125,-2.3765,19.061,76.773,382.85,0.155,-104.55,5.0694,4.0847,0,1.7126,168.03,253.23,1.02585,3.91865
1,8.25,0.0266,-12.3145,0.4826,-0.408575,-0.24465,-0.400075,-53.76295,-3.50415,-4.884,-6.1418,-14.3385,-4.822375,-2.425875,19.102,76.7965,382.7065,0.13625,-53.897,20.09,15.198,0,4.4207,168.55,256.19,1.01085,17.6865
1,8.75,0.02565,-11.3755,0.4669,-0.8721,-0.911475,-0.81355,-27.4215,-0.3531,-3.402575,-5.5085,-13.933,-4.771625,-2.437125,17.6075,76.8395,382.381,0.13625,1.4385,33.6215,38.602,0,10.71,170.86,263.2201,1.01805,32.4835
1,9.25,0.05605,-10.4135,0.537875,-1.2866,-1.1214,-1.2511,-10.35535,-0.0265499999999999,-5.519,-5.7609,-14.1975,-4.57425,-2.435125,16.5375,76.879,382.163975,0.15875,17.519,73.5565,60.549,0,19.41,173.97,271.46,0.991775,66.339
1,9.75,0.09655,-9.47,0.5307,-2.2938,-2.1366,-1.353775,1.80285,0.5175,-0.888,-6.512225,-10.79875,-4.14725,-2.445125,15.295,76.9055,381.7513,0.12125,22.4025,104.005,77.545,0,26.231,176.89,278.07,1.0065,94.35
1,10.25,0.16815,-8.868,0.67925,-2.5848,-2.4902,-1.6364,4.70605,-2.33795,-0.99125,-7.38625,-11.14375,-3.73025,-2.4535,13.6475,76.939,380.6385,0.083,24.6075,100.103,85.31,48.041,24.706,180.36,286.87,1.05195,88.292
1,10.75,0.19625,-8.40975,0.6964,-3.628625,-3.42575,-2.263375,16.3553,-6.24085,0.55835,-8.6861,-10.9575,-3.17265,-2.44575,13.974,76.96025,380.4038,0.133,39.35975,140.03,101.7425,53.64025,25.6755,183.7975,292.685,1.03775,126.58
1,11.25,0.1943,-7.932475,0.7452,-4.2427,-4.2116,-1.8475,22.457275,-3.7317,-0.4989,-8.5841,-10.379,-2.80445,-2.37695,14.476,76.96675,380.3672,0.13675,43.8615,171.8625,85.2635,31.97,25.80325,186.6375,295.63,1.1385,132.5775
1,11.75,0.20735,-7.65075,0.88925,-3.915925,-3.912375,-1.980625,19.768875,-7.086125,5.85315,-6.8694,-9.9035,-2.557,-2.29085,13.8,76.95675,380.2394,0.10725,43.897,153.2975,76.334,33.35335,27.7185,188.02,293.0275,1.25425,135.645
1,12.25,0.1915,-7.1538,0.913,-4.09175,-3.796275,-1.35455,4.19285,-6.2092,5.396575,-9.274325,-9.652625,-2.3401,-2.175675,13.6315,76.93,379.5236,0.231,44.649,146.07,74.519,21.965,27.284,189.73,297.77,1.307625,123.5807
1,12.75,0.228475,-6.7209,0.879625,-4.3041,-4.2437,-1.0507,3.252375,-9.112875,2.86225,-8.302875,-7.3076,-2.266625,-2.0889,14.40625,76.91,379.51825,0.245,25.65,135.08,63.4215,38.814,30.70375,189.9375,298.705,1.2708,89.712
1,13.25,0.2227,-6.3701,0.962875,-3.5195,-3.526,-0.794225,32.615875,-7.18275,7.480625,-9.790475,-7.273225,-2.222975,-2.04615,14.09375,76.91,377.685325,0.227,44.9985,174.84,78.69375,21.817,33.0045,190.9425,298.315,1.220075,132.8425
1,13.75,0.17145,-6.59975,0.934375,-3.157025,-3.4965,-0.66445,25.169,-12.1518,2.838625,-7.225,-6.817825,-2.177975,-1.983525,12.244,76.921,378.514125,0.105,35.16725,132.4375,62.365,20.34875,30.265,192.6875,298.305,1.25925,100.4375
1,14.25,0.193,-6.583,0.921025,-2.8149,-2.8379,-0.8506,21.0214,-19.1543,5.45845,-7.6314,-6.2268,-2.130975,-1.92065,14.1485,76.936,376.85925,0.197,28.688,134.5725,74.094,11.7295,28.058,194.235,298.605,1.272,129.985
1,14.75,0.1889,-6.50685,0.93335,-2.4965,-2.620625,-0.903875,20.8298,-13.2284,3.475775,-10.74355,-5.5364,-2.0868,-1.85955,13.0715,76.903,376.808425,0.20025,32.159,116.37,58.8375,37.239,22.644,194.065,297.705,1.199225,97.5
1,15.25,0.24005,-6.54455,0.9399,-3.2172,-2.142,-0.5924,0.23835,-18.281375,-0.144,-5.967875,-5.214275,-2.04155,-1.796175,13.50925,76.8967,376.814625,0.163,22.699,84.777,43.9405,0,17.08975,192.895,297.38,1.22525,74.622
1,15.75,0.24555,-6.84375,0.938025,-2.49,-2.5316,-0.2566,-2.1943,-16.63005,1.93,-9.3666,-4.6788,-1.999325,-1.745225,14.019,76.975075,377.024975,0.209,16.996,68.926,34.1845,0,13.7805,189.69,293.975,1.294725,66.006
1,16.25,0.203125,-7.339,0.849375,-1.2154,-1.2056,-0.488775,-6.680375,-16.714625,-5.01565,-5.841,-4.4838,-1.962375,-1.72705,14.80675,76.844,377.0884,0.134,-6.5617,47.911,26.531,0,11.1785,187.96,290.68,1.33875,44.496
1,16.75,0.1711,-7.1615,0.792125,-0.8015,-0.708625,-0.386375,-14.373,-19.715,-4.377,-7.847425,-4.6205,-1.933175,-1.711175,15.8045,76.83,378.276575,0.138,-52.292,25.547,13.42,0,5.4809,184.02,285.615,1.3891,23.882
1,17.25,0.08125,-7.5265,0.587375,-0.384125,-0.472725,-0.40575,-46.0735,-31.7185,-6.7325,-7.3159,-4.7607,-1.912975,-1.69735,19.52325,76.837,379.7456,0.154,-111.25,9.3412,1.9878,0,-0.18425,182.3,282.115,1.44,8.1218
1,17.75,0.0311,-8.295,0.52895,-0.0815,-0.0852,-0.186475,-60.2755,-32.1205,-3.34,-5.72675,-4.9139,-1.9342,-1.68585,18.6005,76.844,380.28,0.147,-120.16,1.6347,-4.88935,0,-0.00794999999999998,181.99,279.155,1.4511,0.6995
1,18.25,0.026625,-8.805,0.412275,-0.02265,-0.2055,-0.22495,-60.8515,-24.3445,-5.317325,-8.865,-5.07,-2.051675,-1.675325,19.187,76.8213,380.68345,0.134,-122.2,1.345,-5.35425,0,-0.15665,181.99,274.93,1.475,0.512
1,18.75,0.016525,-9.14625,0.4449,0.0252,-0.246925,-0.2226,-72.770325,-18.003525,-4.914,-8.768,-4.72895,-2.08665,-1.670525,20.94175,76.8177,381.21435,0.16025,-119.66,1.345,-4.41425,0,-0.07975,179.37,270.7,1.5169,0.5195
1,19.25,0.01805,-9.165,0.5819,-0.20765,-0.499775,-0.2638,-87.141825,-15.128775,-4.119,-5.77725,-5.75545,-2.24325,-1.668375,21.469,76.869,381.77735,0.1525,-118.83,1.345,-4.2761,0,-0.18515,179.22,267.9,1.5468,0.5195
1,19.75,0.013,-9.3055,0.588,-1.202725,-0.32745,-1.38335,-87.3853,-13.675625,-3.18275,-6.4235,-6.4814,-2.502275,-1.670225,22.521,76.894,381.86295,0.12,-119.49,1.345,-3.84395,0,-0.0842,174.975,264.22,1.5606,0.5142
1,20.25,0.01415,-9.9645,0.47545,-1.166625,-0.4796,-1.12645,-83.643475,-12.952125,-3.29775,-5.526,-7.0496,-2.783075,-1.66855,22.616,76.912,382.1698,0.16,-117.46,1.345,-3.706,0,-0.00559999999999999,173.285,261.801,1.5544,0.5347
1,20.75,0.01255,-10.0615,0.50315,-1.17715,-0.252,-1.2071,-88.6268,-9.2871,-5.087475,-8.25575,-7.8888,-2.963,-1.665325,21.2385,76.912,382.32895,0.153,-117.89,1.345,-3.45895,0,-0.02575,173.815,260.99,1.369075,0.5287
1,21.25,0.0133,-10.444,0.44535,-0.82015,-0.3071,-0.9011,-98.021375,-12.90445,-2.751225,-6.8155,-8.708,-3.138675,-1.694175,20.873,76.915,382.61785,0.137,-118.7,1.345,-3.741,0,-0.29215,173.315,262.71,1.363625,0.5195
1,21.75,0.012,-10.94075,0.50135,-0.6452,-0.2042,-0.91835,-105.4023,-14.51725,-3.4083,-5.423,-7.8379,-3.245175,-1.726625,19.65,76.905,382.598,0.1,-117.84,1.345,-3.71005,0,-0.27015,172.68,262.68,1.352725,0.521
1,22.25,0.01755,-10.8405,0.5293,-0.485325,-0.4375,-0.65495,-99.481675,-14.035625,-3.729075,-4.677,-8.936,-3.331575,-1.751025,19.02825,76.8955,382.5303,0.088,-118.21,1.345,-3.7051,0,-0.09865,171.595,261.795,1.304825,0.5365
1,22.75,0.01975,-10.66275,0.4889,-0.77615,-0.27235,-0.905125,-93.765925,-10.48315,-4.84385,-4.5854,-9.687,-3.44335,-1.7788,18.2115,76.893,382.478,0.086,-118.62,1.345,-3.7334,0,-0.08145,172.14,260.44,1.231725,0.527
1,23.25,0.023,-10.9845,0.48065,-0.89195,-0.16375,-0.7719,-84.6469,-11.8736,-3.543425,-4.867275,-10.376,-3.5958,-1.8032,21.0525,76.883,382.5147,0.068,-116.16,1.345,-3.46775,0,-0.1704,172.495,256.375,1.169525,0.5312
1,23.75,0.01955,-11.007,0.474575,-0.53215,-0.18665,-0.6578,-87.226425,-11.76355,-2.386625,-5.18085,-10.923,-3.73605,-1.8287,21.3435,76.866,382.4029,0.0905000000000001,-115.47,1.3457,-3.43085,0,-0.02295,171.44,257.855,1.132125,0.533
2,0.25,0.01545,-8.5425,0.44025,-0.544125,-0.24795,-0.42325,-93.4986,-16.48965,-4.539,-9.639,-7.3744,-2.218925,-0.7404,16.6505,76.801,382.572325,0.18,-117.32,1.345,-3.943475,0,0.148625,179.275,258.31,1.2819,0.536625
2,0.75,0.025,-8.5855,0.4106,-0.61395,-0.105125,-0.658525,-90.92925,-16.3519,-6.048,-5.4188,-6.256375,-2.322,-0.734875,15.97915,76.767,382.62925,0.15175,-115.7425,1.345,-4.414625,0,-0.144175,176.465,256.9175,1.3059,0.54235
2,1.25,0.018025,-8.6255,0.47905,-0.756025,-0.06385,-0.5655,-89.8257,-11.938375,-4.6166,-6.9846,-6.831225,-2.42085,-0.730625,16.202,76.721,382.967625,0.1745,-117.0475,1.345,-3.748725,0,0.255375,176.29,253.985,1.32435,0.54235
2,1.75,0.018125,-8.559,0.468,-0.350575,-0.09505,-0.390775,-93.749625,-14.01455,-7.346,-6.07995,-6.893525,-2.5266,-0.72955,17.2685,76.7243,382.9858,0.159,-117.0475,1.345,-3.53355,0,0.03005,177.0825,254.755,1.33425,0.5533
2,2.25,0.01945,-8.468,0.56885,-0.4447,-0.102375,-0.4753,-94.494175,-13.719525,-4.8936,-9.761025,-6.9814,-2.639125,-0.72785,17.9195,76.7077,383.081375,0.13725,-117.07,1.345725,-3.562875,0,0.074225,177.4,260.410975,1.34065,0.521725
2,2.75,0.028675,-8.478,0.503,-0.609125,-0.412825,-0.458575,-91.07355,-15.661375,-6.5326,-10.2564,-6.9737,-2.74125,-0.728675,17.913,76.671,383.0973,0.1345,-116.2075,1.345725,-3.811325,0,0.037875,176.9075,256.1725,1.36295,0.536625
2,3.25,0.023,-9.21375,0.524375,-0.5314,-0.150875,-0.5992,-105.5105,-16.021,-5.0088,-7.0572,-7.031875,-2.85415,-0.7325,17.8895,76.665,382.84855,0.18725,-115.705,1.346,-3.6751,0,0.077825,177.4025,257.570975,1.36565,0.538
2,3.75,0.018225,-9.69625,0.617625,-0.461475,-0.142475,-0.59685,-99.455,-10.686,-6.5134,-6.87,-6.856575,-2.961225,-0.7347,17.82,76.668,383.0285,0.18,-115.6475,1.346,-3.7079,0,0.123575,177.5125,259.2975,1.2725,0.538
2,4.25,0.019225,-9.80875,0.5855,-0.283675,-0.07015,-0.36135,-93.0456,-12.0454,-4.5778,-5.8766,-7.180375,-3.064175,-0.738075,18.48125,76.6577,383.054125,0.17,-114.695,1.346,-4.1258,0,0.1717,176.93,259.0225,1.31495,0.533325
2,4.75,0.02445,-9.55375,0.48825,-0.34785,-0.1216,-0.350025,-92.94055,-14.169875,-5.0314,-4.132,-7.4673,-3.16935,-0.7507,18.78875,76.641,383.1589,0.1945,-113.8025,1.346,-3.85015,0,0.0178,176.7075,257.7025,1.37495,0.54895
2,5.25,0.03445,-9.3775,0.546125,-0.223225,-0.164925,-0.43675,-85.068725,-12.43145,-4.126,-5.77105,-7.7498,-3.25495,-0.796675,18.8875,76.65,383.14285,0.18725,-113.765,1.345725,-3.446875,0,0.11145,176.22,258.54,1.41065,0.553625
2,5.75,0.02745,-9.5725,0.477375,-0.18715,-0.239475,-0.3362,-82.45025,-10.7302,-5.1008,-7.704,-7.8364,-3.35515,-0.81555,17.69125,76.69,383.372975,0.1745,-112.7575,1.346,-3.490375,0,0.228575,175.9575,257.9625,1.37345,0.553625
2,6.25,0.017225,-9.6675,0.465625,-0.326,-0.202625,-0.3782,-81.800525,-22.76305,-4.054,-5.235,-7.986325,-3.420875,-0.833225,17.0525,76.704,383.597775,0.19175,-114.055,1.346,-3.8576,0,0.11555,175.065,255.75,1.39265,0.5467
2,6.75,0.014,-9.755,0.462375,-0.462925,-0.287375,-0.41625,-88.75075,-16.369075,-5.822,-5.375025,-7.59055,-3.483575,-0.860175,19.57375,76.7313,383.55715,0.14725,-113.7375,1.346,-3.762225,0,-0.058975,174.385,258.9725,1.39685,0.557975
2,7.25,0.019225,-9.59875,0.511375,-0.445775,-0.3255,-0.56935,-78.310325,-17.6046,-4.8642,-7.9954,-7.683875,-3.520525,-0.880925,20.7325,76.7663,383.19865,0.1645,-107.74,2.04725,-0.571775,0,0.81305,172.6925,259.7325,1.4731,0.9315
2,7.75,0.022225,-8.495,0.419875,-0.50665,-0.40575,-0.587575,-65.34355,-5.4186,-3.7604,-4.694525,-8.092775,-3.4596,-0.913225,19.20625,76.8103,383.1171,0.15725,-75.5405,11.64775,7.785275,0,2.7937,172.465,261.3675,1.4407,10.13175
