DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
1,21.75,0.388,0.084,-0.887,391.4075,89.4665,-1.606,89.238,0,0,-10.1055,-0.1295,1.1295,0.115,0.799,0.59
1,22.25,0.795,0.13,-1.142,392.08,89.4775,-1.613,89.2875,0,0,-9.2505,-0.132,1.1705,0.127,0.806,0.59
1,22.75,0.434,0.08,-1.36,393.088,89.4695,-1.7175,89.151,0,0,-7.683,-0.1455,1.1405,0.1415,0.857,0.5905
1,23.25,0.4345,0.432,-1.1335,393.715,89.479,-1.6645,88.96,0,0,-8.58,-0.122,1.157,0.138,0.787,0.5835
1,23.75,0.4435,0.431,-0.649,393.221,89.469,-1.6875,89.2,0,0,-10.243,-0.131,1.166,0.143,0.824,0.584
2,0.25,0.374,0.1495,-1.7905,390.262,89.53,-1.296,88.1905,0,0,-16.705,0.0095,1.177,0.102,0.748,0.5625
2,0.75,0.57,0.0665,-2.182,389.607,89.541,-1.604,90.799,0,0,-12.495,-0.047,1.169,0.0995,0.709,0.564
2,1.25,0.67,0.188,-1.473,390.178,89.554,-1.798,90.5,0,0,-11.81,-0.035,1.1715,0.106,0.7225,0.573
2,1.75,0.597,0.0515,-1.1985,390.204,89.536,-1.9095,90.6,0,0,-11.63,-0.02,1.1605,0.107,0.718,0.569
2,2.25,0.423,0.015,-1.1645,390.1455,89.527,-1.928,91.17,0,0,-11.6635,-0.0135,1.143,0.1235,0.7175,0.537
2,2.75,0.5125,0.1445,-0.867,389.096,89.5055,-1.9815,91.5,0,0,-10.87,-0.0355,1.112,0.101,0.733,0.542
2,3.25,0.533,0.1885,-1.888,389.159,89.5035,-2.112,92.37,0,0,-12.065,-0.055,1.157,0.09,0.768,0.556
2,3.75,0.41,0.002,-1.209,390.193,89.5,-2.1985,92.6265,0,0,-11.445,-0.07,1.1465,0.0955,0.729,0.545
2,4.25,0.369,0.1825,-0.678,390.829,89.493,-2.2235,93.4,0,0,-12.185,-0.088,1.132,0.093,0.7145,0.517
2,4.75,0.572,-0.001,-0.607,389.77,89.4935,-2.2445,93.7125,0,0,-11.18,-0.107,1.136,0.0945,0.777,0.543
2,5.25,0.518,0.094,-1.6,390.54,89.5,-2.3255,93.423,0,0,-10.171,-0.0895,1.1125,0.094,0.764,0.5405
2,5.75,0.346,0.044,-0.535,390.136,89.471,-2.3005,93.7,0,0,-11.3535,-0.1085,1.084,0.094,0.788,0.5255
2,6.25,0.4585,0.246,-1.115,390.4715,89.4915,-2.3425,93.454,0,0,-10.235,-0.0865,1.074,0.101,0.751,0.545
2,6.75,0.36,0.0805,-0.912,390.376,89.4775,-2.3375,93.6165,0,0,-8.97,-0.155,1.0845,0.125,0.7685,0.556
2,7.25,-0.037,0.228,-0.567,392.108,89.4755,-2.244,92.7,16.1,0,-4.026,-0.162,1.0725,0.106,0.738,0.369
2,7.75,-0.0665,0.27,-1.501,391.924,89.485,-1.9325,89.2475,75.019,37.5905,6.244,-0.2275,0.9845,0.1025,0.6965,-0.1905
2,8.25,-0.041,1.403,-1.167,391.607,89.474,-1.1,84.85,184.494,75.266,26.59,-0.3435,0.6345,0.121,0.626,-0.2275
2,8.75,-0.364,7.173,0.157,390.444,89.5,-0.272,80.5,302.463,126.8505,55.9435,-0.3585,0.613,0.1415,0.705,-0.871
2,9.25,-0.457,14.296,12.855,389.279,89.494,0.772,77.069,468.5565,197.6825,96.203,-0.251,0.5995,0.1645,0.743,-1.0015
2,9.75,-0.828,18.638,31.539,387.639,89.491,1.436,71.5235,542.491,266.2785,130.5335,-0.155,0.613,0.214,0.8505,-1.5085
2,10.25,-1.1275,21.331,49.8465,387.5485,89.495,2.196,67.62,755.359,349.28,155.4605,-0.085,0.7025,0.2255,0.938,-1.395
2,10.75,-1.374,23.562,54.774,386.912,89.5035,2.649,65.493,797.878,357.458,156.628,-0.012,0.719,0.222,0.886,-1.4655
2,11.25,-1.432,33.172,58.163,386.575,89.48,3.053,62.78,883.478,381.868,202.08,0.07,0.845,0.257,0.967,-1.707
2,11.75,-1.481,33.76,68.16,386.038,89.455,3.798,61.04,983.446,347.666,218.444,0.061,0.798,0.279,1.061,-1.6875
2,12.25,-1.44,37.479,73.962,385.412,89.44,4.382,59.053,1034.6,384.482,226.758,0.191,0.977,0.3025,1.039,-1.568
2,12.75,-1.4605,39.3405,55.3155,384.485,89.4035,4.4975,58.2555,860.447,334.1975,192.2625,0.269,1.06,0.299,1.117,-1.6585
