DOY2,HR2,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
2,0.75,-17.078,80.5435,0,0.573445,235.6654,277.4223,-38.88685,-0.00669465,-0.058041,1.45415,-4.6118,-5.3633,-7.4188,-4.5422
2,1.25,-17.195,80.3075,0,0.66158,236.43185,273.3534,-39.2037,-0.0058443,-0.060776,2.0921,-4.6271,-5.3512,-7.414,-4.5244
2,1.75,-17.283,79.906,0,0.54308,237.34925,273.2112,-35.7568,-0.0079924,-0.056171,1.324,-4.6585,-5.3745,-7.4237,-4.5116
2,2.25,-17.707,81.21,0,0.46873,237.41185,273.88475,-28.08275,-0.00038334,-0.061896,1.74365,-4.687,-5.3846,-7.4309,-4.4999
2,2.75,-17.8475,80.549,0,0.45277,237.61705,274.0669,-26.7913,-0.0018652,-0.059766,1.9037,-4.6864,-5.3875,-7.445,-4.4864
2,3.25,-18.123,81.2315,0,0.4336,236.59475,266.99205,-31.12715,-0.0028309,-0.060348,1.6976,-4.6604,-5.3917,-7.4748,-4.4753
2,3.75,-17.835,81.83,0,0.367135,238.03925,268.29865,-26.5897,-0.00396355,-0.059377,1.83225,-4.6353,-5.4026,-7.5225,-4.475
2,4.25,-17.989,81.627,0,0.523835,235.5848,265.65135,-28.68205,0.00114786,-0.061948,1.75605,-4.6221,-5.4312,-7.583,-4.5015
2,4.75,-17.915,82.1,0,0.483615,235.76125,266.3761,-29.376,-0.0023125,-0.058562,1.5956,-4.5999,-5.4712,-7.6121,-4.5317
2,5.25,-18.188,82.131,0,0.49161,235.35745,265.9204,-27.75315,-0.00093184,-0.061478,1.4256,-4.5794,-5.5096,-7.6434,-4.5679
2,5.75,-18.4645,81.879,0,0.500715,234.1701,263.8327,-24.3058,-0.0034625,-0.058848,1.7215,-4.5764,-5.5808,-7.6755,-4.6057
2,6.25,-18.5815,82.416,0,0.40763,233.9154,265.86335,-28.9706,-0.000715625,-0.05791,1.74545,-4.5905,-5.6291,-7.7169,-4.6492
2,6.75,-18.63,82.0965,0,0.451495,233.9276,264.89505,-26.59275,0.00116565,-0.044926,2.3359,-4.6211,-5.672,-7.7568,-4.6925
2,7.25,-18.554,81.8055,0.0496365,0.72951,233.84675,267.36785,-26.0397,0.357755,0.30228,2.1878,-4.6282,-5.6871,-7.7933,-4.6708
2,7.75,-18.973,81.6165,6.9387,6.34605,232.4538,267.9019,-24.16925,17.1325,15.441,1.6848,-4.6437,-5.6693,-7.796,-4.6506
2,8.25,-18.8725,81.1095,37.3285,32.8375,234.4522,271.09575,-17.2824,86.5695,71.241,2.5692,-4.6717,-5.646,-7.7047,-4.6326
2,8.75,-17.824,80.044,84.2025,69.079,235.5625,274.46685,-9.49045,198.615,167.55,2.398,-4.6797,-5.6276,-7.5884,-4.6123
2,9.25,-16.963,79.4735,148.2,118.82,239.53895,287.9564,-8.5742,345.835,276.93,2.7638,-4.6617,-5.5972,-7.5544,-4.6244
2,9.75,-15.8725,78.7745,199.435,163.11,243.1098,299.23465,1.7699,483.1,395.97,2.77165,-4.6627,-5.5851,-7.5391,-4.6509
2,10.25,-14.588,77.0495,264.02,215.55,247.04625,312.8047,4.41145,630.295,534.09,3.2244,-4.6812,-5.613,-7.5114,-4.6554
2,10.75,-14.39,76.537,314.7,262.01,251.25125,316.86355,14.2073,748.975,678.75,2.7204,-4.6892,-5.6083,-7.6286,-4.7006
2,11.25,-13.665,75.1875,356.425,299.06,255.7524,322.2895,22.5955,882.66,751.61,2.9411,-4.7131,-5.5882,-7.7468,-4.7269
2,11.75,-12.8925,73.589,387.655,314.25,258.6029,328.8295,24.9503,943.615,803.32,3.3127,-4.7143,-5.5917,-7.758,-4.7538
2,12.25,-12.3615,72.084,420.745,347.46,261.4113,337.77435,24.12035,1010.25,859.25,3.4578,-4.711,-5.5729,-7.761,-4.7329
2,12.75,-12.195,72.179,432.29,357.415,262.7378,341.08885,28.32185,1025.65,842.52,3.34435,-4.7616,-5.5568,-7.7677,-4.7095
2,13.25,-11.5355,72.126,439.57,345.865,263.8886,342.13815,25.87325,1019.4,831.32,3.29095,-4.7553,-5.4963,-7.7554,-4.6853
2,13.75,-11.0655,71.949,429.815,328.555,265.34695,342.0684,26.8057,1002,860.75,3.49585,-4.743,-5.4602,-7.7201,-4.6605
2,14.25,-10.4975,71.908,410.39,310.135,264.92515,345.95495,14.50065,914.09,769.12,3.518,-4.7324,-5.4561,-7.7695,-4.6887
2,14.75,-10.3465,71.704,363.985,277.505,264.21145,349.36695,4.07675,815.065,693.73,3.54905,-4.7094,-5.4305,-7.8109,-4.742
2,15.25,-10.502,71.4,305.51,234.43,263.9551,342.0189,-8.7043,680.01,560.335,3.28295,-4.7071,-5.452,-7.63725,-4.67705
2,15.75,-10.3665,72.4205,238.55,190.58,263.0725,337.54215,-25.00615,524.695,443.975,3.457,-4.7008,-5.44695,-7.60895,-4.6581
2,16.25,-10.7885,71.7835,174.025,142.495,260.74175,331.96275,-41.78825,385.41,310.31,3.2455,-4.6807,-5.4461,-7.48445,-4.6046
2,16.75,-10.9065,72.863,96.947,82.1945,259.14585,326.60155,-57.7891,216.185,175.42,3.1329,-4.68915,-5.4643,-7.36005,-4.5676
2,17.25,-11.119,75.1945,39.9725,36.9175,255.9264,320.72265,-71.0324,96.138,80.0535,2.8874,-4.6919,-5.48385,-7.28565,-4.5379
2,17.75,-11.7135,77.586,7.4878,7.63445,251.5629,316.831,-74.9969,16.1755,20.0285,2.7277,-4.68365,-5.4832,-7.212,-4.5137
2,18.25,-13.037,78.6075,0,0.933845,248.5895,310.7156,-71.9386,0.24542,0.5131,2.5266,-4.6797,-5.47605,-7.14405,-4.5309
2,18.75,-13.839,79.126,0,0.625825,247.6469,306.70625,-70.34205,-0.0004994,-0.0452945,1.90545,-4.66645,-5.4881,-7.08275,-4.56085
2,19.25,-14.25,79.1205,0,0.59391,247.63935,299.8632,-68.00095,0.00154714,-0.0668045,1.46385,-4.64495,-5.44255,-7.05335,-4.57225
2,19.75,-14.569,80.9715,0,0.54787,247.1096,297.4484,-64.6657,0.00886945,-0.05968,1.7268,-4.6221,-5.4203,-7.06445,-4.5898
2,20.25,-14.9525,80.5055,0,0.505625,244.63805,298.8969,-56.79945,3.395e-05,-0.070043,1.8698,-4.61395,-5.4191,-7.1441,-4.6192
2,20.75,-14.7765,80.4535,0,0.530195,241.9264,296.1082,-61.34875,-0.00118139,-0.0722125,1.9165,-4.61315,-5.41655,-7.21625,-4.64925
2,21.25,-15.125,80.4315,0,0.5753,241.2741,292.01315,-59.0663,-0.0031454,-0.072516,1.8894,-4.60045,-5.40315,-7.24465,-4.6451
2,21.75,-16.58,80.743,0,0.574895,239.34255,288.5192,-51.99985,-0.003030176,-0.07218,1.38225,-4.59055,-5.41325,-7.2477,-4.6175
2,22.25,-16.417,81.023,0,0.6064,239.69145,286.38705,-46.8221,-0.0112715,-0.065855,1.6943,-4.58645,-5.41035,-7.25525,-4.59045
2,22.75,-16.4865,80.6855,0,0.606605,240.78605,285.83345,-47.51565,-0.0037782,-0.0665595,1.4518,-4.58265,-5.40075,-7.25645,-4.566
