DOY2,HR2,H,LE,NEE,TAU,USTAR,CO2,H2O,WS,PPFD_IN,PPFD_OUT,NETRAD,TA_1_2_1,RH,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,TA_1_1_1,TA_1_2_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,VPD,PA,SW_IN,SW_OUT
1,0.25,-61.265,-0.3224125,0.0071439,-0.2735,0.0921,376.285,2.09539,2.6979,-0.41,0.0045,-38.455,-13.29,58.42,-13.7875,-11.9025,-15.6875,-7.85,-11.64,-13.175,-4.769,-4.323,-3.93425,-3.69125,-0.75575,-2.5795,-2.46375,-2.08075,-1.64375,-0.90075,0.24,90.1,0,0
1,0.75,-60.46225,-0.3619,0,-0.318525,0.1047,376.385,2.2759,2.756465,-0.399,0,-37.275,-12.985,58.335,-13.465,-11.975,-15.1375,-7.79,-11.48,-12.595,-4.83,-4.363,-3.922,-3.688,-0.69525,-2.53,-2.458,-2.107,-1.67525,-0.88525,0.25,90.1,0,0
1,1.25,-60.3543,-0.46822,0,-0.300075,0.09955,376.43,2.20688,2.816975,-0.4,0.003,-36.305,-13.26,58.4575,-13.665,-12.365,-15.0175,-7.99,-11.35,-12.865,-4.876,-4.49,-3.95,-3.68,-0.79,-2.62625,-2.46625,-2.13,-1.63625,-0.89675,0.24,90.1,0,0
1,1.75,-57.9725,-0.294,0.00055,-0.31425,0.0863,376.35,2.2544,2.6311,-0.401,0,-36.825,-13.49,58.06,-13.655,-12.815,-14.13,-7.9225,-12.16,-13.195,-4.8795,-4.55,-3.9745,-3.6515,-0.76575,-2.63,-2.468,-2.192,-1.64375,-0.86575,0.2475,90.1,0,0
1,2.25,-60.07475,-0.49138,-0.000175,-0.2957,0.088125,376.44,2.13699,2.5752325,-0.38,0,-35.59,-13.605,57.715,-13.465,-13.01,-14.3075,-8.1775,-12.33,-13.75,-4.8765,-4.54,-3.982,-3.6555,-0.7215,-2.661,-2.4995,-2.17,-1.6395,-0.87975,0.24,90.1,0,0
1,2.75,-60.687,-0.1925,0,-0.2695,0.07895,376.3875,2.1529,2.6419,-0.356,0.00575,-35.689,-13.86,57.725,-13.25,-12.855,-13.795,-8.4175,-12.93,-14.065,-4.9055,-4.4835,-3.9955,-3.638,-0.6875,-2.7085,-2.5085,-2.2635,-1.66325,-0.879,0.24,90.1,0,0
1,3.25,-57.3206,-0.238,0,-0.2572,0.080125,376.4925,2.132775,2.543125,-0.38,0.002,-33.877,-13.795,57.415,-13.685,-13.17,-13.9725,-8.5,-13.38,-13.72,-4.821,-4.399,-3.9955,-3.642,-0.784,-2.68375,-2.53525,-2.194,-1.65775,-0.869,0.26,90.175,0,0
1,3.75,-60.4321,-0.3316,0,-0.260175,0.091025,376.5125,2.154275,2.450425,-0.398,0.003,-33.795,-13.865,58.5525,-13.645,-13.11,-14.3225,-8.3925,-13.46,-14.27,-4.875,-4.4615,-4.029,-3.6255,-0.754,-2.7245,-2.57625,-2.33075,-1.67925,-0.86125,0.2475,90.1,0,0
1,4.25,-55.89725,-0.4327,0,-0.275425,0.0885,376.4,2.1286,2.4859,-0.394,0.003,-34.025,-14.55,58.52,-13.805,-12.87,-14.895,-8.5125,-14.24,-14.45,-4.961,-4.5395,-4.03,-3.685,-0.84325,-2.72275,-2.63475,-2.2755,-1.737,-0.86725,0.25,90.1,0,0
1,4.75,-58.382,-0.49705,0.0074,-0.2938,0.0823,376.615,2.11,2.523775,-0.3825,0,-35.0115,-14.61,59.9425,-14.07,-13.28,-15.1125,-8.6325,-14.36,-14.97,-5.0485,-4.571,-4.055,-3.82,-0.7965,-2.795,-2.67275,-2.3495,-1.747,-0.89575,0.24,90.1,0,0
