DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
1,0.25,0.374,-2.645,0.335,0.185,1.644,-17.65,0,0,0.32,87.8,0.95,90.4,-1.8775,1.5495,0.875
1,0.75,0.698,-0.275,0.965,0.194,1.3575,-17.805,0,0,0.395,87.4,1.02,90.45,-1.8775,1.565,0.8735
1,1.25,0.531,-0.025,0.005,0.192,1.407,-16.745,0,0,0.3795,88.578,1,90.4,-1.8775,1.5575,0.883
1,1.75,0.364,0.01,-0.145,0.187,1.4165,-18.52,0,0,-0.0765,89.2,0.95,90.5,-1.883,1.581,0.892
1,2.25,0.684,-1.155,0.06,0.1605,1.247,-17.05,0,0,-0.235,89,0.925,90.5,-1.9155,1.574,0.8945
1,2.75,0.282,-1.06,0.32,0.166,1.243,-16.425,0,0,-0.14,88,0.99,90.5,-1.9245,1.5885,0.871
1,3.25,0.2,-8.33,0.255,0.22,1.2655,-15.74,0,0,-0.325,87.45,1.08,90.5,-1.926,1.581,0.8625
1,3.75,0.246,1.08,1.19,0.186,1.2085,-16.31,0,0,-0.33,88,1.08,90.5,-1.9265,1.574,0.848
1,4.25,0.886,-10.12,3.07,0.153,1.101,-15.495,0,0,-0.315,88.251,0.97,90.5,-1.685,1.5735,0.8405
1,4.75,0.3205,3.91,2.12,0.155,1.0945,-14.325,0,0,-0.385,88.9715,1.06,90.5,-1.712,1.583,0.8415
1,5.25,0.757,8.42,4.6,0.146,1.0665,-13.8,0,0,-0.53,89.85,0.91,90.5,-1.7275,1.581,0.8385
1,5.75,1.2355,11.985,13.82,0.1535,0.884,-13.71,0,0,-0.555,88.9,0.84,90.5505,-1.729,1.5695,0.856
1,6.25,0.577,30.8,21.51,0.15,1.0205,-13.18,0,0,-0.3885,88.75,0.925,90.5505,-1.7285,1.5615,0.86
1,6.75,1.772,32.12,24.44,0.208,0.931,-12.69,0,0,-0.325,89.05,0.95,90.5505,-1.729,1.56,0.8515
1,7.25,0.0965,34.33,21.44,0.191,1.023,-11.97,0,0,-0.58,89.6,0.965,90.5,-1.729,1.56,0.8405
1,7.75,-1.0265,24.735,24.2,0.182,1.123,-9.2,11.934,3.3935,-0.64,89.3,0.9,90.5,-1.7415,1.569,0.8355
1,8.25,-0.916,36.19,30.535,0.23,1.0605,0.516,46.48,19.269,-0.585,90.05,0.83,90.5,-1.7525,1.4315,0.8195
1,8.75,-1.178,52.53,28.465,0.233,1.1265,12.955,84.95,39.765,-0.37,89.3,0.945,90.5505,-1.7225,1.295,0.8035
1,9.25,-1.603,101.375,25.895,0.23,1.0865,33.615,154.295,73.7295,0.015,88.1,1.15,90.5505,-1.5835,1.203,0.774
1,9.75,-1.7775,44.095,29.585,0.203,1.122,72.65,257.6,104.8975,0.755,84.7,1.265,90.601,-1.0635,1.1675,0.7415
1,10.25,-0.847,81.36,16.85,0.246,1.0385,99.8,315.7,118.765,1.65,82.65,1.55,90.601,-1.3735,1.126,0.6995
1,10.75,-1.63,39.845,23.25,0.342,1.2605,113.81,373.325,146.86,2.345,80,1.8,90.5505,-1.073,1.192,0.622
