DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,CO2,SG,WS,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD,PPFD_IN,SW_IN,SW_OUT,G_1_2_1,G_1_2_2,TA
1,0.25,2.145,95.17,0.54255,1.112,2.2808,2.4431,2.902,2.52,-1.1463,-3.723,-5.0875,-3.6391,-3.993,-3.946,1.474,1.446,1.463,389.65,6.92257,409.5,0.1153,0.3132,-8.005005,0.8958345,0.01162065,-3.811,0.03395375,-0.544623,1.29475,1.8705,1.9605,3.769,4.055,4.024,1.378,-9.88,-6.526,0,2.318,0,0,0.7255,0,0.473,16.545,0,3.325,3.618,4.006,4.9888,5.9603,100,4.961,1.454,313.6755,323.099,406.219,-4.27168,1.205345,0.3718085,0.413542,0.1755685,0.0337171,0.262614,-4.701665,0,0,0.77966,-4.06081,-1.187295,-0.456635
1,0.75,2.14755,95.45,0.5482,1.072,2.3317,2.4398,2.901,2.52,-1.14965,-3.7075,-5.2055,-3.6695,-4.026,-3.9579,1.29,1.484,1.516,389.4,7.001865,408.8,0.1035,0.2512,-7.501625,0.7893,0.0293958,-4.01,0.01074,-0.5755315,1.282,1.728,1.938,3.733,4.122,4.0675,1.3925,-10.225,-6.139,0,2.322,0,0,0.76845,0,0.4789,16.545,0,3.31,3.607,4.0074,4.9844,5.958,99.99285,4.89024,1.4285,315.7,323.383,405.8375,-4.06253,1.195955,0.3695485,0.415061,0.1791205,0.0569363,0.27099,-5.17355,0,0,0.723255,-4.107415,-1.28259,-0.636571
1,1.25,2.2306,95.58375,0.5784,1.156,2.2705,2.4297,2.873,2.518,-1.1462,-3.6851,-5.2625,-3.72,-4.037,-3.9946,1.087,1.388,1.416,390,6.97113,409.25,0.117529,0.4534,-8.234,0.925924,0.01936,-3.943,0.06779285,-0.445864,1.2783,1.7115,1.9055,3.757,4.215,4.12,1.387,-10.3435,-8.092,0,2.324,0,0,0.6706,0,0.4696,16.545,0,3.294,3.5981,4.0131,4.989,5.9618,100,4.884425,1.489,315.102,323.519,406.17,-4.04663,1.21766,0.367973,0.427304,0.183551,0.059931089,0.255628,-4.92019,0,0,0.68755,-4.061205,-1.47253,-0.765793
1,1.75,2.15,95.66,0.652,1.172,2.253,2.439,2.851,2.5014,-1.158,-3.6842,-5.227,-3.667,-4.068,-3.98,1.111,1.19,1.21,389.75,6.983685,408.05,0.11515,0.441,-8.98986,0.9497,0.0248904,-4.011,0.1067,-0.4725,1.272,1.876,1.984,3.787,4.172,4.1335,1.3985,-12.145,-6.356,0,2.325,0,0,0.63435,0,0.4742,16.545,0,3.2902,3.596,4.0106,4.992,5.9638,99.975,4.8822,1.459,315.7,323.502,405.93,-4.09299,1.204655,0.376795,0.42725,0.18169,0.0370863,0.255031,-4.39524,0,0,0.67676,-3.967635,-1.567625,-0.75869
1,2.25,2.2894,95.42,0.5624,1.154,2.2472,2.4473,2.834,2.4827,-1.1533,-3.7261,-5.206,-3.7009,-4.0725,-3.987,1.07,1.102,1.189,389.5,6.9605,408.2,0.1165,0.1803,-8.299,0.847499,-0.0001518,-3.966,0.0740176,-0.38685,1.30631,1.949,2.046,3.766,4.212,3.994,1.394,-9.658,-6.432,0,2.328,0,0,0.6199,0,0.4653,16.545,0,3.2907,3.58,4.004,4.993,5.9553,99.967,4.84631,1.528,314.2,323.5,406.032,-4.20523,1.247435,0.36799,0.442579,0.182706,0.0709332,0.248454,-5.3036,0,0,0.72667,-4.06047,-1.47261,-0.83979
1,2.75,2.28245,95.3239975,0.6578,1.162,2.2669,2.4396,2.853,2.4486,-1.153,-3.731,-5.185,-3.7239,-4.0511,-3.985,1.123,0.9978,1.039,389.85,6.88912,407.65,0.1131,0.2831,-7.031665,0.8181,0.01489255,-3.876,-0.00147,-0.558535,1.279685,1.8995,1.964,3.829,4.397,4.0735,1.3775,-10.1675,-6.147,0,2.338,0,0,0.6581,0,0.4686,16.545,0,3.2714,3.5677,4.0073,4.9955,5.953,99.9795,4.871,1.4725,314.136,323.6205,406.046,-4.26632,1.16666,0.383841,0.4345245,0.1867335,0.0628184,0.262429,-4.71425,0,0,0.720105,-3.96828,-1.37624,-0.7428405
1,3.25,2.19465,95.34,0.61135,1.185,2.2315,2.4282,2.829,2.4595,-1.1889,-3.7009,-5.117,-3.784,-4.073,-4.0729,1.418,0.9544,0.9554,384.2,6.91609,408.45,0.11095,0.1508,-7.389,0.6164,0.03335135,-3.921,-0.121302,-0.537802,1.27865,1.988,2.056,3.94,4.284,4.173,1.37,-13.155,-5.367,0,2.337,0,0,0.6937,0,0.4768,16.545,0,3.256,3.5685,4.002,4.991,5.955,100,4.81244,1.408,314.273,323.3665,406.077,-4.20375,1.17095,0.378263,0.430987,0.182732,0.0579081,0.266884,-4.41375,0,0,0.66489,-4.24514,-1.471105,-0.663053
1,3.75,2.1589,95.43,0.5811,1.14,2.2121,2.405,2.815,2.466,-1.1562,-3.694,-5.185,-3.776,-4.077,-4.121,1.174,0.9656,0.9179,389.8,6.924,407.6,0.1092455,0.101179,-7.195,0.906086,0.0157675,-3.841,-0.129884,-0.48745,1.31515,1.996,1.9105,3.871,4.195,4.1145,1.3585,-9.053,-5.448,0,2.338,0,0,0.6574,0,0.4675,16.545,0,3.2477,3.5408,3.9789,4.9908,5.9564,100,4.83613,1.438,313.6,323.1,406.268,-4.21126,1.155105,0.368447,0.432131,0.186386,0.0613668,0.240581,-4.419,0,0,0.702495,-4.24515,-1.56719,-0.58123
1,4.25,2.148,95.48,0.56235,1.157,2.1957,2.39,2.835,2.459,-1.154,-3.735,-5.163,-3.7997,-4.1256,-4.1326,1.125,0.9808,0.9513,389.7,6.939175,407.6,0.102682,0.230265,-7.801965,0.855383,0.0189196,-3.865,0.0466826,-0.469572,1.293505,1.9,1.977,3.824,4.281,4.108,1.2455,-8.7855,-4.803,0,2.339,0,0,0.6335,0,0.4673,16.545,0,3.2378,3.5409,3.9702,5.0049,5.947,100,4.81919,1.426,313.9,323.0815,406.4285,-4.23107,1.111735,0.372787,0.432332,0.177363,0.066062259,0.242758,-5.04945,0,0,0.686885,-4.24547,-1.519665,-0.7422955
1,4.75,1.967,95.45,0.49045,1,2.1741,2.336,2.88,2.4479,-1.1804,-3.769,-5.1588,-3.80105,-4.088,-3.99,1.006,0.9706,1.02,389.7,6.915195,408.6,0.1031,0.0924923,-7.203,0.7993,0.0126095,-3.897,4.0000000000001e-06,-0.5989195,1.30711,1.796,1.94,3.891,4.324,4.093,1.3495,-9.717,-4.955,0,2.339,0,0,0.6317,0,0.4671,16.545,0,3.24,3.5332,3.9631,5.005,5.9321,100,4.77983,1.454,314.5485,322.664,406.386,-4.32498,1.142775,0.358692,0.449238,0.183984,0.0650627,0.269298,-4.3035,0,0,0.697569,-4.522565,-1.51986,-0.7594545
