DOY2,HR2,TAU,H,LE,FC,SC,SH,SLE,WS,USTAR,T_SONIC,CO2,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,VPD,PA
1,0.25,-0.00305504545,14.35254478,89.964504436,7.68477113329999,1.403628648,0.929627620049999,4.25450062695,4.617960490725,0.694485314325,27.46410936,476.12289338,26.674250409,0.10395,3.5582,423.7,438.915,24.656,24.712,24.2175,100.3,100.3,25.37075,24.926,10.528344033,102.542899025
1,0.75,-0.002754512875,13.82342007875,91.0530460150001,4.36389040974999,1.2628627786,0.697702742299999,3.9762025943,4.53183540275,0.632944989875,27.3722860625,482.1493871325,26.404359861,0.0185250000000001,3.67165,421.6425,438.5775,24.62,24.7455,24.464,100.3,100.3,25.4125,24.86625,10.752484284,102.525561125
1,1.25,-0.004131736875,11.648395158875,87.858913783,20.6356735717499,1.17696207765,0.667345991625,3.79528414849999,4.515448851875,0.62049220725,27.2678760375,479.270655895,26.5167210705,0.0313000000000001,3.565775,420.0975,439.2775,24.692,24.8055,24.511,100.3,100.3,25.37775,24.831,10.8050745635,102.5093427875
1,1.75,-0.002661648875,9.649021157875,82.974802302,12.852103121,1.1364001636,1.3032232255,5.454770631625,4.68470268525,0.64166496425,27.1789698375,474.49333066,26.30301743225,0.0397500000000001,3.572625,419.73,438.8775,24.64775,24.75325,24.437,100.3,100.3,25.3325,24.79575,9.918973759625,102.493070125
1,2.25,-0.00281794075,18.02128508625,117.9950315,6.30852901364997,3.13223908619999,1.058515206,4.10678418232501,4.5374396155,0.636729402,27.2685296875,477.58560045,26.14790461,0.0829000000000002,3.6631,422.065,439.165,24.67775,24.771,24.477,100.3,100.3,25.282,24.75575,9.816300666,102.483846575
1,2.75,-0.00172198725,14.3354333725,90.83863293,8.98284251547499,2.4707568569,1.151047870875,7.609772401,4.452655505125,0.6350867735,27.369192575,485.30235898,26.06108556,0.182075,3.506075,420.15,439.2,24.6555,24.742,24.376,100.3,100.3,25.20725,24.73,10.57423451,102.4829464875
1,3.25,-0.001405243,14.008684035,93.11062184,6.9140524135,4.197715872475,1.091985077,5.253481123,4.181445846625,0.599626950125,27.3264052375,489.09065905,25.68516932,0.389025000000001,3.48855,421.4975,438.865,24.67425,24.76425,24.374,100.3,100.3,25.15725,24.7005,11.25030553,102.4879522375
1,3.75,-0.0017151661,10.8695632115,86.89095255,7.30766026727499,4.38360256484996,1.76786408909999,3.11965144005,4.2273959179,0.6423152946,27.34699481,495.842316755,25.81178111,0.1266,3.14155,422.94,438.1325,24.612,24.66425,24.315,100.3,100.3,25.12725,24.6715,11.00516535,102.48925633
1,4.25,-0.00270449475,26.3710668225,87.1069567564998,7.37679810629999,1.901311303125,1.1144539675,4.62026237144999,4.39406961275,0.682354881,27.358954525,488.82592054,25.9477726655,0.191525,3.376575,422.6975,437.8,24.622,24.62775,24.252,100.3,100.3,25.08675,24.64725,10.805542263,102.4923966125
1,4.75,-0.002059202,19.8412377775,97.0051364869999,6.234461071375,1.374666494,1.1916830119,6.567045929,4.4883063931,0.6880752545,27.29241094,483.8434314275,26.0516786775,0.394625,3.753475,420.0875,437.3875,24.423,24.47325,24.12,100.3,100.3,25.062,24.623,11.7744110285,102.4909346
1,5.25,-0.00216785275,18.05223402,78.4191784935001,4.276476896,2.566341207,1.0524943381,5.899556991575,4.67518484775,0.66477337225,27.36783205,490.53779111,26.1157781935,0.151875,3.586175,419.8875,437.3775,24.522,24.53075,24.217,100.3,100.3,25.0225,24.59875,11.411842015,102.47044585
1,5.75,-0.002000566125,24.488628405,92.568696353,5.80743320399999,2.0047002206,1.219252726625,7.44642195184997,4.437068188,0.6930771015,27.3134474625,512.184302805,26.09251892575,0.313625000000001,3.537325,420.6325,436.2775,24.45525,24.53425,24.076,100.3,100.3,24.97775,24.56925,11.05170704275,102.451825225
