DOY2,HR2,CO2,FC,H2O,SC,G,H,LE,SH,SLE,PA,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TAU,USTAR,WS
1,0.25,353.4687013,4.416780712,28.959388935,-0.00070983,-12.96517075,-41.9464856,14.58980451,-0.2330106,-0.6132847525,100.979,26.9868992,25.00825673,10.76625,382.963,446.02,-45.516438,-11.2945,-4.1575,26.1775,29.10375,25.6675,28.8,-0.110393536,0.293818749,2.788456
1,0.75,356.2618916,4.42042516,28.66751726,0.0369,-13.343614095,-40.15455454,13.718166385,-0.5700749,-0.9548674075,100.94935,26.7655554,24.778207665,10.55435,383.9233,444.589,-45.42879967,-11.16583,-4.170833,25.9175,28.98625,25.395,28.64375,-0.0836441275,0.2597274295,2.6149387475
1,1.25,355.292364,4.548041163,28.43038,0.05857306,-13.32492749,-40.04106416,13.62179,-0.7361925725,-0.6439556,100.9196,26.6014984,24.65733325,9.9848185,382.1245,443.0055,-44.93,-11.43933,-4.247167,25.7825,28.85875,25.125,28.49125,-0.11262223,0.275646305,2.438534411
1,1.75,360.8688,4.6247553465,28.507472095,0.0462,-13.742120645,-36.44308,12.21367,-0.512168234,-0.4455348235,100.89625,26.54277505,24.4978,9.7105,380.4542,444.5675,-44.15,-11.30117,-4.27,25.6175,28.73875,25.0175,28.3725,-0.08265,0.2552088565,2.318449788
1,2.25,358.1538,4.7670615,28.35841503,0.007653334,-12.787119115,-36.68830034,13.83139687,-0.6129091625,-0.536003,100.87275,26.39510845,24.4034,9.942117,379.2928,444.1291,-44.87,-11.27783,-4.1845,25.435,28.61,24.935,28.23875,-0.09025,0.254371905,2.4456806735
1,2.75,362.350335,4.4023724775,28.19333147,0.0404,-12.82678046,-34.927157665,13.63195943,-0.3273422125,-0.302159665,100.8539,26.1833411,24.35,9.7833585,380.6393,442.8705,-44.43,-11.2645,-4.196666,25.3975,28.51375,24.8275,28.125,-0.06335,0.2274658785,2.40371288
1,3.25,357.17361535,4.1774691905,27.913897305,0.0409,-13.32672398,-35.58867,16.97101863,-0.59076493,-0.378624879,100.85005,26.0986011,24.260319,9.7379079455,382.4667,441.0517,-43.88,-11.23283,-4.1885,25.34,28.395,24.71,28.035,-0.117699631,0.235794098,2.109821768
1,3.75,358.48295585,4.234125,27.788978005,0.036638643,-13.639892435,-33.88842365,15.5657414,-0.247954755,-0.323398952,100.86165,25.9616,24.0235,9.415518165,380.2898,441.2018,-43.458954,-11.3105,-4.137333,25.1625,28.2575,24.5525,27.91625,-0.068821843,0.2260424,2.0747962
1,4.25,365.16656,4.305011696,27.36353148,0.03275,-13.483199475,-39.52804733,15.87781443,-0.2393736,-0.448699932,100.8725,25.9280666,23.91,8.93985,380.1473,439.4653,-42.32,-11.32133,-4.1285,25.0125,28.1225,24.38,27.78875,-0.06645,0.2149149455,2.1389347315
1,4.75,359.9024088,4.713660914,27.601174,0.0545,-14.096823565,-39.97720819,12.14544655,-0.364789203,-0.289434324,100.88325,25.88323795,23.7505,8.5855855,382.1923,438.812,-42.76833,-11.34267,-4.184166,24.915,28,24.26,27.6375,-0.06945,0.220499377,2.071053421
