DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,8.75,0.215,1.003,-0.4811,-3.2,-3.1,-2,414.7,5.3445,90.47061,-1.820335,0.41,-1.45167,-2.1995,-1.728,85.47,161.58,85.53667,24.795,273.37,305.435,29.29,-0.513,-0.059,0.723,1.436,2.76,4.24,0.093075,0.42,0.47,0.13,0.79,-3.34898,-2.003,-0.416
1,9.25,0.09,3.81831,3.27425,-3.2,-3.1,-2,414.15,5.6,90.432,-0.971775,0.4,0.46836,-1.4425,-0.61,81.0967,238.2,117.79333,29.66,268.59,310.375,59.27,-0.36,0.025,0.758,1.475,2.77,4.207,0.131,0.39,0.42,0.16,0.67,-2.85456,-2.002435,-0.53
1,9.75,0.05,9.973,13.9,-3.19328,-3.1,-2,409.6,5.7,90.4124,1.06,0.33,1.8713,-0.565,1,75.85,328.8,174.8,37.69,272,314.5,97.20333,-0.15,0.036,0.736,1.444,2.75,4.22,0.169,0.456615,0.45,0.22125,0.7137,-2.05089,-2.002125,-0.0435
1,10.25,-0.401,13.43323478,30.74,-2.12795,-2.95,-2,406.8,5.71052,90.42895,1.96,0.36221,2.794835,0.3795,1.64,71.58,414.67,218.33,39.92,277.783335,319.6,132.615,0.19,0.31,0.787,1.497,2.785,4.251,0.19,0.53,0.5,0.2759,0.8109,-2.05022,-2.00209,-0.32
1,10.75,-0.6185,14.873865905,43.745,-2.127685,-3.037,-2,406.2,5.798269563,90.35273,2.46,0.37,3.88363,1.2057,2.38,67.89,510.1,263.965,44.142,275.83165,323.298335,163.301665,0.4585,0.4525,0.8355,1.502,2.787,4.2845,0.21,0.53,0.54,0.32,0.86,-1.588985,-2.0019,-0.3945
1,11.25,-0.752,16.20095,58.945505,-2.1,-2.1,-2,405.9,5.9028,90.31475,2.95,0.37,4.4117,1.828,3.032,64.2225,559.515,292.48165,49.175,278.96835,326.8,172.62,0.995,0.6965,0.919,1.5645,2.8525,4.3075,0.228,0.598771282,0.59,0.35,0.974,-1.4004,-2.00173,-0.5425
1,11.75,-0.705,16.376,55.425,-2.1,-2.1,-1.7,405,5.9,90.25,3.6080438625,0.38,4.77241,2.6,3.74,61.165,625.73,331.205,52.94,278.565,330.47,186.33,1.59,0.93,1.026,1.65,2.91,4.442,0.243,0.59,0.6624,0.36,1.054,-1.6402,-2.0013,-0.706
1,12.25,-0.543,16.805,62.54265793,-1.5413,-2,-1.6,404.5,5.9,90.2315,4.1129,0.3643,5.963935,3.1513,4.21,60.13,599.88335,308.891665,52.58335,278.3,332.46665,196.54,2.349,1.1635,1.114,1.64,2.93,4.4415,0.25315,0.6753,0.693077266,0.37,1.1061172885,-0.7858,-2.0013,-0.8615
1,12.75,-0.56,17.495,59.61981295,-1.0639,-2,-1,403.5,5.834038818,90.18115,4.568845,0.36,6.37584,3.515,4.565,59.77333,595.9667,299.43,53.7805,281.7,333.685,181.24,2.8175,1.3745,1.11,1.6385,2.902,4.426,0.27041,0.715,0.715,0.37,1.18,-0.47813,-2.0007,-0.869
1,13.25,-0.551131,17.250447685,60.122145,-1.06373,-2,-1,403.3,5.8,90.188,4.999823803,0.3507,6.6476,3.9335,4.99,58.80165,558.03,283.23,51.77,283.8,334.3,174.27,3.208,1.732,1.2005,1.634,2.8585,4.4375,0.265,0.75,0.705685,0.36224,1.1818,0,-1.999935,-0.514
