DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,407.269861325,5.32106445,1968.1939778,-4.211815,-107.1706915,-42.317918125,-47.3877175,-7.930209,0.3106458,0.038104,-0.3037487,0.1764954,0.0395414,100.69935,47.8885,2.766375,0.081731625,10.0965226,0.062195,6.25125,7.0825,8.63275,9.3625,10.0025,4.81,5.74025,8.965,7.75325,9.2975,5.38625,6.08025,7.32925,9.2925,10.4125,-108.058845975,-0.00923647499999991,0,-4.447853,0.054945,232.624805275,325.0071205,-0.363196
1,0.75,401.20633075,5.09638825,1965.55805285,-5.7111584,-56.9722977,-39.918416625,-55.8901736,-5.1923973,0.271823375,0.03704685,-0.36115395,0.174816275,0.03727315,100.68345,48.2505,2.7956,0.0767182,9.846960075,0.060320475,6.0045,7.03115,8.595,9.349,9.99375,4.823025,5.699125,8.91925,7.731025,9.4385,5.278475,6.011475,7.1986,9.2845,10.4125,-111.681120175,-0.123153,-0.014952125,-4.345603,0,231.4750408,323.350806,-0.363196
1,1.25,404.757705625,5.0823645,1958.34794295,-1.98600035,-60.26718695,-41.23330625,-50.74343375,-3.6573438,0.396329825,0.03004515,-0.40622575,0.165175,0.03921685,100.66125,48.6985,2.5962,0.0714142,9.80490665,0.0616927,5.8287,6.932325,8.5925,9.3435,9.9905,4.4333,5.502075,8.8725,7.624075,9.394,5.0595,5.847125,7.160225,9.29,10.41025,-111.357782375,-0.123153,-0.119617,-4.44018425,0,232.7690558,323.9380904,-0.363196
1,1.75,403.9722661,5.019042075,1958.616989,-4.9145455,-77.927345575,-40.9850359,-52.927014875,-6.0405653,0.404898,0.0323582,-0.462064,0.1304558,0.0457218,100.59005,48.04275,2.6295,0.06318675,9.6984002,0.067325,5.85245,6.921525,8.575,9.328,9.985,4.05575,5.2306,8.83125,7.570025,9.34275,4.812425,5.76545,7.06525,9.2535,10.4025,-111.138742325,-0.123153,-0.119617,-4.447853,0.05341875,232.3955216,321.225809125,-0.363196
1,2.25,404.43632125,5.0762098,1962.73334905,-3.9863455,-92.297032,-39.46449325,-49.1472225,-4.5403582,0.1786974,0.0375296,-0.363341725,0.1485872,0.0421698,100.5795,47.15375,2.505875,0.042905,9.3863766,0.05867175,5.652175,6.8595,8.5425,9.32025,9.98725,3.58535,4.9614,8.78225,7.479425,9.3025,4.450275,5.625125,7.015625,9.229,10.4025,-111.4093185,-0.138547,-0.13755955,-4.386503,0.0518925,232.032664975,319.8491375,-0.363196
1,2.75,404.850866075,4.8522138,1967.0980051,-3.3258735,-48.60815865,-39.496369225,-49.458248775,-4.7576047,0.3794742,0.0417552,-0.3308842,0.1767094,0.04202995,100.59055,46.20975,2.291875,0.043868375,9.1061412,0.0617935,5.730175,6.667175,8.4925,9.30475,9.98175,3.631625,4.9237,8.70575,7.432225,9.23675,4.324075,5.3788,6.97975,9.199,10.40475,-121.45141165,-0.123153,-0.119617,-4.233129,0.06105,231.8572372,318.8521192,-0.363196
1,3.25,388.652769925,4.844088675,1960.731445,-1.20078925,-56.6751938,-37.6260492,-54.236672525,-4.821408,0.3773554,0.0353654,-0.47072845,0.1589188,0.0374106,100.6165,46.442,1.8642,0.054459,8.528181,0.0664209,5.645925,6.5739,8.44,9.27925,9.97625,3.621475,4.899575,8.637,7.3274,9.20225,4.338675,5.1463,6.983575,9.15025,10.39475,-118.4860506,0,-0.026913825,-4.468302725,0.06105,231.42398865,317.7774236,-0.363196
1,3.75,402.85866475,4.5849381,1964.101325625,-2.968591625,-35.0126573,-38.967614125,-51.46032045,-4.79686285,0.332221625,0.034849975,-0.3033063,0.127858975,0.037331525,100.627,47.512,1.2874,0.0566056,8.4252924,0.06414625,5.31515,6.54295,8.3925,9.27925,9.98075,3.531525,4.73745,8.566,7.26275,9.12125,4.30345,5.1057,6.8236,9.09475,10.4025,-122.140302375,-0.123153,-0.119617,-4.754601,0.06105,231.3300571,315.8708874,-0.363196
1,4.25,405.9592134,4.7530785,1970.00619515,-2.034941575,-46.64296915,-38.8025082,-43.32100825,-3.523670275,0.41901155,0.0377109,-0.34306855,0.1540197,0.037517825,100.61875,46.6415,1.1242,0.0585096,8.3907407,0.05544885,5.386075,6.418125,8.3575,9.27475,9.99075,3.5667,4.5981,8.5115,7.149025,9.03475,4.28225,5.08945,6.6252,9.0435,10.397,-120.5822215,-0.123153,-0.119617,-4.83109765,0.04884,231.0734887,316.7360722,-0.363196
1,4.75,407.81120525,4.8706545,1968.448747625,-3.23572225,-83.822485325,-39.3249082,-44.84005045,-6.31789775,0.456403675,0.035718175,-0.3140625,0.14840765,0.037938075,100.610625,49.561,1.2134,0.0532844,8.23460375,0.06116885,5.40045,6.3469,8.33,9.28025,9.993,3.43825,4.42135,8.488,7.0705,8.9925,4.17095,5.022825,6.606525,8.99225,10.4025,-118.5467397,-0.1477834,-0.239234,-4.703476,-0.06105,230.78989685,313.8710428,-0.363196
