DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,PPFD_IN_1_1_1
1,0.25,-0.00487,-2.61944,14.189775,0.8893165,2.29068,0.524626,4.14071,417.6675,4.674565,1.30054,1.10444,0.672989,0.337139,1.7728625,99.3355,-2.5757125,-5.68797,-5.69085,2.0310025,2.43683,0.0138,0.0104825
1,0.75,-0.0154,-6.90887,8.70648,0.964975,2.16316,0.469587,3.54271,424.0235,4.9724425,1.1041,1.00991,0.626251,0.300212,1.9582855,99.2917,-3.0921475,-5.509985,-5.82782,2.02804,2.35681,0.0117,0.015475
1,1.25,-0.0163,-2.19533,9.05989,1.280105,2.2725225,0.4572115,3.0865025,419.097,4.97004,1.208195,1.0337725,0.6650325,0.33628925,1.02479125,99.2727,-2.68195,-5.687075,-6.0308775,1.6480275,2.019965,0.00338,0.0187425
1,1.75,-0.010515,-1.97833,8.0496075,1.0061725,2.257915,0.46583575,2.934905,418.519,4.7242125,1.162985,1.0410575,0.63085475,0.261951,0.96321925,99.2786,-2.720085,-5.71387,-6.0860675,1.626915,1.974605,-0.002555,0.0187
1,2.25,-0.017575,-3.9244375,10.20255,0.713692,2.1128775,0.44673825,2.87233,423.50775,4.6739875,1.078055,1.032845,0.6144125,0.28164175,0.80927625,99.269175,-3.27252,-5.747615,-6.0807025,1.59889,1.929775,0.008815,0.01765
1,2.75,-0.02335,-1.73828,10.1761,0.6455185,2.23273,0.4763645,2.97529,424.614,4.67548,1.21898,1.0123935,0.675187,0.240063,0.907001,99.2631,-3.81336,-5.7897925,-6.0862525,1.5687675,1.885955,0.01255,0.029875
1,3.25,-0.021125,-3.51367,10.19756,0.71345,2.44703,0.4700425,2.5513575,428.9325,4.5179675,1.273905,1.04987,0.66419425,0.24477675,0.9512535,99.24615,-4.3024825,-5.8161225,-6.106475,1.537375,1.84261,0.02305,0.025375
1,3.75,-0.010975,-4.2759,9.03359,0.861351,2.2547625,0.4602905,2.4969175,428.428,4.48883,1.256115,0.95277325,0.60931725,0.23679475,1.085212,99.2253,-4.290065,-5.91777,-6.12788,1.50577,1.80051,0.01885,0.0106
1,4.25,-0.020275,-3.246675,10.59328,0.9241675,2.14901,0.434938,1.94601,421.03525,4.479665,1.145125,0.8511355,0.6070565,0.247288,1.20150275,99.22845,-3.897625,-6.0527575,-6.16052,1.48771,1.797065,0.0203,0.00857
1,4.75,-0.016,-1.2383135,6.4130075,1.133965,2.12587,0.415978,1.829605,420.018,4.38446,1.14938,0.92777,0.588597,0.282223,1.17396775,99.243,-4.4991825,-6.06576,-6.1945625,1.4715,1.83096,0.0204,0.00575
1,5.25,-0.0356,-2.02237,7.8824825,1.15417,2.106915,0.438536,1.88917,418.723,4.5088275,1.087025,0.9325625,0.581134,0.258785,1.2364095,99.254925,-4.5138625,-6.0028475,-6.12927,1.4623775,1.887585,0.021,0.0113
