DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,0.3,-17.1,-0.2,-0.10388,-11.025,75.45,-41.975,0,0,0,0,0,0,2.075,0.1,98.04,-15.225,-1.4,-0.4,0.1,1.8
1,0.75,0.2,-15.8,-0.2,-0.0985375,-11.35,75.95,-40.7,0,0,0,0,0,0,2.105,0.1,98.02,-14.9,-1.425,-0.4,0.1,1.8
1,1.25,0.2,-17.3,-0.2,-0.1009425,-11.3,76.475,-40.125,0,0,0,0,0,0,2.0025,0.1,97.99,-15.125,-1.5,-0.4,0.1,1.8
1,1.75,0.2,-16.275,-0.3,-0.0968925,-11.4,76.475,-40.725,0,0,0,0,0,0,2.15,0.1,97.98,-16.5,-1.5,-0.4,0.1,1.8
1,2.25,0.2,-14.8,-0.3,-0.09683,-11.6,76.7,-40.4,0,0,0,0,0,0,2.145,0.09,98.02,-15.375,-1.55,-0.4,0.05,1.8
1,2.75,0.2,-13.875,-0.175,-0.09971,-11.95,77.25,-40.75,0,0,0,0,0,0,2.095,0.09,98.015,-16.25,-1.5,-0.4,0.05,1.8
1,3.25,0.2,-14.65,-0.3,-0.0922475,-12.1,77.8,-41.25,0,0,0,0,0,0,2.135,0.0925,97.98,-16.2,-1.6,-0.5,0,1.8
1,3.75,0.2,-14.05,-0.5,-0.09727,-12,77.5,-39.45,0,0,0,0,0,0,2.055,0.09,97.9525,-15.6,-1.6,-0.5,0,1.8
1,4.25,0.2,-15.175,-0.3,-0.09927,-12.2,77.9,-37.6,0,0,0,0,0,0,2.1325,0.095,97.935,-16.5,-1.6,-0.5,0.05,1.8
1,4.75,0.2,-15,-0.4,-0.099755,-12.1,77.7,-37.375,0,0,0,0,0,0,2.03,0.1,97.925,-16.2,-1.6,-0.5,0,1.8
1,5.25,0.2,-14.8,-0.1,-0.095675,-12.3,77.95,-37.925,0,0,0,0,0,0,2.085,0.1,97.92,-15.925,-1.65,-0.5,0.05,1.8
1,5.75,0.2,-13.325,-0.2,-0.10097,-12.375,78.325,-34.875,0,0,0,0,0,0,2.0525,0.09,97.945,-15.6,-1.7,-0.5,0,1.8
1,6.25,0.2,-13.675,-0.25,-0.1020425,-12.275,78.55,-35.175,0,0,0,0,0,0,2.15,0.0975,97.99,-15.7,-1.7,-0.575,0.025,1.8
1,6.75,0.2,-12.4,-0.4,-0.0991675,-12.3,78.125,-35.475,0,0,0,0,0,0,2.07,0.08,97.9825,-15.025,-1.7,-0.6,0.025,1.8
1,7.25,0.2,-10.975,-0.1,-0.1047,-12.2,78.25,-30.8,1.1,0.1,0,0,0,0,1.9975,0.09,98.06,-15.35,-1.7,-0.6,0.025,1.8
1,7.75,0.2,-11.3,0.2,-0.1055275,-12.2,78.45,-21.9,14.5,3.175,21.7,4.8,0,0,2.135,0.1,98.11,-13.8,-1.775,-0.6,0,1.8
1,8.25,0.2,-8.2,1.925,-0.11963,-11.7,77.45,-4.1,36.5,9.55,66.4,14.425,3.9,3.435,2.3275,0.13,98.175,-12.2,-1.8,-0.6,0.05,1.8
1,8.75,0.1,-5.9,3.2,-0.13511,-11.3,75.725,1.9,61.075,18.425,122.95,25.95,12.3,6.29,2.59,0.14,98.2025,-10,-1.7,-0.6,0.1,1.8
1,9.25,0.1,-3.1,4.7,-0.13958,-10.75,73.9,4.7,85.65,24.675,170.15,34.65,19.8,6.47,2.8475,0.15,98.25,-7.575,-1.7,-0.6,0.1,1.8
1,9.75,-0.1,-1.3,6.6,-0.14634,-9.95,71.95,9,111.3,33.4,247.65,44.525,24.5,6.2825,2.935,0.16,98.23,-6.35,-1.6,-0.6,0.1,1.8
1,10.25,-0.1,0.6,7.75,-0.14629,-9.55,69.35,12.025,136.95,39.4,299,52.175,28.975,6.7875,3.0875,0.17,98.24,-6.1,-1.6,-0.6,0,1.8
1,10.75,-0.1,0.8,9.25,-0.1495175,-8.975,67.85,13.95,164.15,44.725,362.125,60.175,37,6.8925,3.18,0.18,98.24,-5.5,-1.5,-0.5,0,1.8
1,11.25,-0.2,3.85,9.95,-0.1553,-8.7,66.125,17.025,175.5,47.85,379.25,63.85,38.3,7.0675,3.3125,0.1875,98.2425,-4.975,-1.4,-0.3,0,1.8
1,11.75,-0.3,3.15,10.775,-0.16061,-8.4,64.25,17.95,179.9,47,404.25,61.975,45.35,7.27,3.425,0.19,98.21,-5,-1.325,-0.3,0,1.8
1,12.25,-0.3,3.8,12.1,-0.16766,-8.3,63.65,16.725,170.7,44,374.95,57.45,44.7,7.71,3.5225,0.2,98.21,-4.15,-1.3,-0.25,0,1.8
1,12.75,-0.1,2.675,12.725,-0.1657975,-7.9,62.875,14.45,163.475,41.3,346.9,56,41.25,7.525,3.5275,0.2,98.17,-4.025,-1.2,-0.25,0,1.8
1,13.25,-0.1,1.55,12.075,-0.1678675,-7.725,63.15,11.05,135.2,39.1,286.75,47.7,39.05,7.565,3.505,0.2,98.15,-3.95,-1.2,-0.2,0,1.8
1,13.75,0,-0.375,11.1,-0.1644275,-7.5,62.45,9.25,121,32.75,254.8,42.45,34.4,7.765,3.54,0.19,98.145,-3.6,-1.1,-0.2,0,1.8
1,14.25,0,-2.05,10.55,-0.15608,-7.55,61.85,5.55,111.3,26.35,235.2,35.9,29,7.905,3.4675,0.19,98.145,-4.4,-1.1,-0.2,0,1.8
1,14.75,0,-5.7,9.575,-0.1586725,-7.55,61.75,3.2,88.05,20.45,176.7,29.55,26.2,8.005,3.37,0.18,98.135,-4.85,-1.1,-0.2,0,1.8
1,15.25,0.1,-9.5,8.4,-0.146955,-7.6,62,-1.875,57.45,15.35,118.2,21.4,16.2,7.72,3.3375,0.17,98.14,-5.45,-1.1,-0.2,0,1.8
1,15.75,0.1,-12.325,5.2,-0.15086,-7.7,62.875,-17.675,35.3,9.1,71.425,14,6.575,4.215,3.1,0.16,98.18,-7.025,-1,-0.2,0,1.8
1,16.25,0.3,-17.3,3.6,-0.14202,-8.125,63.875,-38.425,14.55,3.5,20.3,5.25,0,0,2.98,0.145,98.1675,-8.15,-1.025,-0.2,0,1.8
1,16.75,0.2,-19.15,1.275,-0.121595,-8.4,66,-46.05,0.7,0,0,0,0,0,2.775,0.13,98.15,-10.225,-1,-0.2,0,1.8
1,17.25,0.2,-19.1,0.7,-0.11611,-8.6,68.5,-48.325,0,0,0,0,0,0,2.41,0.115,98.19,-12.8,-1.1,-0.2,0,1.8
1,17.75,0.2,-19.3,0.275,-0.1205075,-8.9,69.975,-50.625,0,0,0,0,0,0,2.44,0.11,98.1925,-13.575,-1.1,-0.2,0,1.8
1,18.25,0.2,-19.75,0.325,-0.1222675,-9.25,71.025,-47.975,0,0,0,0,0,0,2.395,0.11,98.1925,-13.675,-1.1,-0.4,0.1,1.8
1,18.75,0.2,-19.55,0.1,-0.12677,-9.4,71.625,-45.25,0,0,0,0,0,0,2.32,0.09,98.18,-13.8,-1.1,-0.4,0.1,1.8
1,19.25,0.2,-18.875,0.1,-0.1278425,-9.575,71.7,-43.275,0,0,0,0,0,0,2.265,0.09,98.115,-14,-1.2,-0.4,0.1,1.8
1,19.75,0.2,-18.2,0,-0.13085,-9.9,72.7,-43.8,0,0,0,0,0,0,2.25,0.1,98.14,-15.2,-1.2,-0.4,0.1,1.8
1,20.25,0.2,-18.95,-0.05,-0.12277,-9.9,73.1,-44.3,0,0,0,0,0,0,2.2,0.09,98.115,-14.8,-1.2,-0.4,0.1,1.8
1,20.75,0.3,-16.95,0,-0.11748,-9.9,73.9,-43.5,0,0,0,0,0,0,2.105,0.09,98.095,-14.1,-1.2,-0.4,0,1.8
1,21.25,0.2,-17.7,-0.15,-0.11836,-9.9,74,-44.2,0,0,0,0,0,0,2.04,0.09,98.08,-14.7,-1.3,-0.4,0,1.8
1,21.75,0.2,-17.9,-0.1,-0.104255,-9.9,74.2,-44.6,0,0,0,0,0,0,2.075,0.08,98.05,-14.7,-1.3,-0.4,0,1.8
1,22.25,0.1,-16.5,-0.1,-0.11333,-10.1,74.3,-44.7,0,0,0,0,0,0,2.0125,0.09,98.1075,-14.1,-1.3,-0.4,0,1.8
