DOY2,HR2,CO2,FC,H2O,SC,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,H,LE,PA,RH,TA,VPD,T_SONIC_1_1_1,T_SONIC_1_2_1,T_SONIC_1_3_1,T_SONIC_1_4_1,T_SONIC_1_5_1,T_SONIC_1_6_1,T_SONIC_SIGMA_1_1_1,APAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1
1,0.5,570.3742355,-4.48267963636363,0.874850034813907,-1.16274742728099,-10.339509625,-7.853826275,-12.92319325,-24.66993025,-117.5323675,-23.7189462885277,91.4028468,38.3467736,-8.0518515,0.1,-9.60413404,-10.6935776,-10.89656035,-10.15613765,-10.3194138775,-10.995144425,0.061693354125,0,0,0,192.09236375,264.07781875,-90.883617575,-0.9771169,0.065198489275,0.0849260929574971,0.0699939753710915,0.0667036625610053,0.046052403078009,0.0713249763752379,0.045257627144605
1,1.5,574.025012,-3.02770238636364,0.763944120231516,-1.05307607585644,-10.3589625,-7.9384263,-13.086324,-24.84560475,-106.797775,-14.7396471166763,91.50008755,38.2151152,-8.53435,0.1,-9.7875632475,-11.32909175,-11.170851325,-10.290676,-10.32891725,-11.6082578,0.06596323425,0,0,0,191.8319175,263.0670625,-90.0988668,-1.04483344,0.0509653936,0.0881397029222884,0.0465823988628407,0.0504238242378513,0.0383449947149696,0.0552054793924792,0.0430903616738583
1,2.5,573.838282,-3.35587704545455,0.800018198110084,-1.5958211441794,-10.409138625,-8.0586839375,-13.404165,-24.854755125,-110.649469,-27.1695056864644,91.530671875,38.728674625,-8.98503505,0.1,-9.97670145,-11.627003825,-11.9075932,-11.2964926,-11.3398913,-11.9987642,0.061617158,0,0,0,191.31686,260.95938,-87.81489625,-0.93967679375,0.0597144817,0.101655814371176,0.0527319756310687,0.059311608715513,0.0312966618076613,0.0492077464578487,0.0299877048695267
1,3.5,574.42936325,-3.58503118181818,0.878662280755506,-1.78161342514887,-10.387146625,-8.17337325,-13.475489375,-24.565458125,-106.158418,-32.0633149583356,91.5616566,40.7183925,-8.92545025,0.1,-10.2861608,-12.1548336,-12.36261675,-11.82825315,-11.844427,-12.446497575,0.0609099205,0,0,0,191.2269,258.83364,-87.674132,-0.987183695,0.066890019,0.0928136395992649,0.0470684668472913,0.0525422062116793,0.0277182116073663,0.0348482557704408,0.0304365396455036
1,4.5,575.73534125,-1.70781283409091,0.910549735291368,-1.09416968951154,-10.45665675,-8.2543151,-13.955369875,-24.629744625,-112.447438,-27.3193646541587,91.54710055,41.732815875,-9.0107046,0.1,-10.7147082,-12.34776245,-12.678086625,-12.347747025,-12.2709997,-12.4279176,0.049991111,0,0,0,191.7149,258.2929875,-88.2811135,-0.970162435,0.0599751061,0.0639261712430293,0.0331858787419177,0.0557325688426535,0.0332599434258655,0.0438768180243978,0.0304387187721136
1,5.5,575.71161675,-1.96599736363636,0.847968326009005,-1.12813164615197,-10.46671,-8.3186716,-14.2185425,-24.6522795,-104.4310475,-24.5204114883124,91.5274615,43.2331455,-9.2607028,0.1,-10.828250475,-12.4924059,-12.479196125,-12.3203956,-12.473024625,-12.5548098,0.04934143825,0,0,0,191.21647625,256.74339875,-87.4218255,-0.940142105,0.060256944725,0.0805555612741953,0.0389509611079952,0.0452135584819918,0.0369939423049097,0.0388904722956796,0.0390131099895563
1,6.5,576.23121,-3.31533221590909,0.746283869997071,-1.18815965752225,-10.44477175,-8.399793575,-14.4614595,-24.73816125,-126.95893025,-26.5151341001312,91.54287965,40.7766716,-9.32686225,0.1,-11.20927035,-12.4303598,-12.79465,-12.7403695,-12.8883074,-12.827463025,0.04632461625,0,0,0,190.1557775,255.73311125,-87.5189266,-0.90600459,0.054924584125,0.0626838960359762,0.0319576843216038,0.0366272919094927,0.0213393575882531,0.034286988557796,0.0329749974008936
1,7.5,577.773916,-2.52951377840909,0.693422383796229,-1.76621558204664,-10.531295,-8.5307072,-14.5419905,-24.729143,-107.576406,-26.7189125349694,91.553613325,38.24265275,-9.5167314,0.1,-11.6213758,-12.7965774,-13.1616807,-12.9911324,-13.09105235,-13.30225115,0.057277685,0,0,0,189.26716625,254.6845625,-88.2646779,-0.954293995,0.05895464125,0.0597195828013044,0.044917490067087,0.0479426383115257,0.0316293456042019,0.0436713325077802,0.0344840354874149
1,8.5,577.75345975,-5.53584431818182,0.825230104768323,-2.42203873271547,-10.988905,-8.612699025,-14.66631225,-24.604353625,-116.15785,-52.5837836587005,91.562080375,35.94614575,-9.38320515,0.1,-11.45158825,-12.95561475,-13.239778725,-13.01899345,-12.9588887,-13.41975575,0.070120130375,12.6714677,4.2116696,1.137239225,190.5916,255.5838,-67.35180015,-0.781418315,0.061245992,0.0681236807930913,0.0288995202062456,0.0443485527899232,0.0373543914415844,0.0397778020586957,0.0334893051958813
1,9.5,579.63974325,-2.08496448011364,0.942652829598333,-2.72883393067515,-11.085535,-8.652908775,-14.7251725,-24.038181375,-89.416898,-74.3786252900178,91.54948925,33.398157875,-8.28681825,0.1,-9.6338465925,-10.6789592,-11.612875,-11.4824499,-11.5894191,-12.168032375,0.087165685625,39.8005401,15.718529375,3.023802375,192.522925,266.0323025,10.8850599,-0.861694375,0.0766361958,0.0960622505355668,0.0666647346399463,0.0531286982332779,0.051787100294924,0.0385793045527595,0.0357489369890407
1,10.5,570.6322255,-4.94933159090909,0.814853475972508,-2.243122943435,-10.789575625,-8.6728935625,-14.654565,-23.10486875,-97.217555,-89.1255504565068,91.5609988,28.682386825,-5.5246149,0.1,-7.89364822,-7.67276648,-8.78221468,-8.5130707025,-8.937844855,-9.9374746,0.108606138,65.21056225,21.7687975,3.6134186,195.61939,281.41749,14.97428375,-0.92969829375,0.12354573225,0.183052800876911,0.0774959292316348,0.0724912510405421,0.0570470459306838,0.0723641581602609,0.0617385900892682
1,11.5,564.2139735,-2.33509194602273,0.77400760570166,-1.88444397585627,-10.315501375,-8.635778875,-14.391216875,-22.430409375,-70.9244233749999,-69.873794140452,91.4277792,27.05741485,-5.13807125,0.168716191404503,-5.7157018175,-5.90052754,-6.6052893625,-5.889861465,-5.761190575,-6.29279034,0.084937699,88.0339449,33.90279125,3.9093123,201.33472,293.04048,25.6112365,-0.9978366675,0.1220913845,0.268405562338328,0.113648727222856,0.0828620334064447,0.0812807241052539,0.0879160809057436,0.0631543512237053
1,12.5,560.9342725,-3.57222206818182,0.538319450071555,-2.02862000429738,-10.11230525,-8.5806850375,-14.029346125,-21.516144125,-43.6982335,-79.0153762080245,91.315157125,19.662916,-4.245291,0.272217801240832,-4.1589530125,-5.162385665,-4.823785005,-4.324231835,-4.298732425,-4.4583614925,0.10408402825,114.37804025,52.2128785,5.584883075,207.679105,297.7210875,39.8318126,-1.2129056875,0.145410154,0.319427156452485,0.173339093014155,0.124526925725629,0.0967749324994492,0.0989528743993486,0.0666715914168204
1,13.5,554.00008,-2.721042425,0.702608754308248,-1.12984913303207,-9.8845719625,-8.47735885,-13.548389375,-20.76959225,-60.074837,-27.1099997821585,91.2206346,15.7604156,-2.97977825,0.46025022951819,-3.6363095125,-3.75424673,-3.76770093,-3.320884425,-3.1640788775,-2.9962606,0.09562175,121.2342135,53.05112,5.1206609375,208.9298,300.676275,39.8542349,-1.21821022,0.157350768,0.303472779381527,0.188641039961565,0.134751799075626,0.1076311430965,0.0712145782643392,0.0682292374924287
