DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,TAU,PA,RH,VPD,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_2_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,-0.0261015,372.704864525,-31.0894365,-0.42834625,-9.6975,-5.78275,-4.55775,-4.93975,2.642,0.2451015,0.51432775,0.4144915,0.295432,-0.316938,99.12499775,68.9274995,0.160245,-28.5975,-23.181015,0.0105755,-1.80625,-2.435,-1.551,-0.8655,0.6705,2.679,4.2915,-1.39025,-0.3205,0.9155,2.893,4.39975,0,0.139,146.78448125,190.126034
1,0.75,0.005792,373.069114675,-30.997963,-0.3233865,-9.8075,-5.779,-4.582,-4.91725,2.518,0.2428295,0.5116225,0.390227,0.268548,-0.33030775,99.099998,68.80749925,0.1580325,-28.8325,-23.25385675,0.010513,-1.80575,-2.44575,-1.5565,-0.86575,0.67075,2.685,4.2955,-1.39,-0.3165,0.93025,2.8915,4.40725,0,0.14875,147.2653845,188.74093275
1,1.25,0.062186,373.26615905,-32.358299,-0.2158625,-9.76,-5.772,-4.55375,-4.8815,2.523,0.271187,0.561997,0.4396525,0.2995345,-0.36455125,99,69.5,0.1562475,-29.1825,-23.032295,0.010848,-1.791,-2.44125,-1.561,-0.868,0.66825,2.6855,4.29875,-1.39075,-0.32725,0.91975,2.8895,4.41625,0,0.1355,145.82206375,188.546242
1,1.75,-0.00167925,373.105278,-35.299332,-0.324016,-9.72,-5.77425,-4.53825,-4.8445,2.664,0.2350685,0.5591255,0.4128965,0.316403,-0.340766,99.099998,69.71749725,0.154495,-29.2374995,-23.126114,0.011,-1.784,-2.44025,-1.5585,-0.86925,0.66275,2.684,4.29525,-1.38925,-0.3235,0.90525,2.88525,4.42175,0,0.14175,147.04813425,187.48314675
1,2.25,0.03418425,372.8256607,-34.9896085,-0.28031525,-9.715,-5.77775,-4.526,-4.834,2.50775,0.2152235,0.56153625,0.41218225,0.29441975,-0.325429,99.12499775,69.5825025,0.1541775,-29.6549995,-23.14478675,0.00795325,-1.79,-2.43975,-1.55625,-0.87025,0.6595,2.6815,4.2945,-1.38725,-0.33,0.91125,2.8855,4.421,0,0.15,146.480663,186.36460475
1,2.75,0.020414,372.6765137,-33.191847,-0.35931,-9.6375,-5.793,-4.51525,-4.84375,2.639,0.200177,0.460937,0.4290245,0.289802,-0.31903,99.12499775,70.035002,0.1495075,-29.99249975,-23.1852035,0.0163115,-1.7915,-2.44025,-1.553,-0.87225,0.65975,2.681,4.29225,-1.38875,-0.326,0.91775,2.88725,4.42025,0,0.1535,147.0377695,186.32995225
1,3.25,0.0501495,372.487793,-34.58262375,-0.32725925,-9.5725,-5.80475,-4.51875,-4.83975,2.53,0.205367,0.46862425,0.40080725,0.26525125,-0.3132385,99.12499775,69.80500225,0.154175,-29.84000025,-23.3157885,0.010635,-1.79175,-2.44475,-1.535,-0.875,0.658,2.6805,4.29125,-1.38625,-0.3215,0.91825,2.88475,4.42025,0,0.1285,148.42914175,185.641884
1,3.75,0.0760085,372.425514175,-31.276285,-0.193811,-9.53,-5.8125,-4.5325,-4.87,2.5655,0.2183995,0.5147795,0.41162175,0.26298775,-0.30841675,99.14999925,70.0575025,0.1498675,-29.899999,-23.230473,0.009307,-1.78925,-2.446,-1.516,-0.87725,0.65625,2.6805,4.28675,-1.389,-0.311,0.9205,2.8835,4.41575,0,0.133,148.5688245,186.74465575
1,4.25,-0.0146305,372.708519025,-31.05732825,-0.294082,-9.4675,-5.835,-4.54725,-4.911,2.546,0.245076,0.499932,0.41354125,0.28299925,-0.318661,99.099998,70.37249725,0.14669,-29.97499925,-22.942566,0.0116135,-1.793,-2.445,-1.5135,-0.8785,0.65425,2.6775,4.2845,-1.39275,-0.308,0.926,2.88275,4.41,0,0.135,148.2186315,184.543411
1,4.75,-0.026459,372.742523225,-31.608465,-0.389096,-9.405,-5.8525,-4.5545,-4.94875,2.5095,0.2638,0.47190675,0.41795925,0.29036575,-0.32298125,99.099998,70.13750075,0.1460275,-29.90000075,-23.026913,0.009853,-1.79525,-2.44675,-1.54425,-0.88025,0.65,2.675,4.28475,-1.3865,-0.32425,0.923,2.8815,4.409,0,0.13625,149.008884,184.19939025
1,5.25,0.039772,372.59309385,-35.67974725,-0.3835945,-9.3925,-5.82175,-4.54975,-4.99025,2.38975,0.267405,0.53263125,0.415168,0.29788275,-0.32582075,99,69.645002,0.141955,-29.81749975,-22.8025975,0.01186575,-1.794,-2.438,-1.55375,-0.88275,0.65075,2.67375,4.28525,-1.37225,-0.3255,0.92375,2.8805,4.40875,0,0.132,150.81203875,186.1891175
1,5.75,0.0219405,372.2120972,-31.823734,-0.407317,-9.46,-5.83525,-4.545,-5.02375,2.35675,0.2539075,0.531804,0.435921,0.2928635,-0.324593,99.099998,69.9274995,0.14101,-30.0775005,-22.793243,0.0088765,-1.7895,-2.438,-1.54725,-0.884,0.65575,2.6705,4.2885,-1.362,-0.318,0.91525,2.88225,4.40975,0,0.1145,148.6395185,183.85458025
1,6.25,0.070216,372.281189,-34.38723925,-0.5054145,-9.4525,-5.8355,-4.543,-5.04425,2.35125,0.2234875,0.572836,0.473949,0.329741,-0.323663,99.099998,69.86500175,0.136055,-29.79,-22.97253375,0.0154505,-1.78975,-2.43,-1.5425,-0.886,0.65575,2.667,4.29025,-1.3635,-0.324,0.9255,2.8835,4.412,0,0.129,146.80303225,185.63451025
1,6.75,0.02336675,372.3186035,-28.38352675,-0.21071125,-9.445,-5.84875,-4.537,-5.0555,2.35775,0.22604,0.53633275,0.46451375,0.317732,-0.36551475,99.0249995,70.084999,0.1366375,-29.9625,-23.134415,0.010186,-1.791,-2.419,-1.56275,-0.88825,0.6535,2.665,4.28975,-1.35875,-0.32625,0.91425,2.885,4.4125,0,0.1545,148.72801975,185.70428825
1,7.25,0.00377825,372.0561371,-28.8408625,-0.1800425,-9.5625,-5.86925,-4.5255,-5.07125,2.301,0.23592,0.562004,0.4444625,0.30639625,-0.346049,99.12499775,70.0674995,0.13599,-29.8700005,-23.1811145,0.01516575,-1.816,-2.4195,-1.56225,-0.88825,0.65325,2.6625,4.2885,-1.34925,-0.3325,0.90025,2.8855,4.40625,0,0.1465,150.9286495,186.31284325
