DOY2,HR2,G_1_2_1,G_1_2_2,G_1_2_3,T_BOLE_1_1_1,T_BOLE_1_1_5,T_BOLE_1_1_7,T_BOLE_2_1_1,T_BOLE_2_1_4,T_BOLE_2_2_6,T_BOLE_2_2_1,T_BOLE_2_2_3,CO2_1_1_1,H2O,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_1,RH_1_1_1,TA_1_6_1,RH_1_2_1,TA_1_10_1,RH_1_3_1,TA_1_4_1,TA_1_11_2,TA_1_11_1,TA_1_9_1,TA_1_8_1,TA_1_8_2,TA_1_7_1,TA_1_6_2,TA_1_5_1,TA_1_1_1,TA_1_1_2,WS_1_2_1,NETRAD_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,PPFD_BC_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,TS_1_3_3,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,TA_1_2_1,TA_1_2_2,T_SONIC_1_1_1,WS_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TA_1_3_2
1,0.25,2.9542,2.8195,0.907140000000001,6.4186,6.3561,6.3908,6.8101,6.7314,6.4723,7.318,7.184,403.4,10.2025,403.76,406.365,407.825,425.385,0.960017499999999,51.44175,7.24804999999997,4.39852499999999,1.7185,2.5467,11.442,7.7593,4.2898,6.9011,100,6.631,100,5.65655,100,6.01212499999999,5.7729,6.7888,6.86925,7.345175,6.867125,6.65885,7.56015,7.4115,7.4555,7.45375,4.15155,-0.621630000000002,12.03075,0.492169999999998,0,0,0,219.173,31.71,0.696095,4.964125,6.28545,6.28955,5.248,6.42585,5.73265,5.1443,5.066,4.9626,4.9311,6.0041,99.643,31.141,31.056,14.20475,5.2499,354.06,347.74,6.695
1,0.75,2.8959,2.48135,0.923100000000001,6.3828,6.3337,6.4061,6.830925,6.7334,6.48005,7.403,7.1624,391.365,9.20949999999999,403.76,406.365,407.825,425.385,1.01845,33.474,4.8125,3.279375,1.7195,3.1072,7.888,9.08440000000001,3.07105,6.8905,100,6.58325,100,5.85915,100,5.729,5.7582,6.63894999999999,6.8166,7.25655,6.8752,6.64429999999999,7.5158,7.36355,7.4327,7.43175,4.0219,-0.096052500000004,12.03175,0.6249425,0,0,0,226.8,31.71,0.69739,4.8609,6.2651,6.25285,5.2838,6.4167,5.72935,5.1583,5.0875,4.9776,4.9328,5.9927,99.619,32.9235,32.82725,14.17375,5.115225,356.28,347.71,6.7046
1,1.25,2.7893,2.53905,1.1041,6.2713,6.3341,6.4232,6.854675,6.73775,6.541375,7.4355,7.1774,402.17,10.081,403.76,406.365,407.825,425.385,0.970332499999999,43.78,9.307975,3.32999999999999,1.970175,2.8245,7.35404999999998,9.88864999999998,3.73275,6.9966,100,6.682475,100,5.82235,100,5.402925,5.6725,6.710775,6.91565,7.241775,6.89705,6.913625,7.71905,7.35024999999999,7.4072,7.36775,4.09645,-0.553050000000001,12.063,0.485442500000001,0,0,0,213.8575,31.71,0.69272,4.78825,6.2585,6.2111,5.3024,6.3942,5.70295,5.2091,5.1232,5.0017,4.941,5.9916,99.584,34.36975,34.1825,14.509,4.911225,354.44,346.72,6.7293
1,1.75,2.8651,2.5547,1.17535,6.1594,6.337,6.4346,6.896875,6.7393,6.5592,7.498575,7.19145,401.985,10.01425,402.32,405.04,407.22,426.04,0.948755,56.9,7.59347500000001,5.1394,2.43675,2.9625,5.7502,8.16140000000001,6.174125,6.6506,100,6.72735,100,5.85655,100,5.510575,5.7178,6.7989,6.9857,7.32207499999999,6.8416,6.9368,7.2609,7.5828,7.5012,7.4595,3.98654999999999,0.00362674999999894,12.4105,0.467815,0,0,0,215.2235,31.71,0.6951125,4.82215,6.2815,6.1848,5.3312,6.36565,5.7215,5.2045,5.1569,5.0115,4.949,5.994,99.623,35.432,35.35,14.32525,4.95575,354.04,346.14,6.7598
1,2.25,2.9268,2.39530000000001,1.2595,6.0804,6.3397,6.4401,6.918675,6.7386,6.5697,7.431525,7.1629,402.7425,10.04,401.6675,404.6425,408.37,425.77,0.95924,60.25,8.52179999999997,4.4008,2.711,3.0217,6.55880000000001,8.5098,4.750375,6.6549,100,6.719225,100,5.7482,100,5.2474,5.6992,6.82689999999999,6.87445,7.30319999999999,6.78005,6.80254999999999,7.564,7.55825,7.532,7.4165,4.0509,-0.254418000000003,12.82075,0.38175,0,0,0,205.195,31.71,0.6881325,4.6194,6.30455,6.164,5.3813,6.34975,5.7337,5.2254,5.1539,5.028,4.9521,5.993,99.633,36.4835,36.352,14.4,4.831625,355.82,347.1,6.7952
1,2.75,2.9888,2.49685,1.20215,6.11,6.3429,6.4021,6.940525,6.7388,6.565525,7.4044,7.1506,401.9425,9.924475,401.14,403.67,408.71,434.56,0.912539999999999,59.14,7.28565000000002,4.262075,1.649875,2.8202,7.6222,10.987,4.74125,6.6385,100,6.7428,100,5.6607,100,5.24305,5.6559,6.771975,6.9383,7.29024999999999,6.8196,6.7802,7.186225,7.556,7.3991,7.3165,3.9025,-0.261932500000001,12.6405,0.1430975,0,0,0,200.645,31.71,0.68721,4.631,6.3177,6.1334,5.4284,6.32395,5.74705,5.2591,5.1674,5.0393,4.9617,6.0009,99.633,37.0805,36.92025,14.374,4.8087,355.12,346.42,6.7574
1,3.25,3.0459,2.6019,0.967480000000004,6.1268,6.3396,6.3569,6.9731,6.764075,6.563525,7.37455,7.131175,401.6,10.007675,401.5,403.5725,408.035,427.9025,0.964817499999999,60.67425,9.36609999999999,4.158,1.964025,2.9763,7.47210000000001,9.6331,4.61425,6.5182,100,6.562575,100,5.63535,100,5.4736,5.644,6.680325,6.81765,7.04784999999999,6.76485,6.749875,7.079425,7.30795,7.151525,7.06775,3.9195,-0.376975,11.90525,0.2310325,0,0,0,195.83,31.71,0.684025,4.6857,6.3254,6.1134,5.4564,6.29965,5.7331,5.2746,5.1948,5.0489,4.9649,5.9982,99.619,36.22,36.14275,14.25325,4.807225,352.86,346.405,6.44679999999999
1,3.75,3.1159,2.50820000000001,0.964095000000003,6.1404,6.3406,6.3396,6.989675,6.7874,6.675175,7.2891,7.1237,401.7275,9.966275,402.9075,407.18,407.2375,428.235,0.94072,64.5949999999998,6.5997,4.1718,2.8069,3.2843,8.54720000000001,8.6611,3.987,6.5587,100,6.60625,100,5.55415,100,5.23765,5.648,6.7218,6.7601,7.01044999999999,6.63495,6.701,7.0794,7.16624999999999,7.2271,7.1035,4.008625,-0.498807500000001,12.251,0.2242825,0,0,0,171.9525,31.71,0.6833,4.646,6.2926,6.128,5.4905,6.29195,5.68305,5.2821,5.2061,5.0514,4.973,5.9955,99.635,34.7805,34.701,14.138,5.0102,353.82,345.93,6.19789999999999
1,4.25,3.00450000000001,2.40290000000001,0.964705000000003,6.1495,6.3399,6.3394,6.94925,6.81035,6.6412,7.212825,7.062075,401.9425,9.966525,401.825,405.8,409.15,430.325,0.98352,63.31475,8.2194,3.29892499999999,2.811,2.8625,8.5286,9.6665,3.43005,6.3745,100,6.613875,100,5.5074,100,5.2115,5.6541,6.56595,6.74715,7.04219999999999,6.62475,6.65704999999999,7.3528,7.3121,7.0199,7.02925,3.999375,-0.515478750000004,13.1075,0.1941975,0,0,0,164.5975,31.71,0.687795,4.549475,6.2717,6.14655,5.5334,6.27075,5.6501,5.2987,5.2069,5.068,4.9896,5.9947,99.628,33.417,33.345,14.026,5.2102,352.58,345.93,6.27499999999999
1,4.75,2.8547,2.32407499999999,0.921777499999996,6.14955,6.34075,6.33845,6.86945,6.83895,6.654525,7.1806,7.008925,401.6,9.9762,401.775,405.7025,407.7025,429.1075,1.0194,57.1292499999999,7.29839999999999,4.2925,1.836575,2.3946,7.96700000000001,9.2014,5.72045,6.49805,100,6.7698,100,5.516875,100,5.191475,5.662875,6.6745,6.8082,7.04014999999999,6.58595,6.6866,7.1866,7.03725,7.176,7.16825,4.0032,-0.4334525,12.553,0.1525425,0,0,0,155.9525,31.71,0.69618,4.449675,6.24335,6.147025,5.53015,6.2649,5.632425,5.309175,5.18515,5.06755,4.98975,5.993975,99.60925,32.27,32.1925,13.84,5.1466,349.61,345.43,6.5849
1,5.25,2.8639,2.65155,0.905269999999997,6.226375,6.32915,6.34015,6.83045,6.869925,6.637775,7.150825,6.959325,401.4275,10.04,402.15,407.44,410.8,427.9525,1.04025,59.52,10.025,4.7234,2.30205,2.24779999999999,7.36325,8.84647499999998,5.16725,6.5286,100,6.7342,100,5.603,100,5.26665,5.673625,6.7536,6.836775,7.06374999999999,6.6999,6.78052499999999,7.2296,7.15225,7.3327,7.2945,4.1509,-0.4110425,12.855,0.140095,0,0,0,151.71825,31.71,0.68788,4.4315,6.201575,6.14685,5.49245,6.249475,5.641475,5.299475,5.1695,5.054375,4.9833,5.991175,99.601,31.29,31.21,13.97375,5.1628,350.0625,345.95,6.8155
1,5.75,3.0361,2.684425,0.952499999999999,6.25215,6.31015,6.341475,6.8884,6.900375,6.6629,7.225325,6.93745,401.685,10.05,402.35,406.03,411.14,425.86,1.04775,60.952,5.948,3.5266,2.177625,2.51172499999999,7.62780000000002,11.773,3.5441,6.588375,100,6.7256,100,5.6359,100,5.1563,5.68455,6.7191,6.911425,7.15285,6.7897,6.8505,7.2466,7.22075,7.2245,7.25025,4.106525,-0.603972500000002,12.344,0.183925,0,0,0,153.7105,31.71,0.68896,4.6371,6.201,6.1496,5.44277499999999,6.25245,5.67925,5.29675,5.16265,5.062575,4.97985,5.99225,99.606,30.42,30.34275,14.09625,5.1505,352.01,347.4125,6.76295
1,6.25,3.08715,2.46919999999999,0.906192499999996,6.216775,6.288975,6.341975,6.898,6.94725,6.6635,7.171,6.92815,401.4125,9.998725,400.9725,404.4,407.31,430.68,1.0237,64.17,4.69859999999999,3.2179,2.965125,3.023425,7.179775,7.81304999999999,3.42875,6.5972,100,6.6422,100,5.674125,100,5.2018,5.712425,6.736,6.847625,7.3078,6.805625,6.81299999999999,7.3856,7.33315,7.4094,7.313,3.98855,-0.336193250000003,12.761,0.186005,0,0,0,159.888,31.71,0.6853825,4.911,6.204025,6.153725,5.41724999999999,6.249125,5.714575,5.29565,5.13445,5.073825,4.974875,5.995125,99.6155,29.64,29.563,14.254,5.1582,351.135,347.915,6.958375
1,6.75,3.12292499999999,2.603175,0.855384999999997,6.2072,6.2649,6.342375,6.88665,6.9515,6.6855,7.212,6.9127,401.2,10.07425,401.2025,404.335,408.435,436.5725,1.0091875,51.445,10.762,3.8776,2.48025,2.8174,7.29594999999999,7.70834999999998,4.6523,6.73485,100,6.6298,100,5.66655,100,5.416975,5.73785,6.71205,6.8884,7.31865,6.8562,6.74465,7.5104,7.2503,7.5492,7.5255,4.0987,-0.441180000000001,12.0105,0.222607500000001,0,0,0,142.757999999999,31.71,0.6846525,4.96235,6.211425,6.15765,5.35572499999999,6.240425,5.68765,5.28435,5.1244,5.0817,4.979375,5.999825,99.60825,28.9335,28.855,14.32375,5.2012,348.905,347.01,7.054575
1,7.25,3.28292499999999,2.32294999999999,0.808502499999999,6.198175,6.237375,6.341675,6.853875,6.96775,6.68025,7.165,6.9242,401.85,10.095,401.7725,405.88,408.6075,432.0325,0.9802325,74.195,10.154975,4.43325,2.158125,2.66195,5.6332,8.83087499999999,4.39855,6.667475,100,6.79039999999999,100,5.60839999999999,100,5.5563,5.737125,6.67,6.80255,7.30069999999999,6.8679,6.6857,7.5734,7.40305,7.4864,7.46875,4.0809,-0.401722500000002,12.572,0.2202575,0,0,0,167.29,31.71,0.687945,5.1974,6.202975,6.1536,5.34079999999999,6.2412,5.69005,5.274475,5.121625,5.092375,4.974025,5.99855,99.59275,28.328,28.202,14.25875,5.108175,348.0425,347.1075,6.676575
1,7.75,3.31255,3.07925,0.921214999999999,6.170775,6.20629999999999,6.331575,6.840975,6.947,6.6625,7.067,6.94065,401.9975,10.09125,401.97,403.9,405.305,435.135,1.00028,68.5605,8.35539999999998,3.002,1.80925,2.63425,6.43109999999999,7.21557499999999,3.4293,6.727575,100,6.8866,100,5.61785,100,5.3295,5.723,6.7978,6.9337,7.26,6.886775,7.058875,7.4512,7.5268,7.5274,7.4615,4.2664,-0.428820000000001,12.4855,0.473535000000001,0,0,2.1241,175.4125,23.20575,0.9485125,5.210525,6.190775,6.147125,5.33854999999999,6.21685,5.630375,5.263575,5.10935,5.1131,4.97475,5.995875,99.5755,27.674,27.592,14.186,5.176675,349.73,347.2175,6.691
