DOY2,HR2,NEE,FC,SC,LE,SLE,H,SH,CO2,H2O,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,SW_IN,NETRAD,FCH4,SCH4,CH4,TA_1_1_2
1,0.25,-19.5492438,-19.0068556,-14.949625,-6.3418961,-23.41249845,-9.39754,-21.75559385,406.948764727585,34.4230902,0.02712175,0.3736145,24.586408,21.7062,87.2348,98.489103,23.9835473218438,0.006,0.0164,-40.2398,-21.193775,-282.99385,2022.41485,24.5243086
1,0.75,-13.8373231,-12.633377275,-16.738263575,-9.3505552,-26.9819019,-15.273184275,-17.1088656,412.10575266214,36.424223,0.035884175,0.305723875,24.4573808,21.8838,89.0722,98.4484864,23.9077981997486,0.0062,0.0158,-41.75,-65.10855,-339.053,2068.438575,24.5719571
1,1.25,-10.2783784,-0.9266124,-15.04620415,-21.319033625,-37.097016525,-21.3312775,-14.468179025,412.26420229744,32.6003749,0.0314365,0.257279,24.2408605,21.724525,91.045375,98.4132216,23.9283896799083,0.006,0.015675,-37.2885,-108.5601,-143.391325,2060.7157,24.58270035
1,1.75,-21.7058572,-11.191487875,-23.03785625,-5.1600986,-14.552853625,-31.2634736,-14.943177,417.87041532664,21.7598419,0.02655825,0.257049575,24.225227075,21.502775,91.5224,98.391791625,23.9713590521268,0.004,0.018225,-36.227225,-243.3896,-432.402475,2036.6715,24.5558495
1,2.25,-25.073088925,-28.156279625,-22.82863885,-7.832883075,-23.9753668,-11.285219,-17.87519645,414.02243027578,36.7362785,0.02987975,0.22998665,24.14103645,21.403625,93.210225,98.357772975,23.9407669899668,0.00245,0.0159,-37.207625,-378.2191,-332.8356,1965.5716,24.486546
1,2.75,-0.78219,0.140065,-39.727208625,-3.097967,-21.37369725,-9.5148969,-36.29528855,415.00197672448,28.1120069,0.027942225,0.147482025,24.1486837,21.365475,94.34125,98.33403755,23.9195608387576,0.002,0.015675,-38.42395,-29.326,-271.945525,1963.556,24.405066
1,3.25,-17.3130363,-0.6004158,-58.0944521,-7.7902421,-24.937865775,-15.5260895,-17.970511,414.83360033386,21.5434053,0.025375,0.2251715,24.117,21.341425,94.93335,98.329386475,23.9566502445212,0.001,0.015675,-38.002975,-49.3196,-293.5666,1980.424275,24.296825
1,3.75,-23.3204059,-5.2521225,-17.04454195,-3.682525925,-31.2233544,-13.1487776,-18.28668965,415.36835811316,29.8755208,0.0379847,0.384339,23.96561025,21.388125,94.279325,98.331919575,23.9352844334734,0.001225,0.015675,-40.295325,-212.1845,-389.591725,1981.994,24.2754925
1,4.25,-13.525477325,-12.2070315,-43.91257225,-27.295605375,-73.616265875,-7.41811315,-10.6698321,411.5561638636,27.8050536,0.03130185,0.27695315,23.9817069,21.3346,93.22085,98.3492943,24.0856515282984,0.006225,0.0159,-40.238275,-45.968,-685.368475,1994.532575,23.8081797
1,4.75,-22.324323125,-12.723618125,-46.5889769,-8.9608033,-19.583165425,-15.0090194,-14.84168525,410.2254839758,22.4569525,0.04401625,0.273269525,24.02802235,21.170875,93.76145,98.3800069,24.1180562901762,0.005,0.015675,-39.290725,-48.9302,-278.5994,2014.1685,23.76029715
