DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,TA,PA,RH,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,0.25,0.00568,0.757947,10.322,1.74382,0.231533,0.3080645,0.0981755,2.7625575,0.3198455,2.5940125,1.64898,98.952,86.8308,401.943,6.6159,1.1065175,1.0126605,0.4441,0.3638635,1.64898,86.8308,-1.02875,-0.30494625,1.46401,321.078,320.9605,0.10521125,0.908821,-2.41741,-2.913905,0.06675
1,0.75,0.0055225,0.430314,10.7024,1.7695675,0.1135475,0.213874,0.0536,2.8248225,0.3215955,2.6275275,1.6073425,98.95215,87.48795,404.56675,6.679185,1.1061475,1.00098125,0.476667,0.336216,1.6073425,87.48795,-1.17239,-0.50973475,1.6717075,319.8725,320.09575,0.107574,0.86808375,-2.606755,-3.8143575,-0.018
1,1.25,0.0052,-0.3484635,12.61005,2.213795,0.26640325,0.3014255,0.0802,3.1070125,0.359817,2.4694975,1.5154375,98.9581,89.25865,404.10775,6.553785,1.148605,1.100885,0.50532725,0.33728025,1.5154375,89.25865,-1.09362,-0.5491915,1.5207675,319.45925,319.3445,0.12610425,0.82651525,-2.850085,-3.5575625,-0.0265
1,1.75,0.0039525,0.5796955,11.52245,1.80863,0.37924575,0.18219375,0.0489,3.0661425,0.3439375,2.538025,1.4273375,98.9706,90.1677,404.041,6.283195,1.162775,1.0352375,0.49749125,0.355812,1.4273375,90.1677,-1.15432,-0.23598175,1.3889425,319.3985,319.892,0.083025,0.79711375,-2.8479575,-4.26746,0.0965
1,2.25,0.00992,-0.02,11.655675,1.8525775,0.191824,0.071125,0.08585,3.10184,0.35365,2.47527,1.43685,99.0036,90.293,404.58225,6.21565,1.1329,1.08501,0.487219,0.350683,1.4009325,90.6434,-1.086415,-0.37173,1.42818,319.2855,319.87325,0.075,0.79037725,-3.60523,-4.399635,-0.01075
1,2.75,0.00425,0.475836,13.05435,1.5419875,0.199904,0.16018825,0.034225,2.79536,0.325197,2.46815,1.21681,99.0303,90.2066,401.9665,6.3594,1.11373,1.03559,0.475167,0.320147,1.216455,90.21335,-0.7655765,-0.42891925,1.5265625,318.42425,319.29275,0.087925,0.79189075,-3.65507,-4.907375,-0.0865
1,3.25,0.00393,0.883386,12.7448,1.4782725,0.211676,0.2832515,0.087525,2.77943,0.354992,2.24497,1.12061,99.0418,90.0916,402.46625,6.20702,1.13509,1.0925,0.489786,0.339121,1.09316,91.2877,-1.0665475,-0.30073775,1.5623925,317.106,318.27425,0.0958035,0.78582775,-3.5062175,-4.5812075,-0.1345
1,3.75,0.00425,-0.688896,13.96845,1.659045,0.157343,0.252399,0.055175,3.21655,0.366291,2.40962,1.43844,99.0519,90.7895,401.63375,6.08859,1.25496,1.19623,0.51586,0.324275,1.39991,91.10705,-1.15063,-0.376302,1.520095,317.83625,318.05475,0.092475,0.738044,-3.0497775,-4.707945,-0.22875
1,4.25,0.00506,0.798059,10.911575,1.57121,0.176752,0.18958075,0.071125,3.13514,0.326381,2.31885,1.18256,99.0473,90.3247,401.60025,6.4546925,1.29505,1.09207,0.507383,0.33803,1.17013,90.513925,-0.98478125,-0.270581,1.5349475,317.639,317.70575,0.0687,0.64598575,-4.0352625,-5.0271975,-0.2525
1,4.75,0.00678,-0.152061,12.0549,1.59742,0.292116,0.118444,0.072275,2.96036,0.328602,1.88344,0.924436,99.06,89.432,399.3955,6.09341,1.17634,0.990066,0.521098,0.30378,0.91315125,89.90855,-0.9657435,-0.299231,1.59366,316.2975,316.8495,0.077475,0.62095375,-4.355555,-4.9530275,-0.31475
