DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
1,0.25,0.041,0.68375,-8.01625,-7.44125,5.96,-7.22025,-0.18,-95.52975,-92.827,-12.305,-0.07925
1,0.75,0.04,0.609,-8.0525,-7.361,6.57625,-7.25175,-0.23425,-90.54125,-89.836,-13.337,-0.32
1,1.25,0.04,0.54125,-7.9625,-7.7425,7.04,-7.294,-0.42525,-92.2685,-78.697,-10.52725,-0.157
1,1.75,0.031,0.2425,-8.025,-7.755,7.33875,-7.30325,-0.27875,-91.5915,-64.33,-17.47825,-0.38575
1,2.25,0.03,0.37525,-7.8995,-8.17075,6.778,-7.57125,-0.677,-91.5035,-68.61,-15.37575,-0.459
1,2.75,0.04,0.33,-8.24,-8.252,7.31,-7.7015,-0.9455,-91.08275,-82.826,-7.01,-1.044
1,3.25,0.04,0.3275,-8.2715,-8.308,7.3315,-7.1625,-0.6475,-92.3725,-74.15225,-4.57,-0.41075
1,3.75,0.04,0.504,-8.31,-8.566,7.5535,-7.0405,-0.55775,-97.43,-63.03875,-9.196,-2.4925
1,4.25,0.03175,0.369,-8.385,-8.396,7.6735,-7.161,-0.40775,-92.77875,-72.20825,-22.9855,-0.32025
1,4.75,0.04,0.24525,-8.456,-8.592,7.377,-7.53925,-0.37775,-93.432,-64.814,-7.35325,-0.26
1,5.25,0.04,0.276,-8.6505,-8.796,7.744,-7.06125,-0.782,-93.9485,-59.29575,-25.4035,-0.32
1,5.75,0.04,0.37175,-8.8185,-8.8065,7.6375,-7.3305,-0.55425,-91.79225,-64.817,-8.19,-0.25675
1,6.25,0.04,0.37625,-8.895,-9.29425,7.36,-7.318,-0.64375,-89.37975,-81.7725,-10.12,-0.248
1,6.75,0.03,0.4735,-8.8375,-8.21325,7.196,-6.6875,-0.3585,-93.816,-63.42575,-8.13525,-0.069
1,7.25,0.04,0.398,-8.7315,-8.303,6.7155,0.925,0.7225,-86.207,-125.792,-4.3575,-0.208
1,7.75,0.04,0.362,-8.911,-8.59925,6.6055,5.21225,2.83925,-69.4275,-71.814,-8.8715,-0.0795
1,8.25,0.062,0.178,-8.586,-8.088,6.4775,11.852,5.949,-32.87075,-45.692,-24.51125,-0.397
1,8.75,0.082,0.214,-8.0425,-7.558,6.086,16.14125,7.9245,-22.297,-23.46,-9.40925,-0.591
1,9.25,0.092,0.218,-7.5245,-6.984,5.95,26.45875,15.132,-14.8545,-55.82,-10.65775,-1.667
