DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_2
1,0.25,0.202801,-9.4,3.936,0.23374459275,-0.5566275,1.59978809075,-3.66,77.47,90.4,-6.47325,0,0,1.141945,0.125,-2.6615,-1.919,-4.062,-3.5755,-3.456,-3.974,-3.492,-4.57,414.625,-2.8625
1,0.75,0.19377,-9.555,3.949,0.18959865575,-1.18664,1.899929684,-3.58625,77.25,90.3,-7.0455,0,0,0.97587975,0.128,-2.58,-1.876,-4.06575,-3.54775,-3.4665,-4.024,-3.48075,-4.5285,414.65,-2.86175
1,1.25,0.192348484,-9.295,3.8015,0.181078799,-1.3285025,1.34372,-3.55575,77.095,90.4,-7.9485,0,0,0.98288875,0.1065,-2.605,-1.899,-4.184,-3.5985,-3.4845,-4.1025,-3.503,-4.64225,414.975,-2.85075
1,1.75,0.2065415,-9.115,4.0025,0.276247734,-1.44297037,1.3417735685,-3.56925,76.99,90.4,-7.3765,0.0087055925,0,0.955788,0.125,-2.5445,-1.881,-4.1585,-3.645375,-3.491,-4.105,-3.472,-4.641375,414.725,-2.86
1,2.25,0.205472213,-8.9425,3.93725,0.25066975,-1.3448,1.251645,-3.56375,77.0175,90.4,-7.736,0.013319,0,0.954745,0.127,-2.56575,-1.888,-4.135625,-3.663625,-3.5165,-4.14025,-3.490375,-4.65,414.9,-2.84
1,2.75,0.1948953035,-8.9325,4.2785,0.233595033,-1.06902,1.595925,-3.60725,77.02,90.4,-5.859,0.009680625,0,0.945531,0.13825,-2.5575,-1.89375,-4.138875,-3.65825,-3.4955,-4.15425,-3.49125,-4.650375,414.4,-2.84
1,3.25,0.211691519,-9.08,4.175,0.191613442,-0.9433450885,2.39822,-3.568,76.63,90.4,-7.56725,0.0082038,0,0.95786075,0.139,-2.5305,-1.8285,-4.154,-3.639,-3.487,-4.218,-3.471,-4.6525,414.675,-2.85925
1,3.75,0.18738547175,-8.88,4.198,0.23773,-1.567825,2.053005,-3.578,76.82,90.375,-7.5375,0.01378545,0,0.945824,0.136,-2.5275,-1.8405,-4.159,-3.642,-3.504,-4.276,-3.4865,-4.67,414.4,-2.8585
1,4.25,0.2144135115,-8.96,4.181,0.193088516,-1.434483782,2.90476,-3.56525,77,90.4,-5.39475,0.085887175,0,1.031695,0.137,-2.5435,-1.8305,-4.296,-3.656,-3.508,-4.254,-3.5195,-4.559,414.375,-2.849
1,4.75,0.21468828,-9.01,4.117,0.22,-2.3387975,2.66676825025,-3.61775,77.14,90.4,-5.598,0.11530425,0,1.00323,0.145,-2.6375,-1.881,-4.2375,-3.676,-3.473,-4.179,-3.46,-4.565,414.475,-2.88875
1,5.25,0.192612701,-9.305,4.231,0.2819354905,-1.274550006,1.377025,-3.56075,77.42,90.4,-5.7595,0.1101735,0,1.05019,0.1295,-2.6785,-1.97775,-4.2745,-3.66925,-3.46275,-4.25825,-3.495875,-4.584125,414.75,-2.83
