DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
1,0.25,414.643,0.0252981494067333,3.18312,0.719389324357819,2.52146,-0.86845,-15.1656,-6.72289,0.77515225,-2.681915,98.091425,-0.391749999999973,-0.37597825,0.2341005,0.598443742117799,0.524325134718375,0.319273791095609,3.1117525,244.64525,318.79675,-3.38483,0.86814975,-83.295
1,0.75,415.1025,0.0264787062609334,3.1638475,0.713405915310491,2.664215,-0.347178,-16.162575,-6.4543975,0.86212675,-2.3329575,98.07415,-0.622499999999988,-0.4028955,0.25416875,0.632153306770081,0.523673981118023,0.351346694250946,3.08874,243.01,319.467,-3.3496,0.809,-80.4033
1,1.25,415.04475,0.0265385730640416,3.1681575,0.662537079342179,2.385285,-0.9705015,-14.48415,-6.6143,0.2590815,-3.05793,98.0738,-0.577749999999966,-0.375975,0.24242975,0.609398842512765,0.533115338403298,0.315273660047128,3.1841275,249.9665,318.42,-3.379825,0.70232475,-79.858925
1,1.75,414.76975,0.0252203468542358,3.161475,0.749717946964057,3.0289175,-0.55748875,-17.7686,-5.2928825,0.684138,-2.61933,98.0968,-0.556499999999971,-0.3963385,0.266816,0.636124577641896,0.538868121173681,0.322123657963758,3.273175,242.96,314.537,-3.35623,0.791833,-80.92
1,2.25,414.98625,0.0274001461498718,3.1495475,0.742536470100739,2.9273825,-0.462498,-15.58025,-5.1831725,0.713815,-2.50886,98.0823,-0.582749999999976,-0.41451925,0.256848,0.632423143247854,0.530292643394883,0.322752961307152,3.2964675,245.58,318.365,-3.31758,0.8089335,-79.87165
1,2.75,415.154,0.0260548753480226,3.08373,0.641485775368402,3.1833,-0.4132015,-17.5761,-5.5484425,1.4454,-1.43795,98.08575,-0.675999999999988,-0.385396,0.2490725,0.595233615228395,0.479163088909853,0.321714642272223,3.283655,259.69475,318.17825,-2.3859775,0.63469175,-62.460075
1,3.25,414.9295,0.0285607195675073,3.0894925,0.77062375218005,2.89153,-0.805388,-16.005175,-5.328225,1.23591125,-2.3445125,98.08215,-0.78649999999999,-0.3709245,0.2344345,0.611021960922578,0.511732510970339,0.306711045541978,3.042625,240.64,315.573,-2.9865,0.773,-74.777
1,3.75,415.441,0.02719290348602,2.89418,0.644207264783625,3.3141825,-0.5143325,-17.087725,-4.957,1.75269,-3.277735,98.038775,-0.968499999999977,-0.41332875,0.26309125,0.623960241701297,0.510142701313791,0.32811660457976,3.227775,264.437,318.933,-2.90857,0.524833,-74.2247
1,4.25,415.5335,0.0265912015523932,2.84238,0.658680837492438,3.215575,-0.684758,-15.7243,-5.53997,1.044911,-2.59592,98.0119,-1.22924999999999,-0.3657385,0.21478175,0.634803865001412,0.532080583568587,0.305093464529349,2.9224425,261.575,314.8035,-2.0976825,0.81077475,-60.3932
1,4.75,415.59425,0.030413721588109,2.9418225,0.582712199819434,3.37505,-0.46327475,-14.730875,-4.9645575,1.39715,-1.6532125,98.00135,-1.54149999999996,-0.3518275,0.2248975,0.574895105975241,0.514389623126947,0.298993458550792,2.867485,272.384,314.39575,-2.753555,0.731167,-63.4968
1,5.25,416.18175,0.0307665760716201,2.96085,0.650520974012692,3.27051,-0.3310975,-15.0702,-5.138915,1.5707775,-1.126465,98.01805,-1.55399999999997,-0.343306,0.2116885,0.579508756319156,0.495308224079678,0.277914511167124,2.913485,271.157,313.21,-2.93083,0.5103,-70.4557
1,5.75,416.1835,0.0296109945797165,2.90308,0.783961163345996,3.5064075,-0.650111,-17.8677,-5.13932,1.96432,-3.4077525,98.00025,-1.55999999999997,-0.4179865,0.2335155,0.626150089731304,0.513768535384844,0.302176009372529,2.88645,265.292,314.6635,-2.63653,0.5077,-70.5525
1,6.25,415.8835,0.0326396230095406,2.9041,0.592237847833836,3.5229,-0.711944,-12.6419,-4.6151,1.43343,-2.017675,98.0111,-1.73299999999995,-0.3830025,0.223596,0.582847749696807,0.493455817000709,0.296846515033423,3.03159,259.427,316.117,-2.34223,0.5051,-70.6493
1,6.75,416.57675,0.0347432705400899,2.884335,0.738771091165623,3.93956,-0.527692,-15.6322,-3.472555,1.06415,-1.911915,98.01955,-1.88349999999997,-0.363579,0.2222035,0.593694532414352,0.48461509991442,0.303002037537995,2.937125,254.32,312.723,1.7735,0.999433,-57.854
1,7.25,416.4455,0.036929662874172,2.84752,0.618614689684908,3.966955,-0.827735,-15.180425,-4.27231,1.01805925,-3.530995,98.0521,-2.23799999999997,-0.3574675,0.238591,0.59492802558778,0.491247277334575,0.328363415448272,2.95892,257.82,318.377,32.7677,6.62633,-13.8587
1,7.75,416.70625,0.0370997304572419,2.84558,0.6831361504122,4.505425,-1.13501,-14.49495,-5.78797,0.74732825,-1.948715,98.09605,-2.25199999999998,-0.369108,0.2365765,0.617301288512803,0.52079116492808,0.332850910001073,3.02001,246.17,321.12,125.497,21.0607,36.1982
1,8.25,416.81,0.0363334412226094,2.879035,0.664140045472339,4.58972,-0.6928765,-13.8434,-4.50712,1.27371,-1.72108,98.10275,-2.26299999999996,-0.35267225,0.2462025,0.605226418171242,0.511997310425225,0.330961626285817,2.875095,249.67775,321.8675,133.699,23.048675,68.6709
1,8.75,416.986,0.0314223325320745,2.91056,0.839906819606641,4.477335,-1.231715,-6.78335,-0.8626775,2.469115,-1.68156,98.117125,-2.32624999999999,-0.39427825,0.254065,0.632360869903743,0.508250234345678,0.340440061181879,2.672035,276.977,327.433,176.553,29.4937,99.5213
1,9.25,417.0205,0.0286994761585391,2.9464875,1.03439003428804,4.07795,-2.25938,-0.829054,0.973198,4.846235,-2.5079575,98.11285,-2.34799999999998,-0.4573345,0.2984875,0.647357833448793,0.511286357507414,0.37267845041053,2.70349,264.16275,334.77025,291.5235,40.99755,197.2495
1,9.75,416.511,0.0239081454398686,2.8983675,1.05381527243817,2.809065,-1.4878025,7.1391325,0.80303775,6.57524,-1.84158,98.147925,-2.25199999999997,-0.513943,0.31367525,0.702556490768486,0.60180221471154,0.409805622973618,2.8588725,258.45825,345.289,371.987,61.543775,235.39675
1,10.25,416.377,0.0214310969247988,2.85721,1.33476668795169,1.5765425,-1.8372275,10.561425,2.0653425,10.7458,-1.82028,98.14225,-2.03224999999998,-0.5286025,0.34237225,0.686062328490744,0.63983289091203,0.449748851377165,2.80531,258.17525,353.6435,289.02075,51.192225,195.31775
1,10.75,415.9455,0.0227596943428233,2.7802225,1.26873318914741,1.89689,-1.92454,19.4851,2.0478725,9.0617325,-1.7780075,98.145,-1.22349999999997,-0.551599,0.356556,0.780054077563916,0.725276337879379,0.499649862275569,2.716405,251.633,364.087,697.16,105.52,474.927
1,11.25,415.566,0.0240858249649123,2.78113,1.45383974357561,1.1325825,-1.8013,24.0472,2.75164,11.5832,-3.61265,98.135,-1.20249999999996,-0.5445885,0.375384,0.79224106172209,0.726010340766973,0.515765668472524,2.876765,252.17,354.53,308.2,47.306,226.453
