DOY2,HR2,CO2,H2O,CH4,FC,NEE,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1,TS_2
1,0.25,439.676,15.9307,2595.66,3.574915,2.56931,133.91575,25.336775,70.226,4.36457,0.5414105,101.615,99.995275,11.782225,3.1037625,1.0775,12.520825,1.06623,2.64109,353.07425,349.6715,7.29968,6.73568
1,0.75,432.64925,15.523575,2350.0375,2.92254,3.20906,95.9705,33.07,63.7504,4.3693325,0.58164025,101.615,99.916975,11.992,3.3479825,1.03875,12.42635,1.492875,2.97368,353.2865,349.9215,7.30504,6.73898
1,1.25,429.8665,15.374875,2391.025,2.9404175,3.39101,130.400625,48.8077,89.1864,4.721055,0.591548,101.705,99.863275,11.6037425,3.244365,1.0775,17.357575,1.1225125,2.89995,356.4375,350.877,7.30826,6.73228
1,1.75,429.6655,15.598,2412.03,2.7288,2.68791,105.8032,39.993,65.0452,4.8592925,0.610848,101.705,99.622825,11.3357425,2.9914975,1.1,18.46355,0.9791275,2.63902,357.75725,351.4205,7.31182,6.72636
1,2.25,431.4885,15.861775,2428.055,2.6121,2.616025,76.856,52.027125,70.03065,4.6493925,0.547673,101.4725,99.609575,11.138235,3.311325,1.08875,14.857125,0.827626,2.46363,356.40425,351.315,7.3202,6.7242
1,2.75,431.68375,15.866775,2405.225,2.6068875,2.1656775,106.99625,40.791375,86.0371999999999,5.0677125,0.633548,101.37625,99.78525,10.7224025,3.25967,1.055,13.132575,0.57407125,2.69402,355.23725,350.6565,7.32136,6.72338
1,3.25,431.7975,15.57843,2428.025,3.5627,3.684375,78.37425,49.165125,74.7053,4.531405,0.58406,101.37625,99.60195,10.299005,3.462095,1.1,14.659875,0.8534325,2.857135,355.4895,350.0795,7.31642,6.73972
1,3.75,469.452,15.4737,2426.26,2.3459225,2.5069025,75.85625,32.03445,77.0399,4.373945,0.554896,101.4225,99.626925,10.5092,3.0394075,1,13.4927,1.47458,2.66501,355.454,350.2835,7.30788,6.7309
1,4.25,458.704,15.5285,2460.825,1.9152825,2.404455,75.01365,29.74515,93.8135,4.53697,0.534662,101.51125,99.750325,10.548325,2.7677275,0.95,13.2365,0.980501,2.543515,360.476,354.954,7.30364,6.72518
1,4.75,430.46825,15.784475,2461.84,3.19327,2.62459,66.7058999999999,31.1842,77.0476,4.8704125,0.599978,101.60375,99.94045,11.223475,2.57171,0.98875,11.787005,0.859651999999999,2.35984,363.0745,356.629,7.29578,6.71688
1,5.25,437.572,15.5014,2463.58,2.767885,2.8185,68.5995,28.4217,77.06605,4.45247,0.582037,101.805,99.7223,11.6277675,2.63465,1.1,12.06365,0.652685,2.236855,365.6995,355.1995,7.28748,6.70898
1,5.75,438.348,16.9099,2327.7,3.07063,2.537625,109.40375,32.30625,71.233425,5.12068749999999,0.53567,101.8525,100,11.88063,2.913535,1.08875,12.158925,0.755988000000001,2.34841,363.5105,353.8335,7.28018,6.7024
1,6.25,429.933,15.8613,2328.325,4.45279,3.87732,78.7135249999999,37.9293999999999,80.79925,4.7306125,0.51398825,101.95,99.979525,11.34278,2.8565375,1.03875,13.005225,0.3574,2.140005,363.27875,354.6655,7.27402,6.6942
1,6.75,430.856,16.6303,2342.375,4.193295,4.284635,82.30355,25.272,73.234025,4.56603,0.562729,101.8525,99.901,11.103615,2.5951575,1.1,20.482075,0.574126,1.924925,356.96425,347.5625,7.27052,6.68788
1,7.25,431.067,17.056,2352.0625,3.577135,3.8871925,66.937875,33.654375,61.8266,4.557455,0.5322325,101.7575,100,9.3673525,2.4556675,1.0275,13.7554,0.896766,1.982345,351.10775,349.5375,7.26504,6.67968
