DOY2,HR2,CH4,FCH4,SCH4,CO2,CO2_SIGMA,FC,SC,H2O,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,SW_IN,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,2103.3029155,26.15,-0.102,402.8933402,0.0097838645,0.996315765,0.0126,13.5878588,-5.860692889,-0.146310265,6.062395556,-0.3185115175,101.630871,100,12.26841985,13.09901165,0.23130067,0,0,-0.008765,0.1749227185,0.0844,0.1749227185,0.13379036,0.4087313125
1,0.75,2101.9411915,22.5,0.11285,404.0184336,0.011153396,0.862369934,-0.00447,13.66762194,-3.866332233,-0.192279629,9.877277534,-0.419274357,101.6137734,100,11.9134051,12.9107506,0.233666429,0,0,-0.00938,0.171172428,0.0872,0.171172428,0.143527001,0.449363852
1,1.25,2098.0357885,25.8,-0.16,404.1654244,0.01170126,1.005129286,0.00298,14.24383604,-3.867869819,-0.193511843,7.49223527,-0.1930420835,101.59788505,100,11.9645182,12.88111235,0.226495033,0,0,-0.008975,0.185202592,0.0862,0.185202592,0.129614814,0.455801262
1,1.75,2055.950394,28.6,-0.479,404.13745,0.008363129,1.125988619,0.0158,14.501364155,-2.5360161365,-0.202105436,8.20266122,-0.248696251,101.61253035,100,11.7563825,12.98393285,0.237065392,0,0,-0.00752,0.1571620145,0.07715,0.1571620145,0.127279221,0.4451376305
1,2.25,2042.3389805,21.15,-0.374,403.2199775,0.009770098,1.05634824,0.0288,15.01041234,-3.542638252,-0.179918875,8.768020814,-0.258855537,101.5889355,100,11.5227486,12.5895821,0.2080859655,0,0,-0.00595,0.159059737,0.07,0.159059737,0.108627805,0.394263719
1,2.75,2050.329035,30.4,0.525,404.5287592,0.013000765,1.0168422495,0.0221,13.55336172,-2.9440516565,-0.03915,6.4057021515,-0.0699,101.6063062,100,11.2694643,12.30393545,0.20940361,0,0,-0.00526,0.150826569,0.0654,0.150826569,0.103679683,0.3619734795
1,3.25,2094.242148,21.8,0.0265,406.5757201,0.012271407,1.051160745,0.00921,12.98930199,-2.819943011,0.02215,10.13473843,0.0927,101.60286025,100,11.00631935,11.8428427,0.2104647915,0,0,-0.00634,0.1580223605,0.0714,0.1580223605,0.12267421,0.4449787405
1,3.75,2090.2237865,21.3,-0.156,406.3045189,0.01078165,0.875814472,0.01575,13.3805185,-2.358136793,-0.00981,12.62241624,-0.082,101.5999799,100,10.91743605,11.8274853,0.195703858,0,0,-0.009395,0.1805241075,0.0875,0.1805241075,0.139780014,0.443351667
1,4.25,2102.962022,19.05,-0.10385,407.0518324,0.010157506,0.796206217,0.03,13.45970374,-1.19173837,-0.1233802655,16.570323,-0.0697,101.6010207,100,10.9206897,11.4825096,0.211187121,0,0,-0.00651,0.156843871,0.0739,0.156843871,0.119582607,0.398880284
1,4.75,2108.245541,23.8,0.331,407.2444744,0.00734421,0.9260506095,0.002605,13.12953694,-3.154136626,-0.0446,14.84557048,-0.355491197,101.6006199,100,10.4230649,11.4072766,0.195703858,0,0,-0.008525,0.178594959,0.08235,0.178594959,0.1307311675,0.4945766455
1,5.25,2106.005765,28.1,-0.298,404.6672643,0.010876498,1.053915699,-0.0179,12.45719211,-4.071516406,-0.0359,15.49840651,-0.0396,101.6126968,100,10.35726675,11.2438405,0.182756669,0,0,-0.0126,0.190918427,0.101675065,0.190918427,0.1638391625,0.5433683355
1,5.75,2106.6726775,22.7,0.2815,406.80180905,0.007628535,0.882091075,-0.01485,12.52229113,-3.649365138,-0.1091987495,9.9167602055,0.115700893,101.5900592,100,10.1504255,11.2317923,0.1781250925,0,0,-0.0102,0.1839836445,0.0902,0.1839836445,0.1507908425,0.4961716605
1,6.25,2088.551205,33.85,-0.8385,405.05859395,0.0073475745,1.1231886625,-0.0132,13.34325799,-3.448087225,-0.0703,12.38795231,-0.0555,101.6138733,100,10.57973225,11.5556029,0.191049732,0,0,-0.0129,0.21023796,0.102132068,0.21023796,0.16881943,0.554060948
1,6.75,2068.302463,18.9,-0.789,407.360978,0.0079231115,0.809010348,0.00747,12.31047902,-3.176395114,-0.0475,9.399217585,-0.336664212,101.6692897,100,10.9644782,12.2072919,0.2135414365,0,0,-0.0129,0.201246118,0.101325198,0.201246118,0.154596248,0.505346178
1,7.25,2112.899064,20.1,0.417,406.5173659,0.006048078,1.037548004,0.0154,12.16486703,-3.8720665445,0.021115,18.912207495,-0.112688327,101.69509885,100,10.94648145,12.70447325,0.2083198915,0,2.2805,-0.01835,0.203833706,0.1214987045,0.203833706,0.1858750865,0.540982128
1,7.75,2101.172069,21.95,-0.271,405.3181766,0.005913507,0.511072205,-0.0317,13.5773293,-0.016341035,0.9247514365,21.68209414,0.388968928,101.7232374,100,12.142399,13.034794,0.266363602,0,31.135,-0.0257,0.27513633,0.144123313,0.27513633,0.227156334,0.721362022
1,8.25,2091.505994,27.85,0.496,406.4866513,0.005814341,0.107530876,-0.0498,15.29779649,9.5144158865,1.368725537,34.97398991,0.5677265195,101.7819172,100,12.6838152,13.72219485,0.32666747,0,80.3,-0.0329,0.290450674,0.1633585945,0.290450674,0.2427925205,0.741625199
1,8.75,2059.882345,18.35,-0.418,405.52775365,0.008082858,-0.370837626,-0.07935,14.99863523,27.43285721,1.31393199,48.485614555,0.4674941045,101.81906025,96.558103455,14.1196823,14.7336243,0.43261153,0.603297838,186.7,-0.035,0.308544972,0.167813224,0.308544972,0.252388589,0.872947673
1,9.25,2068.222898,17.8,-0.4545,402.7674189,0.0096894765,-0.62283929,-0.08345,15.039270365,50.91754371,1.4107135965,70.953654595,0.646591925,101.8125022,91.075518145,14.8528866,15.9703413,0.5061747225,1.6648512305,264.5,-0.0409,0.337110599,0.183141458,0.337110599,0.28618176,0.958649332
1,9.75,2066.298931,47,-0.119,400.3544855,0.009163935,-0.921614133,-0.0744,14.8748983,70.77451403,1.487998328,70.87847456,0.431196016,101.83611815,84.03145991,15.8104704,16.3969611,0.55825109,2.88184091,335.15,-0.0519,0.37850179,0.205962391,0.37850179,0.324688819,1.080890053
1,10.25,2043.5184075,39.9,0.018795,398.4621324,0.0092995415,-1.2060394965,-0.08225,14.92666387,99.57727422,1.433880338,70.44787127,0.122212083,101.84575545,79.45569085,16.653377,17.0557756,0.6417366125,3.793821249,425.2,-0.058,0.404634135,0.217079447,0.404634135,0.3383556915,1.081996699
1,10.75,2053.350913,46.05,0.1137,397.170477,0.009428131,-1.260812962,-0.057,15.429171455,121.6129162,1.4196935145,82.591256155,0.120435306,101.84810595,74.07361793,17.5168318,17.5676236,0.689283804,4.967302184,511.3,-0.0612,0.425455725,0.226289435,0.425455725,0.3533622625,1.1379914245
1,11.25,2053.688958,44.4,-0.23415,396.487956,0.009770655,-1.586544775,-0.0441,15.6650928,125.9909978,1.0092496485,89.4982308,-0.0501,101.81007035,72.1226846,18.1503225,18.1703766,0.679158303,5.942290725,527.9,-0.0572,0.410769468,0.218123253,0.410769468,0.35093795,1.074666942
