DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
2,15.25,0.766,0.7515,18.26025,164.2285,0.84,0.1495,422.37875,406.2,5.18375,187,670.1,34.64,1.306,82.2,3.6315,99.5,0.373,0.8215,0.6895,0.98475,1.803,3.5465,0.02425,0.012,0.0785,0.525,1.86,2.93,0,0,1.00765,1.6341
2,15.75,0.69625,0.7285,17.016,124.063,0.8,0.1375,422.1545,405.925,5.19725,132.9,525,28.84,1.172,82.4,3.417,99.5,0.372,0.80125,0.6935,1.05,1.74875,3.542,0.0465,0.035,0.0745,0.524,1.7575,2.9285,0,0,0.96905,1.61405
2,16.25,0.7235,0.73025,14.7155,83.325,0.802,0.1525,422.70225,405.9,5.18575,79.8,396,22.28,1.094,82.9,3.3895,99.5,0.38925,0.8005,0.663,1.032,1.76425,3.55175,0.0375,0.032,0.051,0.5575,1.803,2.8995,0,0,0.9902,1.59755
2,16.75,0.68,0.72625,11.52,43.67775,0.78875,0.176,422.5945,405.8,5.249,33.37,233.862,14.987,0.865,84,3.3215,99.5,0.39925,0.7925,0.705,1.08,1.784,3.54975,0.0175,0.045,0.093,0.5675,1.81,2.92625,0,0,0.953225,1.505875
2,17.25,0.70025,0.646,8.01525,13.92575,0.74825,0.15,422.16225,404.95,5.281,1.535,109.3,8.06,0.618,86,3.2315,99.543,0.393,0.88325,0.687,1.026,1.75,3.5315,0.0375,0.034,0.078,0.5475,1.75025,2.902,0,0,0.9017,1.5018
2,17.75,0.719,0.689,6.0405,-3.098,0.7205,0.2195,422.302,404.525,5.272,-9.08,29.807,0.417,0.321,87.6,3.09425,99.5805,0.37225,0.817,0.775,1.066,1.788,3.51575,0.049,0.0285,0.0725,0.552,1.825,2.909,0,0,0.8647,1.44115
2,18.25,0.726,0.676,4.58625,-5.271,0.68625,0.253,422.498,404.775,5.3035,-12.47,0,0,0.015,88.6,2.979,99.585,0.39375,0.809,0.7585,1.04525,1.7975,3.5715,0.0515,0.055,0.089,0.569,1.832,2.937,0,0,0.859175,1.379325
2,18.75,0.73775,0.6975,4.307,-5.41575,0.687,0.203,422.2735,405.375,5.331,-13.06,0,0,-0.109,89.1,2.91575,99.5765,0.41975,0.865,0.78875,1.0245,1.799,3.511,0.0265,0.00825,0.0775,0.584,1.74675,2.941,0,-0.001,0.8229,1.3347
2,19.25,0.702,0.67,3.491,-4.822,0.6645,0.18,422.7125,405.075,5.311,-13.26,0,0,-0.273,89.9,2.8415,99.5975,0.399,0.798,0.765,1.041,1.76025,3.54525,0.032,0.0035,0.0565,0.58175,1.686,2.959,0,-0.02,0.8098,1.324
2,19.75,0.73925,0.761,4.12025,-5.3655,0.7005,0.153,422.95875,404.45,5.31625,-13.08,0,0,-0.316,90.1,2.90575,99.6,0.40725,0.85825,0.759,1.114,1.7705,3.596,0.078,0.0485,0.0895,0.564,1.69425,2.9385,0,-0.00625,0.817825,1.306575
2,20.25,0.728,0.6755,4.464,-7.294,0.65675,0.20675,423.222,404.2,5.2845,-11.85,0,0,-0.313,91,2.87775,99.6,0.39275,0.88125,0.72425,1.044,1.7605,3.591,0.045,0.03075,0.0675,0.6015,1.7185,2.9375,-0.001,-0.0215,0.797025,1.312675
2,20.75,0.7,0.761,3.3205,-6.1955,0.6895,0.156,422.6285,404.55,5.21725,-11.81,0,0,-0.314,91.3,2.8815,99.6,0.41,0.882,0.71175,1.126,1.795,3.52,0.043,0.02975,0.092,0.5765,1.666,2.9525,-0.055,-0.026,0.81465,1.30785
2,21.25,0.73675,0.708,3.201,-7.658,0.683,0.175,423.1675,404.25,5.226,-12.43,0,0,-0.361,91.5,2.87125,99.6,0.411,0.858,0.755,1.05775,1.708,3.5795,0.02475,0.014,0.044,0.554,1.6715,2.9415,-0.0545,-0.04475,0.81295,1.273175
2,21.75,0.83125,0.75375,3.435,-7.6645,0.685,0.19225,422.885,404.45,5.231,-11.93,0,0,-0.436,92.2,2.9095,99.6,0.41275,0.866,0.737,1.0035,1.763,3.532,0.0305,0.019,0.0845,0.559,1.708,2.9285,-0.019,-0.0145,0.8211,1.3299
2,22.25,0.7845,0.7335,3.877,-7.08625,0.6745,0.195,422.6975,403.7,5.213,-12.14,0,0,-0.432,92.5,2.85575,99.6,0.3965,0.89375,0.72875,1.0325,1.79225,3.5315,0.047,0.03175,0.1035,0.5645,1.75725,2.972,-0.015,-0.00575,0.8043,1.332
2,22.75,0.747,0.665,3.124,-5.778,0.686,0.184,422.7315,404.1,5.128,-11.92,0,0,-0.463,92.6,2.847,99.577,0.3895,0.83275,0.6765,1.04175,1.7815,3.5355,0.04725,0.035,0.0935,0.5735,1.73925,2.921,-0.0015,-0.00275,0.8075,1.3159
2,23.25,0.70925,0.692,3.369,-6.11775,0.674,0.165,422.8035,405.5,5.088,-11.9725,0,0,-0.55,92.3,2.95925,99.552,0.3995,0.76625,0.70325,1.048,1.764,3.4975,0.03975,0.021,0.079,0.55675,1.65225,2.929,0,-0.001,0.8158,1.2969
